int	string	string[]	string[]	string
2004	城镇4档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	城镇4档
2005	城镇5档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	城镇5档
2006	城镇6档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	城镇6档
2007	城镇7档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	城镇7档
2008	城镇8档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	城镇8档
2009	城镇9档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	城镇9档
2010	城镇10档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	城镇10档
3001	州省1档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	州省1档
3002	州省2档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	州省2档
3003	州省3档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	州省3档
3004	州省4档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	州省4档
3005	州省5档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	州省5档
3006	州省6档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	州省6档
3007	州省7档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	州省7档
3008	州省8档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	州省8档
3009	州省9档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	州省9档
3010	州省10档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	州省10档
4001	全国1档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	全国1档
4002	全国2档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	全国2档
4003	全国3档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	全国3档
4004	全国4档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	全国4档
4005	全国5档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	全国5档
4006	全国6档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	全国6档
4007	全国7档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	全国7档
4008	全国8档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	全国8档
4009	全国9档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	全国9档
4010	全国10档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	全国10档
5001	世界1档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	世界1档
5002	世界2档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	世界2档
5003	世界3档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	世界3档
5004	世界4档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	世界4档
5005	世界5档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	世界5档
5006	世界6档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	世界6档
5007	世界7档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	世界7档
5008	世界8档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	世界8档
5009	世界9档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	世界9档
5010	世界10档	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	世界10档
