int	string	string	string	string
1110	累计提升2次电影关注度	电影上映期间，我们也可以通过提高大家对电影的关注度来获取更大的收益！	电影上映之后的合理推广也是非常重要的，配合档期与其他活动，对于持续收益的增长将会是很大的推动！	主线任务
1111	在环球影城完成宣传	进一步扩大我们的影响力吧！	每个街区的受众对代言人的类型都有不同的偏好，利用好这一点，宣传就能事半功倍哦！	主线任务
1112	顺利进行1次路演	当我们完成一座城市中所有街道的宣传之后，就可以在这座城市举行路演了哦！公开路演将会检验这座城市对我们公司的认可度，如果成功则意味着我们在这里有了深厚的粉丝基础！	罗马非一日之工，让我们共同见证公司发展的轨迹吧！	主线任务
1113	占领洛杉矶的市场	完成路演之后，我们在这座城市的影响力就达到顶峰了哦！也就是说，我们可以占领这座城市啦！	已占领的城市将会源源不断的给公司提供新的粉丝与收益喔！	主线任务
1114	在洛杉矶任命1位形象大使	在已占领城市任命公司的形象大使可以为公司带来更高的收益，但是每个城市的不同街区对形象大使也有着不同的要求哦！	任命形象大使后占领城市所带来的收益也更高了！	主线任务
1115	为1部电影选择重点宣传城市	选择某个城市对上映中的电影进行重点宣传也可以提高电影的持续收益哦！	随着宣传力度加强，在这座城市所取得的持续收益也可能会得到相应的提升哦！	主线任务
1116	拍摄第2部电影	每部电影都是我们通往成功的基石，也是新的粉丝的重要来源，一定要好好重视哦！	不断提升公司实力，拍出更多的佳片吧！	主线任务
1117	建造宣传部	每个人都有15分钟的成名机会，但区别在于能否把握住这个机会。所以，为了抓住属于我们的“15分钟”，接下来让我们建造我们自己的宣传部吧！	抓住转瞬即逝的机会并发挥出最大化的效益，这可是一种非常宝贵的才能哦！有了宣传部的帮助，我们一定能在这条路上走的更加顺利！	主线任务
1118	累计提升6次电影关注度	让我们趁热打铁，让我们电影的关注度更上一层楼吧！	如果我们的电影关注度足够高，那将能够超越电影，成为流行文化的一部分！	主线任务
1119	累计领取电影持续收益超过8000美元	有没有好好记着去定期收取一下电影上映后的持续收益呢？忘了也没关系，我们现在一起去看看吧！	播下的树种总要长大，派发出的宣传单当然也要得到相应的成果啦！	主线任务
1120	领取1次城市经营收益	是时候回去探望一下我们的形象大使们啦！不知道他们的工作开展的怎么样了！	有形象大使的帮忙，我们只要记得定期来收取城市经营收益就可以啦！	主线任务
1121	建造仓库	之前电影拍摄过程中累积的道具跟设备越来越多，都要没地方放啦！我们需要一个专门的库房！	仓库建好之后我们的道具跟设备的摆放终于不再杂乱无章啦！	主线任务
1122	进行生产	我们可以通过生产上映电影的相关周边产品来赚取更多收入喔！	电影口碑越好，观众们对于购买周边的热情，是不是就会更高呢？	主线任务
1123	建造销售部	生产出来的周边只是放在柜台里面等着顾客自己来买，未免有点太寂寞啦！这种情况，就是销售部出场的时候！	有了销售部的帮助，我们的周边生意肯定能越来越红火的！小心可别被订单淹没哦！	主线任务
1124	升级摄影棚	我们公司的规模越来越大，对于拍摄场地的要求当然也要与时俱进啦！	摄影棚的等级提升也就意味着影片质量的进一步提升喔！	主线任务
1125	建造商务部	订单越来越多，是不是觉得我们现有的生产线有点忙不过来呢？要解决这个问题，我们需要先建立起商务部哦！	有了商务部之后，我们就可以针对性的对生产线进行升级调整，以应对日益增多的订单了哦！	主线任务
1126	将1位艺人升到20级	公司目前的艺人阵容越来越大，对他们的培养可不能忘记哦！毕竟，演员的演技是一部电影成功与否的重要因素之一呢！	要始终记住，艺人可是我们最宝贵的资源。毕竟，艺术源于生活，电影以人为本！所以，一定不能疏于对艺人们的培养哦！	主线任务
1127	拍摄第3部电影	虽然现在我们对拍摄电影已经算是驾轻就熟了，也不能因此就大意哦！60%的努力加40%的热爱，还有20%的运气，才能得到120%的成功！	将来我们还会拍摄许许多多部电影，但不管今后如何，我们都要保持拍摄第一部电影时的初心哦！	主线任务
1128	查看1次电影排行榜	影业协会把当天拍摄完成的所有电影根据各个影业公司目前所在的分组进行排名哦，来看看我们的电影排位如何吧！	保持关注排行榜，可以对我们公司目前的实力有个直观的了解哦！而且，努力赶超排在我们前面的对手，对于公司的发展也是很不错的驱动力呢！	主线任务
1129	完成订单	完成客户的订单也是我们公司经营重要的一环哦！	成功交付订单可以提升我们公司在业界的影响力，收获粉丝与点赞，况且订单本身也能带来可观的收入喔！	主线任务
1130	占领纽约的市场	这次的目标是——纽约！如果我们能在这里取得成功，那我们在任何地方都能够取得成功！	拿下我们的第二城啦！继续前进，让我们的足迹遍布这片大陆吧！	主线任务
1131	在纽约同时任命3位形象大使	随着公司规模进一步扩张，一个城市只派驻一位形象大使似乎有点儿不够了呢！为了更好的管理城市收益，我们需要增派人手哦！	在大家的共同努力下，城市的经营应该不会有大问题啦！	主线任务
1132	建造办公室	说起来，我们公司是不是还缺少了一项基础设施？没错，就是办公室啦！虽然说现在大家都可以移动办公，但是办公室还是有必要的哦。	办公室建造完成！移动办公虽然不错，但果然还是需要一个能专心处理事务的地方呢！	主线任务
1133	处理3次公务	经营公司可离不开日常的公务处理，好好加油吧！	公务如果堆积着不及时处理也会造成麻烦呢，可别懈怠哦！	主线任务
1134	领取2次城市经营收益	又到了定期查看城市收益的时候啦！新的城市，说不定会带给我们新的惊喜哦！	感谢我们的工作人员和形象大使们的辛勤工作，我们才能轻松的获得城市经营收益哦！	主线任务
1135	累计完成2次生产	我们周边销售的火爆可不输电影上映哦！所以，生产线空置可是不行的！	保持生产线运作，才能保证我们对客户订单的交付能力，然后实现源源不断的收入！所以别忘了定期查看生产线的运作状况哦！	主线任务
1136	建造接待室	随着我们公司知名度越来越高，已经会有忠实粉丝来到公司参观拜访了呢！那么，没有接待室怎么行呢！	接待室建造完成！来参观拜访的粉丝们可以有专门的空间来和他们心仪的艺人近距离接触啦！这样我们的粉丝基础肯定能更加牢固！	主线任务
1137	接待1位粉丝	接待室建好之后，来参观拜访我们的粉丝也越来越多啦！看，这边已经有几位粉丝正在等待了哦！快点去跟他们打个招呼吧！	接待室可以让粉丝们跟他们心仪的艺人近距离接触，让粉丝们的热情更加高涨，自发的为我们宣传呢！	主线任务
