int	string	string	int	int	int	int	int[]	int	bool	int	int	int	int	string	int
6202	2星小提琴	可以送给欧洲艺人增加忠诚度。在仓库可分解为低星资产，合成为高星资产	2222	1302	6	9999	3;7	0	1	10	6202	0	0	完成订单后可以获得艺人资产	1
6203	2星折扇	可以送给亚洲艺人增加忠诚度。在仓库可分解为低星资产，合成为高星资产	2232	1302	6	9999	3;7	0	1	10	6203	0	0	完成订单后可以获得艺人资产	1
6204	2星烟斗	可以送给男性艺人增加忠诚度。在仓库可分解为低星资产，合成为高星资产	2242	1302	6	9999	3;7	0	1	10	6204	0	0	完成订单后可以获得艺人资产	1
6301	3星滑板	可以送给偶像派艺人增加忠诚度。在仓库可分解为低星资产	2213	1303	6	9999	3;7	0	1	10	6301	0	0	完成订单后可以获得艺人资产	1
6302	3星小提琴	可以送给欧洲艺人增加忠诚度。在仓库可分解为低星资产	2212	1303	6	9999	3;7	0	1	10	6302	0	0	完成订单后可以获得艺人资产	1
6303	3星折扇	可以送给亚洲艺人增加忠诚度。在仓库可分解为低星资产	2213	1303	6	9999	3;7	0	1	10	6303	0	0	完成订单后可以获得艺人资产	1
6304	3星烟斗	可以送给男性艺人增加忠诚度。在仓库可分解为低星资产	2214	1303	6	9999	3;7	0	1	10	6304	0	0	完成订单后可以获得艺人资产	1
9001	钢材	升级建筑所需材料	2032	0	9	9999	53;54;3	0	0	0	0	0	0	可通过拍摄电影获得	1
9002	木材	升级建筑所需材料	2033	0	9	9999	52;54;3	0	0	0	0	0	0	可通过拍摄电影获得	1
9003	水泥	升级建筑所需材料	2034	0	9	9999	3	0	0	0	0	0	0	可通过拍摄电影获得	1
9010	拍摄中心图纸	建造和突破拍摄中心时使用	2035	0	9	9999	3	0	0	0	0	0	0	可通过拍摄电影获得	1
5100	情报信封	信封中可以开出随机艺人情报	2036	0	30	10	3	16001001	1	10	0	0	0	可在拍摄中获取	1
5101	测试应援卡	测试用应援卡	12100000	0	5	9999	3	0	1	10	0	0	0	测试用应援卡	1
5102	特殊信封	信封中可以开出随机艺人的特殊情报	2037	0	30	10	3	16001001	1	10	0	0	0	可在拍摄中获取	1
10001001	吴亦凡应援卡	吴亦凡应援卡	12100101	0	5	9999	3	0	1	10	0	0	0	吴亦凡应援卡	1
10001002	蔡徐坤应援卡	蔡徐坤应援卡	12100201	0	5	9999	3	0	1	10	0	0	0	蔡徐坤应援卡	1
10001006	王源应援卡	王源应援卡	12100601	0	5	9999	3	0	1	10	0	0	0	王源应援卡	1
10001008	华晨宇应援卡	华晨宇应援卡	12100801	0	5	9999	3	0	1	10	0	0	0	华晨宇应援卡	1
10001011	杨幂应援卡	杨幂应援卡	12101101	0	5	9999	3	0	1	10	0	0	0	杨幂应援卡	1
10001012	迪丽热巴应援卡	迪丽热巴应援卡	12101201	0	5	9999	3	0	1	10	0	0	0	迪丽热巴应援卡	1
10001013	欧阳娜娜应援卡	欧阳娜娜应援卡	12101301	0	5	9999	3	0	1	10	0	0	0	欧阳娜娜应援卡	1
10001018	鞠婧祎应援卡	鞠婧祎应援卡	12101801	0	5	9999	3	0	1	10	0	0	0	鞠婧祎应援卡	1
10001020	吴宣仪应援卡	吴宣仪应援卡	12102001	0	5	9999	3	0	1	10	0	0	0	吴宣仪应援卡	1
10001021	陈立农应援卡	陈立农应援卡	12102101	0	5	9999	3	0	1	10	0	0	0	应援卡应援卡	1
1301	一星剧本	一星剧本		1301	21	9999		0	0	0	0	0	0	五星剧本	0
1302	二星剧本	二星剧本		1302	21	9999		0	0	0	0	0	0	五星剧本	0
1303	三星剧本	三星剧本		1303	21	9999		0	0	0	0	0	0	四星剧本	0
1304	四星剧本	四星剧本		1304	21	9999		0	0	0	0	0	0	四星剧本	0
1305	五星剧本	五星剧本		1305	21	9999		0	0	0	0	0	0	四星剧本	0
1012	迪丽热巴	迪丽热巴	11101201	0	22	0		16010002	0	0	0	10001012	0	迪丽热巴	1
