int	int	int	string	int	int	int	int	int	int
4017	4	17	主角的诞生	17	5002	10	9	10	6018
4018	4	18	主角的诞生	18	5002	10	9	10	6018
4019	4	19	主角的诞生	19	5002	10	9	10	6018
4020	4	20	主角的诞生	20	5002	10	9	10	6018
5001	5	1	艾琳秀	1	5002	10	9	10	6019
5002	5	2	艾琳秀	2	5002	10	9	10	6019
5003	5	3	艾琳秀	3	5002	10	9	10	6019
5004	5	4	艾琳秀	4	5002	10	9	10	6019
5005	5	5	艾琳秀	5	5002	10	9	10	6019
5006	5	6	艾琳秀	6	5002	10	9	10	6019
5007	5	7	艾琳秀	7	5002	10	9	10	6019
5008	5	8	艾琳秀	8	5002	10	9	10	6019
5009	5	9	艾琳秀	9	5002	10	9	10	6019
5010	5	10	艾琳秀	10	5002	10	9	10	6019
5011	5	11	艾琳秀	11	5002	10	9	10	6019
5012	5	12	艾琳秀	12	5002	10	9	10	6019
5013	5	13	艾琳秀	13	5002	10	9	10	6019
5014	5	14	艾琳秀	14	5002	10	9	10	6019
5015	5	15	艾琳秀	15	5002	10	9	10	6019
5016	5	16	艾琳秀	16	5002	10	9	10	6019
5017	5	17	艾琳秀	17	5002	10	9	10	6019
5018	5	18	艾琳秀	18	5002	10	9	10	6019
5019	5	19	艾琳秀	19	5002	10	9	10	6019
5020	5	20	艾琳秀	20	5002	10	9	10	6019
6001	6	1	导演去哪儿	1	5002	10	9	10	6020
6002	6	2	导演去哪儿	2	5002	10	9	10	6020
6003	6	3	导演去哪儿	3	5002	10	9	10	6020
6004	6	4	导演去哪儿	4	5002	10	9	10	6020
6005	6	5	导演去哪儿	5	5002	10	9	10	6020
6006	6	6	导演去哪儿	6	5002	10	9	10	6020
6007	6	7	导演去哪儿	7	5002	10	9	10	6020
6008	6	8	导演去哪儿	8	5002	10	9	10	6020
6009	6	9	导演去哪儿	9	5002	10	9	10	6020
6010	6	10	导演去哪儿	10	5002	10	9	10	6020
6011	6	11	导演去哪儿	11	5002	10	9	10	6020
6012	6	12	导演去哪儿	12	5002	10	9	10	6020
6013	6	13	导演去哪儿	13	5002	10	9	10	6020
6014	6	14	导演去哪儿	14	5002	10	9	10	6020
6015	6	15	导演去哪儿	15	5002	10	9	10	6020
6016	6	16	导演去哪儿	16	5002	10	9	10	6020
6017	6	17	导演去哪儿	17	5002	10	9	10	6020
6018	6	18	导演去哪儿	18	5002	10	9	10	6020
6019	6	19	导演去哪儿	19	5002	10	9	10	6020
6020	6	20	导演去哪儿	20	5002	10	9	10	6020
7001	7	1	奔跑吧艺人们！	1	5002	10	9	10	6021
7002	7	2	奔跑吧艺人们！	2	5002	10	9	10	6021
7003	7	3	奔跑吧艺人们！	3	5002	10	9	10	6021
7004	7	4	奔跑吧艺人们！	4	5002	10	9	10	6021
7005	7	5	奔跑吧艺人们！	5	5002	10	9	10	6021
7006	7	6	奔跑吧艺人们！	6	5002	10	9	10	6021
7007	7	7	奔跑吧艺人们！	7	5002	10	9	10	6021
7008	7	8	奔跑吧艺人们！	8	5002	10	9	10	6021
7009	7	9	奔跑吧艺人们！	9	5002	10	9	10	6021
7010	7	10	奔跑吧艺人们！	10	5002	10	9	10	6021
7011	7	11	奔跑吧艺人们！	11	5002	10	9	10	6021
7012	7	12	奔跑吧艺人们！	12	5002	10	9	10	6021
7013	7	13	奔跑吧艺人们！	13	5002	10	9	10	6021
7014	7	14	奔跑吧艺人们！	14	5002	10	9	10	6021
7015	7	15	奔跑吧艺人们！	15	5002	10	9	10	6021
7016	7	16	奔跑吧艺人们！	16	5002	10	9	10	6021
7017	7	17	奔跑吧艺人们！	17	5002	10	9	10	6021
7018	7	18	奔跑吧艺人们！	18	5002	10	9	10	6021
7019	7	19	奔跑吧艺人们！	19	5002	10	9	10	6021
7020	7	20	奔跑吧艺人们！	20	5002	10	9	10	6021
8001	8	1	第八放映室	1	5002	10	9	10	6022
8002	8	2	第八放映室	2	5002	10	9	10	6022
8003	8	3	第八放映室	3	5002	10	9	10	6022
8004	8	4	第八放映室	4	5002	10	9	10	6022
8005	8	5	第八放映室	5	5002	10	9	10	6022
8006	8	6	第八放映室	6	5002	10	9	10	6022
8007	8	7	第八放映室	7	5002	10	9	10	6022
8008	8	8	第八放映室	8	5002	10	9	10	6022
8009	8	9	第八放映室	9	5002	10	9	10	6022
8010	8	10	第八放映室	10	5002	10	9	10	6022
8011	8	11	第八放映室	11	5002	10	9	10	6022
8012	8	12	第八放映室	12	5002	10	9	10	6022
8013	8	13	第八放映室	13	5002	10	9	10	6022
8014	8	14	第八放映室	14	5002	10	9	10	6022
8015	8	15	第八放映室	15	5002	10	9	10	6022
8016	8	16	第八放映室	16	5002	10	9	10	6022
8017	8	17	第八放映室	17	5002	10	9	10	6022
8018	8	18	第八放映室	18	5002	10	9	10	6022
8019	8	19	第八放映室	19	5002	10	9	10	6022
8020	8	20	第八放映室	20	5002	10	9	10	6022
