int	string	string	int	int	int	int	int	int	int	int	int	int	int	int	DTActorSkill[]	DTActorStory[]	DTActorFeature[]	DTActorCharacter[]	int	DTItemNum	DTItemNum[]	DTItemNum	int	int	int	int	int	int	string	string
2001	Hank Thompson	汉克	2007	1302	1102	1201	1401	1502	1003	5	5	10	5	0	1002:31;1059:101;1038:201	1701:1:1603;1704:1:1601	1817:1:1603;1801:1:1602	1922:2:1603;1910:1:1601;1907:2:1602	1901	6:1000	7007:20;6102:100	6:100	100	0	125	100	30	100	Known as one of the nicest and kindest man in Hollywood. Not a method actor but one of the best of the best. He will convince you  that he is any character he takes on, regardless if that's a hobo on an island, a CIA operator or just a man looking for love with a woman.	“我曾经也是个冒险者，我去越南流过血，我在中国打过球，我还见过总统，拿过奖章，开过公司，玩过乐队，本来我的冒险会继续下去，直到…直到我尝过了这盒巧克力。所以，要来一块吗？”
2002	Ford Harris	罗素	2008	1302	1102	1201	1401	1502	1006	10	5	5	0	5	1003:31;1029:101;1034:201	1702:1:1601;1708:1:1603	1801:1:1601;1806:1:1601	1921:1:1601;1941:2:1601;1926:2:1603	1901	6:1000	7008:20;6102:100	6:100	100	0	125	100	30	100	If you're a lady looking for a gruff but classy man - he's your man. He takes roles that need to be tough in most situations but able to show his soft or romantic side in at least one or two scenes. Even as he's matured, his resume hasn't changed.	身为某商业舰队舰长的他却几乎不怎么管自己的舰队，沉迷接片无法自拔。大家一度十分疑惑他的舰队究竟如何经营下去的，直到看见了他的助理日渐变高的发际线…
2003	Tim Justinlake	贾亭	2009	1302	1102	1201	1402	1501	1023	5	10	5	0	5	1003:31;1020:101;1025:201	1705:1:1601;1702:2:1602	1809:1:1602;1808:1:1603	1931:2:1603;1902:1:1603;1928:1:1603	1901	6:1000	7009:20;6102:100	6:100	100	0	125	100	30	100	A singer turned actor. Many people thought it would be a terrible choice but he's proved them all wrong. He's not going to win Best Actor anytime soon but he does know how to bring out the emotions in the characters he plays.	如果说有的人就是得到上天厚爱的，那么他绝对算一个。唱歌唱腻了拍电影，电影拍腻了开公司，公司管烦了最终成家晋级奶爸…真·人生赢家。
2004	Mikky Madson	汉克特	2010	1302	1102	1202	1401	1502	1047	5	5	10	0	5	1004:31;1038:101;1053:201	1705:2:1601;1710:1:1603	1808:1:1602;1809:1:1602	1923:1:1603;1930:2:1602;1922:1:1602	1901	6:1000	7010:20;6108:100	6:100	100	0	125	100	30	100	He got bored of the teaching life and moved into theater after starting his school's theater club. Ever the perfectionist, he eventually that into an acting career. With his intense character actor roles, he his single handedly revived the Danish acting industry.	美食节目主持人，每次做饭和吃东西的时候都能活生生把人看饿，看向观众的每个眼神里都写着："你看起来很好吃。“…咦，怎么感觉后背有点冷？
2005	Larry Jude	裘华	2011	1302	1102	1202	1402	1501	1063	5	10	5	0	5	1006:31;1038:101;1027:201	1702:1:1601;1705:1:1602	1814:2:1601;1809:1:1603	1922:1:1602;1902:1:1603;1925:2:1603	1901	6:1000	7011:20;6108:100	6:100	100	0	125	100	30	100	An actor that has starred in over a hundred movies despite only being a young adult. His good looks and sexy accent has captured the minds and hearts of many. He's quietly known as the king of rom-com.	深夜的房间里，他伏在桌子上睡着了，亮着的电脑显示屏上还显示着搜索记录：“拯救发际线哪家强“。
2006	Chelsea Maggs	张宁玉	2012	1302	1101	1203	1402	1502	1067	10	5	5	5	0	1006:31;1021:101;1018:201	1709:1:1601;1703:2:1603	1803:2:1603;1804:1:1602	1902:1:1603;1932:1:1601;1935:1:1603	1901	6:1000	7012:20;6103:100	6:100	100	0	125	100	30	100	One of the few actresses who have acted to try and reach something inside herself instead for the fans. Of course, she still loves her fans but she wanted to express love unfelt by acting them out deeply and truly in film.	她本人认为旗袍是自己的幸运装，也因此只要一有机会就一定会在自己接拍的电影中穿上旗袍。久而久之让人一看到她就想到她穿旗袍的样子，她实际上穿了什么反倒没有人在意了…
2007	Violet Gong	龚莉	2013	1302	1101	1203	1401	1502	1068	5	10	5	5	0	1005:31;1022:101;1057:201	1709:1:1602;1705:1:1603	1803:2:1602;1813:1:1601	1904:1:1601;1902:1:1602;1942:2:1603	1901	6:1000	7013:20;6103:100	6:100	100	0	125	100	30	100	Her favorite color is read and is quite apparent from the films she's starred in. She is one of the few asian actresses who has bridged the divide between cultures and fully accepted in films that are specific to each culture.	走到哪里都能把脚下踩的地面变成红毯一般的存在，所以经常被邀请参与各种舞会的暖场嘉宾…
2008	Stan Jams	郭达森	2014	1302	1102	1202	1401	1502	1078	5	5	10	5	0	1004:31;1042:101;1027:201	1707:2:1603;1708:2:1601	1817:1:1602;1818:1:1602	1934:1:1603;1911:1:1601;1907:1:1602	1901	6:1000	7014:20;6108:100	6:100	100	0	125	100	30	100	Despite his badass persona, he actually started out doing something much more gentile and sleek. He was an Olympic butterfly swimmer who quit he profession after winning his first medal. Now he embraces the badass in him to kick everyone and anyone's ass in whatever film he stars in.	虽然经常有人拿他的光头取乐，他从不介意，只是淡淡的说：“想一想，不秃头你能变强吗？”
2009	Sammy Adams	桑德亚	2015	1302	1102	1201	1401	1502	1083	5	10	5	5	0	1003:31;1045:101;1019:201	1703:2:1603;1702:1:1603	1804:2:1602;1812:1:1602	1902:1:1602;1917:1:1602;1931:1:1602	1901	6:1000	7015:20;6102:100	6:100	100	0	125	100	30	100	An extreme goofball, he knows how to make people laugh regardless of how it happens. Some people can't stand him but they know they're going to laugh when they watch him on screen. One of the industry's comic legends.	非常高产的喜剧演员，基本只要有他在的片都不缺笑点，虽然大家都不清楚到底是因为他本身脸长得让人看了就想笑还是因为他的演技…不过不要在意细节，毕竟做人嘛，最重要的是开心。
2010	Carlos Nicks	赵古拉	2016	1302	1102	1201	1401	1502	1084	10	5	5	0	5	1004:31;1027:101;1030:201	1701:1:1601;1708:2:1602	1801:1:1603;1817:1:1603	1907:2:1601;1926:1:1601;1911:1:1601	1901	6:1000	7016:20;6102:100	6:100	100	0	125	100	30	100	An actor who honestly doesn't care about winning an Oskar. He just loves acting. He'll star in everything and anything and is not ashamed of it. You may not like the movie as a whole but you'll love him in it.	一般演员的理想都是能拿到小金人，但他剑走偏锋，以包揽各种金酸梅，金扫帚为己任。俗话说，拍烂片不难，难的是拍的每一部都是烂片…
2011	Marlene Rooney	鲁妮拉	2017	1302	1101	1201	1401	1501	1086	5	10	5	0	5	1002:31;1036:101;1047:201	1705:2:1603;1704:1:1602	1808:2:1601;1804:1:1603	1922:1:1603;1935:1:1602;1931:1:1603	1901	6:1000	7017:20;6102:100	6:100	100	0	125	100	30	100	A rebellious, punk girl, she decided to run away from home to act. Covered in tattoos, it took a few tries before someone gave her the chance but now was solidified her hold in the industry. She still prefers to act in indie movies but has the talent to be mainstream actress.	上一秒还是满身刺青桀骜不驯的朋克女孩，下一秒就可以变成人畜无害楚楚可怜的弱气少女，让人不由得惊叹她的演技，正所谓“你要哪种美，我全都可以给”。
2012	Tao Oaks	绪子	2018	1302	1101	1203	1402	1501	1089	5	5	10	0	5	1006:31;1042:101;1050:201	1702:1:1603;1710:1:1602	1811:2:1603;1820:1:1602	1904:2:1602;1926:1:1603;1902:1:1601	1901	6:1000	7018:20;6103:100	6:100	100	0	125	100	30	100	She started her career as a model in Japan but really wanted to do something more active with her life. She turned to acting and decided she would specialize in roles where she can show her athletic prowess.	虽然她本人一再重申她日常生活中不会从和服袖口里刷刷刷飞出一排苦无，但是不知道为什么粉丝都执着的相信她只是想隐藏实力…
2013	Dave Boyd	戴维	2019	1302	1102	1202	1401	1502	1007	5	10	5	0	5	1001:31;1029:101;1057:201	1702:1:1603;1701:1:1602	1806:2:1603;1808:2:1601	1910:1:1603;1913:1:1601;1943:1:1602	1901	6:1000	7019:20;6108:100	6:100	100	0	125	100	30	100	A very misunderstood man. He's the traditional family man, only trying to do what's best for family and country. But his stubbornness and insistence on wearing a mask often get him in trouble.	由于去学校给自己的孩子送盒饭时通过大喇叭大喊一声“我是你爸！“而莫名走红，从而被星探发掘。
2014	Sherry Tale	西尔	2020	1302	1102	1201	1402	1501	1091	10	5	5	5	0	1004:31;1018:101;1029:201	1702:2:1601;1704:1:1602	1818:1:1601;1814:2:1602	1908:1:1602;1902:1:1602;1922:1:1603	1901	6:1000	7020:20;6102:100	6:100	100	0	125	100	30	100	As a kid, he was an avid gamer and mostly ignored life and friends to hide in his own world. But after a friend forced him back out into the world, he discovered his fear of the world was silly and actually was pretty good at connecting with people. He turned to cosplay and is now acting part-time.	原本只是一个喜欢打游戏的普通少年，突然某一天发现了某游戏内的彩蛋，从此一发不可收拾，每玩一个游戏都一定要把游戏内所有彩蛋全找出来，被人称为“彩蛋猎人”。在把所有现存游戏彩蛋都挖掘完之后，他把目光转移到了电影上面…
2015	Greta Eves	薇丝帕	2021	1302	1101	1202	1401	1501	1060	5	10	5	5	0	1004:31;1027:101;1029:201	1705:2:1601;1706:1:1602	1804:2:1602;1802:1:1603	1943:1:1603;1904:1:1602;1932:1:1602	1901	6:1000	7021:20;6108:100	6:100	100	0	125	100	30	100	Usually described as punk because of the way she chooses to dress, she is actually is quite low-key and non-provocative. She chooses roles she likes and sticks with those.	满身朋克气息的她私底下其实很容易害羞，但是内心越害羞她的表情反而会越挑衅，所以一直以来都被人当做朋克公主，本人似乎已经放弃解释了…
3001	Wolfgang Wiedermayer	施格尔	2022	1303	1102	1201	1401	1502	1008	6	12	6	6	0	1004:31;1042:101;1050:201	1710:1:1601;1702:1:1602	1801:2:1601;1809:2:1603;1814:1:1603	1907:2:1602;1926:1:1602;1934:1:1602;1925:2:1601	1901	6:2000	7022:30;6102:500	6:200	100	0	150	100	30	100	Once the top bodybuilder in the entire world, he began acting despite his rough German accent. His sheer strength and camera presence has propelled him into the top of stardom. He also aspires to have a political career.	机甲爱好者，常年喜欢穿着Cos服出现在公众视线中，一次突发奇想去竞选市长并且成功当选之后，成为了某问答网站的当红大V，日常谢邀回答“从演员变成市长是一种怎样的体验”相关问题。
3002	Charles Chipotle	查林	2023	1303	1102	1202	1401	1502	1010	12	6	6	0	6	1005:31;1025:101;1061:201	1704:1:1601;1709:2:1602	1804:1:1601;1810:2:1601;1803:2:1601	1903:2:1602;1902:1:1601;1917:1:1603;1931:1:1603	1901	6:2000	7023:30;6108:500	6:200	100	0	150	100	30	100	Always a man of class, he likes his top hat and cane for outside travel. Quite contrary to his outward appearance, he often lends to humor to get his point across instead of serious conversation.	肥裤子、高筒帽、小胡子、大头鞋，再加上一根从来都不舍得离手的拐杖，他相信自己一定能够凭精心准备的这套装束成为喜剧之王。一切都已准备妥当，只差有人上门来找他拍片了…
3003	Brandon Marlin	马度龙	2024	1303	1102	1201	1401	1502	1011	6	12	6	0	6	1005:31;1036:101;1027:201	1704:1:1603;1705:2:1601	1801:2:1601;1817:1:1603;1808:1:1603	1911:2:1603;1910:2:1603;1941:1:1601;1921:1:1602	1901	6:2000	7024:30;6102:500	6:200	100	0	150	100	30	100	One of the most well-known actors of all time. You might call him the don of all actors. When his fame started to drop, however, instead of quitting he focused on pushing for human rights across the world. Now he only acts in select roles.	“你养猫吗？”这是他对采访他的记者说的第一句话。得到了肯定回答后，他满意的笑了：“很好。不把猫当家人一样照顾的男人，根本算不上是个真正的男人。”
3004	Fred Morgan	莫里曼	2025	1303	1102	1201	1401	1502	1012	6	6	12	0	6	1004:31;1018:101;1038:201	1705:2:1602;1704:2:1603	1808:1:1603;1816:1:1603;1809:1:1603	1941:1:1602;1934:1:1603;1911:2:1603;1931:2:1601	1901	6:2000	7025:30;6102:500	6:200	100	0	150	100	30	100	His voice is the syrup-y goodness of a god narrating your life. Of course this is not his only good quality - his acting is also superb. But if you are one of the few who doesn't enjoy his movies, you can at least appreciate the smoothness of his voice.	在进入演艺圈之前他靠着混入各种婚庆典礼骗吃骗喝维持生活，直到某一天被一对新人误当成司仪被迫主持了一场婚礼，结果惊为天人——“我感觉好像上帝本人对我说话了一样！”新人激动的表示。从那以后他顺利被发掘走上了演艺道路，只是不管演什么，人们都会发出惊叹：“Oh,my god!"
3005	Mac Joy	詹一	2026	1303	1102	1202	1402	1501	1019	6	12	6	0	6	1002:31;1027:101;1035:201	1709:2:1601;1702:1:1602	1801:1:1601;1811:1:1603;1807:2:1603	1922:2:1603;1902:1:1602;1910:1:1601;1913:2:1602	1901	6:2000	7026:30;6108:500	6:200	100	0	150	100	30	100	A model turned actor - he is a little narcissistic. He turned to acting once he got enough attention from the media. He now mostly takes dramatic roles to ensure he keeps his reputation intact.	被演艺事业耽误了的模特儿，曾经拿过选美比赛第一名，这个光辉过往被粉丝们津津乐道。但是当你问他到底是哪个地方的第一名时，得到的回答通常是“过去的辉煌不必再提。”
3006	Marcela Sophiam	索菲	2027	1303	1101	1202	1402	1501	1056	12	6	6	6	0	1003:31;1023:101;1042:201	1703:2:1603;1706:1:1602	1802:1:1601;1807:1:1601;1803:2:1601	1902:1:1601;1931:2:1601;1935:1:1603;1932:2:1603	1901	6:2000	7027:30;6108:500	6:200	100	0	150	100	30	100	She was an instant hit after co-starring in a French indie film. She rode the rollercoaster up very quickly and found herself in a limelight that she couldn't handle. She took a break from acting for a good many years to experience other aspects of life but is now ready to break back into the scene.	清澈忧郁的眼睛，青春甜美的笑容，从容不迫的气质，一举一动都是满满的法式风情的她让无数影迷为之着迷，也因此收获了“法国玫瑰”之名。
3007	William Robins	威廉	2028	1303	1102	1201	1401	1502	1064	6	12	6	6	0	1001:31;1024:101;1018:201	1704:2:1603;1701:2:1603	1812:1:1603;1801:1:1603;1813:1:1601	1910:1:1603;1949:1:1602;1922:2:1601;1921:2:1601	1901	6:2000	7028:30;6102:500	6:200	100	0	150	100	30	100	He was born a comedian and never lost that sense of humor through life. He constantly teaches us to take life just seriously enough but never too much. He has ended playing the role of teachers and comedic roles in almost all his films to help hit us where it matters without being too blatant.	慈眉善目的他浑身散发着一股“班主任”的气质，虽然本人并不是教师，可是从邻里街坊到街边摊贩见到他第一反应就是“老师好”，一方面深感苦恼，但另一方面也让他在扮演老师类型的角色时可以浑然天成，以至于大家都搞不清是他演技精湛还是纯粹本色出演…
3008	Gary Hughes	格伦	2029	1303	1102	1202	1402	1501	1065	6	6	12	6	0	1003:31;1020:101;1048:201	1703:2:1603;1707:1:1601	1810:2:1603;1804:1:1603;1803:2:1602	1905:1:1601;1902:2:1603;1917:1:1601;1935:1:1602	1901	6:2000	7029:30;6108:500	6:200	100	0	150	100	30	100	A pretty boy who had most of his early life handed to him on a silver spoon. When he decided to be an actor, his family disowned him and he had to learn how to make a living on his own. His personal rise to maturity is carried over in his film, often playing the deeply romantic lead that needs to get over himself.	原本是个普通的书店老板的他一次无意中卷入了特殊事件而被人报复，失去了自己赖以为生的书店，陷入迷茫的他某天在街边眺望夕阳思考人生时被星探发现，事实证明广大女性观众对他的颓废英伦范非常买账，这也决定了他的角色基本都是大众情人的类型...
3009	Dora Tales	玛歌	2030	1303	1101	1202	1402	1501	1071	6	12	6	6	0	1001:31;1065:101;1042:201	1709:1:1601;1706:1:1603	1819:1:1602;1813:1:1602;1803:2:1602	1902:2:1603;1931:1:1602;1932:2:1601;1909:2:1602	1901	6:2000	7030:30;6108:500	6:200	100	0	150	100	30	100	A smoldering specimen of a woman. She plays women with attitude and prefers to play in fantasy genres where she can let her imagination run wild with the characters. She doesn't even shy away from voice acting in video games. The nerd's classic game babe.	她成名的契机是一部魔幻古装剧，导演非常聪明的选择了有着一双狐狸一般的魅惑眼睛的她来出演女主角，然而…可能是因为剧组经费不够了，在她说完“皇上，臣妾真的只是只白狐啊~”之后，出现在镜头里的，是一只吐着舌头微笑的萨摩耶…
3010	Garrett Jake	盖瑞特	2031	1303	1102	1201	1402	1502	1073	12	6	6	0	6	1002:31;1020:101;1048:201	1706:1:1603;1710:1:1601	1803:2:1603;1804:1:1603;1802:2:1603	1932:2:1603;1935:1:1603;1902:1:1601;1928:2:1602	1901	6:2000	7031:30;6102:500	6:200	100	0	150	100	30	100	He's got dark and full eyebrows to go with his matching brown puppy eyes. He was stolen the hearts of many a female fan. There is a rumor that he hides himself on a mountain somewhere to get away from all the attention.	浓眉大眼的他虽然在各种影片里都出演迷倒万千少女的痴情形象，但不知为何，粉丝中总是流传着他宇宙第一深柜的传言…
3011	Will Robbins	克拉丽丝	2032	1303	1101	1201	1401	1502	1080	6	12	6	0	6	1005:31;1065:101;1026:201	1707:1:1602;1703:1:1603	1813:2:1603;1801:1:1603;1816:2:1603	1902:2:1601;1907:1:1603;1926:1:1602;1943:2:1603	1901	6:2000	7032:30;6102:500	6:200	100	0	150	100	30	100	She started out as a sweet girl, matured into a sophisticated women then transformed into an ice queen. How did this happen? Sometimes life gives you lemons. Watch her movies and you'll see the transformations as she progresses through the stages of her life.	从长发飘飘的邻家女孩，变成精明成熟的高冷女王需要多少年？在息影十多年之后重归影坛的她迎来了自己事业的第二春，想知道女王是如何炼成的吗？买张电影票吧，就现在。
3012	Gene Richards	查克	2033	1303	1102	1201	1401	1502	1085	6	6	12	0	6	1003:31;1048:101;1044:201	1704:1:1602;1705:2:1602	1810:1:1602;1804:2:1603;1809:1:1601	1906:2:1601;1905:2:1603;1941:1:1602;1928:1:1601	1901	6:2000	7033:30;6102:500	6:200	100	0	150	100	30	100	Always the intellectual, he always appealed to the sapiosexuals out there. But he's also got kind eyes and a kind heart and can make your heart melt. His magic works on canines too.	爱狗人士，坚定的狗派，常年在各大论坛与猫派展开辩论赛，但是私下里其实会偷偷的喂自家楼下的流浪猫…
3013	Swati Hills	迪娜	2034	1303	1101	1201	1401	1501	1087	6	12	6	0	6	1006:31;1057:101;1018:201	1704:1:1603;1703:2:1601	1820:1:1601;1801:1:1603;1803:1:1603	1926:1:1601;1908:2:1602;1907:2:1602;1902:2:1601	1901	6:2000	7034:30;6102:500	6:200	100	0	150	100	30	100	She was always tough and could handle herself in any situation. She carried that with her into her acting career and selected roles where she could put that to good use. But don't worry, apart from punching people in the face she also has a soft side and will put her life on hold to chase love.	出生于普通家庭的她可以说是“麻雀变凤凰”的真人典范，虽然童年贫困，但她内心想要当一个演员的梦想从未褪色。这一刻，是见证影后诞生的时刻。
3014	Tak Kitano	北原	2035	1303	1102	1203	1401	1502	1090	12	6	6	6	0	1002:31;1027:101;1023:201	1705:2:1601;1704:2:1602	1808:1:1603;1809:1:1603;1805:2:1601	1920:1:1601;1933:2:1602;1911:1:1603;1934:1:1602	1901	6:2000	7035:30;6103:500	6:200	100	0	150	100	30	100	Always a man to push things to the happy side of life, even the dark subjects, he has always found himself in comedic roles. However, when the time calls, he can also tap into the darkness and give a powerfully dark performance.	“不会说相声的出租车司机不是好的高中老师，就像演不了小清新片的演员不是真正的暴力美学爱好者。”
3015	Danny Kale	卡森	2036	1303	1102	1201	1401	1501	1088	6	12	6	6	0	1001:31;1025:101;1023:201	1702:2:1603;1708:2:1601	1808:2:1603;1820:2:1601;1801:1:1602	1926:1:1602;1913:1:1603;1934:1:1603;1919:1:1602	1901	6:2000	7036:30;6102:500	6:200	100	0	150	100	30	100	He had a breakout performance as a man pulled into a KKK conspiracy based on a real-life experience of something that happened to him in real life. Now he's got movies lined up, he just needs to decide what kind of role he wants to develop into.	本来想向自己交往已久的女友求婚，却在见女友父母时被对方嫌弃自己无车无房无户口，一气之下抛下豪言状语决定要成为全世界著名的大明星，经过多方周转，他成功的成为了公司的签约（替身）演员。
3016	Pauline Sars	巴拉娜	2037	1303	1101	1201	1402	1502	1093	6	6	12	6	0	1004:31;1059:101;1036:201	1706:1:1602;1705:1:1602	1802:2:1602;1804:2:1602;1811:2:1603	1920:2:1601;1930:1:1601;1943:1:1602;1922:1:1601	1901	6:2000	7037:30;6102:500	6:200	100	0	150	100	30	100	She started as a tv actress turned to romantic comedy. But when the drama behind the scenes got too much for her she turned to Broadway and spent many years singing. Having grown and matured she is now ready to act in some more heavier roles equipped with much thicker skin.	嗯…虽然她一直很努力，但是不知为什么，就是一直红不起来。甚至有人在某知名问答网站提问“为什么她火不起来？”不过本人心态非常平和，甚至经常给高票回答点赞。
3017	Bernardo Javier	巴顿	2038	1303	1102	1202	1401	1502	1098	6	12	6	6	0	1004:31;1034:101;1057:201	1706:1:1602;1705:2:1601	1809:2:1603;1808:1:1601;1802:1:1603	1918:1:1602;1920:1:1601;1930:2:1601;1911:2:1603	1901	6:2000	7038:30;6108:500	6:200	100	0	150	100	30	100	Even as a child, he had a tough exterior and people often were unable to see the soft side of him. This eventually led to him playing the villain in most of his films. He's still trying to get a more romantic role but damn is he good at being a villain.	自从在一次斗牛表演中险些重伤之后他看透了人生，决定开始一份不那么危险的工作——当一名演员。充满异域风情的外表让他被星探一眼相中，顺利转型。
3018	Gordon Young	孔毅	2039	1303	1102	1203	1401	1502	1100	12	6	6	0	6	1006:31;1023:101;1065:201	1710:2:1603;1708:1:1601	1811:2:1602;1801:1:1602;1807:1:1601	1934:1:1601;1910:2:1601;1922:1:1603;1903:1:1601;1926:1:1603	1901	6:2000	7039:30;6103:500	6:200	100	0	150	100	30	100	He made his debut as a tv show sweetheart but after a few modeling gigs, his fans saw that he had a tough and buff side of him as well. After his fans pushed for him to act in a hardcore movie, he decided he had to fulfill those wishes. His first his was fighting the dead on a train armed only with his fists.	“你说我一个普通人，吃着火锅唱着歌，牵着女儿上了车，怎么就遇到丧尸爆发了呢？但是乘客们都说，就决定你来拉仇恨。“ 在出演完一部丧尸片之后他的这段台词被网友拿来疯狂造句，他也因此而走红。
4001	Hedna Ardy	玛丽安	2040	1304	1101	1202	1402	1501	1017	8	16	8	0	8	1004:31;1076:101;1021:201	1704:2:1602;1703:1:1603	1803:1:1602;1804:2:1603;1805:2:1602;1819:2:1603	1902:1:1602;1904:1:1603;1932:2:1603;1931:2:1603;1935:2:1601	1901	6:15000	7040:40;6108:1500	6:800	100	0	200	100	30	100	She has won almost every award possible and wants to keep pushing forward. She spends her days trying to balance her humanitarian work while also acting in great films. We hear she's a great fan of breakfast but not so into dinner.	如果说橱窗购物有发明人，那大概就是她了——每天最喜欢的就是妆容精致的对着珠宝店橱窗吃早餐，还因此而邂逅了白马王子，把自己活成了万千少女的梦想。
4002	Marissa Colt	克洛伊	2041	1304	1101	1202	1402	1501	1022	16	8	8	0	8	1002:31;1072:101;1065:201	1707:2:1603;1703:2:1603	1804:1:1602;1801:1:1602;1815:2:1603;1810:1:1601	1904:1:1603;1922:2:1602;1943:2:1601;1930:2:1601;1902:2:1601	1901	6:15000	7041:40;6108:1500	6:800	100	0	200	100	30	100	Coming from French roots, she has brought her unique taste to her acting, winning the hearts of millions with the emotion she exudes. It doesn't matter if you're from the ghetto or from a triplex in the city, she'll get your attention.	女神典范，上到民风淳朴高潭市的守护者下到幼年丧母的小正太都难以抵挡她的魅力。听说最近她充分发挥自己的优势去当了一名女间谍...
