int	string	string	int	int	int	int	int	int	string	string	string	string	string	string	DTItemNum[]	int	bool	int
1108	将市场部升至2级				1	4		1	想要进一步把握市场风向，我们就需要让市场部投入更多精力哦。		将市场部的等级提升可以提高我们对市场方向的把控，从而让公司始终走在正确的方向上哦~		将市场部升至2级		3:2000;9002:30	1107	1	101001
1109	累计提升1次电影关注度				5	11001		1	电影上映期间我们仍然可以通过提高大家对电影的关注度来获取更大的收益~		电影上映之后的持续推广也是很重要的，千万不要忘记啦！		累计提升1次电影关注度		3:2000	1108	1	101101
1110	在环球影城放置代言人并完成宣传				2	4	2	2	进一步扩大我们的影响力吧！		每个街区都有不同的对代言人的偏好，利用好这一点，宣传就能事半功倍哦~		在环球影城放置代言人并完成宣传		5005:50	1109	1	101201
1111	顺利进行1次路演				11	1		1	公开路演将会检验这座城市对我们公司的认可度，如果成功则意味着我们在这里有了深厚的粉丝基础！		总有一天我们会成为世界知名的大电影公司！		顺利进行1次路演		2:2000	1110	1	101301
1112	占领洛杉矶的市场				5	11002		1	让我们的影响力覆盖整座城市，给我们带来更多的收益！		占领的城市将会源源不断的给公司增加新的粉丝与收益~		占领洛杉矶的市场		3:2000	1111	1	101401
1113	在洛杉矶任命1位形象大使				5	11003		1	在已占领城市任命公司的形象大使可以为公司带来更高的收益，但是每个城市的不同位置对形象大使也有着不同的要求哦！		任命形象大使后占领城市所带来的收益也更高了~		在洛杉矶任命1位形象大使		3:2000	1112	1	101501
1114	为1部电影选择重点宣传城市				6	1101		1	选择某个城市对上映中的电影进行重点宣传也可以提高电影的持续收益哦~		随着宣传力度加强，在这座城市所取得的持续收益也会提升哦~		为1部电影选择重点宣传城市		9002:15;2:2000	1113	1	101601
1115	进行生产				7	1101		1	我们可以通过生产上映电影的相关周边产品来赚取更多收入喔！		通过生产周边，我们可以为公司带来额外的收益哦，可别忽视这一点了~		进行生产		3:2000	1114	1	101701
1116	完成订单				12	1101	1	1	成功交付订单可以提升我们公司在业界的影响力，收获粉丝与点赞，况且订单本身也能带来可观的收入。		订单对公司的发展有着很大的帮助哦，一定要记得定期去及时处理~		完成订单		3:2000	1115	1	101801
1117	处理3次公务				13	1101		1	经营公司可离不开日常的公务处理，好好加油吧~		书面工作也是经营一家公司不可缺少的一环哦，加油吧~		处理3次公务		3:2000	1116	1	101901
1118	接待1位粉丝				11	2		2	会来公司探班的肯定都是我们的铁杆粉丝，如果冷落了他们可不好哦~		会来公司探班的肯定都是我们的铁杆粉丝，可别冷落了他们哦！		接待1位粉丝		3:2000	1117	1	102001
1119	将2位艺人升到5级	将2位艺人升到5级			3	5	2	2	让我们继续挖掘艺人们的潜力吧！		艺人能力越强，拍出高质量影片的可能就越高！所以可别忘了不断提升艺人实力哦~		将2位艺人升到5级		9001:50;3:2000	1118	1	102101
1120	拍摄第2部电影	拍摄第2部电影			8	2		2	每部电影都是我们通往成功的基石，也是新的粉丝与点赞的重要来源，一定要好好重视哦~		不断提升公司实力，拍出更多的佳片吧！		拍摄第2部电影		9002:15;2:2000	1119	1	102201
1121	建造宣传部	建造宣传部			1	5		1	接下来让我们建造我们自己的宣传部吧！		宣传部建造完成啦~这样我们就能更好的为电影造势宣传了哦。		建造宣传部		3:2000;5005:50	1120	1	102301
1122	成功进行第2次路演	成功进行第2次路演			6	1102		2	公开路演将会检验这座城市对我们公司的认可度，如果成功则意味着我们在这里有了深厚的粉丝基础！		总有一天我们会成为世界知名的大电影公司！		成功进行第2次路演		2:2000	1121	1	102401
1123	占领纽约的市场	占领纽约的市场			7	1102		1	让我们的影响力覆盖整座城市，给我们带来更多的收益！		占领的城市将会源源不断的给公司增加新的粉丝与收益~		占领纽约的市场		3:2000	1122	1	102501
1124	在纽约任命1位形象大使	在纽约任命1位形象大使			12	1102	1	1	在已占领城市任命公司的形象大使可以为公司带来更高的收益，但是每个城市的不同位置对形象大使也有着不同的要求哦！		任命形象大使后占领城市所带来的收益也更高了~		在纽约任命1位形象大使		3:2000	1123	1	102601
1125	计提升3次电影关注度	计提升3次电影关注度			11	3		3	随着电影关注度的提高，我们能获得的收益也会相应增加哦~		电影关注度越高，能得到的收益也会越好哦~		计提升3次电影关注度		3:2000	1124	1	102701
1126	同时任命2位形象大使	同时任命2位形象大使			12	1102	2	2	在已占领城市任命公司的形象大使可以为公司带来更高的收益，但是每个城市的不同位置对形象大使也有着不同的要求哦！		任命形象大使后占领城市所带来的收益也更高了~		同时任命2位形象大使		3:5000	1125	1	102801
1127	累计领取电影持续收益超过500美元	累计领取电影持续收益超过500美元			19	500		500	电影持续收益来自在不同地区上映、电影周边以及相关活动授权等多个方面。		电影上映地区、电影周边贩售以及合作活动都能带来收益，所以要记得定期去收取喔~		累计领取电影持续收益超过500美元		2:2000	1126	1	102901
1128	累计领取城市经营收益超过100金币	累计领取城市经营收益超过100金币			14	100		100	让我们看看占领的城市给我们带来了多少收益吧~		占领的城市将会源源不断的给公司增加新的粉丝与收益~要记得定期去收取哦！		累计领取城市经营收益超过100金币		3:5000	1127	1	103001
1129	将1位艺人升到10级	将1位艺人升到10级			3	10	1	1	提升艺人实力最直接的方式就是提升他们的等级了哦~		艺人能力越强，拍出高质量影片的可能就越高！所以可别忘了不断提升艺人实力哦~		将1位艺人升到10级		9003:10;3:5000	1128	1	103101
1130	在华盛顿的国会山完成宣传	在华盛顿的国会山完成宣传			5	11008		1	进一步扩大我们的影响力吧！		让我们的影响力进一步扩大吧！		在华盛顿的国会山完成宣传		3:5000	1129	1	103201
1131	建造仓库	建造仓库			1	6		1	接下来让我们建造我们自己的仓库吧！		仓库建造完成啦~我们可以在仓库里存放很多电影相关的道具了哦。		建造仓库		9002:25;3:5000	1130	1	103301
1132	进行生产	进行生产			15	1		1	我们可以通过生产上映电影的相关周边产品来赚取更多收入喔！		通过生产周边，我们可以为公司带来额外的收益哦，可别忽视这一点了~		进行生产		9001:50;3:5000	1131	1	103401
1133	建造销售部	建造销售部			1	7		1	接下来让我们建造我们自己的销售部吧！		销售部建造完成~我们现在可以开始接受外部订单了哦！		建造销售部		9001:30;3:5000	1132	1	103501
1134	升级摄影棚	升级摄影棚			2	2	2	1	升级摄影棚可以给我们的影片质量带来更多的提升哦~		摄影棚的等级提升也就意味着影片质量的进一步提升喔。		升级摄影棚		9001:40;3:5000	1133	1	103601
1135	建造商务部	建造商务部			1	8		1	接下来让我们建造我们自己的商务部吧！		商务部建造完成~这样整个公司的商业运营就可以更加高效啦！		建造商务部		9001:50;3:5000	1134	1	103701
1136	拍摄第3部电影	拍摄第3部电影			8	3		3	每部电影都是我们通往成功的基石，也是新的粉丝与点赞的重要来源，一定要好好重视哦~		不断提升公司实力，拍出更多的佳片吧！		拍摄第3部电影		3:5000	1135	1	103801
1137	完成订单	完成订单			16	1		1	成功交付订单可以提升我们公司在业界的影响力，收获粉丝与点赞，况且订单本身也能带来可观的收入。		订单对公司的发展有着很大的帮助哦，一定要记得定期去及时处理~		完成订单		3:5000	1136	1	103901
1138	占领华盛顿的市场	占领华盛顿的市场			7	1103		1	让我们的影响力覆盖整座城市，给我们带来更多的收益！		占领的城市将会源源不断的给公司增加新的粉丝与收益~		占领华盛顿的市场		3:5000	1137	1	104001
1139	同时任命3位形象大使	同时任命3位形象大使			12	1103	3	3	在已占领城市任命公司的形象大使可以为公司带来更高的收益，但是每个城市的不同位置对形象大使也有着不同的要求哦！		任命形象大使后占领城市所带来的收益也更高了~		同时任命3位形象大使		3:5000	1138	1	104101
1140	将1位艺人升到20级	将1位艺人升到20级			3	20	1	1	提升艺人实力最直接的方式就是提升他们的等级了哦~		艺人能力越强，拍出高质量影片的可能就越高！所以可别忘了不断提升艺人实力哦~		将1位艺人升到20级		9002:30;3:10000	1139	1	104201
1141	占领芝加哥的市场	占领芝加哥的市场			7	1104		1	让我们的影响力覆盖整座城市，给我们带来更多的收益！		占领的城市将会源源不断的给公司增加新的粉丝与收益~		占领芝加哥的市场		2:2000	1140	1	104301
1142	建造办公室	建造办公室			1	9		1	接下来让我们建造我们自己的办公室吧！		办公室建造完成~这样我们也可以更好的处理各类公务了呢。		建造办公室		9001:50;2:2000	1141	1	104401
1143	处理3次公务	处理3次公务			17	3		3	经营公司可离不开日常的公务处理，好好加油吧~		书面工作也是经营一家公司不可缺少的一环哦，加油吧~		处理3次公务		9002:30;2:2000	1142	1	104501
1144	累计领取电影持续收益超过5000美元	累计领取电影持续收益超过5000美元			19	5000		5000	电影持续收益来自在不同地区上映、电影周边以及相关活动授权等多个方面。		电影上映地区、电影周边贩售以及合作活动都能带来收益，所以要记得定期去收取喔~		累计领取电影持续收益超过5000美元		2:2000	1143	1	104601
1145	累计领取城市经营收益超过500金币	累计领取城市经营收益超过500金币			14	500		500	让我们看看占领的城市给我们带来了多少收益吧~		占领的城市将会源源不断的给公司增加新的粉丝与收益~要记得定期去收取哦！		累计领取城市经营收益超过500金币		3:10000	1144	1	104701
1146	累计完成5次生产	累计完成5次生产			15	5		5	我们可以通过生产上映电影的相关周边产品来赚取更多收入喔！		通过生产周边，我们可以为公司带来额外的收益哦，可别忽视这一点了~		累计完成5次生产		2:2000	1145	1	104801
1147	建造接待室	建造接待室			1	10		1	接下来让我们建造我们自己的接待室吧！		接待室建造完成~现在我们可以接待来公司参观的粉丝了哦，这样也有助于进一步巩固我们的粉丝基础呢！		建造接待室		2:2000	1146	1	104901
1148	接待1位粉丝	接待1位粉丝			18	1		1	会来公司探班的肯定都是我们的铁杆粉丝，如果冷落了他们可不好哦~		会来公司探班的肯定都是我们的铁杆粉丝，可别冷落了他们哦！		接待1位粉丝		2:2000	1147	1	105001
