int	string	string	string	string	string
1113	movie_market_good2	拍摄	剧本和市场观众对比好2	人气调查显示《{0}》的故事非常受欢迎！一定会大卖的！	A marketing survey shows that {0} is already getting popular! It should be a huge success.
1114	movie_actor_pay	拍摄	电影艺人报酬提示	拍摄《{0}》需要支付艺人薪酬：	Casting costs for {0}:
1115	movie_mediavisit_tips	拍摄	艺人参加媒体访问提示	{0}  参加 {1} ，电影期待值增加 {2}	{0} participates in {1}, giving the movie {2} more expectation points
1116	movie_type_addition	拍摄	电影熟练度加成	{0}电影熟练度	{0} proficiency
1117	movie_cinema_tips	拍摄	签约院线提示	您是本院线的{0}级合作伙伴，可以在我们旗下的{1}家影院上映	You are a rank {0} partner and can show your movies in {1} of our theaters
1118	movie_unlock_cinema_tips	拍摄	未签约院线提示	您没有与我们签约，不能在本院线上映（需提升至{0}）	You have not signed a contract with us (Requires {0})
1119	movie_market_feedback	拍摄	下映后市场反馈	当前市场喜好导致{0}票房提升	Our box-office rised to {0} due to market favor
1120	movie_story_feedback	拍摄	下映后剧本反馈	有超过{0}的观众喜欢这个故事	More than {0} of the audience liked the storyline
1121	movie_shoottype_feedback	拍摄	下映后拍摄类型反馈	有{0}还认为{1}非常适合此故事	{0} thinks {1} matchs the story very much
1122	movie_licence_finish_tips	拍摄	许可证回复提示	今天的许可证已发放完毕，{0}后将会继续发放	Today's licenses have all been sent out, you can apply again in {0}
1123	movie_type_tips	拍摄	拍摄类型提示	选择的类型：{0}	Type selected: {0}
1124	movie_state_tips1	拍摄	拍摄1阶段提示	选择类型	Select Type
1125	movie_state_tips2	拍摄	拍摄2阶段提示	媒体采访	Media interview
1126	movie_state_tips3	拍摄	拍摄3阶段提示	杀青	Wrapped
1150	bag_own_actor_tips	仓库	拥有艺人提示	您已拥有此艺人！	You already signed this actor!
1151	bag_no_compound_tips	仓库	合成物品不足提示	物品不足，还需要{0}个才能合成	Still need {0} more of this item to combine
1152	bag_no_compound_choose_tips	仓库	未选择合成提示	请选择要合成的数量	Choose amount
1153	bag_no_send_choose_tips	仓库	未选择赠送提示	请选择要赠送的数量	Choose amount
1154	bag_no_split_choose_tips	仓库	未选择拆分提示	请选择要拆分的数量	Choose amount
1155	bag_no_sell_choose_tips	仓库	未选择出售提示	请选择要出售的数量	Choose amount
1156	oscar_presentation_title	奥斯卡	奥斯卡获奖发言标题	恭喜您摘得{0}，请发表获奖感言	You've won {0}! Please prepare an acceptant speech
1157	oscar_default_presentation1	奥斯卡	奥斯卡预设发言1	感谢大家的认可，请相信我们的实力，请投资我们的公司！	Thank you for this award. Thank you for believing in us!
1158	oscar_default_presentation2	奥斯卡	奥斯卡预设发言2	我一开始就坚信一定是我会得奖！而且下一次也会是我！	I've had faith in us from the beginning, and this is proof that we are doing the right things.
1159	oscar_default_presentation3	奥斯卡	奥斯卡预设发言3	感谢各种TV，感谢主持人，感谢观众的支持，我还会回来的！	Thank you again, our fans, our hosts and our families.
1160	movie_day	拍摄	上映第N天	第{0}天: +{1}	Day {0}: +{1}
1161	movie_remaining_days	拍摄	上映天数	还将上映{0}天	Showing for: {0} days
1162	movie_story_times	拍摄	剧本时长	{0}分钟	{0} minutes
1163	movie_character_coordination_tips	拍摄	角色契合	角色契合	Character Contract
1164	movie_story_coordination_tips	拍摄	剧本契合提示	剧本契合	Script Contract
1165	bag_send_no_target	仓库	没有可赠送资产的艺人	暂无合适的艺人可赠送	No actors available to send gifts to
1166	movie_off_line_remaining_time	拍摄	电影下映收益时间提示	还可以持续收益：{0}	Remaining earnings: {0}
1167	movie_off_line_gain_tips	拍摄	电影下映收益提示	+{0}/分钟	+{0}/minutes
1168	movie_licence_limit_tips	拍摄	许可证上限提示	您的许可证数量太多了！	You've reached your license max!
1169	movie_city_unlock_tips	拍摄	城市收益解锁提示	需要市场部达到2级	Requires Marketing Department level 2
1170	movie_off_line_gain_evaluation	拍摄	电影下映收益评价	收益评价：{0}/分钟	Earning evaluation: {0}/minute
1171	movie_off_line_tips	拍摄	电影下映收益提示	该电影在下映后的{0}分钟内还能持续带来收益	+{0}/minutes
1172	movie_confirm	拍摄	确认拍摄	联系了几个编剧，先来挑选剧本吧！	I've contacted several scriptwriters, let's choose a script to start!
1173	train_title_level	训练	训练室等级	训练室{0}级	Training room level {0}
1174	train_title_tips	训练	训练经验加成	技能经验+{0}%	Skill exp + {0}%
1175	train_remaining_times	训练	训练剩余时间	{0} 后完成训练	Finish training in {0}
1176	train_area_tips	训练	训练位提示	训练位 {0}/{1}	Training slot {0}/{1}
1177	train_exp	训练	训练经验提示	艺人经验+{0}	Actor exp + {0}
1178	train_actor_tips	训练	训练艺人气泡	训练完成！我的技能经验增加了{0}！	Training complete! Skill experience increased {0}
1179	cooperated_send	合作	赠送金币美元	消耗{0}{1}，兑换一箱{1}送给合作伙伴。	Cost {0}{1} in exchange for a box of {1} to send to our cooperator
1180	movie_licence_get_tips	拍摄	许可证获取提示	每天影业协会会发{0}张，今天已发放了{1}张	The movie association'll give us {0} license a day, we already received {1} today
2022	order_fail	订单	订单完成失败	需要装箱才能运输哦，点击一下箱子装箱吧	Tap a box to prepare it for orders
2023	order_complete	订单	查看未解锁的订单完成度	完成{0}次订单可打开	Complete {0} orders to unlock
2024	order_received	订单	已领取的奖励提示	已领取过奖励	Claimed
2025	order_npc_default	订单	npc默认提示	所有订单都有时间限制的|n|所以收到订单要赶快完成哦	All orders have time limits|n|Pay attention when you start orders
2026	business_countdown	公务	公务倒计时	新公务将在{0}后出现	Routines will show in {0}
2027	business_secretary	公务	自动批阅没有秘书	你还未拥有终身秘书，无法自动批阅	Need a secretary to unlock this function
2028	business_down	公务	全部公务批阅完毕	今天所有公务已批阅完毕	Today's routines have been completed
2029	visit_countdown	探班	探班倒计时	一大波粉丝将在{0}后抵达	New fans will arrive in {0}
2030	visit_secretary	探班	自动接待没有秘书	你还未拥有终身秘书，无法自动接待	Need a secretary to unlock this function
2031	visit_point	探班	探班操作提示	在楼层中找到指定艺人，点击艺人提醒有粉丝来访	Find and tap on an actor in your building to bring him to meet their fans.
2032	market_envoy_wrong1	市场	艺人国籍不对	我的国家不符合要求，无法担此重任	Nationality doesn't match the requirements
2033	market_envoy_wrong2	市场	艺人类型不对	我的类型不符合要求，无法担此重任	Type doesn't match the requirements
2034	market_envoy_wrong3	市场	艺人年龄不对	我的年龄不符合要求，无法担此重任	Age doesn't match the requirements
2035	market_envoy_wrong4	市场	艺人数值不达标	我的能力没达到要求，无法担此重任	Ability doesn't match the requirements
1045	market_envoy_wrong5	市场	艺人性别不对	我的性别不符合要求，无法担此重任	Gender doesn't match the requirements
1046	market_dollar_less	市场	美元不足	美元不足	Insufficient dollars
1047	market_show_failure	市场	路演失败	路演失败，请升级艺人	Roadshow failed, please level up your actors
2036	story_comment_wrong	剧本	留言内容非法	你的留言内容不符合要求	Illegal content
2037	thumbsup_less	剧本	点赞数不足	您的点赞数不足	Insufficient likes
2038	story_search_less	剧本	搜罗次数不足	剩余搜罗次数不足	Insufficient searches remaining
2039	block_level_less	剧本	街区等级需求	立即搜罗需要升到街区3档	Level to rank 3 to use this function
2040	story_cd_success	剧本	搜罗冷却加速成功	搜罗冷却加速成功	Cooldown speed up successful
2041	meeting_time	会议	会议倒计时提示	{0}后有新的会议，请做好准备	Next meeting in {0}
2042	secretary_bought	秘书	本日已购买提示	你本日已购买过	Already purchased today
2043	secretary_buy_fail	秘书	购买失败提示	购买失败	Purchase failed
2044	sectrary_cannot_buy	秘书	未聘用秘书不能购买提示	未聘用终身秘书，不能购买该礼包	Requires a secretary to unlock this pack
2045	daily_sign	签到	已签到提示	已签到	Signed-in
2046	setting_not_open	设置	功能未开放提示	功能未开放，敬请期待	Function locked
2047	gift_success	设置	礼包兑换成功提示	礼包兑换成功	Pack redeemed succesfully
2048	gift_used	设置	礼包已被兑换提示	礼包已被兑换	Pack already exchanged
2049	gift_illegal	设置	礼包码非法提示	礼包码非法	Key error
2050	shop_period	商城	购买非时间段内商品	请在{0}时间段内购买该商品	Can be purchased in {0}
2051	produce_down	生产	立即完成时档位提示	需提升到街区3档	Level to street rank 3 to use this function
2052	produce_produce_limit	生产	升级生产线建筑等级不够	需要{0}达到{1}级	Requires {0} level {1}
2053	player_id	设置	玩家ID	我的ID：{0}	Your ID: {0}
2054	version_num	设置	版本号	版本号：{0}	Version: {0}
2055	choose_language	设置	选择语言	选择语言	Select Language
2056	CHS	设置	简中	简体中文	Simplified Chinese
2057	CHT	设置	繁中	繁体中文	Traditional Chinese
2058	EN	设置	英语	English	English
2059	choose_language_confirm	设置	切换语言确认	将语言切换为简体中文，是否确认？	Are you sure you want to change game language to Simplified Chinese?
2060	feedback_title	设置	反馈	反馈和建议	Feedback and Suggestions
2061	feedback_words	设置	反馈文字	游戏遇到任何问题都可以和我们联系	Contact us if you have any issues or questions
2062	Qgroup	设置	Q群	官方QQ群：123456	Official QQ group:
2063	Wechat	设置	微信	微信公众号：电影大亨	Official Wechat account:
2064	Weibo	设置	微博	官方微博：电影大亨	Official Weibo:
2065	mailbox	设置	邮箱	官方邮箱：132@321.com	Official Email:
2066	exchange_title	设置	兑换标题	礼包兑换	Redeem Key
2067	exchange_input	设置	兑换码输入框	请输入礼包兑换码	Enter your Gift Pack Key
2068	exhange_button	设置	兑换按钮	兑换	Redeem
2069	setting_title	设置	设置标题	设置	Settings
2070	setting_notice	设置	设置提示	此账号已绑定{0}服，换服请注册新账号	This account is bound to this server. Register a new account if you want to play on another server.
2071	meeting_wait	会议	会议开始对话	{0}公司的谈判代表已经等候多时了	{0}'s negotiator has been waiting for us
2072	meeting_goal1	会议	会议目的1	我们希望和贵公司达成合作	We hope that we can come to an agreement
2073	meeting_goal2	会议	会议目的2	上次有些细节还没有谈拢	We did not discuss a few details last time
2074	meeting_goal3	会议	会议目的3	我觉得我们一起合作大有可为	But I do believe we can do great things together
2075	meeting_goal4	会议	会议目的4	有些事情还可以继续商定一下	And we are open to negotiating the smaller details
2076	meeting_fair	会议	平局	不要伤了和气，就按原价吧	Why make enemies when you can make friends? Let's stick to the original price
2077	meeting_win	会议	胜利	算你狠，你赢了	We can accept that
2078	meeting_lose1	会议	失败，谈判破裂	我们的谈判就到此为止吧	We can't do that, thanks for the consideration
2079	meeting_lose2	会议	失败，奖励减半	你必须付出代价	There's no way we're doing that!
2080	story_stack_locked	剧本库	剧本库未解锁	需要拍摄过的电影超过五个	Shoot 5 more movies to unlock
2081	produce_lock	生产	生产线解锁条件不够	需提升到公司等级{0}|n|需要建造{1}	Requires company level {0}|n|Requires {1}
2082	meeting_goal	会议	会议弹窗文字	{0}公司的会议代表已在门外等候多时，是否马上接见	{0}'s negotiator is waiting, do you want to meet with them now?
2083	meeting_battle	会议	会议比试文字	那就来一场对决吧	Let's get to it.
2084	meeting_boss_hello	会议	会议主管开场白	你好！	Hello.
2085	meeting_client_hello1	会议	会议客户开场白1	我喜欢你们的会议室！	You have a beautiful office
2086	meeting_client_hello2	会议	会议客户开场白2	我喜欢你们的装修风格！	A beautiful building in general
2087	meeting_bargain1_boss	会议	讨价还价主管台词	你开的条件我觉得有些问题！	We want to discuss your requirements and conditions
2088	meeting_bargain1_client	会议	讨价还价客户台词	细节可以慢慢谈嘛！	Let's work on the details!
2089	meeting_bargain2_boss	会议	漫天要价主管台词	你开的条件太差了！	I find your conditions unacceptable!
2090	meeting_bargain2_client	会议	漫天要价客户台词	这是漫天要价，你真的想谈判么？	That's crazy. Are you serious?
2091	meeting_bargain_not_fail_boss	会议	谈判成功/平局主管台词	合作愉快！	I look forward to cooperating with you
2092	meeting_bargain_not_fail_client	会议	谈判成功/平局客户台词	真高兴谈判成功！	I'm glad we could come to an agreement!
2093	meeting_bargain_fail_boss	会议	谈判失败主管台词	你们太没有诚意了	You guys are making a mistake
2094	meeting_bargain_fail_client	会议	谈判失败客户台词	这么什么好谈的，再见	I've nothing more to say, goodbye.
2095	day_count	通用	天数计数	第{0}天	Day {0}
2100	daily_sign_title	福利	每日签到标题	每日签到	Daily sign-in
2101	secretary_title	福利	终身秘书标题	终身秘书	Secretary
2102	permition_title	福利	申请许可证标题	申请许可证	Apply for a license
2103	month_card_title	福利	月卡标题	月卡	Monthly Pass
2096	meeting_midtime	会议	会议中场说明	老板，跟{0}公司的谈判已经进入下半场，加油！	Our negotiations with {0} have entered a second round. Keep it up.
2104	day_duration	通用	时长	{0}月{1}日00时-{2}月{3}日00时	00:00, {1}, {0} - 00:00, {3}, {2}
2105	time_out_sevendays	七日	超时提示	活动时间已经结束，无法领取奖励	Rewards cannot be claimed after the event has ended
2106	month_card_type1	月卡	月卡名	月卡	Monthly Pass
2107	month_card_type2	月卡	至尊月卡名	至尊月卡	Supreme Monthly Pass
2108	month_card_firstbuy	月卡	首次购买	首次购买可得	First time purchase reward
2109	month_card_buy	月卡	购买	本次购买可得	Rewards for this purchase
2110	month_card_daily_gift	月卡	每日赠礼	30天每天获得	You can receive these everyday during 30 days
2111	month_card_contracts_info	月卡	赠礼合同说明	有可能获得以下两种合同之一	Chance of getting 1 of these 2 contracts
2112	icon_buy	通用	购买通用字样	购买	Buy
2113	days_left	通用	剩余天数	剩余{0}天	{0} days left
2114	month_card_special_package1_title	月卡	特供礼包标题	月卡特供礼包	Monthly Pass Gift Box
2115	month_card_special_package2_title	月卡	特供礼包标题	至尊月卡特供礼包	Supreme Monthly Pass Gift Box
2116	month_card_not_owned1	月卡	未拥有月卡	您还未购买月卡，不能购买礼包	Available after monthly pass is active
2117	month_card_not_owned2	月卡	未拥有至尊月卡	您还未购买至尊月卡，不能购买礼包	Available after supreme monthly pass is active
2118	box_target_progress1	票房目标	进度条文字	第一个票房目标	First box-office goal
2119	box_target_progress2	票房目标	进度条文字	第二个票房目标	Second box-office goal
2120	box_target_progress3	票房目标	进度条文字	第三个票房目标	Third box-office goal
2121	box_target_progress4	票房目标	进度条文字	目标已完成，点击领取	Goal archived! Click to collect rewards
2122	box_target_progress5	票房目标	进度条文字	目标未达成，点击重试	Failed…Please try again!
2123	license_limit	通用	许可证上限提示	许可证最多持有两张	You can have up to 2 licenses in the meantime
2124	license_apply_secretary_not_owned	许可证申请	未拥有秘书不能申请许可	您当前未聘用终身秘书，不能申请许可证	Available after hiring secretary
2125	cooperative_order_no	合作订单	没有合作订单	暂时没有可用订单	No orders for now
2126	cooperative_order_notice	合作订单	合作订单成功后提示对方	{0}帮你装填了{1}个{2}	{0} has helped you with {1} box of {2}
2127	cooperative_order_repeat	合作订单	装填第二个订单	每个订单只能装填一次	You can only complete an order once
2128	secretary_experience	秘书	秘书体验次数用尽	今日的{0}免费体验次数已用完，您可以购买终身秘书获得此永久特权	Your free trial for {0} is ended, you can continue to own privilege after hiring secretary
2129	go_to_hire	秘书	前往聘用	前往聘用	Go hire
2130	secretary_not_owned	秘书	未聘用秘书	您还未拥有终身秘书，无法{0}	{0} is locked due to you don't own a secretary yet
2131	produce_special	生产	特殊生产线已达上限	生产线队列已达上限	Production line max reached
2132	visit_wrong1	探班	探班找错人1	我不是{0}，你找错人了	I'm not {0}, you've got the wrong person
2133	visit_wrong2	探班	探班找错人2	我刚才好像看到{0}了	I think I've see {0} earlier
2134	visit_wrong3	探班	探班找错人3	听说有粉丝来找{0}？	Heard there's fans come to visit {0}?
2135	produce_inspire_buildlock	生产	生产艺人鼓舞建筑限制	需要{0}达到{1}级	Need {0} reaches lv.{1}
2136	produce_inspire_linelock	生产	生产艺人鼓舞生产线等级限制	需要生产线达到{0}级	Produce line needs to reach lv.{0}
2137	visit_noone	探班	没有艺人	当前没有艺人可以接待	No actor available for visiting
2138	secretary_talk1	秘书	小秘书随即对话1	愿意为您效劳	At your service
2139	secretary_talk2	秘书	小秘书随即对话2	有什么需要请吩咐我	I'm willing to help you with anything
2140	secretary_title1	秘书	功能标题（无秘书）	雇佣终身秘书后，您可以	What secretary can do for you:
2141	secretary_title2	秘书	功能标题（有秘书）	您已经拥有终身秘书，您可以	You can enjoy those privileges since you already hired secretary
2142	secretary_owned	秘书	已拥有小秘书	已拥有	Hired
2143	market_ambassador	市场	市场解锁第5个大使	需要达到街区4才能解锁该位置	Requires block rank 4 to unlock
2144	secretary_gift_received	秘书	秘书福利已领取提示	本日已领取过福利，请明天再来	You already collected rewards today, come back tomorrow!
