int	int	int	int	int	int	int	string	int	string	string	string	string	string	string	int	DTItemNum
100904					1009	4	1001				我联系了几个业界的熟人让电影在他们的院线一起上映，看看票房怎么样吧！	我联系了几个业界的熟人让电影在他们的院线一起上映，看看票房怎么样吧！	柏妮塔	Bonita	2	
100905					1009	5	{name}				还以为巨星影业跟所有院线打过招呼了呢。你怎么说服他们的？	还以为巨星影业跟所有院线打过招呼了呢。你怎么说服他们的？	{name}	{name}	1	
100906					1009	6	1001				呵~我自有办法	呵~我自有办法	柏妮塔	Bonita	2	
100907					1009	7	1001				嗯…这个口碑可有点儿不容乐观啊	嗯…这个口碑可有点儿不容乐观啊	柏妮塔	Bonita	2	
100908					1009	8	{name}				确实，口碑对票房的影响还是很大的。大部分人还是更喜欢看大场面和好故事。	确实，口碑对票房的影响还是很大的。大部分人还是更喜欢看大场面和好故事。	{name}	{name}	1	
100909					1009	9	{actor}				等我们之后知名度越来越高，相信肯定会有越来越多的好剧本和——	等我们之后知名度越来越高，相信肯定会有越来越多的好剧本和——	{actor}	{actor}	2	
100910					1009	10	1001				和明星演员~ 你可要加油了，等你成为真正的一线演员，你就自带口碑和票房号召力啦。	和明星演员~ 你可要加油了，等你成为真正的一线演员，你就自带口碑和票房号召力啦。	柏妮塔	Bonita	1	
100911					1009	11	{name}				这个成绩对于我们的第一部电影来说也不算太差，考虑到我们出演的正式演员也只有一个人。	这个成绩对于我们的第一部电影来说也不算太差，考虑到我们出演的正式演员也只有一个人。	{name}	{name}	2	
100912					1009	12	1001				嗯…有部分观众应该还挺喜欢的，我看到有好几个二刷的面孔了。	嗯…有部分观众应该还挺喜欢的，我看到有好几个二刷的面孔了。	柏妮塔	Bonita	1	
101001					1010	1	{name}				真希望有一天大街上这些广告牌上铺天盖地都是我们公司拍得电影的消息。	真希望有一天大街上这些广告牌上铺天盖地都是我们公司拍得电影的消息。	{name}	{name}	1	
101002					1010	2	1001				之前你还是演员的时候主演的片倒是有这种盛况呢。虽然我们现在算是从头开始，但是我相信我们能够再次书写不一样的成功！	之前你还是演员的时候主演的片倒是有这种盛况呢。虽然我们现在算是从头开始，但是我相信我们能够再次书写不一样的成功！	柏妮塔	Bonita	2	
101003					1010	3	{name}				哈哈，我真的很欣赏你这种乐观的态度~ 不过你说得对，我们一定能成功的。不管巨星影业打算如何阻扰我们…	哈哈，我真的很欣赏你这种乐观的态度~ 不过你说得对，我们一定能成功的。不管巨星影业打算如何阻扰我们…	{name}	{name}	1	
101004					1010	4	1001				当然能成功，你也不看看你的助理我是什么人？我的才华加上你的资源那可是成功的等义词！	当然能成功，你也不看看你的助理我是什么人？我的才华加上你的资源那可是成功的等义词！	柏妮塔	Bonita	2	
101005					1010	5	{name}				哈哈哈是，那么我们接下来该怎么做呢，我最有才华的助手大人？	哈哈哈是，那么我们接下来该怎么做呢，我最有才华的助手大人？	{name}	{name}	1	
101006					1010	6	1001				哼~目前我们公司还处于刚起步阶段，所以我们还是从最基础的地推开始，逐步扩大我们的影响力，一点点积攒粉丝吧~ 顺便还能通过合作商赞助之类的赚点资金呢。	哼~目前我们公司还处于刚起步阶段，所以我们还是从最基础的地推开始，逐步扩大我们的影响力，一点点积攒粉丝吧~ 顺便还能通过合作商赞助之类的赚点资金呢。	柏妮塔	Bonita	2	
101007					1010	7	{name}				说得对，毕竟罗马也不是一天建成的，总有一天我们要让巨星影业明白，就凭他们那些小伎俩是不可能打垮我们的。	说得对，毕竟罗马也不是一天建成的，总有一天我们要让巨星影业明白，就凭他们那些小伎俩是不可能打垮我们的。	{name}	{name}	1	
101008					1010	8	1001				好啦~ 打完鸡血，还是脚踏实地开始工作吧~	好啦~ 打完鸡血，还是脚踏实地开始工作吧~	柏妮塔	Bonita	2	
101101					1011	1	1004				你的报告里说，你认为【那件神器】是在{name}手上？	你的报告里说，你认为【那件神器】是在{name}手上？	凯文	Kevin Huth	1	
101102					1011	2	1004	1	凯文：巨星影业CEO，掌控着整个城市的电影行业，冷酷无情，为了达成自己的目的可以不择手段。	凯文：巨星影业CEO，掌控着整个城市的电影行业，冷酷无情，为了达成自己的目的可以不择手段。			凯文	Kevin Huth	1	
101103					1011	3	1005				没错。没有哪个人会突然做出这么重大的决定。根据我的调查，{name}很有可能已经得到了【星之面具】。如果有这么件神器在手，那做出这样的决定就理所当然了。	没错。没有哪个人会突然做出这么重大的决定。根据我的调查，{name}很有可能已经得到了【星之面具】。如果有这么件神器在手，那做出这样的决定就理所当然了。	简妮	Janine Opare	2	
101104					1011	4	1005	1	简妮：没有正式档案记录的私家侦探，行事灵活，被巨星影业秘密雇佣，负责调查星之面具的下落。	简妮：没有正式档案记录的私家侦探，行事灵活，被巨星影业秘密雇佣，负责调查星之面具的下落。			简妮	Janine Opare	2	
101105					1011	5	1004				有道理。那么，我期待你的后续调查报告。	有道理。那么，我期待你的后续调查报告。	凯文	Kevin Huth	1	
101106					1011	6	{name}				诶…奇怪…总有种有人在背后看着我们的感觉？	诶…奇怪…总有种有人在背后看着我们的感觉？	{name}	{name}	2	
101107					1011	7	1001				没有呀？是错觉吧？大明星是不是对狗仔队产生阴影啦~赶紧先完成我们的宣传吧！	没有呀？是错觉吧？大明星是不是对狗仔队产生阴影啦~赶紧先完成我们的宣传吧！	柏妮塔	Bonita	1	
101201					1012	1	1001				还记得上次你说感觉有人在背后看着我们吗？嗯…也许不是你的错觉。这几次街区宣传活动下来我也注意到了。	还记得上次你说感觉有人在背后看着我们吗？嗯…也许不是你的错觉。这几次街区宣传活动下来我也注意到了。	柏妮塔	Bonita	1	
101202					1012	2	{name}				估计就是巨星影业的人来打探情况的，既然他们这么关注我们，不给他们点能回去写报告的东西可就有点太对不起他们的辛苦了~	估计就是巨星影业的人来打探情况的，既然他们这么关注我们，不给他们点能回去写报告的东西可就有点太对不起他们的辛苦了~	{name}	{name}	2	
101203					1012	3	1001				嗯？你想怎么做…难道？	嗯？你想怎么做…难道？	柏妮塔	Bonita	1	
101204					1012	4	{name}				没错，就是“难道”。我们通过街区宣传铺垫的也差不多了，就直接在市区中心来一次大型路演好了！让他们开开眼。	没错，就是“难道”。我们通过街区宣传铺垫的也差不多了，就直接在市区中心来一次大型路演好了！让他们开开眼。	{name}	{name}	2	
101205					1012	5	1001				倒也不失为一个好主意呢…一方面增加我们的知名度，另一方面，我们把自己放在聚光灯下，即使他们打算搞什么小动作，也不方便下手了。	倒也不失为一个好主意呢…一方面增加我们的知名度，另一方面，我们把自己放在聚光灯下，即使他们打算搞什么小动作，也不方便下手了。	柏妮塔	Bonita	1	
101206					1012	6	{name}				不光是这样，我们还可以借此鼓励这座城市的影迷自发建立后援会，这样也可以不断吸引新的粉丝加入吧！	不光是这样，我们还可以借此鼓励这座城市的影迷自发建立后援会，这样也可以不断吸引新的粉丝加入吧！	{name}	{name}	2	
101207					1012	7	1001				不错嘛，你还是挺有头脑的~ 那就这么办吧！	不错嘛，你还是挺有头脑的~ 那就这么办吧！	柏妮塔	Bonita	1	
101301					1013	1	1001				路演成功！而且在我们的鼓励下粉丝后援会也建立起来了，之后我们在这里的粉丝一定会越来越多的！	路演成功！而且在我们的鼓励下粉丝后援会也建立起来了，之后我们在这里的粉丝一定会越来越多的！	柏妮塔	Bonita	1	
101302					1013	2	{name}				嗯，预料之中的成功呢。我们就暂时先把总部设在这座城市，然后派驻我们旗下的艺人作为形象大使，这么一来宣传效果应该会更好。	嗯，预料之中的成功呢。我们就暂时先把总部设在这座城市，然后派驻我们旗下的艺人作为形象大使，这么一来宣传效果应该会更好。	{name}	{name}	2	
101303					1013	3	1001				跟我想的一样~接下来只要我们按照这个方式去不断占领新的城市，迟早能让我们的粉丝遍布整个世界！	跟我想的一样~接下来只要我们按照这个方式去不断占领新的城市，迟早能让我们的粉丝遍布整个世界！	柏妮塔	Bonita	1	
101401					1014	1	{name}				不过，说起来市场流行简直比时尚趋势还捉摸不透…	不过，说起来市场流行简直比时尚趋势还捉摸不透…	{name}	{name}	1	
101402					1014	2	1001				哈哈哈，是这样。也许有时候影片叫好却不叫座，有时候烂片却能出人意料的大卖。但是我们虽然控制不了口碑与票房，影片的质量却是我们可以影响的。	哈哈哈，是这样。也许有时候影片叫好却不叫座，有时候烂片却能出人意料的大卖。但是我们虽然控制不了口碑与票房，影片的质量却是我们可以影响的。	柏妮塔	Bonita	2	
101403					1014	3	{name}				说得对。把我们能做的做到最好，相信市场最终也会给出积极的反馈吧。	说得对。把我们能做的做到最好，相信市场最终也会给出积极的反馈吧。	{name}	{name}	1	
101404					1014	4	1001				就是呀，影帝大人，好好加油吧~	就是呀，影帝大人，好好加油吧~	柏妮塔	Bonita	2	
101405					1014	5	{name}				好啦，我可已经把过去的辉煌抛到过去了，之后还要请你多多指点咯！	好啦，我可已经把过去的辉煌抛到过去了，之后还要请你多多指点咯！	{name}	{name}	1	
101501					1015	1	1001				好啦，顺利拿下我们的第二个城市！	好啦，顺利拿下我们的第二个城市！	柏妮塔	Bonita	1	
101502					1015	2	{name}				嗯，虽然不知道巨星影业会做出什么举动，但我们可不能因此就畏缩不前啊。	嗯，虽然不知道巨星影业会做出什么举动，但我们可不能因此就畏缩不前啊。	{name}	{name}	2	
101503					1015	3	1001				当然，所谓见招拆招，有我在，他们不管想搞什么小动作，都别想轻易得逞。	当然，所谓见招拆招，有我在，他们不管想搞什么小动作，都别想轻易得逞。	柏妮塔	Bonita	1	
101504					1015	4	{name}				哈哈哈，真是可靠呢~ 好啦，让我们打起精神继续之后的工作吧！	哈哈哈，真是可靠呢~ 好啦，让我们打起精神继续之后的工作吧！	{name}	{name}	2	
101601					1016	1	1001				最近一段时间好像太风平浪静了…真希望不是暴风雨前的宁静啊，哎。	最近一段时间好像太风平浪静了…真希望不是暴风雨前的宁静啊，哎。	柏妮塔	Bonita	1	
101602					1016	2	{name}				没事，没什么好怕的~ 我们继续做我们该做的，另一方面，我们也该做好应对他们可能的行动的准备。	没事，没什么好怕的~ 我们继续做我们该做的，另一方面，我们也该做好应对他们可能的行动的准备。	{name}	{name}	2	
101603					1016	3	1001				听起来，你好像有了计划？	听起来，你好像有了计划？	柏妮塔	Bonita	1	
101604					1016	4	{name}				哈哈，让我们先把手头的事情忙完，之后我会详细跟你说的~	哈哈，让我们先把手头的事情忙完，之后我会详细跟你说的~	{name}	{name}	2	
101701					1017	1	1001				你之前说的那个计划…你是认真的吗？	你之前说的那个计划…你是认真的吗？	柏妮塔	Bonita	1	
101702					1017	2	{name}				你是指我说要直接去拜访一下凯文的计划吗？对啊，怎么啦？	你是指我说要直接去拜访一下凯文的计划吗？对啊，怎么啦？	{name}	{name}	2	
101703					1017	3	1001				不过，去了之后你打算做什么呢？	不过，去了之后你打算做什么呢？	柏妮塔	Bonita	1	
101704					1017	4	{name}				当然是邀请他来参加我们即将要举办的宴会了。	当然是邀请他来参加我们即将要举办的宴会了。	{name}	{name}	2	
101705					1017	5	1001				等等，我们什么时候要举办宴会了…	等等，我们什么时候要举办宴会了…	柏妮塔	Bonita	1	
101706					1017	6	{name}				所以说是“即将”呀，我们“即将”为他而举办一次宴会哦。当然，名义上是为了庆祝我们最近的成功。	所以说是“即将”呀，我们“即将”为他而举办一次宴会哦。当然，名义上是为了庆祝我们最近的成功。	{name}	{name}	2	
101707					1017	7	1001				好吧，那这个宴会的真正目的是？	好吧，那这个宴会的真正目的是？	柏妮塔	Bonita	1	
101708					1017	8	{name}				现在还不能告诉你，这也算是我计划的一部分。不过你放心，我心里有数~	现在还不能告诉你，这也算是我计划的一部分。不过你放心，我心里有数~	{name}	{name}	2	
101801	6	1105			1018	1	1001				目前为止一切都很顺利呢，这样下去我们应该很快就能跟巨星影业在街区档的分公司打成平手了。	目前为止一切都很顺利呢，这样下去我们应该很快就能跟巨星影业在街区档的分公司打成平手了。	柏妮塔	Bonita	1	
101802					1018	2	{name}				（……）	（……）	{name}	{name}	2	
101803					1018	3	1001				Hello？{name}，你怎么了，一副心不在焉的样子？	Hello？{name}，你怎么了，一副心不在焉的样子？	柏妮塔	Bonita	1	
101804					1018	4	{name}				啊？哦，没什么没什么。我在畅想我们光辉的未来呢哈哈哈，不小心就发了会呆~	啊？哦，没什么没什么。我在畅想我们光辉的未来呢哈哈哈，不小心就发了会呆~	{name}	{name}	2	
101805					1018	5	1001				…你确定你真的没事么，你脸色有点差。是计划出什么问题了吗？	…你确定你真的没事么，你脸色有点差。是计划出什么问题了吗？	柏妮塔	Bonita	1	
101806					1018	6	{name}				没有，怎么会呢。一切都很顺利，别担心啦。脸色差可能是因为这几天都一直在忙没休息好吧，哈哈~	没有，怎么会呢。一切都很顺利，别担心啦。脸色差可能是因为这几天都一直在忙没休息好吧，哈哈~	{name}	{name}	2	
101807					1018	7	1001				好吧，你别太勉强了。刚起步阶段，你要是倒下了，可会很麻烦哦？	好吧，你别太勉强了。刚起步阶段，你要是倒下了，可会很麻烦哦？	柏妮塔	Bonita	1	
101808					1018	8	{name}				放心吧，我有分寸的~	放心吧，我有分寸的~	{name}	{name}	2	
101809					1018	9	1001				既然你都这么说了…	既然你都这么说了…	柏妮塔	Bonita	1	
101810					1018	10	1001				（总觉得，{name}在隐瞒些什么…）	（总觉得，{name}在隐瞒些什么…）	柏妮塔	Bonita	1	
101901	6	1106			1019	1	{name}				说起来，我真是有点不明白这些媒体都是怎么打分的…	说起来，我真是有点不明白这些媒体都是怎么打分的…	{name}	{name}	1	
101902					1019	2	1001				他们都是专业影评媒体，打分可都是很有原则的。他们的原则就是——看心情！哈哈哈开玩笑的啦，其实各家媒体的侧重点是不同的。	他们都是专业影评媒体，打分可都是很有原则的。他们的原则就是——看心情！哈哈哈开玩笑的啦，其实各家媒体的侧重点是不同的。	柏妮塔	Bonita	2	
101903					1019	3	1001				比如，烂土豆主要是看剧情，如果我们影片的剧情优秀，自然给出的评分也不会低。而喵眼网侧重从影片的艺术性进行评判，所以对应的，艺术性高的片得到的评分也就更高。	比如，烂土豆主要是看剧情，如果我们影片的剧情优秀，自然给出的评分也不会低。而喵眼网侧重从影片的艺术性进行评判，所以对应的，艺术性高的片得到的评分也就更高。	柏妮塔	Bonita	2	
101904					1019	4	{name}				原来如此，难怪通过面具能看到影片的各项属性数值…这样我们就能对影片可能得到的评分进行预判，也可以针对性的去提高影片的各项属性了。）	原来如此，难怪通过面具能看到影片的各项属性数值…这样我们就能对影片可能得到的评分进行预判，也可以针对性的去提高影片的各项属性了。）	{name}	{name}	1	
101905					1019	5	{name}				看来之后要综合考虑一部电影的各项属性了，不能随便乱拍啊。	看来之后要综合考虑一部电影的各项属性了，不能随便乱拍啊。	{name}	{name}	1	
101906					1019	6	1001				真是的，当然不能乱来啦！	真是的，当然不能乱来啦！	柏妮塔	Bonita	2	
101907					1019	7	{name}				哎…以前我主演的电影可是经常随随便便都能排到榜首呢。	哎…以前我主演的电影可是经常随随便便都能排到榜首呢。	{name}	{name}	1	
101908					1019	8	1001				好汉不提当年勇哦~你现在可不是主演，而是管理这整个电影公司的大老板啦！	好汉不提当年勇哦~你现在可不是主演，而是管理这整个电影公司的大老板啦！	柏妮塔	Bonita	2	
101909					1019	9	{name}				是、是，话说影业协会到底为什么要弄这么个排行榜呢…突然体会到了以前没感受过的压力…	是、是，话说影业协会到底为什么要弄这么个排行榜呢…突然体会到了以前没感受过的压力…	{name}	{name}	1	
101910					1019	10	1001				确实，每100家公司分到一个小组，争夺名次与奖杯…况且无论什么公司都必须从街区级比赛开始一路升上城市级，国家级…从这个角度来说，我倒真有点敬佩巨星影业了，至少他们确实做到了一路称霸。	确实，每100家公司分到一个小组，争夺名次与奖杯…况且无论什么公司都必须从街区级比赛开始一路升上城市级，国家级…从这个角度来说，我倒真有点敬佩巨星影业了，至少他们确实做到了一路称霸。	柏妮塔	Bonita	2	
101911					1019	11	{actor}				是啊。我们公司现在还只是街区一级，还需要赢下好几个奖杯才能晋级呢。我记得巨星影业的母公司，应该是在国家级吧。	是啊。我们公司现在还只是街区一级，还需要赢下好几个奖杯才能晋级呢。我记得巨星影业的母公司，应该是在国家级吧。	{actor}	{actor}	1	
101912					1019	12	{name}				呵，国家级又算什么？我们的征途可是星辰大海，总有一天我们要进到宇宙级让他们看看！	呵，国家级又算什么？我们的征途可是星辰大海，总有一天我们要进到宇宙级让他们看看！	{name}	{name}	2	
101913					1019	13	1001				行了士官长，醒醒，成为宇宙第一之前你还是先想想怎么成为这条街的第一吧~	行了士官长，醒醒，成为宇宙第一之前你还是先想想怎么成为这条街的第一吧~	柏妮塔	Bonita	1	
102001	6	1107			1020	1	{name}				（凯文办公室内）Hi，凯文，很久不见了。一直想着要来拜访你，可惜你也知道，我最近每天都忙的几乎连喝水的功夫都没有。	（凯文办公室内）Hi，凯文，很久不见了。一直想着要来拜访你，可惜你也知道，我最近每天都忙的几乎连喝水的功夫都没有。	{name}	{name}	1	
102002					1020	2	1004				呵，欢迎。你还是一样很有精神嘛。那么，我何德何能让你这位大忙人亲自登门呢？	呵，欢迎。你还是一样很有精神嘛。那么，我何德何能让你这位大忙人亲自登门呢？	凯文	Kevin Huth	2	
102003					1020	3	{name}				如你所知，最近我自己的电影公司拍的几部电影反响还不错，在本市也算有了一点点名声。当然，跟巨星影业相比还是相差甚远，但对于我们这样的初创公司而言已经算是个不错的开头。	如你所知，最近我自己的电影公司拍的几部电影反响还不错，在本市也算有了一点点名声。当然，跟巨星影业相比还是相差甚远，但对于我们这样的初创公司而言已经算是个不错的开头。	{name}	{name}	1	
102004					1020	4	{name}				所以，我们想要开一个庆功宴会，也算是作为我们目前阶段性的一个总结。能否请凯文先生赏光前来参加宴会呢？	所以，我们想要开一个庆功宴会，也算是作为我们目前阶段性的一个总结。能否请凯文先生赏光前来参加宴会呢？	{name}	{name}	1	
102005					1020	5	1004				宴会啊，当然。十分感谢你的邀请，我是非常愿意参加...只不过，实在是事务缠身，恐怕我分身乏术啊。我相信你一定明白的，对吧？	宴会啊，当然。十分感谢你的邀请，我是非常愿意参加...只不过，实在是事务缠身，恐怕我分身乏术啊。我相信你一定明白的，对吧？	凯文	Kevin Huth	2	
102006					1020	6	{name}				啊，当然。作为巨星影业的CEO，忙碌程度肯定是我所无法想象的。不过，这并不会是一个多么正式的宴会。为了让大家都能尽兴，我会直接在自己的别墅内举办，别墅所有区域与设施届时都可以随意使用哦。	啊，当然。作为巨星影业的CEO，忙碌程度肯定是我所无法想象的。不过，这并不会是一个多么正式的宴会。为了让大家都能尽兴，我会直接在自己的别墅内举办，别墅所有区域与设施届时都可以随意使用哦。	{name}	{name}	1	
102007					1020	7	1004				哦？久闻你对自己别墅的设计颇费心思，平时也不轻易让人进入呢。	哦？久闻你对自己别墅的设计颇费心思，平时也不轻易让人进入呢。	凯文	Kevin Huth	2	
