int	string	int	int	DTItemNum[]	int	DTBuildingReq[]	int	int[]	bool	int[]	string	string	int
2005	摄影棚	2	5	9001:26;2:48000	1	2:4	1001	0	0	200501;200502;200503;200504;200505	解锁“拍摄”功能	提升电影的属性	2202
2006	摄影棚	2	6	9001:33;2:64000	1	2:5	1001	0	0	200601;200602;200603;200604;200605	解锁“拍摄”功能	提升电影的属性	2202
2007	摄影棚	2	7	9001:38;2:72000	1	2:6	1001	0	0	200701;200702;200703;200704;200705	解锁“拍摄”功能	提升电影的属性	2202
2008	摄影棚	2	8	9001:43;2:96000	1	2:7	1001	0	0	200801;200802;200803;200804;200805	解锁“拍摄”功能	提升电影的属性	2202
2009	摄影棚	2	9	9001:48;2:109000	1	2:8	1001	0	0	200901;200902;200903;200904;200905	解锁“拍摄”功能	提升电影的属性	2202
2010	摄影棚	2	10	9001:52;2:146000	1	2:9	1001	0	0	201001;201002;201003;201004;201005	解锁“拍摄”功能	提升电影的属性	2202
2011	摄影棚	2	11	9001:67;2:164000	1	2:10	1001	0	0	201101;201102;201103;201104;201105	解锁“拍摄”功能	提升电影的属性	2202
2012	摄影棚	2	12	9001:78;2:218000	1	2:11	1001	0	0	201201;201202;201203;201204;201205	解锁“拍摄”功能	提升电影的属性	2202
2013	摄影棚	2	13	9001:88;2:326000	1	2:12	1001	0	0	201301;201302;201303;201304;201305	解锁“拍摄”功能	提升电影的属性	2202
2014	摄影棚	2	14	9001:98;2:434000	1	2:13	1001	0	0	201401;201402;201403;201404;201405	解锁“拍摄”功能	提升电影的属性	2202
2015	摄影棚	2	15	9001:109;2:542000	1	2:14	1001	0	0	201501;201502;201503;201504;201505	解锁“拍摄”功能	提升电影的属性	2202
2016	摄影棚	2	16	9001:128;2:758000	1	2:15	1001	0	0	201601;201602;201603;201604;201605	解锁“拍摄”功能	提升电影的属性	2202
2017	摄影棚	2	17	9001:140;2:974000	1	2:16	1001	0	0	201701;201702;201703;201704;201705	解锁“拍摄”功能	提升电影的属性	2202
2018	摄影棚	2	18	9001:151;2:1190000	1	2:17	1001	0	0	201801;201802;201803;201804;201805	解锁“拍摄”功能	提升电影的属性	2202
2019	摄影棚	2	19	9001:162;2:1406000	1	2:18	1001	0	0	201901;201902;201903;201904;201905	解锁“拍摄”功能	提升电影的属性	2202
2020	摄影棚	2	20	9001:173;2:1622000	1	2:19	1001	0	0	202001;202002;202003;202004;202005	解锁“拍摄”功能	提升电影的属性	2202
2021	摄影棚	2	21	9001:301;2:2054000	1	2:20	1001	0	0	202101;202102;202103;202104;202105	解锁“拍摄”功能	提升电影的属性	2203
2022	摄影棚	2	22	9001:417;2:2486000	1	2:21	1001	0	0	202201;202202;202203;202204;202205	解锁“拍摄”功能	提升电影的属性	2204
2023	摄影棚	2	23	9001:532;2:2918000	1	2:22	1001	0	0	202301;202302;202303;202304;202305	解锁“拍摄”功能	提升电影的属性	2205
2024	摄影棚	2	24	9001:648;2:3350000	1	2:23	1001	0	0	202401;202402;202403;202404;202405	解锁“拍摄”功能	提升电影的属性	2206
2025	摄影棚	2	25	9001:763;2:3782000	1	2:24	1001	0	0	202501;202502;202503;202504;202505	解锁“拍摄”功能	提升电影的属性	2207
2026	摄影棚	2	26	9001:937;2:4646000	1	2:25	1001	0	0	202601;202602;202603;202604;202605	解锁“拍摄”功能	提升电影的属性	2208
2027	摄影棚	2	27	9001:1060;2:5510000	1	2:26	1001	0	0	202701;202702;202703;202704;202705	解锁“拍摄”功能	提升电影的属性	2209
2028	摄影棚	2	28	9001:1184;2:6374000	1	2:27	1001	0	0	202801;202802;202803;202804;202805	解锁“拍摄”功能	提升电影的属性	2210
2029	摄影棚	2	29	9001:1307;2:7238000	1	2:28	1001	0	0	202901;202902;202903;202904;202905	解锁“拍摄”功能	提升电影的属性	2211
2030	摄影棚	2	30	9001:1430;2:8102000	1	2:29	1001	0	0	203001;203002;203003;203004;203005	解锁“拍摄”功能	提升电影的属性	2212
2031	摄影棚	2	31	9001:1650;2:9830000	1	2:30	1001	0	0	203101;203102;203103;203104;203105	解锁“拍摄”功能	提升电影的属性	2213
2032	摄影棚	2	32	9001:1781;2:11558000	1	2:31	1001	0	0	203201;203202;203203;203204;203205	解锁“拍摄”功能	提升电影的属性	2214
2033	摄影棚	2	33	9001:1912;2:13286000	1	2:32	1001	0	0	203301;203302;203303;203304;203305	解锁“拍摄”功能	提升电影的属性	2215
2034	摄影棚	2	34	9001:2043;2:15014000	1	2:33	1001	0	0	203401;203402;203403;203404;203405	解锁“拍摄”功能	提升电影的属性	2216
2035	摄影棚	2	35	9001:2174;2:16742000	1	2:34	1001	0	0	203501;203502;203503;203504;203505	解锁“拍摄”功能	提升电影的属性	2217
2036	摄影棚	2	36	9001:2440;2:18470000	1	2:35	1001	0	0	203601;203602;203603;203604;203605	解锁“拍摄”功能	提升电影的属性	2218
2037	摄影棚	2	37	9001:2579;2:20198000	1	2:36	1001	0	0	203701;203702;203703;203704;203705	解锁“拍摄”功能	提升电影的属性	2219
2038	摄影棚	2	38	9001:2718;2:21926000	1	2:37	1001	0	0	203801;203802;203803;203804;203805	解锁“拍摄”功能	提升电影的属性	2220
2039	摄影棚	2	39	9001:2856;2:23654000	1	2:38	1001	0	0	203901;203902;203903;203904;203905	解锁“拍摄”功能	提升电影的属性	2221
2040	摄影棚	2	40	9001:2995;2:25382000	1	2:39	1001	0	0	204001;204002;204003;204004;204005	解锁“拍摄”功能	提升电影的属性	2222
2041	摄影棚	2	41	9001:3307;2:27110000	1	2:40	1001	0	0	204101;204102;204103;204104;204105	解锁“拍摄”功能	提升电影的属性	2223
2042	摄影棚	2	42	9001:3454;2:28838000	1	2:41	1001	0	0	204201;204202;204203;204204;204205	解锁“拍摄”功能	提升电影的属性	2224
2043	摄影棚	2	43	9001:3600;2:30566000	1	2:42	1001	0	0	204301;204302;204303;204304;204305	解锁“拍摄”功能	提升电影的属性	2225
2044	摄影棚	2	44	9001:3746;2:32294000	1	2:43	1001	0	0	204401;204402;204403;204404;204405	解锁“拍摄”功能	提升电影的属性	2226
2045	摄影棚	2	45	9001:3893;2:34022000	1	2:44	1001	0	0	204501;204502;204503;204504;204505	解锁“拍摄”功能	提升电影的属性	2227
2046	摄影棚	2	46	9001:4252;2:35750000	1	2:45	1001	0	0	204601;204602;204603;204604;204605	解锁“拍摄”功能	提升电影的属性	2228
2047	摄影棚	2	47	9001:4406;2:37478000	1	2:46	1001	0	0	204701;204702;204703;204704;204705	解锁“拍摄”功能	提升电影的属性	2229
2048	摄影棚	2	48	9001:4560;2:39206000	1	2:47	1001	0	0	204801;204802;204803;204804;204805	解锁“拍摄”功能	提升电影的属性	2230
2049	摄影棚	2	49	9001:4714;2:40934000	1	2:48	1001	0	0	204901;204902;204903;204904;204905	解锁“拍摄”功能	提升电影的属性	2231
2050	摄影棚	2	50	9001:4868;2:42662000	1	2:49	1001	0	0	205001;205002;205003;205004;205005	解锁“拍摄”功能	提升电影的属性	2232
3001	艺人教室	3	1	9004:30;2:705	1	3:0	1001	4	1	300101;300102	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3002	艺人教室	3	2	9004:40;2:1535	1	3:1	1001	0	0	300201;300202	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3003	艺人教室	3	3	9004:50;2:5000	1	3:2	1001	0	0	300301;300302	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3004	艺人教室	3	4	9004:60;2:19000	1	3:3	1001	0	0	300401;300402	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3005	艺人教室	3	5	9004:70;2:48000	1	3:4	1001	0	0	300501;300502	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3006	艺人教室	3	6	9004:83;2:64000	1	3:5	1001	0	0	300601;300602	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3007	艺人教室	3	7	9004:96;2:72000	1	3:6	1001	0	0	300701;300702	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3008	艺人教室	3	8	9004:109;2:96000	1	3:7	1001	0	0	300801;300802	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3009	艺人教室	3	9	9004:122;2:109000	1	3:8	1001	0	0	300901;300902	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3010	艺人教室	3	10	9004:135;2:146000	1	3:9	1001	0	0	301001;301002	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3011	艺人教室	3	11	9004:148;2:164000	1	3:10	1001	0	0	301101;301102	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3012	艺人教室	3	12	9004:165;2:218000	1	3:11	1001	0	0	301201;301202	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3013	艺人教室	3	13	9004:182;2:326000	1	3:12	1001	0	0	301301;301302	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3014	艺人教室	3	14	9004:199;2:434000	1	3:13	1001	0	0	301401;301402	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3015	艺人教室	3	15	9004:216;2:542000	1	3:14	1001	0	0	301501;301502	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3016	艺人教室	3	16	9004:233;2:758000	1	3:15	1001	0	0	301601;301602	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3017	艺人教室	3	17	9004:250;2:974000	1	3:16	1001	0	0	301701;301702	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3018	艺人教室	3	18	9004:267;2:1190000	1	3:17	1001	0	0	301801;301802	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3019	艺人教室	3	19	9004:284;2:1406000	1	3:18	1001	0	0	301901;301902	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3020	艺人教室	3	20	9004:301;2:1622000	1	3:19	1001	0	0	302001;302002	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2203
3021	艺人教室	3	21	9004:318;2:2054000	1	3:20	1001	0	0	302101;302102	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2204
3022	艺人教室	3	22	9004:335;2:2486000	1	3:21	1001	0	0	302201;302202	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2205
3023	艺人教室	3	23	9004:352;2:2918000	1	3:22	1001	0	0	302301;302302	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2206
3024	艺人教室	3	24	9004:369;2:3350000	1	3:23	1001	0	0	302401;302402	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2207
3025	艺人教室	3	25	9004:386;2:3782000	1	3:24	1001	0	0	302501;302502	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2208
3026	艺人教室	3	26	9004:403;2:4646000	1	3:25	1001	0	0	302601;302602	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2209
3027	艺人教室	3	27	9004:420;2:5510000	1	3:26	1001	0	0	302701;302702	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2210
3028	艺人教室	3	28	9004:437;2:6374000	1	3:27	1001	0	0	302801;302802	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2211
3029	艺人教室	3	29	9004:454;2:7238000	1	3:28	1001	0	0	302901;302902	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2212
3030	艺人教室	3	30	9004:471;2:8102000	1	3:29	1001	0	0	303001;303002	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2213
3031	艺人教室	3	31	9004:488;2:9830000	1	3:30	1001	0	0	303101;303102	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2214
3032	艺人教室	3	32	9004:505;2:11558000	1	3:31	1001	0	0	303201;303202	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2215
3033	艺人教室	3	33	9004:522;2:13286000	1	3:32	1001	0	0	303301;303302	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2216
3034	艺人教室	3	34	9004:539;2:15014000	1	3:33	1001	0	0	303401;303402	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2217
3035	艺人教室	3	35	9004:556;2:16742000	1	3:34	1001	0	0	303501;303502	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2218
3036	艺人教室	3	36	9004:573;2:18470000	1	3:35	1001	0	0	303601;303602	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2219
3037	艺人教室	3	37	9004:590;2:20198000	1	3:36	1001	0	0	303701;303702	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2220
3038	艺人教室	3	38	9004:607;2:21926000	1	3:37	1001	0	0	303801;303802	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2221
3039	艺人教室	3	39	9004:624;2:23654000	1	3:38	1001	0	0	303901;303902	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2222
3040	艺人教室	3	40	9004:641;2:25382000	1	3:39	1001	0	0	304001;304002	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2223
3041	艺人教室	3	41	9004:658;2:27110000	1	3:40	1001	0	0	304101;304102	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2224
3042	艺人教室	3	42	9004:675;2:28838000	1	3:41	1001	0	0	304201;304202	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2225
3043	艺人教室	3	43	9004:692;2:30566000	1	3:42	1001	0	0	304301;304302	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2226
3044	艺人教室	3	44	9004:709;2:32294000	1	3:43	1001	0	0	304401;304402	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2227
3045	艺人教室	3	45	9004:726;2:34022000	1	3:44	1001	0	0	304501;304502	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2228
3046	艺人教室	3	46	9004:743;2:35750000	1	3:45	1001	0	0	304601;304602	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2229
3047	艺人教室	3	47	9004:760;2:37478000	1	3:46	1001	0	0	304701;304702	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2230
3048	艺人教室	3	48	9004:777;2:39206000	1	3:47	1001	0	0	304801;304802	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2231
3049	艺人教室	3	49	9004:794;2:40934000	1	3:48	1001	0	0	304901;304902	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2232
3050	艺人教室	3	50	9004:811;2:42662000	1	3:49	1001	0	0	305001;305002	解锁“艺人”和“星探”功能	提升艺人每日可培养次数，提升可以拥有的艺人数量	2233
4001	市场部	4	1	9002:15;2:705	1	4:0	1001	7	1	400101	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4002	市场部	4	2	9002:30;2:1535	1	4:1	1001	0	0	400201	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4003	市场部	4	3	9002:45;2:5000	1	4:2	1001	0	0	400301	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4004	市场部	4	4	9002:60;2:19000	1	4:3	1001	0	0	400401	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4005	市场部	4	5	9002:83;2:48000	1	4:4	1001	0	0	400501	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4006	市场部	4	6	9002:96;2:64000	1	4:5	1001	0	0	400601	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4007	市场部	4	7	9002:109;2:72000	1	4:6	1001	0	0	400701	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4008	市场部	4	8	9002:122;2:96000	1	4:7	1001	0	0	400801	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4009	市场部	4	9	9002:138;2:109000	1	4:8	1001	0	0	400901	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4010	市场部	4	10	9002:148;2:146000	1	4:9	1001	0	0	401001	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4011	市场部	4	11	9002:165;2:164000	1	4:10	1001	0	0	401101	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4012	市场部	4	12	9002:182;2:218000	1	4:11	1001	0	0	401201	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4013	市场部	4	13	9002:199;2:326000	1	4:12	1001	0	0	401301	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4014	市场部	4	14	9002:216;2:434000	1	4:13	1001	0	0	401401	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4015	市场部	4	15	9002:233;2:542000	1	4:14	1001	0	0	401501	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4016	市场部	4	16	9002:250;2:758000	1	4:15	1001	0	0	401601	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4017	市场部	4	17	9002:267;2:974000	1	4:16	1001	0	0	401701	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4018	市场部	4	18	9002:284;2:1190000	1	4:17	1001	0	0	401801	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4019	市场部	4	19	9002:301;2:1406000	1	4:18	1001	0	0	401901	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4020	市场部	4	20	9002:318;2:1622000	1	4:19	1001	0	0	402001	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4021	市场部	4	21	9002:335;2:2054000	1	4:20	1001	0	0	402101	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4022	市场部	4	22	9002:352;2:2486000	1	4:21	1001	0	0	402201	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4023	市场部	4	23	9002:369;2:2918000	1	4:22	1001	0	0	402301	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4024	市场部	4	24	9002:386;2:3350000	1	4:23	1001	0	0	402401	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4025	市场部	4	25	9002:403;2:3782000	1	4:24	1001	0	0	402501	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4026	市场部	4	26	9002:420;2:4646000	1	4:25	1001	0	0	402601	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4027	市场部	4	27	9002:437;2:5510000	1	4:26	1001	0	0	402701	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4028	市场部	4	28	9002:454;2:6374000	1	4:27	1001	0	0	402801	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4029	市场部	4	29	9002:471;2:7238000	1	4:28	1001	0	0	402901	解锁“市场”功能	提高城市占领可获得的最大收益	2204
4030	市场部	4	30	9002:488;2:8102000	1	4:29	1001	0	0	403001	解锁“市场”功能	提高城市占领可获得的最大收益	2204
