int	int	int	int	int	int	int	int	string	bool	DTVector2	string	string	int	bool	int	bool	int	bool	string	string
103101	1031	1	20						1	0;180	让我们先打开艺人名单~	让我们先打开艺人名单~	1	1	60			0	一位艺人升到10级	
103102	1031	2	24						1	0;180	选中一个艺人来升到10级~	选中一个艺人来升到10级~	1	1	60			0	一位艺人升到10级	
103103	1031	3	3	10	1				1	0;180	这里就可以为艺人进行升级啦！	这里就可以为艺人进行升级啦！	1	1	60			0	一位艺人升到10级	
103201	1032	1	20						1	0;180	先来看看我们的市场版图吧~	先来看看我们的市场版图吧~	1	1	60			0	完成城市宣传	
103202	1032	2	22	101																
103203	1032	3	23	1103																
103204	1032	4	20						1	0;180	从这里就可以进入街道开始宣传啦~	从这里就可以进入街道开始宣传啦~	1	1	60			0	完成城市宣传	
103205	1032	5	5	11008					1		如果我们派遣一名代言人的话,这个街区宣传速度会更快	如果我们派遣一名代言人的话,这个街区宣传速度会更快						0	完成城市宣传	
103301	1033	1	21						1	0;180	建仓库需要更多空间，我们得先把顶层扩建一下~	建仓库需要更多空间，我们得先把顶层扩建一下~	1	1	60			0	建立仓库	
103302	1033	2	20						1	0;180	开始建造仓库吧，让我们的公司进一步壮大~	开始建造仓库吧，让我们的公司进一步壮大~	1	1	60			0	建立仓库	
103303	1033	3	1	6					1	0;180	看，现在我们可以建造仓库啦，赶紧动工吧！	看，现在我们可以建造仓库啦，赶紧动工吧！	1	1	60			0	建立仓库	
103401	1034	1	20						1	0;180	首先，让我们看一下经营情况~	首先，让我们看一下经营情况~	1	1	60			0	生产周边	
103402	1034	2	20						1	0;180	让我们看一下目前可以生产的周边吧~	让我们看一下目前可以生产的周边吧~	1	1	60			0	生产周边	
103403	1034	3	15	1					1	0;180	选择一条生产线开始生产吧~之后只要等待生产完成就可以啦。	选择一条生产线开始生产吧~之后只要等待生产完成就可以啦。	1	1	60			0	生产周边	
103501	1035	1	21						1	0;180	建销售部需要更多空间，我们得先把顶层扩建一下~	建销售部需要更多空间，我们得先把顶层扩建一下~	1	1	60			0	建立销售部	
103502	1035	2	20						1	0;180	开始建造销售部吧，让我们的公司进一步壮大~	开始建造销售部吧，让我们的公司进一步壮大~	1	1	60			0	建立销售部	
103503	1035	3	1	7					1	0;180	看，现在我们可以建造销售部啦，赶紧动工吧！	看，现在我们可以建造销售部啦，赶紧动工吧！	1	1	60			0	建立销售部	
103601	1036	1	2		2				1	0;180	这里就可以升级摄影棚了哦~	这里就可以升级摄影棚了哦~	1	1	60			0	升级摄影棚	
103701	1037	1	21						1	0;180	建商务部需要更多空间，我们得先把顶层扩建一下~	建商务部需要更多空间，我们得先把顶层扩建一下~	1	1	60			0	建造商务部	
103702	1037	2	20						1	0;180	开始建造商务部吧，让我们的公司进一步壮大~	开始建造商务部吧，让我们的公司进一步壮大~	1	1	60			0	建造商务部	
103703	1037	3	1	8					1	0;180	看，现在我们可以建造商务部啦，赶紧动工吧！	看，现在我们可以建造商务部啦，赶紧动工吧！	1	1	60			0	建造商务部	
103801	1038	1	20						1	0;180	开始拍摄电影吧	开始拍摄电影吧	1	1	60			0	拍摄第三部电影	
103802	1038	2	20						1	0;180	联系了几个编剧，让我们先来看看剧本吧！	联系了几个编剧，让我们先来看看剧本吧！	1	1	60			0	拍摄第三部电影	点击开拍按钮
103803	1038	3	24						1	0;180	编剧提供了三个剧本给我们，选择的时候，也别忘了考虑我们旗下的艺人是不是擅长这种类型的剧本喔。	编剧提供了三个剧本给我们，选择的时候，也别忘了考虑我们旗下的艺人是不是擅长这种类型的剧本喔。	1	1	60			0	拍摄第三部电影	提示文字
103804	1038	4	20						1	0;180	不如这次就拍这部吧！	不如这次就拍这部吧！	1	1	60			0	拍摄第三部电影	选择剧本
103805	1038	5	24						1	0;180	虽然现在暂时没得选，但是以后你在选择艺人时要注意他所擅长的领域，如果跟我们剧本里角色对应的话，对影片质量也是一种保障~	虽然现在暂时没得选，但是以后你在选择艺人时要注意他所擅长的领域，如果跟我们剧本里角色对应的话，对影片质量也是一种保障~	1	1	60			0	拍摄第三部电影	提示文字
103806	1038	6	24						1	0;180	到了该选择拍摄类型的时候了，如果拍摄类型与所选剧本题材相契合，也能进一步提升我们的影片质量喔。	到了该选择拍摄类型的时候了，如果拍摄类型与所选剧本题材相契合，也能进一步提升我们的影片质量喔。	1	1	60			0	拍摄第三部电影	选择拍摄类型
103901	1039	1	20						1	0;180	首先，让我们看一下经营情况~	首先，让我们看一下经营情况~	1	1	60			0	完成第一个订单	
103902	1039	2	20						1	0;180	这里能看到目前收到的订单哦。	这里能看到目前收到的订单哦。	1	1	60			0	完成第一个订单	
103903	1039	3	24						1	0;180	订单都有时间限制，过了时限客户就会放弃这笔订单了，这对我们可是损失，所以一定要及时处理！	订单都有时间限制，过了时限客户就会放弃这笔订单了，这对我们可是损失，所以一定要及时处理！	1	1	60			0	完成第一个订单	
103904	1039	4	25	2					1	0;180	选择需要装箱的订单之后点一下就会自动装入需要数量的周边了哦，这样就可以完成这笔订单啦~	选择需要装箱的订单之后点一下就会自动装入需要数量的周边了哦，这样就可以完成这笔订单啦~	1	1	60			0	完成第一个订单	
103905	1039	5	16	1					1	0;180	赶紧确认完成这笔订单吧~	赶紧确认完成这笔订单吧~	1	1	60			0	完成第一个订单	
104001	1040	1	20						1	0;180	先来看看我们的市场版图吧~	先来看看我们的市场版图吧~	1	1	60			0	占领第3个城市	
104002	1040	2	22	101															占领第3个城市	
104003	1040	3	23	1103															占领第3个城市	
104004	1040	4	7	1103					1	0;180	这样就可以占领这座城市啦！	这样就可以占领这座城市啦！	1	1	60	1	101601	0	占领第3个城市	
104101	1041	1	20						1	0;180	先来看看我们的市场版图吧~	先来看看我们的市场版图吧~	1	1	60			0	给第五个城市派遣形象大使	
104102	1041	2	22	101																
104103	1041	3	23	1103					1	0;180	让我们选择已经占领的这座城市吧！	让我们选择已经占领的这座城市吧！	1	1	60			0	给第五个城市派遣形象大使	
104104	1041	4	12	1103	3				1	0;180	这里就可以选择我们要派驻的形象大使了哦。	这里就可以选择我们要派驻的形象大使了哦。	1	1	60			0	给第五个城市派遣形象大使	
104201	1042	1	20						1	0;180	让我们先打开艺人名单~	让我们先打开艺人名单~	1	1	60			0	一个艺人升到20级	
104202	1042	2	24						1	0;180	选中一个艺人来升到20级~	选中一个艺人来升到20级~	1	1	60			0	一个艺人升到20级	
104203	1042	3	3	20	1				1	0;180	这里就可以为艺人进行升级啦！	这里就可以为艺人进行升级啦！	1	1	60			0	一个艺人升到20级	
104301	1043	1	20						1	0;180	先来看看我们的市场版图吧~	先来看看我们的市场版图吧~	1	1	60			0	占领第六个城市	
104302	1043	2	22	101																
104303	1043	3	23	1104																
104304	1043	4	7	1104					1	0;180	这样就可以占领这座城市啦！	这样就可以占领这座城市啦！	1	1	60	1	101701	0	占领第六个城市	
104401	1044	1	21						1	0;180	建办公室需要更多空间，我们得先把顶层扩建一下~	建办公室需要更多空间，我们得先把顶层扩建一下~	1	1	60			0	建造办公室	
104402	1044	2	20						1	0;180	开始建造办公室吧，让我们的公司进一步壮大~	开始建造办公室吧，让我们的公司进一步壮大~	1	1	60			0	建造办公室	
104403	1044	3	1	9					1	0;180	看，现在我们可以建造办公室啦，赶紧动工吧！	看，现在我们可以建造办公室啦，赶紧动工吧！	1	1	60			0	建造办公室	
104501	1045	1	20						1	0;180	首先，让我们看一下经营情况~	首先，让我们看一下经营情况~	1	1	60			0	处理公务	
104502	1045	2	20						1	0;180	这里能看到目前需要处理的公务哦。	这里能看到目前需要处理的公务哦。	1	1	60			0	处理公务	
104503	1045	3	17	3					1	0;180	你这个样子看上去还挺有Boss风范的嘛，哈哈	你这个样子看上去还挺有Boss风范的嘛，哈哈	1	1	60			0	处理公务	
104601	1046	1	20						1	0;180	之前查看过电影的持续收益，现在我们可以收取它们啦~	之前查看过电影的持续收益，现在我们可以收取它们啦~	1	1	60			0	收取电影收益	
104602	1046	2	19	5000					1	0;180	快点收取收益吧~	快点收取收益吧~	1	1	60			0	收取电影收益	
104701	1047	1	20						1	0;180	先来看看我们的市场版图吧~	先来看看我们的市场版图吧~	1	1	60			0	收取城市收益	
104702	1047	2	22	101																
104703	1047	3	23	1104					1	0;180	让我们选择已经占领的这座城市吧！	让我们选择已经占领的这座城市吧！	1	1	60			0	收取城市收益	
104704	1047	4	14	500					1	0;180	我们可以定期来这里收取城市所产生的收益哦。	我们可以定期来这里收取城市所产生的收益哦。	1	1	60			0	收取城市收益	
104801	1048	1	20						1	0;180	首先，让我们看一下经营情况~	首先，让我们看一下经营情况~	1	1	60			0	生产一次周边	
104802	1048	2	20						1	0;180	让我们看一下目前可以生产的周边吧~	让我们看一下目前可以生产的周边吧~	1	1	60			0	生产一次周边	
104803	1048	3	15	5					1	0;180	选择一条生产线开始生产吧~之后只要等待生产完成就可以啦。	选择一条生产线开始生产吧~之后只要等待生产完成就可以啦。	1	1	60			0	生产一次周边	
104901	1049	1	21						1	0;180	建接待室需要更多空间，我们得先把顶层扩建一下~	建接待室需要更多空间，我们得先把顶层扩建一下~	1	1	60			0	建造接待室	
104902	1049	2	20						1	0;180	开始建造接待室吧，让我们的公司进一步壮大~	开始建造接待室吧，让我们的公司进一步壮大~	1	1	60			0	建造接待室	
104903	1049	3	1	10					1	0;180	看，现在我们可以建造接待室啦，赶紧动工吧！	看，现在我们可以建造接待室啦，赶紧动工吧！	1	1	60			0	建造接待室	
105001	1050	1	20						1	0;180	首先，让我们看一下经营情况~	首先，让我们看一下经营情况~	1	1	60			0	完成粉丝探班	
105002	1050	2	20						1	0;180	我们可以在这里接待粉丝哦~	我们可以在这里接待粉丝哦~	1	1	60			0	完成粉丝探班	
105003	1050	3	18	1					1	0;180	让我们找找看这位被粉丝指名的艺人跑哪去了吧~	让我们找找看这位被粉丝指名的艺人跑哪去了吧~	1	1	60			0	完成粉丝探班	
