int	int	int	int	string	string	string	string	string	string	int	int[]	int	float	int
100212	1002	12	120	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	6	0
100213	1002	13	130	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	6.5	0
100214	1002	14	140	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	7	0
100215	1002	15	150	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	7.5	0
100216	1002	16	160	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	8	0
100217	1002	17	170	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	8.5	0
100218	1002	18	180	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	9	0
100219	1002	19	190	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	9.5	0
100220	1002	20	200	Super Talented	能力超群	Increase {0}% of earnings from produce line when send actors to supervise production	当派遣演员去执行生产时,该生产线的收益+{0}%	Increase {0}% of earnings from produce line	生产线的收益+{0}%	1502	1002	1002	10	0
100301	1003	1	10	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	{0}% cost for this actor	拍摄所收取的费用{0}%	1503	1003	1003	-2.5	0
100302	1003	2	20	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-5	0
100303	1003	3	30	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-7.5	0
100304	1003	4	40	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-10	0
100305	1003	5	50	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-12.5	0
100306	1003	6	60	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-15	0
100307	1003	7	70	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-17.5	0
100308	1003	8	80	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-20	0
100309	1003	9	90	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-22.5	0
100310	1003	10	100	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-25	0
100311	1003	11	110	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-27.5	0
100312	1003	12	120	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-30	0
100313	1003	13	130	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-32.5	0
100314	1003	14	140	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-35	0
100315	1003	15	150	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-37.5	0
100316	1003	16	160	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-40	0
100317	1003	17	170	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-42.5	0
100318	1003	18	180	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-45	0
100319	1003	19	190	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-47.5	0
100320	1003	20	200	Regardless of Pay	不计报酬	{0}% cost when using this actor in a movie	该演员参与拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	拍摄所收取的费用{0}%	1503	1003	1003	-50	0
100401	1004	1	10	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	0.5	0
100402	1004	2	20	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	1	0
100403	1004	3	30	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	1.5	0
100404	1004	4	40	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	2	0
100405	1004	5	50	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	2.5	0
100406	1004	6	60	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	3	0
100407	1004	7	70	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	3.5	0
100408	1004	8	80	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	4	0
100409	1004	9	90	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	4.5	0
100410	1004	10	100	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	5	0
100411	1004	11	110	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	5.5	0
100412	1004	12	120	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	6	0
100413	1004	13	130	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	6.5	0
100414	1004	14	140	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	7	0
100415	1004	15	150	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	7.5	0
100416	1004	16	160	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	8	0
100417	1004	17	170	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	8.5	0
100418	1004	18	180	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	9	0
100419	1004	19	190	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	9.5	0
100420	1004	20	200	Media Darling	媒体宠儿	Increase {0}% of opening day's box-office when this actor is used in movie	该演员参与拍摄的电影,媒体评价带来的首映票房+{0}%	Increase {0}% of opening day's box-office	首映票房+{0}%	1504	1003	1004	10	0
100501	1005	1	10	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	10	0
100502	1005	2	20	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	20	0
100503	1005	3	30	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	30	0
100504	1005	4	40	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	40	0
100505	1005	5	50	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	50	0
100506	1005	6	60	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	60	0
100507	1005	7	70	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	70	0
100508	1005	8	80	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	80	0
100509	1005	9	90	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	90	0
100510	1005	10	100	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	100	0
100511	1005	11	110	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	110	0
100512	1005	12	120	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	120	0
100513	1005	13	130	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	130	0
100514	1005	14	140	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	140	0
100515	1005	15	150	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	150	0
100516	1005	16	160	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	160	0
100517	1005	17	170	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	170	0
100518	1005	18	180	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	180	0
100519	1005	19	190	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	190	0
100520	1005	20	200	Self-financed	自备金库	Increase {0}% of max amount of coin earned when send this actor to cities	当派遣演员去城市时,可积攒的金币上限+{0}%	Increase {0}% of max amount of coin earned	积攒的金币上限+{0}%	1505	1001	1005	200	0
100601	1006	1	10	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-0.5	0
100602	1006	2	20	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-1	0
100603	1006	3	30	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-1.5	0
100604	1006	4	40	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-2	0
100605	1006	5	50	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-2.5	0
100606	1006	6	60	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-3	0
100607	1006	7	70	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-3.5	0
100608	1006	8	80	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-4	0
100609	1006	9	90	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-4.5	0
100610	1006	10	100	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-5	0
100611	1006	11	110	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-5.5	0
100612	1006	12	120	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-6	0
100613	1006	13	130	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-6.5	0
100614	1006	14	140	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-7	0
100615	1006	15	150	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-7.5	0
100616	1006	16	160	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-8	0
100617	1006	17	170	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-8.5	0
100618	1006	18	180	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-9	0
100619	1006	19	190	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-9.5	0
100620	1006	20	200	Expert Bargainer	砍价能手	{0}% cost of training this actor	当培养该演员时,金币消耗{0}%	{0}% cost cost	金币消耗{0}%	1506	1004	1006	-10	0
100701	1007	1	30	Gifted Actor	表演天赋	Increase {0}% attributes of movie when this actor is used in movie	该演员参与拍摄时,属性提升+{0}%	Increase {0}% of all attributes	所有属性提升+{0}%	1507	1003	1007	1	0
100702	1007	2	60	Gifted Actor	表演天赋	Increase {0}% attributes of movie when this actor is used in movie	该演员参与拍摄时,属性提升+{0}%	Increase {0}% of all attributes	所有属性提升+{0}%	1507	1003	1007	2	0
100703	1007	3	90	Gifted Actor	表演天赋	Increase {0}% attributes of movie when this actor is used in movie	该演员参与拍摄时,属性提升+{0}%	Increase {0}% of all attributes	所有属性提升+{0}%	1507	1003	1007	3	0
100704	1007	4	120	Gifted Actor	表演天赋	Increase {0}% attributes of movie when this actor is used in movie	该演员参与拍摄时,属性提升+{0}%	Increase {0}% of all attributes	所有属性提升+{0}%	1507	1003	1007	4	0
100705	1007	5	150	Gifted Actor	表演天赋	Increase {0}% attributes of movie when this actor is used in movie	该演员参与拍摄时,属性提升+{0}%	Increase {0}% of all attributes	所有属性提升+{0}%	1507	1003	1007	5	0
