int	string	string[]	string[]	string
2004	City Rank 4	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 4
2005	City Rank 5	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 5
2006	City Rank 6	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 6
2007	City Rank 7	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 7
2008	City Rank 8	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 8
2009	City Rank 9	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 9
2010	City Rank 10	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 10
3001	State Rank 1	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 1
3002	State Rank 2	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 2
3003	State Rank 3	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 3
3004	State Rank 4	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 4
3005	State Rank 5	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 5
3006	State Rank 6	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 6
3007	State Rank 7	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 7
3008	State Rank 8	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 8
3009	State Rank 9	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 9
3010	State Rank 10	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 10
4001	Country Rank 1	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 1
4002	Country Rank 2	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 2
4003	Country Rank 3	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 3
4004	Country Rank 4	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 4
4005	Country Rank 5	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 5
4006	Country Rank 6	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 6
4007	Country Rank 7	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 7
4008	Country Rank 8	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 8
4009	Country Rank 9	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 9
4010	Country Rank 10	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 10
5001	Global Rank 1	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 1
5002	Global Rank 2	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 2
5003	Global Rank 3	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 3
5004	Global Rank 4	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 4
5005	Global Rank 5	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 5
5006	Global Rank 6	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 6
5007	Global Rank 7	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 7
5008	Global Rank 8	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 8
5009	Global Rank 9	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 9
5010	Global Rank 10	Claim {0} MovieDollars in startup funds as well as {1} coins and {2} brochures for every movie, each day (after Oskars are awarded)	Claim an additonal {0} MovieDollars in startup funds, {1} coins in movie awards and {2} extra brochures each day	Rank 10
