int	int	int	string	int	int	int	int	int	int	int[]	int[]	string
1022	1006	3	科曼	2105	2	1102	0	1401	0	1901;1928;1925;1934;1921	1602;1601	科曼（配角），平时言语不多的最忠实的下属，在最后的战役中保护了吉斯和达瑞。
1023	1006	4	约翰	2105	2	1102	0	0	1502	1901;1928;1925;1907;1934	1603;1601	约翰（配角），从一开始就不满这次任务的意义，但是还是选择了服从。
1024	1006	5	吉斯	2104	2	0	0	0	0	1901;1928;1925;1945;1931	1605;1602	吉斯（配角），和许多老百姓一样，害怕战争、畏惧战争，胆小懦弱，因为他而导致两名战友的身亡。
1025	1007	1	米勒	2101	2	0	1202	0	0	1901;1902;1925;1907;1934	1601;1602	米勒（主角），一名英国陆军士兵，在炮火中勉强逃出小镇，却不得不听天由命得被困在敦刻尔克海滩。
1026	1007	2	墨菲	2104	2	0	0	0	1501	1901;1902;1925;1907;1934	1601;1603	墨菲（配角），被潜艇击沉所乘船只的海军士兵，落水后被英国民用船只救起，重返敦刻尔克。
1027	1007	3	科林	2104	2	0	0	0	0	1901;1902;1925;1907;1934	1605;1601	科林（配角），皇家空军成员，其驾驶的战斗机被德军飞机围攻，最后燃油耗尽而被俘。
1028	1008	1	阿尔	2101	2	0	1201	0	0	1902;1903;1935;1944;1931	1603;1604	阿尔（主角），深爱着自己的马，即使无法应征入伍，也要踏上寻找爱马的旅途。
1029	1008	2	乔	2101	2	0	0	0	0	1928;1903;1907;1921;1934	1602;1603	乔（主角），一匹聪慧机敏，对阿尔有着深厚感情的战马。
1030	1008	3	军官	2104	2	0	0	0	0	1901;1909;1910;1934;1925	1601;1603	军官（配角），乔的第二任主人，他对乔的热爱丝毫不逊于阿尔。
1031	1009	1	麦克	2101	2	0	0	0	0	1901;1925;1934;1935;1921	1602;1601	麦克（主角），在战争中身受重伤却依然想赶回故乡，只为见心爱的艾琳一面。
1032	1009	2	艾琳	2101	2	0	0	0	0	1902;1904;1945;1932;1909	1603;1604	艾琳（主角），内战爆发摧毁了自己的生活，只能希望一切尽快结束，麦克能尽快回到自己身边。
1033	1010	1	西蒙	2102	2	1102	1202	0	1501	1901;1925;1928;1922;1935	1602;1603	西蒙（主角），弹无虚发的精英狙击手，然而在一次保卫战中却遇到了真正的对手。
1034	1010	2	伊格莱茵	2103	1	0	1202	1402	1501	1901;1902;1904;1935;1903	1601;1602	伊格莱茵（主角），由西蒙教导的女狙击兵，并在残酷的生存环境中逐渐走到了一起。
1035	1010	3	丹尼	2105	2	1102	1202	0	0	1901;1927;1931;1910;1928	1602;1605	丹尼（配角），文宣部军官，成功塑造出西蒙的英雄形象，同时也是西蒙的情敌。
1036	1010	4	瑞克曼	2104	2	0	0	0	0	1901;1910;1941;1921;1930	1601;1603	瑞克曼（配角），德军司令，在得知战场上西蒙的神勇后派出己方精英狙击手。
1037	1010	5	克洛泽	2107	2	1102	0	1401	1502	1901;1925;1923;1920;1922	1604;1602	克洛泽（反派），作为德军狙击学校校长，励志要在战场上与西蒙一决高下。
1038	1011	1	比尔	2102	2	1102	0	1402	0	1901;1928;1934;1931;1902	1601;1602	比尔（主角），19岁加入伊拉克战争，在一次意外中成为大众的焦点从而被召回本土进行巡回宣传。
1039	1011	2	凯茜	2103	1	1101	0	0	1501	1904;1928;1931;1941;1945	1602;1601	凯茜（主角），比尔的姐姐，一直背负着“弟弟当初参军是因为自己”的愧疚，当比尔回到美国后真情地希望他不要重回战场。
1040	1011	3	班长	2104	2	0	0	1401	0	1901;1907;1934;1928;1910	1601;1603	班长（配角），比尔所在的B班班长，他是兄弟们的大哥、导师、模范与理性的代表，他希望比尔能回到伊拉克重新加入战斗。
1041	1011	4	经纪人	2104	2	0	1201	0	0	1903;1927;1917;1930;1931	1601;1605	经纪人（配角），对他来说利益最大化是他追求的目标，当目标没有了利益价值，他就会转移目标。
1042	1011	5	菲比	2104	2	0	0	0	0	1902;1904;1932;1935;1908	1602;1603	菲比（配角），橄榄球队啦啦队长，虽然矫情且自欺，但内心不乏强大的思想。
1043	1012	1	杰夫	2102	2	1102	1201	1401	0	1901;1907;1928;1931;1935	1603;1602	杰夫（主角），从小驾驶飞机，二战后加入空军，结识了艾芙琳并迅速坠入爱河。
1044	1012	2	尼克	2101	2	0	0	0	0	1901;1907;1931;1935;1927	1601;1603	尼克（主角），杰夫的死党，一起加入美国空军，在知道雷夫生死未卜后，与艾芙琳产生了感情
1045	1012	3	艾弗琳	2103	1	1101	0	1402	0	1902;1904;1932;1931;1939	1603;1605	艾芙琳（主角），军中护士，与杰夫迅速坠入爱河。
1046	1012	4	指挥官	2105	2	1102	0	0	1502	1941;1910;1901;1934;1907	1602;1601	指挥官（配角），在欧洲战线吃紧后，决定增派人手至前线，而杰夫就是其中之一。
1047	1013	1	沃特	2102	2	1102	0	1402	0	1902;1903;1927;1907;1934	1601;1602	沃特（主角），退伍军人，被雇佣训练迅猛龙，在最后带领自己的迅猛龙们围剿大肆破坏的狂暴龙。
1048	1013	2	克拉丽丝	2103	1	1101	0	1402	1501	1904;1922;1902;1932;1903	1603;1601	克拉丽丝（主角），恐龙公园的运营主管，为了吸引游客而下令制造首个转基因恐龙。
1049	1013	3	马克	2104	2	0	0	0	0	1941;1915;1934;1934;1940	1601;1605	马克（配角），亿万富翁，买下一手建起恐龙公园的基因科技公司。
1050	1013	4	迅猛龙小蓝	2104	2	0	0	1401	1501	1907;1926;1902;1930;1920	1601;1602	迅猛龙小蓝（配角），拥有自主思想的天赋卓绝的迅猛龙，并与沃特建立起了感情。
1051	1014	1	石川	2101	2	0	0	1401	0	1941;1934;1926;1931;1910	1603;1602	石川（主角），着眼于生存为第一优先的小人物，最终被人性感动，竭尽全力保护了其他人。
1052	1014	2	秀秀	2101	2	0	1203	0	0	1944;1942;1902;1903;1908	1602;1605	秀秀（主角），石川的女儿，与父亲疏离，心灵纯净，道德观念清晰。
1053	1014	3	朱谭	2104	2	0	0	0	0	1907;1926;1934;1930;1935	1603;1601	朱谭（配角），体格健硕的摔跤手，在这场灾难中竭力保护弱小，帮助其他人逃出生天。
1054	1014	4	崔远	2107	2	0	0	0	0	1923;1930;1943;1920;1910	1603;1601	崔远（反派），自私的政府高官，一切只以自己的利益为第一优先，抛弃民众蒙骗百姓只为自己能够活下来。
1055	1015	1	乔治	2102	2	0	0	0	0	1902;1903;1906;1922;1935	1602;1603	乔治（主角），靠赌博赢得船票，又因救了罗莎一命而相识相爱。
1056	1015	2	罗莎	2103	1	0	0	0	0	1902;1932;1904;1909;1935	1601;1604	罗莎（主角），准备与自己兴趣完全不符的未婚夫结婚，却遇到了真命天子乔治。
1057	1016	1	马特	2101	2	0	0	0	1502	1941;1934;1921;1931;1910	1602;1603	马特（主角），带着年幼儿子一同困在超市中的画家，为了拯救自己和别人，做出了很多努力。
1058	1016	2	玛莎	2107	1	1101	0	0	0	1923;1943;1920;1930;1945	1603;1604	玛莎（反派），宗教狂热分子，在灾难中宣称用一些人的牺牲可以抚平神的怒火，从而换来安宁。
1059	1016	3	斯坦	2104	2	0	0	0	0	1901;1902;1907;1945;1929	1602;1601	斯坦（配角），在愤怒中被众人处死的军人。
1060	1017	1	山姆	2102	2	1102	0	1401	1502	1910;1921;1922;1931;1946	1603;1602	山姆（主角），冷静聪明有担当，在两个发动机全部故障的情况下沉着处理，最终完成迫降，拯救了机上的155条生命。
1061	1017	2	苏珊	2106	1	1101	1201	0	0	1904;1932;1940;1931;1921	1602;1603	苏珊（配角），山姆的妻子，对丈夫有着模糊不明确的情感。
1062	1017	3	卡尔	2104	2	0	0	1402	1502	1931;1907;1910;1921;1922	1603;1605	卡尔（配角），山姆的搭档，虽然在事故中山姆占据了主导地位，但他也起到了关键的作用。
1063	1017	4	卡森	2104	2	0	0	0	0	1927;1914;1922;1920;1921	1602;1603	卡森（配角），安全部门调查员，用近乎吹毛求疵的方式复盘整个事故。
1064	1018	1	民赫	2102	2	1102	0	1401	1501	1934;1930;1928;1931;1902	1602;1603	民赫（主角），为了讨生活而战战兢兢活着的药厂销售，在妻女被铁线虫感染危在旦夕时，不得不踏上寻找救命药剂的道路。
1065	1018	2	慧珍	2106	1	1101	0	1402	0	1904;1935;1928;1902;1931	1601;1602	慧珍（配角），民赫贤惠的妻子，即使在不幸被感染时，依然用坚强的意志对抗着病毒。
1066	1018	3	民在	2104	2	0	0	0	0	1914;1907;1930;1934;1940	1602;1604	民在（配角），沉迷股票的不靠谱警察，直接导致了哥哥民赫的困难处境，不过却意外发现了铁线虫事件的真相。
1067	1018	4	丽丽	2106	1	0	1203	0	1501	1944;1942;1931;1908;1903	1601;1603	丽丽（配角），民赫可爱的女儿，也不幸感染了铁线虫命悬一线。
1068	1019	1	艾克特	2102	2	1102	0	1402	0	1902;1903;1931;1926;1934	1601;1602	艾克特（主角），见证了超大型巨人打破围墙的恐怖一幕，自己的母亲也因此而丧命，所以立志加入兵团为母亲复仇。
1069	1019	2	米娅	2103	1	1101	0	0	0	1902;1904;1926;1931;1935	1603;1601	米娅（主角），艾克特和诺德的青梅竹马，平时冷静异常，但如果艾克特身陷危险便会不顾一切。
1070	1019	3	诺德	2101	2	0	0	0	0	1902;1903;1922;1927;1931	1601;1603	诺德（主角），聪颖而谨慎，是三个人中的头脑担当，经常可以很快分析出当前局面的破局点。
1071	1020	1	威利	2102	2	1102	1201	0	0	1946;1907;1934;1921;1922	1602;1604	威利（主角），才华横溢的病原体学者，唯一一个没被病毒感染的人类，顽强地生活在陷落的曼哈顿。
1072	1020	2	萨姆	2101	2	0	0	0	0	1928;1907;1930;1921;1931	1603;1602	萨姆（主角），三岁大的德国牧羊犬，是威利最忠诚的伙伴。
1073	1020	3	安娜	2104	2	0	0	0	0	1904;1932;1942;1929;1902	1602;1603	安娜（配角），病毒免疫者之一，在听到威利的广播后来到曼哈顿。
1074	1020	4	感染者	2107	2	0	0	0	0	1930;1907;1910;1923;1935	1602;1601	感染者（反派），被病毒感染后变异的人类。
1075	1021	1	理查德	2101	2	0	0	0	1501	1946;1922;1907;1921;1931	1602;1603	理查德（主角），海洋生物学家，与警长和猎手一起下海猎杀了吃人的鲨鱼。
1076	1021	2	汉克	2104	2	0	0	0	0	1926;1934;1907;1921;1945	1603;1601	汉克（配角），出名的捕鱼能手，在猎杀鲨鱼的过程中不幸丧生鱼腹。
1077	1021	3	杰姆	2104	2	0	0	0	0	1914;1928;1934;1907;1921	1605;1602	杰姆(配角），警察局长，依靠神准的枪法击中鲨鱼口中的氧气罐，将鲨鱼炸成两半。
1078	1022	1	蕾娜	2103	1	1101	0	0	1501	1946;1922;1902;1903;1910	1601;1602	蕾娜（主角），商运飞船的飞行官，在整个事件中一直保持着冷静的头脑，最终逃出生天。
1079	1022	2	外星生物	2101	2	0	0	0	0	1907;1930;1920;1922;1926	1601;1604	外星生物（主角），只以生存为唯一目的的纯粹生命体，没有人类的非理性和随机行为，生存力逆天。
1080	1022	3	吉姆	2105	2	1102	0	1401	0	1928;1946;1943;1920;1930	1601;1603	吉姆（配角），机械人科学官，为了上级的命令而私自携带一颗异形卵上飞船，导致了后面的悲剧。
1081	1022	4	肯	2104	2	0	1201	0	0	1910;1907;1934;1921;1922	1601;1602	肯（配角），飞船副官，被抱脸虫骑脸，从而成为第一个孵化出异形的人类。
1082	1023	1	瑞恩	2102	2	1102	0	0	1502	1949;1907;1922;1934;1910	1603;1602	瑞恩（主角），曾经在联合国任职的最出色的探员，为了家人而放弃工作，在僵尸潮爆发后为了家人和世界，去病毒的源头探寻真相。
1083	1023	2	弗兰克	2104	2	0	0	1402	0	1946;1922;1931;1921;1903	1605;1602	弗兰克（配角），病毒学博士，与瑞恩一同出发寻找解除危机的方法。
1084	1023	3	丽兹	2104	2	0	0	0	0	1901;1926;1928;1934;1907	1603;1601	丽兹（配角），特种兵，负责保护瑞恩和弗兰克博士，被僵尸咬到后当机立断，切断自己的一条手臂。
1085	1024	1	科林	2102	2	1102	1201	1402	1502	1910;1907;1926;1934;1930	1602;1603	科林（主角），末节车厢起义的领导者，兼具霸气与坚毅。
1086	1024	2	民浩	2102	2	1102	1203	0	0	1928;1930;1934;1921;1941	1604;1602	民浩（主角），沉着冷静的开锁专家，虽然他衣衫褴褛，但眼神却比任何人都坚定。
1087	1024	3	马丁	2104	2	0	0	0	0	1913;1921;1922;1931;1945	1602;1603	马丁（配角），末节车厢的智者，但对马上到来的起义和斗争却有些犹豫。
1088	1024	4	威尔	2107	2	1102	1201	1401	0	1923;1943;1910;1930;1920	1602;1601	威尔（反派），隐没在黑暗中的终极Boss，透露着强大而神秘的威慑力。
1089	1025	1	马库斯	2101	2	0	0	0	0	1908;1902;1907;1929;1934	1602;1601	马库斯（主角），学识渊博，但最终为自己的自以为是付出代价。
1090	1025	2	内特	2101	2	0	0	0	0	1908;1902;1922;1942;1928	1603;1602	内特（主角），老式规范，企图通过科学手段来反抗邪恶。
1091	1025	3	安娜	2103	1	1101	0	0	0	1908;1902;1932;1904;1935	1603;1601	安娜（主角），身材劲爆，性感，一直以来过着天真无忧的生活。
1092	1025	4	克里斯	2101	2	0	0	0	0	1908;1902;1932;1904;1940	1602;1605	克里斯（主角），淳朴，人缘好，在同伴相继死亡后，学会了如何对抗邪恶。
1093	1026	1	理查德	2101	2	0	0	1401	0	1931;1935;1945;1917;1921	1604;1602	理查德（主角），在经济大萧条期间做过各种工作，甚至进过精神病院和监狱，但依然信心十足。
1094	1026	2	莉莉	2101	2	0	0	0	1501	1902;1932;1935;1942;1903	1603;1604	莉莉（主角），失去双亲的孤女，后来因为偷了一个面包而被捕，在结识理查德后，与其一同逃离这个城市。
1095	1026	3	恰克	2104	2	0	0	0	0	1915;1940;1920;1910;1909	1604;1601	恰克（配角），拼命压榨理查德的工厂老板。
1096	1027	1	梅	2103	1	1101	1202	1402	0	1902;1903;1904;1932;1940	1602;1604	梅（主角），向往着钓到金龟婿的交际花，每天都希望着用物质的刺激忘记过去，最终却在一个穷作家那里找到了真爱。
1097	1027	2	乔治	2102	2	1102	0	1402	0	1902;1906;1928;1935;1931	1603;1602	乔治（主角），梅的新邻居，梦想着能成为大作家，却不得不依赖有钱女人的馈赠为生。
1098	1027	3	玛丽	2104	2	0	1201	0	1502	1915;1935;1941;1940;1921	1602;1601	玛丽（配角），资助着乔治的富婆，欣赏乔治的才华。
1099	1027	4	马丁	2104	2	0	0	0	0	1939;1941;1921;1928;1935	1603;1601	马丁（配角），一位牧场兽医，希望梅能回归自己身边，但最后还是放手让她去过自己的生活。
1100	1028	1	汤姆	2101	2	0	0	0	1501	1931;1921;1945;1905;1917	1602;1601	汤姆（主角），在妻子度假期间，对楼上的女房客产生了某些非分之想。
1101	1028	2	露娜	2101	2	0	0	0	0	1904;1932;1902;1917;1909	1603;1602	露娜（主角），风姿绰约、性感撩人，因为一台不制冷的风扇所以贪恋汤姆家的冰箱。
1102	1028	3	杰瑞	2104	2	0	0	0	0	1939;1943;1927;1940;1946	1602;1604	杰瑞（配角），心理医生，引诱汤姆付高价在自己这里诊治他的妄想症。
1103	1029	1	约翰	2102	2	1102	0	1401	0	1911;1925;1930;1917;1929	1603;1602	约翰（主角），黑帮老大文森特的手下，被赋予一个新的任务，陪同老大的妻子出门游玩一晚。
1104	1029	2	马歇尔	2102	2	1102	0	0	1502	1911;1925;1930;1921;1931	1604;1603	马歇尔（主角），约翰的伙伴，有着自己的道德标准，准备放弃杀手生活而去追求真理。
1105	1029	3	文森特	2102	2	1102	1201	0	1502	1911;1910;1907;1920;1930	1603;1601	文森特（主角），黑帮老大，用自己的妻子去验证手下的忠诚度。
1106	1029	4	莱娜	2103	1	1101	1201	1401	0	1902;1932;1904;1945;1929	1602;1605	莱娜（主角），文森特的妻子，在与约翰独处的一晚上，拼命诱惑约翰。
1107	1029	5	杰森	2101	2	0	0	0	0	1911;1907;1926;1945;1934	1603;1601	杰森（主角），地下拳手，在一场拳赛中活活打死了对手从而得罪了文森特。
1108	1030	1	埃文	2102	2	1102	0	0	1501	1902;1903;1904;1935;1922	1602;1604	埃文（主角），出生于中产阶级家庭的青年诗人，有着极高的艺术天赋和创作热情，独自来到巴黎闯荡。
1109	1030	2	瑟琳娜	2103	1	1101	0	0	0	1904;1932;1935;1931;1928	1604;1603	瑟琳娜（主角），人称“闪亮的钻石”的舞女，有着不堪回首的过去，渴望成为真正的大明星。
1110	1030	3	杰克	2104	2	0	1201	0	0	1902;1903;1928;1929;1942	1603;1602	杰克（配角），小有名气的画家，并有着一群以他为首的放荡不羁的艺术家群体。
1111	1030	4	汤姆	2104	2	0	0	0	0	1915;1940;1931;1909;1910	1601;1605	汤姆（配角），红磨坊经理，希望通过瑟琳娜的吸引力，使得红磨坊成功改变为剧院。
1112	1030	5	卡尔	2107	2	0	0	1401	0	1909;1915;1943;1923;1930	1602;1603	卡尔（反派），红磨坊常客，拜倒在瑟琳娜的石榴裙下，不惜大动干戈也要毁掉埃文和瑟琳娜之间的感情。
1113	1031	1	康纳	2102	2	1102	0	0	0	1902;1935;1906;1932;1931	1602;1604	康纳（主角），为了生活而在一支翻唱乐队中表演的爵士钢琴家，后与爱玛成为恋人。
1114	1031	2	爱玛	2103	1	1101	0	0	0	1902;1935;1932;1904;1906	1603;1601	爱玛（主角），餐厅服务员，但怀揣着成为出色女演员的梦想，在认识康纳后相互吸引成为恋人。
1115	1032	1	玛格特	2102	2	1102	0	0	1501	1902;1904;1907;1935;1931	1601;1602	玛格特（主角），公司高管，因为签证问题面临被遣返的窘境，因此决定通过假结婚来保留自己的工作。
1116	1032	2	亚历克斯	2101	2	0	1201	1401	0	1910;1904;1932;1922;1943	1603;1604	亚历克斯（主角），初出茅庐的大学生，作为玛格特的助理，被玛格特选为假结婚的对象。
1117	1032	3	山姆	2105	2	1102	0	0	0	1941;1921;1931;1940;1907	1601;1602	山姆（配角），亚历克斯的父亲，与儿子不合，看不起儿子在纽约的工作，希望其能留在身边帮助自己的家族事业。
1118	1032	4	艾尔莎	2106	1	1101	0	0	0	1941;1921;1917;1931;1942	1603;1604	艾尔莎（配角），亚历克斯的奶奶，家中的老大，对于亚历克斯带着女朋友回家抱有无限热情。
1119	1032	5	汉森	2104	2	0	0	0	0	1914;1907;1922;1945;1931	1601;1605	汉森（配角），移民局官员，嗅出了玛格特假结婚的征兆，而跟随他们回到亚历克斯的家乡进行监视。
1120	1033	1	维多利亚	2101	2	0	0	0	0	1905;1902;1922;1931;1943	1603;1602	维多利亚（主角），当红女星，却爱上了身份地位相差悬殊的瑞克。
1121	1033	2	瑞克	2101	2	0	0	1402	0	1904;1932;1935;1942;1909	1602;1601	瑞克（主角），离异的书店店主，尽管卖的全是旅行书，但从未离开自己的家乡。
1122	1033	3	文森	2104	2	0	0	0	0	1947;1936;1940;1903;1917	1603;1604	文森（配角），狗仔队，在认出与瑞克约会的维多利亚后，给后者带来了极大的压力。
1123	1034	1	塔克	2101	2	0	1202	0	0	1924;1930;1921;1901;1925	1601;1603	塔克（主角），麻木而不甘堕落的出租车司机，阴差阳错下，成为了这个黑暗社会的英雄。
1124	1034	2	贝蒂	2104	2	0	0	0	0	1949;1902;1932;1940;1920	1601;1604	贝蒂（配角），总统候选人的秘书，拒绝了塔克的追求而引发了后续一系列事件。
1125	1034	3	爱丽丝	2104	2	0	0	0	0	1930;1931;1932;1945;1921	1602;1601	爱丽丝（配角），未成年却被逼入歧途的少女，被塔克误打误撞而解救。
1126	1035	1	内特	2102	2	1102	1201	1401	1501	1902;1922;1929;1917;1931	1602;1603	内特（主角），完美主义者，高IQ低EQ的典范，认为自己是万能且无法被超越的。
1127	1035	2	谢波德	2102	2	1102	1201	0	1501	1902;1922;1929;1917;1935	1601;1602	谢波德（主角），有着较为正常EQ的理工科男，善良朴实，与贝蒂有着不可言说的暧昧。
1128	1035	3	瓦德	2101	2	0	0	0	0	1902;1922;1929;1917;1945	1605;1603	瓦德（主角），自认情场高手其实屡战屡败，在4个高材生中学历最低（硕士），因此经常被嘲笑。
1129	1035	4	拉瑞	2102	2	1102	1201	1401	0	1902;1922;1929;1917;1945	1602;1601	拉瑞（主角），孤单的单身印度男生，因为文化背景、个性特点经常闹出笑话。
1130	1035	5	贝蒂	2103	1	1101	1201	0	1501	1902;1932;1904;1940;1942	1605;1602	贝蒂（主角），智商普通但是社交能力健全的金发美女，与4个高智商科学家一起打交道的日子里逐渐变得生动可爱。
1131	1036	1	尼克	2102	2	1102	1201	1401	0	1935;1907;1902;1930;1931	1602;1604	尼克（主角），在一次放羊中认识比尔并互相爱慕，迫于社会压力与海伦结婚后依然每年背地里与比尔见面。
1132	1036	2	比尔	2102	2	1102	1201	0	1501	1935;1931;1945;1902;1921	1601;1602	比尔（主角），健谈且骑术高超的牛仔，依靠妻子家族的扶持而事业蒸蒸日上。
1133	1036	3	艾尔莎	2104	2	0	0	0	0	1902;1904;1931;1935;1932	1603;1601	艾尔莎（配角），虽然帮助比尔的事业，但与比尔貌合神离，并不知道比尔的真实想法，
1134	1036	4	海伦	2106	1	1101	1201	1402	0	1902;1904;1931;1935;1932	1602;1603	海伦（配角），尼克的青梅竹马，后与尼克结婚，但不久发现了尼克和比尔的感情，最终离婚。
1135	1037	1	恩瑞	2101	2	0	0	1401	0	1905;1902;1903;1935;1917	1603;1602	恩瑞（主角），典型的花花公子，但一次在咖啡馆的邂逅，改变了他的平静生活。
1136	1037	2	妮可	2101	2	0	0	1402	0	1902;1904;1932;1931;1938	1601;1603	妮可（主角），拥有丰满娇韵的身材，如瀑般的金发，但不幸的是，她同时也拥有着一种罕见的失忆症。
1137	1037	3	萨沙	2104	2	0	0	0	0	1941;1940;1910;1921;1917	1602;1605	萨沙（配角），咖啡店的老板，给了恩瑞很多有用的信息。
1138	1037	4	杰克	2104	2	0	0	0	0	1941;1921;1931;1934;1945	1603;1605	杰克（配角），妮可的父亲，不信任恩瑞会对失忆的妮可付出真情。
1139	1038	1	迪伦	2102	2	1102	0	1401	1502	1941;1946;1933;1921;1931	1602;1603	迪伦（主角），大学教授，收留了小九后与小九建立起深厚的感情。
1140	1038	2	小九	2101	2	0	0	0	0	1907;1928;1931;1935;1942	1603;1604	小九（主角），在被收留后每天与迪伦一起散步，在迪伦突然去世后依然一直坚守在迪伦每天乘车的公交站。
1141	1038	3	琼	2106	1	1101	1201	0	0	1932;1935;1904;1941;1921	1602;1601	琼（配角），迪伦的妻子，一开始反对收养小九，但在被迪伦和小九的感情温暖后，慢慢接受了小九。
1142	1039	1	爱丽丝	2103	1	1101	0	0	0	1902;1903;1935;1932;1931	1603;1602	爱丽丝（主角），一位年轻的售货小姐，心中向往着摄影师的工作，邂逅了优雅的已婚女性蕾切尔，并爱上了对方。
1143	1039	2	蕾切尔	2101	2	0	0	0	1502	1909;1932;1935;1904;1931	1604;1603	蕾切尔（主角），偶然间与爱丽丝一见投缘并互相爱慕，但多年的生活经验告诉她，这份感情是不会有结果的。
