int	string	string	int	int	DTItemNum[]	int	DTItemNum	int
1065	暗中交易	竞争对手提出的交易	7309	1003	4001:5;4002:5	2	9002:2	15
1066	周边换购	学校开放日的申请	7310	1003	4017:5;4018:5	3	5004:4	20
1067	地下渠道	来自地下渠道的消息	7311	1003	4003:5;4004:5	3	9002:4	20
1068	周边换购	紧急替代品请求	7312	1003	4003:5;4004:5	3	5005:35	20
1069	周边换购	对手的竞争性请求	7313	1003	4015:5;4016:5	3	5004:4	20
1070	暗中交易	竞争对手提出的交易	7314	1003	4005:5;4006:5	3	9002:4	20
1071	周边换购	学校开放日的申请	7301	1003	4017:6;4018:6	3	5004:4	20
1072	地下渠道	来自地下渠道的消息	7302	1003	4015:6;4016:6	4	9002:4	25
1073	周边换购	紧急替代品请求	7303	1003	4011:6;4012:6	4	5005:35	25
1074	周边换购	对手的竞争性请求	7304	1003	4013:6;4014:6	4	2:20000	25
1075	暗中交易	竞争对手提出的交易	7305	1003	4013:6;4014:6	4	9002:4	25
1076	周边换购	学校开放日的申请	7306	1004	4005:2;4006:2	1	2:6000	5
1077	地下渠道	来自地下渠道的消息	7307	1004	4007:2;4008:2	1	5005:10	5
1078	周边换购	紧急替代品请求	7308	1004	4008:2;4009:2	1	5005:11	5
1079	周边换购	对手的竞争性请求	7309	1004	4011:2;4012:2	1	5005:12	5
1080	暗中交易	竞争对手提出的交易	7310	1004	4013:2;4014:2	1	2:6000	5
1081	周边换购	学校开放日的申请	7311	1004	4001:2;4002:2	1	2:6000	5
1082	地下渠道	来自地下渠道的消息	7312	1004	4003:2;4004:2	1	5005:10	5
1083	周边换购	紧急替代品请求	7313	1004	4001:2;4002:2	1	5005:11	5
1084	周边换购	对手的竞争性请求	7314	1004	4003:2;4004:2	1	5005:12	5
1085	暗中交易	竞争对手提出的交易	7301	1004	4005:2;4006:2	1	5005:12	5
1086	周边换购	学校开放日的申请	7302	1004	4005:2;4006:2	1	2:6000	5
1087	地下渠道	来自地下渠道的消息	7303	1004	4015:2;4016:2	1	2:6000	5
1088	周边换购	紧急替代品请求	7304	1004	4010:2;4011:2	1	2:6000	5
1089	周边换购	对手的竞争性请求	7305	1004	4013:2;4014:2	1	5004:1	5
1090	暗中交易	竞争对手提出的交易	7306	1004	4001:2;4002:2	1	5004:1	5
1091	周边换购	学校开放日的申请	7307	1004	4017:2;4018:2	1	9002:2	10
1092	地下渠道	来自地下渠道的消息	7308	1004	4003:2;4004:2	1	9002:2	10
1093	周边换购	紧急替代品请求	7309	1004	4003:2;4004:2	1	2:6000	10
1094	周边换购	对手的竞争性请求	7310	1004	4005:2;4006:2	1	9002:2	10
1095	暗中交易	竞争对手提出的交易	7311	1004	4005:2;4006:2	1	5005:30	10
1096	周边换购	学校开放日的申请	7312	1004	4007:2;4008:2	1	5005:30	10
1097	地下渠道	来自地下渠道的消息	7313	1004	4008:2;4009:2	1	5005:30	10
1098	周边换购	紧急替代品请求	7314	1004	4011:2;4012:2	1	2:6000	10
1099	周边换购	对手的竞争性请求	7301	1004	4013:2;4014:2	1	9002:2	10
1100	暗中交易	竞争对手提出的交易	7302	1004	4001:4;4002:4	2	2:12000	15
1101	周边换购	学校开放日的申请	7303	1004	4017:4;4018:4	2	5005:30	15
1102	地下渠道	来自地下渠道的消息	7304	1004	4003:4;4004:4	2	5005:30	15
1103	周边换购	紧急替代品请求	7305	1004	4015:4;4016:4	2	2:12000	15
1104	周边换购	对手的竞争性请求	7306	1004	4005:4;4006:4	2	5005:30	15
1105	暗中交易	竞争对手提出的交易	7307	1004	4013:4;4014:4	2	5004:3	15
1106	周边换购	学校开放日的申请	7308	1004	4007:4;4008:4	2	9002:3	15
1107	地下渠道	来自地下渠道的消息	7309	1004	4007:4;4008:4	2	2:12000	15
1108	周边换购	紧急替代品请求	7310	1004	4010:4;4011:4	2	9002:2	15
1109	周边换购	对手的竞争性请求	7311	1004	4013:5;4014:5	3	5004:4	20
1110	暗中交易	竞争对手提出的交易	7312	1004	4001:5;4002:5	3	5004:4	20
1111	周边换购	学校开放日的申请	7313	1004	4017:5;4018:5	3	9002:4	20
1112	地下渠道	来自地下渠道的消息	7314	1004	4003:5;4004:5	3	5005:35	20
1113	周边换购	紧急替代品请求	7301	1004	4003:5;4004:5	3	5004:4	20
1114	周边换购	对手的竞争性请求	7302	1004	4015:5;4016:5	3	9002:4	20
1115	暗中交易	竞争对手提出的交易	7303	1004	4005:5;4006:5	3	5004:4	20
1116	周边换购	学校开放日的申请	7304	1004	4017:6;4018:6	4	9002:4	25
1117	地下渠道	来自地下渠道的消息	7305	1004	4015:6;4016:6	4	2:30000	25
1118	周边换购	紧急替代品请求	7306	1004	4011:6;4012:6	4	5005:35	25
1119	周边换购	对手的竞争性请求	7307	1004	4013:6;4014:6	4	2:30000	25
1120	暗中交易	竞争对手提出的交易	7308	1004	4013:6;4014:6	4	9002:4	25
1121	周边换购	学校开放日的申请	7309	1005	4001:2;4002:2	1	2:8000	5
1122	地下渠道	来自地下渠道的消息	7310	1005	4001:2;4002:2	1	5005:10	5
1123	周边换购	紧急替代品请求	7311	1005	4003:2;4004:2	1	5005:11	5
1124	周边换购	对手的竞争性请求	7312	1005	4003:2;4004:2	1	5005:12	5
1125	暗中交易	竞争对手提出的交易	7313	1005	4005:2;4006:2	1	2:8000	5
1126	周边换购	学校开放日的申请	7314	1005	4005:2;4006:2	1	2:8000	5
1127	地下渠道	来自地下渠道的消息	7301	1005	4007:2;4008:2	1	5005:10	5
1128	周边换购	紧急替代品请求	7302	1005	4008:2;4009:2	1	5005:11	5
1129	周边换购	对手的竞争性请求	7303	1005	4011:2;4012:2	1	5005:12	5
1130	暗中交易	竞争对手提出的交易	7304	1005	4013:2;4014:2	1	2:8000	5
1131	周边换购	学校开放日的申请	7305	1005	4001:2;4002:2	1	2:8000	5
1132	地下渠道	来自地下渠道的消息	7306	1005	4003:2;4004:2	1	5005:10	5
1133	周边换购	紧急替代品请求	7307	1005	4001:2;4002:2	1	5005:11	5
1134	周边换购	对手的竞争性请求	7308	1005	4003:2;4004:2	1	5005:12	5
1135	暗中交易	竞争对手提出的交易	7309	1005	4005:2;4006:2	1	5005:12	5
1136	周边换购	学校开放日的申请	7310	1005	4005:2;4006:2	1	2:8000	5
1137	地下渠道	来自地下渠道的消息	7311	1005	4015:2;4016:2	1	2:8000	5
1138	周边换购	紧急替代品请求	7312	1005	4010:2;4011:2	1	2:8000	5
1139	周边换购	对手的竞争性请求	7313	1005	4013:2;4014:2	1	5004:1	5
1140	暗中交易	竞争对手提出的交易	7314	1005	4001:2;4002:2	1	5004:1	5
1141	周边换购	学校开放日的申请	7301	1005	4017:2;4018:2	1	9002:2	10
1142	地下渠道	来自地下渠道的消息	7302	1005	4003:2;4004:2	1	9002:2	10
1143	周边换购	紧急替代品请求	7303	1005	4003:2;4004:2	1	2:8000	10
1144	周边换购	对手的竞争性请求	7304	1005	4005:2;4006:2	1	9002:2	10
1145	暗中交易	竞争对手提出的交易	7305	1005	4005:2;4006:2	1	5005:30	10
1146	周边换购	学校开放日的申请	7306	1005	4007:2;4008:2	1	5005:30	10
1147	地下渠道	来自地下渠道的消息	7307	1005	4008:2;4009:2	1	5005:30	10
1148	周边换购	紧急替代品请求	7308	1005	4011:2;4012:2	1	2:8000	10
1149	周边换购	对手的竞争性请求	7309	1005	4013:2;4014:2	1	9002:2	10
1150	暗中交易	竞争对手提出的交易	7310	1005	4001:4;4002:4	2	2:16000	15
1151	周边换购	学校开放日的申请	7311	1005	4017:4;4018:4	2	5005:30	15
1152	地下渠道	来自地下渠道的消息	7312	1005	4003:4;4004:4	2	5005:30	15
1153	周边换购	紧急替代品请求	7313	1005	4015:4;4016:4	2	2:16000	15
1154	周边换购	对手的竞争性请求	7314	1005	4005:4;4006:4	2	5005:30	15
1155	暗中交易	竞争对手提出的交易	7301	1005	4013:4;4014:4	2	5004:3	15
1156	周边换购	学校开放日的申请	7302	1005	4007:4;4008:4	2	9002:3	15
1157	地下渠道	来自地下渠道的消息	7303	1005	4007:4;4008:4	2	2:16000	15
1158	周边换购	紧急替代品请求	7304	1005	4010:4;4011:4	2	9002:2	15
1159	周边换购	对手的竞争性请求	7305	1005	4013:5;4014:5	3	5004:4	20
1160	暗中交易	竞争对手提出的交易	7306	1005	4001:5;4002:5	3	5004:4	20
1161	周边换购	学校开放日的申请	7307	1005	4017:5;4018:5	3	9002:4	20
1162	地下渠道	来自地下渠道的消息	7308	1005	4003:5;4004:5	3	5005:35	20
1163	周边换购	紧急替代品请求	7309	1005	4003:5;4004:5	3	5004:4	20
1164	周边换购	对手的竞争性请求	7310	1005	4015:5;4016:5	3	9002:4	20
1165	暗中交易	竞争对手提出的交易	7311	1005	4005:5;4006:5	3	5004:4	20
1166	周边换购	学校开放日的申请	7312	1005	4017:6;4018:6	4	9002:4	25
1167	地下渠道	来自地下渠道的消息	7313	1005	4015:6;4016:6	4	2:40000	25
1168	周边换购	紧急替代品请求	7314	1005	4011:6;4012:6	4	5005:35	25
1169	周边换购	对手的竞争性请求	7301	1005	4013:6;4014:6	4	2:40000	25
1170	暗中交易	竞争对手提出的交易	7302	1005	4013:6;4014:6	4	9002:4	25
1171	周边换购	学校开放日的申请	7303	1006	4001:4;4002:4	1	2:10000	5
1172	地下渠道	来自地下渠道的消息	7304	1006	4001:4;4002:4	1	5005:10	5
1173	周边换购	紧急替代品请求	7305	1006	4001:4;4002:4	1	5005:11	5
1174	周边换购	对手的竞争性请求	7306	1006	4003:4;4004:4	1	5005:12	5
1175	暗中交易	竞争对手提出的交易	7307	1006	4003:4;4004:4	1	2:10000	5
1176	周边换购	学校开放日的申请	7308	1006	4003:4;4004:4	1	2:10000	5
1177	地下渠道	来自地下渠道的消息	7309	1006	4005:4;4006:4	1	5005:10	5
1178	周边换购	紧急替代品请求	7310	1006	4005:4;4006:4	1	5004:1	5
1179	周边换购	对手的竞争性请求	7311	1006	4005:4;4006:4	1	5004:1	5
1180	暗中交易	竞争对手提出的交易	7312	1006	4008:4;4009:4	1	2:10000	5
1181	周边换购	学校开放日的申请	7313	1006	4008:4;4009:4	1	2:10000	5
1182	地下渠道	来自地下渠道的消息	7314	1006	4008:4;4009:4	1	9002:1	5
1183	周边换购	紧急替代品请求	7301	1006	4010:4;4011:4	1	5005:11	5
1184	周边换购	对手的竞争性请求	7302	1006	4010:4;4011:4	1	9002:1	5
1185	暗中交易	竞争对手提出的交易	7303	1006	4010:4;4011:4	1	5005:12	5
1186	周边换购	学校开放日的申请	7304	1006	4013:4;4014:4	1	2:10000	5
1187	地下渠道	来自地下渠道的消息	7305	1006	4013:4;4014:4	1	2:10000	5
1188	周边换购	紧急替代品请求	7306	1006	4013:4;4014:4	1	2:10000	5
1189	周边换购	对手的竞争性请求	7307	1006	4017:4;4018:4	1	5004:1	5
1190	暗中交易	竞争对手提出的交易	7308	1006	4017:4;4018:4	1	5004:1	5
1191	周边换购	学校开放日的申请	7309	1006	4001:4;4002:4	1	2:10000	10
1192	地下渠道	来自地下渠道的消息	7310	1006	4001:4;4002:4	1	5005:20	10
1193	周边换购	紧急替代品请求	7311	1006	4001:4;4002:4	1	5005:22	10
1194	周边换购	对手的竞争性请求	7312	1006	4003:4;4004:4	1	5005:25	10
1195	暗中交易	竞争对手提出的交易	7313	1006	4005:4;4006:4	1	2:10000	10
1196	周边换购	学校开放日的申请	7314	1006	4005:4;4006:4	1	2:10000	10
1197	地下渠道	来自地下渠道的消息	7301	1006	4005:4;4006:4	1	5005:10	10
1198	周边换购	紧急替代品请求	7302	1006	4007:4;4008:4	1	5004:2	10
1199	周边换购	对手的竞争性请求	7303	1006	4010:4;4011:4	1	5004:2	10
1200	暗中交易	竞争对手提出的交易	7304	1006	4010:4;4011:4	1	2:10000	10
1201	周边换购	学校开放日的申请	7305	1006	4010:4;4011:4	1	2:10000	10
1202	地下渠道	来自地下渠道的消息	7306	1006	4013:4;4014:4	1	9002:2	10
1203	周边换购	紧急替代品请求	7307	1006	4013:4;4014:4	1	5005:27	10
1204	周边换购	对手的竞争性请求	7308	1006	4013:4;4014:4	1	9002:2	10
1205	暗中交易	竞争对手提出的交易	7309	1006	4016:4;4017:4	1	5005:28	10
1206	周边换购	学校开放日的申请	7310	1006	4016:4;4017:4	1	2:10000	10
1207	地下渠道	来自地下渠道的消息	7311	1006	4001:10;4002:10	2	2:20000	15
1208	周边换购	紧急替代品请求	7312	1006	4005:10;4006:10	2	5005:27	15
1209	周边换购	对手的竞争性请求	7313	1006	4007:10;4008:10	2	9002:3	15
1210	暗中交易	竞争对手提出的交易	7314	1006	4007:10;4008:10	2	5005:28	15
1211	周边换购	学校开放日的申请	7301	1006	4010:10;4011:10	2	2:20000	15
1212	地下渠道	来自地下渠道的消息	7302	1006	4010:10;4011:10	2	2:20000	15
1213	周边换购	紧急替代品请求	7303	1006	4010:10;4011:10	2	5005:20	15
1214	周边换购	对手的竞争性请求	7304	1006	4013:10;4014:10	2	5004:3	15
1215	暗中交易	竞争对手提出的交易	7305	1006	4013:10;4014:10	2	5004:3	15
1216	周边换购	学校开放日的申请	7306	1006	4013:10;4014:10	2	2:20000	15
1217	地下渠道	来自地下渠道的消息	7307	1006	4017:10;4018:10	2	2:20000	15
1218	周边换购	紧急替代品请求	7308	1006	4017:10;4018:10	2	9002:3	15
1219	周边换购	对手的竞争性请求	7309	1006	4001:13;4002:13	3	5005:33	20
1220	暗中交易	竞争对手提出的交易	7310	1006	4001:13;4002:13	3	2:30000	20
1221	周边换购	学校开放日的申请	7311	1006	4003:13;4004:13	3	5005:35	20
1222	地下渠道	来自地下渠道的消息	7312	1006	4003:13;4004:13	3	9002:4	20
1223	周边换购	紧急替代品请求	7313	1006	4005:13;4006:13	3	5005:38	20
1224	周边换购	对手的竞争性请求	7314	1006	4007:13;4008:13	3	2:30000	20
1225	暗中交易	竞争对手提出的交易	7301	1006	4010:13;4011:13	3	2:30000	20
1226	周边换购	学校开放日的申请	7302	1006	4013:13;4014:13	3	5005:30	20
1227	地下渠道	来自地下渠道的消息	7303	1006	4001:16;4002:16	4	5005:30	25
1228	周边换购	紧急替代品请求	7304	1006	4005:16;4006:16	4	2:50000	25
1229	周边换购	对手的竞争性请求	7305	1006	4010:16;4011:16	4	9002:5	25
1230	暗中交易	竞争对手提出的交易	7306	1006	4016:16;4017:16	4	5004:5	25
1231	周边换购	学校开放日的申请	7307	1007	4001:4;4002:4	1	2:12000	5
1232	地下渠道	来自地下渠道的消息	7308	1007	4017:4;4018:4	1	5005:10	5
1233	周边换购	紧急替代品请求	7309	1007	4001:4;4002:4	1	5005:11	5
1234	周边换购	对手的竞争性请求	7310	1007	4003:4;4004:4	1	5005:12	5
1235	暗中交易	竞争对手提出的交易	7311	1007	4003:4;4004:4	1	2:12000	5
1236	周边换购	学校开放日的申请	7312	1007	4003:4;4004:4	1	2:12000	5
1237	地下渠道	来自地下渠道的消息	7313	1007	4005:4;4006:4	1	5005:10	5
1238	周边换购	紧急替代品请求	7314	1007	4005:4;4006:4	1	5004:1	5
1239	周边换购	对手的竞争性请求	7301	1007	4005:4;4006:4	1	5004:1	5
1240	暗中交易	竞争对手提出的交易	7302	1007	4008:4;4009:4	1	2:12000	5
1241	周边换购	学校开放日的申请	7303	1007	4008:4;4009:4	1	2:12000	5
1242	地下渠道	来自地下渠道的消息	7304	1007	4008:4;4009:4	1	9002:1	5
1243	周边换购	紧急替代品请求	7305	1007	4010:4;4011:4	1	5005:11	5
1244	周边换购	对手的竞争性请求	7306	1007	4010:4;4011:4	1	9002:1	5
1245	暗中交易	竞争对手提出的交易	7307	1007	4010:4;4011:4	1	5005:12	5
1246	周边换购	学校开放日的申请	7308	1007	4013:4;4014:4	1	2:12000	5
1247	地下渠道	来自地下渠道的消息	7309	1007	4013:4;4014:4	1	2:12000	5
1248	周边换购	紧急替代品请求	7310	1007	4013:4;4014:4	1	2:12000	5
1249	周边换购	对手的竞争性请求	7311	1007	4017:4;4018:4	1	5004:1	5
1250	暗中交易	竞争对手提出的交易	7312	1007	4017:4;4018:4	1	5004:1	5
1251	周边换购	学校开放日的申请	7313	1007	4001:4;4002:4	1	2:12000	10
1252	地下渠道	来自地下渠道的消息	7314	1007	4016:4;4017:4	1	5005:20	10
1253	周边换购	紧急替代品请求	7301	1007	4001:4;4002:4	1	5005:22	10
1254	周边换购	对手的竞争性请求	7302	1007	4003:4;4004:4	1	5005:25	10
1255	暗中交易	竞争对手提出的交易	7303	1007	4005:4;4006:4	1	2:12000	10
1256	周边换购	学校开放日的申请	7304	1007	4005:4;4006:4	1	2:12000	10
1257	地下渠道	来自地下渠道的消息	7305	1007	4005:4;4006:4	1	5005:10	10
1258	周边换购	紧急替代品请求	7306	1007	4007:4;4008:4	1	5004:2	10
1259	周边换购	对手的竞争性请求	7307	1007	4010:4;4011:4	1	5004:2	10
1260	暗中交易	竞争对手提出的交易	7308	1007	4010:4;4011:4	1	2:12000	10
1261	周边换购	学校开放日的申请	7309	1007	4010:4;4011:4	1	2:12000	10
1262	地下渠道	来自地下渠道的消息	7310	1007	4013:4;4014:4	1	9002:2	10
1263	周边换购	紧急替代品请求	7311	1007	4013:4;4014:4	1	5005:27	10
1264	周边换购	对手的竞争性请求	7312	1007	4013:4;4014:4	1	9002:2	10
1265	暗中交易	竞争对手提出的交易	7313	1007	4016:4;4017:4	1	5005:28	10
1266	周边换购	学校开放日的申请	7314	1007	4016:4;4017:4	1	2:12000	10
1267	地下渠道	来自地下渠道的消息	7301	1007	4001:10;4002:10	2	2:28000	15
1268	周边换购	紧急替代品请求	7302	1007	4017:10;4018:10	2	5005:27	15
1269	周边换购	对手的竞争性请求	7303	1007	4007:10;4008:10	2	9002:3	15
1270	暗中交易	竞争对手提出的交易	7304	1007	4007:10;4008:10	2	5005:28	15
1271	周边换购	学校开放日的申请	7305	1007	4010:10;4011:10	2	2:28000	15
1272	地下渠道	来自地下渠道的消息	7306	1007	4010:10;4011:10	2	2:28000	15
1273	周边换购	紧急替代品请求	7307	1007	4010:10;4011:10	2	5005:20	15
1274	周边换购	对手的竞争性请求	7308	1007	4013:10;4014:10	2	5004:3	15
1275	暗中交易	竞争对手提出的交易	7309	1007	4013:10;4014:10	2	5004:3	15
1276	周边换购	学校开放日的申请	7310	1007	4013:10;4014:10	2	2:28000	15
1277	地下渠道	来自地下渠道的消息	7311	1007	4017:10;4018:10	2	2:28000	15
1278	周边换购	紧急替代品请求	7312	1007	4017:10;4018:10	2	9002:3	15
1279	周边换购	对手的竞争性请求	7313	1007	4001:13;4002:13	3	5005:33	20
1280	暗中交易	竞争对手提出的交易	7314	1007	4017:13;4018:13	3	2:36000	20
1281	周边换购	学校开放日的申请	7301	1007	4015:13;4016:13	3	5005:35	20
1282	地下渠道	来自地下渠道的消息	7302	1007	4003:13;4004:13	3	9002:4	20
1283	周边换购	紧急替代品请求	7303	1007	4005:13;4006:13	3	5005:38	20
1284	周边换购	对手的竞争性请求	7304	1007	4007:13;4008:13	3	2:36000	20
1285	暗中交易	竞争对手提出的交易	7305	1007	4010:13;4011:13	3	2:36000	20
1286	周边换购	学校开放日的申请	7306	1007	4013:13;4014:13	3	5005:30	20
1287	地下渠道	来自地下渠道的消息	7307	1007	4017:16;4018:16	4	5005:30	25
1288	周边换购	紧急替代品请求	7308	1007	4015:16;4016:16	4	2:60000	25
1289	周边换购	对手的竞争性请求	7309	1007	4010:16;4011:16	4	9002:5	25
1290	暗中交易	竞争对手提出的交易	7310	1007	4016:16;4017:16	4	5004:5	25
1291	周边换购	学校开放日的申请	7311	1008	4001:4;4002:4	1	2:14000	5
1292	地下渠道	来自地下渠道的消息	7312	1008	4017:4;4018:4	1	5005:10	5
1293	周边换购	紧急替代品请求	7313	1008	4001:4;4002:4	1	5005:11	5
1294	周边换购	对手的竞争性请求	7314	1008	4003:4;4004:4	1	5005:12	5
1295	暗中交易	竞争对手提出的交易	7301	1008	4003:4;4004:4	1	2:14000	5
1296	周边换购	学校开放日的申请	7302	1008	4003:4;4004:4	1	2:14000	5
1297	地下渠道	来自地下渠道的消息	7303	1008	4005:4;4006:4	1	5005:10	5
1298	周边换购	紧急替代品请求	7304	1008	4005:4;4006:4	1	5004:1	5
1299	周边换购	对手的竞争性请求	7305	1008	4005:4;4006:4	1	5004:1	5
1300	暗中交易	竞争对手提出的交易	7306	1008	4008:4;4009:4	1	2:14000	5
1301	周边换购	学校开放日的申请	7307	1008	4008:4;4009:4	1	2:14000	5
1302	地下渠道	来自地下渠道的消息	7308	1008	4008:4;4009:4	1	9002:1	5
1303	周边换购	紧急替代品请求	7309	1008	4010:4;4011:4	1	5005:11	5
1304	周边换购	对手的竞争性请求	7310	1008	4010:4;4011:4	1	9002:1	5
1305	暗中交易	竞争对手提出的交易	7311	1008	4010:4;4011:4	1	5005:12	5
1306	周边换购	学校开放日的申请	7312	1008	4013:4;4014:4	1	2:14000	5
1307	地下渠道	来自地下渠道的消息	7313	1008	4013:4;4014:4	1	2:14000	5
1308	周边换购	紧急替代品请求	7314	1008	4013:4;4014:4	1	2:14000	5
1309	周边换购	对手的竞争性请求	7301	1008	4017:4;4018:4	1	5004:1	5
1310	暗中交易	竞争对手提出的交易	7302	1008	4017:4;4018:4	1	5004:1	5
1311	周边换购	学校开放日的申请	7303	1008	4001:4;4002:4	1	2:14000	10
1312	地下渠道	来自地下渠道的消息	7304	1008	4016:4;4017:4	1	5005:20	10
1313	周边换购	紧急替代品请求	7305	1008	4001:4;4002:4	1	5005:22	10
1314	周边换购	对手的竞争性请求	7306	1008	4003:4;4004:4	1	5005:25	10
1315	暗中交易	竞争对手提出的交易	7307	1008	4005:4;4006:4	1	2:14000	10
1316	周边换购	学校开放日的申请	7308	1008	4005:4;4006:4	1	2:14000	10
1317	地下渠道	来自地下渠道的消息	7309	1008	4005:4;4006:4	1	5005:10	10
1318	周边换购	紧急替代品请求	7310	1008	4007:4;4008:4	1	5004:2	10
1319	周边换购	对手的竞争性请求	7311	1008	4010:4;4011:4	1	5004:2	10
