int	int	int	int	int	int	int	int	int	int	int	int	int	DTItemNum	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
23	4	8	5	10	6	12	8	16	10	20	12	24	2:5810	24	30	36	48	60	72	0	0	0	0	0	0	0	0	0	0	0	0	1	386	483	579	772	965	1158
24	4	8	5	10	6	12	8	16	10	20	12	25	2:6060	26	32	39	52	65	78	0	0	0	0	0	0	0	0	0	0	0	0	1	410	513	615	820	1025	1230
25	4	8	5	10	6	12	8	17	10	21	12	25	2:6310	26	33	39	52	65	78	0	0	0	0	0	0	0	0	0	0	0	0	1	436	545	654	872	1090	1308
26	4	8	5	11	6	13	8	17	11	22	13	26	2:6570	28	35	42	56	70	84	0	0	0	0	0	0	0	0	0	0	0	0	1	462	578	693	924	1155	1386
27	4	9	5	11	6	13	9	18	11	22	13	27	2:6820	28	35	42	56	70	84	0	0	0	0	0	0	0	0	0	0	0	0	1	490	613	735	980	1225	1470
28	4	9	5	11	7	14	9	18	11	23	14	28	2:7070	30	37	45	60	75	90	0	0	0	0	0	0	0	0	0	0	0	0	1	518	648	777	1036	1295	1554
29	4	9	6	12	7	14	9	19	12	24	14	28	2:7320	30	38	45	60	75	90	50	100	150	200	250	300	10	10	10	10	10	10	1	548	685	822	1096	1370	1644
30	4	9	6	12	7	14	9	19	12	24	14	29	2:7580	32	40	48	64	80	96	0	0	0	0	0	0	0	0	0	0	0	0	1	578	723	867	1156	1445	1734
31	5	10	6	12	7	15	10	20	12	25	15	30	2:22707	32	40	48	64	80	96	0	0	0	0	0	0	0	0	0	0	0	0	1	610	763	915	1220	1525	1830
32	5	10	6	12	7	15	10	20	12	25	15	31	2:23432	34	42	51	68	85	102	0	0	0	0	0	0	0	0	0	0	0	0	1	642	803	963	1284	1605	1926
33	5	10	6	13	7	15	10	21	13	26	15	31	2:24157	34	43	51	68	85	102	0	0	0	0	0	0	0	0	0	0	0	0	1	676	845	1014	1352	1690	2028
34	5	10	6	13	8	16	10	21	13	27	16	32	2:24911	36	45	54	72	90	108	0	0	0	0	0	0	0	0	0	0	0	0	1	710	888	1065	1420	1775	2130
35	5	11	6	13	8	16	11	22	13	27	16	33	2:25636	36	45	54	72	90	108	0	0	0	0	0	0	0	0	0	0	0	0	1	746	933	1119	1492	1865	2238
36	5	11	7	14	8	17	11	22	14	28	17	34	2:26361	38	47	57	76	95	114	0	0	0	0	0	0	0	0	0	0	0	0	1	782	978	1173	1564	1955	2346
37	5	11	7	14	8	17	11	23	14	29	17	34	2:27086	38	48	57	76	95	114	0	0	0	0	0	0	0	0	0	0	0	0	1	820	1025	1230	1640	2050	2460
38	5	11	7	14	8	17	11	23	14	29	17	35	2:27840	40	50	60	80	100	120	0	0	0	0	0	0	0	0	0	0	0	0	1	858	1073	1287	1716	2145	2574
39	6	12	7	15	9	18	12	24	15	30	18	36	2:28565	40	50	60	80	100	120	50	100	150	200	250	300	10	10	10	10	10	10	1	898	1123	1347	1796	2245	2694
40	6	12	7	15	9	18	12	24	15	30	18	37	2:29290	42	52	63	84	105	126	0	0	0	0	0	0	0	0	0	0	0	0	1	938	1173	1407	1876	2345	2814
41	6	12	7	15	9	18	12	25	15	31	18	37	2:30015	42	53	63	84	105	126	0	0	0	0	0	0	0	0	0	0	0	0	1	980	1225	1470	1960	2450	2940
42	6	12	8	16	9	19	12	25	16	32	19	38	2:30769	44	55	66	88	110	132	0	0	0	0	0	0	0	0	0	0	0	0	1	1022	1278	1533	2044	2555	3066
43	6	13	8	16	9	19	13	26	16	32	19	39	2:31494	44	55	66	88	110	132	0	0	0	0	0	0	0	0	0	0	0	0	1	1066	1333	1599	2132	2665	3198
44	6	13	8	16	10	20	13	26	16	33	20	40	2:32219	46	57	69	92	115	138	0	0	0	0	0	0	0	0	0	0	0	0	1	1110	1388	1665	2220	2775	3330
45	6	13	8	16	10	20	13	27	16	33	20	40	2:32944	46	58	69	92	115	138	0	0	0	0	0	0	0	0	0	0	0	0	1	1156	1445	1734	2312	2890	3468
46	6	13	8	17	10	20	13	27	17	34	20	41	2:33698	48	60	72	96	120	144	0	0	0	0	0	0	0	0	0	0	0	0	1	1202	1503	1803	2404	3005	3606
47	7	14	8	17	10	21	14	28	17	35	21	42	2:34423	48	60	72	96	120	144	0	0	0	0	0	0	0	0	0	0	0	0	1	1250	1563	1875	2500	3125	3750
48	7	14	8	17	10	21	14	28	17	35	21	42	2:35148	50	62	75	100	125	150	0	0	0	0	0	0	0	0	0	0	0	0	1	1298	1623	1947	2596	3245	3894
49	7	14	9	18	10	21	14	29	18	36	21	43	2:35873	50	63	75	100	125	150	50	100	150	200	250	300	10	10	10	10	10	10	1	1348	1685	2022	2696	3370	4044
50	7	14	9	18	11	22	14	29	18	37	22	44	2:36598	52	65	78	104	130	156	0	0	0	0	0	0	0	0	0	0	0	0	1	1398	1748	2097	2796	3495	4194
51	7	15	9	18	11	22	15	30	18	37	22	45	2:37352	52	65	78	104	130	156	0	0	0	0	0	0	0	0	0	0	0	0	1	1450	1813	2175	2900	3625	4350
52	7	15	9	19	11	22	15	30	19	38	22	45	2:38077	54	67	81	108	135	162	0	0	0	0	0	0	0	0	0	0	0	0	1	1502	1878	2253	3004	3755	4506
53	7	15	9	19	11	23	15	31	19	38	23	46	2:38802	54	68	81	108	135	162	0	0	0	0	0	0	0	0	0	0	0	0	1	1556	1945	2334	3112	3890	4668
54	7	15	9	19	11	23	15	31	19	39	23	47	2:39527	56	70	84	112	140	168	0	0	0	0	0	0	0	0	0	0	0	0	1	1610	2013	2415	3220	4025	4830
55	8	16	10	20	12	24	16	32	20	40	24	48	2:40281	56	70	84	112	140	168	0	0	0	0	0	0	0	0	0	0	0	0	1	1666	2083	2499	3332	4165	4998
56	8	16	10	20	12	24	16	32	20	40	24	48	2:41006	58	72	87	116	145	174	0	0	0	0	0	0	0	0	0	0	0	0	1	1722	2153	2583	3444	4305	5166
57	8	16	10	20	12	24	16	33	20	41	24	49	2:41731	58	73	87	116	145	174	0	0	0	0	0	0	0	0	0	0	0	0	1	1780	2225	2670	3560	4450	5340
58	8	16	10	20	12	25	16	33	20	41	25	50	2:42456	60	75	90	120	150	180	0	0	0	0	0	0	0	0	0	0	0	0	1	1838	2298	2757	3676	4595	5514
59	8	17	10	21	12	25	17	34	21	42	25	51	2:43210	60	75	90	120	150	180	50	100	150	200	250	300	10	10	10	10	10	10	1	1898	2373	2847	3796	4745	5694
60	8	17	10	21	12	25	17	34	21	43	25	51	2:43935	62	77	93	124	155	186	0	0	0	0	0	0	0	0	0	0	0	0	1	1958	2448	2937	3916	4895	5874
61	8	17	10	21	13	26	17	35	21	43	26	52	2:89320	62	78	93	124	155	186	0	0	0	0	0	0	0	0	0	0	0	0	1	2020	2525	3030	4040	5050	6060
62	8	17	11	22	13	26	17	35	22	44	26	53	2:90770	64	80	96	128	160	192	0	0	0	0	0	0	0	0	0	0	0	0	1	2082	2603	3123	4164	5205	6246
63	9	18	11	22	13	27	18	36	22	45	27	54	2:92278	64	80	96	128	160	192	0	0	0	0	0	0	0	0	0	0	0	0	1	2146	2683	3219	4292	5365	6438
64	9	18	11	22	13	27	18	36	22	45	27	54	2:93728	66	82	99	132	165	198	0	0	0	0	0	0	0	0	0	0	0	0	1	2210	2763	3315	4420	5525	6630
65	9	18	11	23	13	27	18	37	23	46	27	55	2:95178	66	83	99	132	165	198	0	0	0	0	0	0	0	0	0	0	0	0	1	2276	2845	3414	4552	5690	6828
66	9	18	11	23	14	28	18	37	23	46	28	56	2:96628	68	85	102	136	170	204	0	0	0	0	0	0	0	0	0	0	0	0	1	2342	2928	3513	4684	5855	7026
67	9	19	11	23	14	28	19	38	23	47	28	57	2:98136	68	85	102	136	170	204	0	0	0	0	0	0	0	0	0	0	0	0	1	2410	3013	3615	4820	6025	7230
68	9	19	12	24	14	28	19	38	24	48	28	57	2:99586	70	87	105	140	175	210	0	0	0	0	0	0	0	0	0	0	0	0	1	2478	3098	3717	4956	6195	7434
69	9	19	12	24	14	29	19	39	24	48	29	58	2:101036	70	88	105	140	175	210	50	100	150	200	250	300	10	10	10	10	10	10	1	2548	3185	3822	5096	6370	7644
70	9	19	12	24	14	29	19	39	24	49	29	59	2:102486	72	90	108	144	180	216	0	0	0	0	0	0	0	0	0	0	0	0	1	2618	3273	3927	5236	6545	7854
71	10	20	12	25	15	30	20	40	25	50	30	60	2:103994	72	90	108	144	180	216	0	0	0	0	0	0	0	0	0	0	0	0	0	2690	3363	4035	5380	6725	8070
72	10	20	12	25	15	30	20	40	25	50	30	60	2:105444	74	92	111	148	185	222	0	0	0	0	0	0	0	0	0	0	0	0	0	2762	3453	4143	5524	6905	8286
73	10	20	12	25	15	30	20	40	25	51	30	61	2:106894	74	93	111	148	185	222	0	0	0	0	0	0	0	0	0	0	0	0	0	2836	3545	4254	5672	7090	8508
74	10	20	12	25	15	31	20	41	25	51	31	62	2:108344	76	95	114	152	190	228	0	0	0	0	0	0	0	0	0	0	0	0	0	2910	3638	4365	5820	7275	8730
75	10	20	13	26	15	31	20	41	26	52	31	62	2:109794	76	95	114	152	190	228	0	0	0	0	0	0	0	0	0	0	0	0	0	2986	3733	4479	5972	7465	8958
76	10	21	13	26	15	31	21	42	26	53	31	63	2:111302	78	97	117	156	195	234	0	0	0	0	0	0	0	0	0	0	0	0	0	3062	3828	4593	6124	7655	9186
77	10	21	13	26	16	32	21	42	26	53	32	64	2:112752	78	98	117	156	195	234	0	0	0	0	0	0	0	0	0	0	0	0	0	3140	3925	4710	6280	7850	9420
78	10	21	13	27	16	32	21	43	27	54	32	65	2:114202	80	100	120	160	200	240	0	0	0	0	0	0	0	0	0	0	0	0	0	3218	4023	4827	6436	8045	9654
79	10	21	13	27	16	32	21	43	27	54	32	65	2:115652	80	100	120	160	200	240	50	100	150	200	250	300	10	10	10	10	10	10	0	3298	4123	4947	6596	8245	9894
80	11	22	13	27	16	33	22	44	27	55	33	66	2:117160	82	102	123	164	205	246	0	0	0	0	0	0	0	0	0	0	0	0	0	3378	4223	5067	6756	8445	10134
81	11	22	14	28	16	33	22	44	28	56	33	67	2:177915	82	103	123	164	205	246	0	0	0	0	0	0	0	0	0	0	0	0	0	3460	4325	5190	6920	8650	10380
82	11	22	14	28	17	34	22	45	28	56	34	68	2:180090	84	105	126	168	210	252	0	0	0	0	0	0	0	0	0	0	0	0	0	3542	4428	5313	7084	8855	10626
83	11	22	14	28	17	34	22	45	28	57	34	68	2:182265	84	105	126	168	210	252	0	0	0	0	0	0	0	0	0	0	0	0	0	3626	4533	5439	7252	9065	10878
84	11	23	14	29	17	34	23	46	29	58	34	69	2:184527	86	107	129	172	215	258	0	0	0	0	0	0	0	0	0	0	0	0	0	3710	4638	5565	7420	9275	11130
85	11	23	14	29	17	35	23	46	29	58	35	70	2:186702	86	108	129	172	215	258	0	0	0	0	0	0	0	0	0	0	0	0	0	3796	4745	5694	7592	9490	11388
86	11	23	14	29	17	35	23	47	29	59	35	71	2:188877	88	110	132	176	220	264	0	0	0	0	0	0	0	0	0	0	0	0	0	3882	4853	5823	7764	9705	11646
87	11	23	14	29	17	35	23	47	29	59	35	71	2:191052	88	110	132	176	220	264	0	0	0	0	0	0	0	0	0	0	0	0	0	3970	4963	5955	7940	9925	11910
88	12	24	15	30	18	36	24	48	30	60	36	72	2:193314	90	112	135	180	225	270	0	0	0	0	0	0	0	0	0	0	0	0	0	4058	5073	6087	8116	10145	12174
89	12	24	15	30	18	36	24	48	30	61	36	73	2:195489	90	113	135	180	225	270	50	100	150	200	250	300	10	10	10	10	10	10	0	4148	5185	6222	8296	10370	12444
90	12	24	15	30	18	37	24	49	30	61	37	74	2:197664	92	115	138	184	230	276	0	0	0	0	0	0	0	0	0	0	0	0	0	4238	5298	6357	8476	10595	12714
91	12	24	15	31	18	37	24	49	31	62	37	74	2:199839	92	115	138	184	230	276	0	0	0	0	0	0	0	0	0	0	0	0	0	4330	5413	6495	8660	10825	12990
92	12	25	15	31	18	37	25	50	31	62	37	75	2:202101	94	117	141	188	235	282	0	0	0	0	0	0	0	0	0	0	0	0	0	4422	5528	6633	8844	11055	13266
93	12	25	15	31	19	38	25	50	31	63	38	76	2:204276	94	118	141	188	235	282	0	0	0	0	0	0	0	0	0	0	0	0	0	4516	5645	6774	9032	11290	13548
94	12	25	16	32	19	38	25	51	32	64	38	77	2:206451	96	120	144	192	240	288	0	0	0	0	0	0	0	0	0	0	0	0	0	4610	5763	6915	9220	11525	13830
95	12	25	16	32	19	38	25	51	32	64	38	77	2:208626	96	120	144	192	240	288	0	0	0	0	0	0	0	0	0	0	0	0	0	4706	5883	7059	9412	11765	14118
96	13	26	16	32	19	39	26	52	32	65	39	78	2:210888	98	122	147	196	245	294	0	0	0	0	0	0	0	0	0	0	0	0	0	4802	6003	7203	9604	12005	14406
97	13	26	16	33	19	39	26	52	33	66	39	79	2:213063	98	123	147	196	245	294	0	0	0	0	0	0	0	0	0	0	0	0	0	4900	6125	7350	9800	12250	14700
98	13	26	16	33	20	40	26	53	33	66	40	80	2:215238	100	125	150	200	250	300	0	0	0	0	0	0	0	0	0	0	0	0	0	4998	6248	7497	9996	12495	14994
99	13	26	16	33	20	40	26	53	33	67	40	80	2:217413	100	125	150	200	250	300	50	100	150	200	250	300	10	10	10	10	10	10	0	5098	6373	7647	10196	12745	15294
100	13	27	16	33	20	40	27	54	33	67	40	81	2:219588	102	127	153	204	255	306	0	0	0	0	0	0	0	0	0	0	0	0	0	5198	6498	7797	10396	12995	15594
101	13	27	17	34	20	41	27	54	34	68	41	82	2:295800	102	128	153	204	255	306	0	0	0	0	0	0	0	0	0	0	0	0	0	5300	6625	7950	10600	13250	15900
102	13	27	17	34	20	41	27	55	34	69	41	82	2:298700	104	130	156	208	260	312	0	0	0	0	0	0	0	0	0	0	0	0	0	5402	6753	8103	10804	13505	16206
103	13	27	17	34	20	41	27	55	34	69	41	83	2:301600	104	130	156	208	260	312	0	0	0	0	0	0	0	0	0	0	0	0	0	5506	6883	8259	11012	13765	16518
104	14	28	17	35	21	42	28	56	35	70	42	84	2:304500	106	132	159	212	265	318	0	0	0	0	0	0	0	0	0	0	0	0	0	5610	7013	8415	11220	14025	16830
105	14	28	17	35	21	42	28	56	35	70	42	85	2:307516	106	133	159	212	265	318	0	0	0	0	0	0	0	0	0	0	0	0	0	5716	7145	8574	11432	14290	17148
106	14	28	17	35	21	42	28	57	35	71	42	85	2:310416	108	135	162	216	270	324	0	0	0	0	0	0	0	0	0	0	0	0	0	5822	7278	8733	11644	14555	17466
107	14	28	18	36	21	43	28	57	36	72	43	86	2:313316	108	135	162	216	270	324	0	0	0	0	0	0	0	0	0	0	0	0	0	5930	7413	8895	11860	14825	17790
108	14	29	18	36	21	43	29	58	36	72	43	87	2:316216	110	137	165	220	275	330	0	0	0	0	0	0	0	0	0	0	0	0	0	6038	7548	9057	12076	15095	18114
109	14	29	18	36	22	44	29	58	36	73	44	88	2:319232	110	138	165	220	275	330	50	100	150	200	250	300	10	10	10	10	10	10	0	6148	7685	9222	12296	15370	18444
110	14	29	18	37	22	44	29	59	37	74	44	88	2:322132	112	140	168	224	280	336	0	0	0	0	0	0	0	0	0	0	0	0	0	6258	7823	9387	12516	15645	18774
111	14	29	18	37	22	44	29	59	37	74	44	89	2:325032	112	140	168	224	280	336	0	0	0	0	0	0	0	0	0	0	0	0	0	6370	7963	9555	12740	15925	19110
112	15	30	18	37	22	45	30	60	37	75	45	90	2:327932	114	142	171	228	285	342	0	0	0	0	0	0	0	0	0	0	0	0	0	6482	8103	9723	12964	16205	19446
113	15	30	18	37	22	45	30	60	37	75	45	91	2:330948	114	143	171	228	285	342	0	0	0	0	0	0	0	0	0	0	0	0	0	6596	8245	9894	13192	16490	19788
114	15	30	19	38	22	45	30	61	38	76	45	91	2:333848	116	145	174	232	290	348	0	0	0	0	0	0	0	0	0	0	0	0	0	6710	8388	10065	13420	16775	20130
115	15	30	19	38	23	46	30	61	38	77	46	92	2:336748	116	145	174	232	290	348	0	0	0	0	0	0	0	0	0	0	0	0	0	6826	8533	10239	13652	17065	20478
116	15	31	19	38	23	46	31	62	38	77	46	93	2:339648	118	147	177	236	295	354	0	0	0	0	0	0	0	0	0	0	0	0	0	6942	8678	10413	13884	17355	20826
117	15	31	19	39	23	47	31	62	39	78	47	94	2:342664	118	148	177	236	295	354	0	0	0	0	0	0	0	0	0	0	0	0	0	7060	8825	10590	14120	17650	21180
118	15	31	19	39	23	47	31	63	39	79	47	94	2:345564	120	150	180	240	300	360	0	0	0	0	0	0	0	0	0	0	0	0	0	7178	8973	10767	14356	17945	21534
119	15	31	19	39	23	47	31	63	39	79	47	95	2:348464	120	150	180	240	300	360	50	100	150	200	250	300	10	10	10	10	10	10	0	7298	9123	10947	14596	18245	21894
120	16	32	20	40	24	48	32	64	40	80	48	96	2:351364	122	152	183	244	305	366	0	0	0	0	0	0	0	0	0	0	0	0	0	7418	9273	11127	14836	18545	22254
121	16	32	20	40	24	48	32	64	40	80	48	97	2:442975	122	153	183	244	305	366	0	0	0	0	0	0	0	0	0	0	0	0	0	7540	9425	11310	15080	18850	22620
122	16	32	20	40	24	48	32	65	40	81	48	97	2:446600	124	155	186	248	310	372	0	0	0	0	0	0	0	0	0	0	0	0	0	7662	9578	11493	15324	19155	22986
123	16	32	20	41	24	49	32	65	41	82	49	98	2:450225	124	155	186	248	310	372	0	0	0	0	0	0	0	0	0	0	0	0	0	7786	9733	11679	15572	19465	23358
124	16	33	20	41	24	49	33	66	41	82	49	99	2:453850	126	157	189	252	315	378	0	0	0	0	0	0	0	0	0	0	0	0	0	7910	9888	11865	15820	19775	23730
125	16	33	20	41	25	50	33	66	41	83	50	100	2:457475	126	158	189	252	315	378	0	0	0	0	0	0	0	0	0	0	0	0	0	8036	10045	12054	16072	20090	24108
126	16	33	20	41	25	50	33	67	41	83	50	100	2:461245	128	160	192	256	320	384	0	0	0	0	0	0	0	0	0	0	0	0	0	8162	10203	12243	16324	20405	24486
127	16	33	21	42	25	50	33	67	42	84	50	101	2:464870	128	160	192	256	320	384	0	0	0	0	0	0	0	0	0	0	0	0	0	8290	10363	12435	16580	20725	24870
128	17	34	21	42	25	51	34	68	42	85	51	102	2:468495	130	162	195	260	325	390	0	0	0	0	0	0	0	0	0	0	0	0	0	8418	10523	12627	16836	21045	25254
129	17	34	21	42	25	51	34	68	42	85	51	102	2:472120	130	163	195	260	325	390	50	100	150	200	250	300	10	10	10	10	10	10	0	8548	10685	12822	17096	21370	25644
130	17	34	21	43	25	51	34	69	43	86	51	103	2:475890	132	165	198	264	330	396	0	0	0	0	0	0	0	0	0	0	0	0	0	8678	10848	13017	17356	21695	26034
131	17	34	21	43	26	52	34	69	43	87	52	104	2:479515	132	165	198	264	330	396	0	0	0	0	0	0	0	0	0	0	0	0	0	8810	11013	13215	17620	22025	26430
132	17	35	21	43	26	52	35	70	43	87	52	105	2:483140	134	167	201	268	335	402	0	0	0	0	0	0	0	0	0	0	0	0	0	8942	11178	13413	17884	22355	26826
133	17	35	22	44	26	52	35	70	44	88	52	105	2:486765	134	168	201	268	335	402	0	0	0	0	0	0	0	0	0	0	0	0	0	9076	11345	13614	18152	22690	27228
134	17	35	22	44	26	53	35	71	44	88	53	106	2:490535	136	170	204	272	340	408	0	0	0	0	0	0	0	0	0	0	0	0	0	9210	11513	13815	18420	23025	27630
135	17	35	22	44	26	53	35	71	44	89	53	107	2:494160	136	170	204	272	340	408	0	0	0	0	0	0	0	0	0	0	0	0	0	9346	11683	14019	18692	23365	28038
136	18	36	22	45	27	54	36	72	45	90	54	108	2:497785	138	172	207	276	345	414	0	0	0	0	0	0	0	0	0	0	0	0	0	9482	11853	14223	18964	23705	28446
137	18	36	22	45	27	54	36	72	45	90	54	108	2:501410	138	173	207	276	345	414	0	0	0	0	0	0	0	0	0	0	0	0	0	9620	12025	14430	19240	24050	28860
138	18	36	22	45	27	54	36	73	45	91	54	109	2:505180	140	175	210	280	350	420	0	0	0	0	0	0	0	0	0	0	0	0	0	9758	12198	14637	19516	24395	29274
139	18	36	22	45	27	55	36	73	45	91	55	110	2:508805	140	175	210	280	350	420	50	100	150	200	250	300	10	10	10	10	10	10	0	9898	12373	14847	19796	24745	29694
140	18	37	23	46	27	55	37	74	46	92	55	111	2:512430	142	177	213	284	355	426	0	0	0	0	0	0	0	0	0	0	0	0	0	10038	12548	15057	20076	25095	30114
141	18	37	23	46	27	55	37	74	46	93	55	111	2:619266	142	178	213	284	355	426	0	0	0	0	0	0	0	0	0	0	0	0	0	10180	12725	15270	20360	25450	30540
142	18	37	23	46	28	56	37	75	46	93	56	112	2:623790	144	180	216	288	360	432	0	0	0	0	0	0	0	0	0	0	0	0	0	10322	12903	15483	20644	25805	30966
143	18	37	23	47	28	56	37	75	47	94	56	113	2:628140	144	180	216	288	360	432	0	0	0	0	0	0	0	0	0	0	0	0	0	10466	13083	15699	20932	26165	31398
144	19	38	23	47	28	57	38	76	47	95	57	114	2:632490	146	182	219	292	365	438	0	0	0	0	0	0	0	0	0	0	0	0	0	10610	13263	15915	21220	26525	31830
145	19	38	23	47	28	57	38	76	47	95	57	114	2:636840	146	183	219	292	365	438	0	0	0	0	0	0	0	0	0	0	0	0	0	10756	13445	16134	21512	26890	32268
146	19	38	24	48	28	57	38	77	48	96	57	115	2:641364	148	185	222	296	370	444	0	0	0	0	0	0	0	0	0	0	0	0	0	10902	13628	16353	21804	27255	32706
147	19	38	24	48	29	58	38	77	48	96	58	116	2:645714	148	185	222	296	370	444	0	0	0	0	0	0	0	0	0	0	0	0	0	11050	13813	16575	22100	27625	33150
148	19	39	24	48	29	58	39	78	48	97	58	117	2:650064	150	187	225	300	375	450	0	0	0	0	0	0	0	0	0	0	0	0	0	11198	13998	16797	22396	27995	33594
149	19	39	24	49	29	58	39	78	49	98	58	117	2:654414	150	188	225	300	375	450	50	100	150	200	250	300	10	10	10	10	10	10	0	11348	14185	17022	22696	28370	34044
150	19	39	24	49	29	59	39	79	49	98	59	118	2:658764	152	190	228	304	380	456	0	0	0	0	0	0	0	0	0	0	0	0	0	11498	14373	17247	22996	28745	34494
151	19	39	24	49	29	59	39	79	49	99	59	119	2:663288	152	190	228	304	380	456	0	0	0	0	0	0	0	0	0	0	0	0	0	11650	14563	17475	23300	29125	34950
152	20	40	25	50	30	60	40	80	50	100	60	120	2:667638	154	192	231	308	385	462	0	0	0	0	0	0	0	0	0	0	0	0	0	11802	14753	17703	23604	29505	35406
153	20	40	25	50	30	60	40	80	50	100	60	120	2:671988	154	193	231	308	385	462	0	0	0	0	0	0	0	0	0	0	0	0	0	11956	14945	17934	23912	29890	35868
154	20	40	25	50	30	60	40	80	50	101	60	121	2:676338	156	195	234	312	390	468	0	0	0	0	0	0	0	0	0	0	0	0	0	12110	15138	18165	24220	30275	36330
