int	int	int	DTPerformActoin[]	DTPerformSpeak[]	string
3806	2	1	1001:2000:100	3806:2000:100	NPC探班
3901	1	1	1013:2000:100	3901:2000:100	NPC探班
3902	2	1	0:2000:100	3902:2000:100	NPC探班
3903	1	1	1013:2000:100	3903:2000:100	NPC探班
3904	2	1	1001:2000:100	3904:2000:100	NPC探班
3905	1	1	1013:2000:100	3905:2000:100	NPC探班
3906	2	1	1001:2000:100	3906:2000:100	NPC探班
5101	0	1	1008:2000:100	5101:2000:100	会议
5102	1	1	1008:2000:100	5102:2000:100	会议
5201	0	1	1008:2000:100	5201:2000:100	会议
5202	1	1	1008:2000:100	5202:2000:100	会议
5301	0	1	1008:2000:100	5301:2000:100	会议
5302	1	1	1008:2000:100	5302:2000:100	会议
5401	0	1	1008:2000:100	5401:2000:100	会议
5402	1	1	1008:2000:100	5402:2000:100	会议
5501	0	1	1008:2000:100	5501:2000:100	会议
5502	1	1	1008:2000:100	5502:2000:100	会议
1101	1	1	1008:2000:100	1101:2000:15;0:3000:100;1102:2000:15;0:5000:100;1103:2000:15;0:7000:100;1104:2000:15;0:9000:100;1105:2000:15;0:11000:100	电影院观众文字
1201	1	1	1008:2000:100	1201:2000:15;0:3000:100;1202:2000:15;0:5000:100;1203:2000:15;0:7000:100;1204:2000:15;0:9000:100;1205:2000:15;0:12000:100	电影院观众文字
1301	1	1	1008:2000:100	1301:2000:15;0:3000:100;1302:2000:15;0:5000:100;1303:2000:15;0:7000:100;1304:2000:15;0:9000:100;1305:2000:15;0:13000:100	电影院观众文字
1401	1	1	1008:2000:100	1401:2000:15;0:3000:100;1402:2000:15;0:5000:100;1403:2000:15;0:7000:100;1404:2000:15;0:9000:100;1405:2000:15;0:14000:100	电影院观众文字
1501	1	1	1008:2000:100	1501:2000:15;0:3000:100;1502:2000:15;0:5000:100;1503:2000:15;0:7000:100;1504:2000:15;0:9000:100;1505:2000:15;0:15000:100	电影院观众文字
1601	1	1	1008:2000:100	1601:2000:15;0:3000:100;1602:2000:15;0:5000:100;1603:2000:15;0:7000:100;1604:2000:15;0:9000:100;1605:2000:15;0:16000:100	电影院观众文字
2101	2	1	1002:4000:50;1002:5000:100;1004:1000:30;1001:3000:30;1015:2000:30;1006:3000:30;1004:1000:30;1004:1500:30;1002:3000:50;1016:3000:50;1018:3000:50;1019:3000:50;1002:5000:100	2101:2000:100;0:2000:300;2102:2000:100;0:2000:300;2103:2000:100;0:2000:300;2104:2000:100;0:2000:300	
2201	2	1	1006:2000:100	0:2000:100	
4101	2	1	1001:2000:100;1002:5000:500;1015:4000:100;1002:5000:500;1016:2000:100;1002:5000:500;1018:2000:100;1002:5000:500	4101:2000:100;0:10000:600;4102:2000:100;0:10000:600;4103:2000:100;0:10000:600;4104:2000:100;0:10000:600	
7101	1	2	1004:340:100	0:2000:100	主持人上台
7102	1	1	1023:3000:100	7101:3000:100	主持人说话
7103	1	2	1004:650:100	0:2000:100	主持人离开
7104	1	1	1002:1000:100	0:2000:100	主持人待机
7105	1	1	1023:3000:100	7102:2500:100	艺人表演后主持人小结
7106	1	2	1004:340:100	0:2000:100	主持人上台
7107	1	1	1002:1000:100	0:2000:100	主持人站住
7108	1	1	1023:3000:100	7103:3000:100	主持人宣布路演成功
7109	1	1	1023:3000:100	7104:3000:100	主持人宣布路演失败
7110	3	1	1020:2000:100	0:2000:100	观众待机
7111	3	1	1021:2000:100;1022:2000:100	0:2000:100	观众摇摆或者欢呼
7112	2	2	1004:360:100	0:2000:100	艺人上台
7113	2	1	1001:1500:100	7105:1000:100;7106:1000:100;7107:1000:100;7108:1000:100;7109:1000:100;7110:1000:100;7111:1000:100;7112:1000:100	艺人表演
7114	2	2	1004:800:100	0:2000:100	艺人离开
6001	1	2	1004:310:100	0:100:100	男主持上台
6002	1	2	1004:410:100	0:100:100	女主持上台
6003	1	1	1023:3000:100	6001:3000:100	颁奖前对话
6004	1	1	1023:2000:100	6002:2000:100	颁奖前对话
6005	1	1	1023:1000:100	6003:1000:100	颁奖前对话
6006	1	1	1023:1000:100	6004:1000:100	颁奖前对话
6007	1	1	1023:1000:100	6005:1000:100	颁奖前对话
6008	2	2	1004:460:100;1004:410:100;1004:360:100;1004:310:100;1004:260:100	0:100:100;0:100:100;0:100:100;0:100:100;0:100:100	候选者上台
6009	1	1	1023:1000:100	6006:1000:100	颁奖前对话
6010	1	1	1023:1000:100	6007:1000:100	颁奖前对话
6011	1	1	1023:2000:100	6008:2000:100	选取获奖者前主持人说话
6012	1	1	1023:2000:100	6009:2000:100	选取获奖者前主持人说话
6013	1	1	1023:2000:100	6010:2000:100	选取获奖者前主持人说话
6014	1	1	1023:2000:100	6011:2000:100	选取获奖者前主持人说话
6015	1	1	1023:1000:100	6012:1000:100	选取获奖者
6016	1	1	1023:2000:100	6013:2000:100	恭贺获奖者
6017	1	1	1023:1000:100	6014:1000:100	恭贺获奖者
6018	1	1	1023:2000:100	6015:2000:100	恭贺获奖者
6019	2	2	1004:360:100	0:3000:100	获奖者上台
6020	2	1	1025:3000:50;1026:3000:50	6016:3000:100	获奖者感言
6021	1	1	1023:2000:100	6017:2000:100	无候选者讲话
6022	1	1	1023:2000:100	6018:2000:100	无候选者下一阶段
6023	1	1	1023:2000:100	6019:3000:100	主持人结束讲话
6024	1	1	1023:2000:100	6020:3000:100	主持人结束讲话
