int	int	int	int	int	int	DTItemNum	string	string	int	int	int	string
13012012	1301	2	2	12	30	0		形象课程	2218	26	26	
13012013	1301	2	2	13	30	0		形象课程	2218	26	26	
13012014	1301	2	2	14	30	0		形象课程	2218	26	26	
13012015	1301	2	2	15	30	0		形象课程	2218	26	26	
13012016	1301	2	2	16	30	0		形象课程	2218	26	26	
13012017	1301	2	2	17	30	0		形象课程	2218	26	26	
13012018	1301	2	2	18	30	0		形象课程	2218	26	26	
13012019	1301	2	2	19	30	0		形象课程	2218	26	26	
13012020	1301	2	2	20	30	0		形象课程	2218	26	26	
13012021	1301	2	2	21	30	0		形象课程	2218	26	26	
13012022	1301	2	2	22	30	0		形象课程	2218	26	26	
13012023	1301	2	2	23	30	0		形象课程	2218	26	26	
13012024	1301	2	2	24	30	0		形象课程	2218	26	26	
13012025	1301	2	2	25	30	0		形象课程	2218	26	26	
13012026	1301	2	2	26	30	0		形象课程	2218	26	26	
13012027	1301	2	2	27	45	0		形象课程	2218	39	39	
13012028	1301	2	2	28	45	0		形象课程	2218	39	39	
13012029	1301	2	2	29	45	0		形象课程	2218	39	39	
13012030	1301	2	2	30	45	0		形象课程	2218	39	39	
13012031	1301	2	2	31	45	0		形象课程	2218	39	39	
13012032	1301	2	2	32	45	0		形象课程	2218	39	39	
13012033	1301	2	2	33	45	0		形象课程	2218	39	39	
13012034	1301	2	2	34	45	0		形象课程	2218	39	39	
13012035	1301	2	2	35	45	0		形象课程	2218	39	39	
13012036	1301	2	2	36	45	0		形象课程	2218	39	39	
13012037	1301	2	2	37	45	0		形象课程	2218	39	39	
13012038	1301	2	2	38	45	0		形象课程	2218	39	39	
13012039	1301	2	2	39	45	5012:100		形象课程	2218	39	39	
13012040	1301	2	2	40	45	0		形象课程	2218	39	39	
13012041	1301	2	2	41	45	0		形象课程	2218	39	39	
13012042	1301	2	2	42	45	0		形象课程	2218	39	39	
13012043	1301	2	2	43	45	0		形象课程	2218	39	39	
13012044	1301	2	2	44	45	0		形象课程	2218	39	39	
13012045	1301	2	2	45	45	0		形象课程	2218	39	39	
13012046	1301	2	2	46	45	0		形象课程	2218	39	39	
13012047	1301	2	2	47	45	0		形象课程	2218	39	39	
13012048	1301	2	2	48	45	0		形象课程	2218	39	39	
13012049	1301	2	2	49	45	0		形象课程	2218	39	39	
13012050	1301	2	2	50	45	0		形象课程	2218	39	39	
13012051	1301	2	2	51	45	0		形象课程	2218	39	39	
13012052	1301	2	2	52	45	0		形象课程	2218	39	39	
13012053	1301	2	2	53	45	0		形象课程	2218	39	39	
13012054	1301	2	2	54	45	0		形象课程	2218	39	39	
13012055	1301	2	2	55	45	0		形象课程	2218	39	39	
13012056	1301	2	2	56	45	0		形象课程	2218	39	39	
13012057	1301	2	2	57	45	0		形象课程	2218	39	39	
13012058	1301	2	2	58	45	0		形象课程	2218	39	39	
13012059	1301	2	2	59	45	0		形象课程	2218	39	39	
13012060	1301	2	2	60	45	0		形象课程	2218	39	39	
13012061	1301	2	2	61	45	0		形象课程	2218	39	39	
13012062	1301	2	2	62	45	0		形象课程	2218	39	39	
13012063	1301	2	2	63	45	0		形象课程	2218	39	39	
13012064	1301	2	2	64	60	0		形象课程	2218	52	52	
13012065	1301	2	2	65	60	0		形象课程	2218	52	52	
13012066	1301	2	2	66	60	0		形象课程	2218	52	52	
13012067	1301	2	2	67	60	0		形象课程	2218	52	52	
13012068	1301	2	2	68	60	0		形象课程	2218	52	52	
13012069	1301	2	2	69	60	0		形象课程	2218	52	52	
13012070	1301	2	2	70	60	0		形象课程	2218	52	52	
13012071	1301	2	2	71	60	0		形象课程	2218	52	52	
13012072	1301	2	2	72	60	0		形象课程	2218	52	52	
13012073	1301	2	2	73	60	0		形象课程	2218	52	52	
13012074	1301	2	2	74	60	0		形象课程	2218	52	52	
13012075	1301	2	2	75	60	0		形象课程	2218	52	52	
13012076	1301	2	2	76	60	0		形象课程	2218	52	52	
13012077	1301	2	2	77	60	0		形象课程	2218	52	52	
13012078	1301	2	2	78	60	0		形象课程	2218	52	52	
13012079	1301	2	2	79	60	0		形象课程	2218	52	52	
13012080	1301	2	2	80	60	0		形象课程	2218	52	52	
13012081	1301	2	2	81	60	0		形象课程	2218	52	52	
13012082	1301	2	2	82	60	0		形象课程	2218	52	52	
13012083	1301	2	2	83	60	0		形象课程	2218	52	52	
13012084	1301	2	2	84	60	0		形象课程	2218	52	52	
13012085	1301	2	2	85	60	0		形象课程	2218	52	52	
13012086	1301	2	2	86	60	0		形象课程	2218	52	52	
13012087	1301	2	2	87	60	0		形象课程	2218	52	52	
13012088	1301	2	2	88	60	0		形象课程	2218	52	52	
13012089	1301	2	2	89	60	0		形象课程	2218	52	52	
13012090	1301	2	2	90	60	0		形象课程	2218	52	52	
13012091	1301	2	2	91	60	0		形象课程	2218	52	52	
13012092	1301	2	2	92	60	0		形象课程	2218	52	52	
13012093	1301	2	2	93	60	0		形象课程	2218	52	52	
13012094	1301	2	2	94	60	0		形象课程	2218	52	52	
13012095	1301	2	2	95	60	0		形象课程	2218	52	52	
13012096	1301	2	2	96	60	0		形象课程	2218	52	52	
13012097	1301	2	2	97	60	0		形象课程	2218	52	52	
13012098	1301	2	2	98	60	0		形象课程	2218	52	52	
13012099	1301	2	2	99	60	0		形象课程	2218	52	52	
13012100	1301	2	2	100	60	0		形象课程	2218	52	52	
13013000	1301	3	3	0	0	5012:50		生活课程	2219	0	0	
13013001	1301	3	3	1	15	0		生活课程	2219	13	13	
13013002	1301	3	3	2	15	0		生活课程	2219	13	13	
13013003	1301	3	3	3	15	0		生活课程	2219	13	13	
13013004	1301	3	3	4	15	0		生活课程	2219	13	13	
13013005	1301	3	3	5	15	0		生活课程	2219	13	13	
13013006	1301	3	3	6	15	0		生活课程	2219	13	13	
13013007	1301	3	3	7	15	0		生活课程	2219	13	13	
13013008	1301	3	3	8	30	0		生活课程	2219	26	26	
13013009	1301	3	3	9	30	5012:50		生活课程	2219	26	26	
13013010	1301	3	3	10	30	0		生活课程	2219	26	26	
13013011	1301	3	3	11	30	0		生活课程	2219	26	26	
13013012	1301	3	3	12	30	0		生活课程	2219	26	26	
13013013	1301	3	3	13	30	0		生活课程	2219	26	26	
13013014	1301	3	3	14	30	0		生活课程	2219	26	26	
13013015	1301	3	3	15	30	0		生活课程	2219	26	26	
13013016	1301	3	3	16	30	0		生活课程	2219	26	26	
13013017	1301	3	3	17	30	0		生活课程	2219	26	26	
13013018	1301	3	3	18	30	0		生活课程	2219	26	26	
13013019	1301	3	3	19	30	0		生活课程	2219	26	26	
13013020	1301	3	3	20	30	0		生活课程	2219	26	26	
13013021	1301	3	3	21	30	0		生活课程	2219	26	26	
13013022	1301	3	3	22	30	0		生活课程	2219	26	26	
13013023	1301	3	3	23	30	0		生活课程	2219	26	26	
13013024	1301	3	3	24	30	0		生活课程	2219	26	26	
13013025	1301	3	3	25	30	0		生活课程	2219	26	26	
13013026	1301	3	3	26	30	0		生活课程	2219	26	26	
13013027	1301	3	3	27	45	0		生活课程	2219	39	39	
13013028	1301	3	3	28	45	0		生活课程	2219	39	39	
13013029	1301	3	3	29	45	0		生活课程	2219	39	39	
13013030	1301	3	3	30	45	0		生活课程	2219	39	39	
13013031	1301	3	3	31	45	0		生活课程	2219	39	39	
13013032	1301	3	3	32	45	0		生活课程	2219	39	39	
13013033	1301	3	3	33	45	0		生活课程	2219	39	39	
13013034	1301	3	3	34	45	0		生活课程	2219	39	39	
13013035	1301	3	3	35	45	0		生活课程	2219	39	39	
13013036	1301	3	3	36	45	0		生活课程	2219	39	39	
13013037	1301	3	3	37	45	0		生活课程	2219	39	39	
13013038	1301	3	3	38	45	0		生活课程	2219	39	39	
13013039	1301	3	3	39	45	5012:100		生活课程	2219	39	39	
13013040	1301	3	3	40	45	0		生活课程	2219	39	39	
13013041	1301	3	3	41	45	0		生活课程	2219	39	39	
13013042	1301	3	3	42	45	0		生活课程	2219	39	39	
13013043	1301	3	3	43	45	0		生活课程	2219	39	39	
13013044	1301	3	3	44	45	0		生活课程	2219	39	39	
13013045	1301	3	3	45	45	0		生活课程	2219	39	39	
13013046	1301	3	3	46	45	0		生活课程	2219	39	39	
13013047	1301	3	3	47	45	0		生活课程	2219	39	39	
13013048	1301	3	3	48	45	0		生活课程	2219	39	39	
13013049	1301	3	3	49	45	0		生活课程	2219	39	39	
13013050	1301	3	3	50	45	0		生活课程	2219	39	39	
13013051	1301	3	3	51	45	0		生活课程	2219	39	39	
13013052	1301	3	3	52	45	0		生活课程	2219	39	39	
13013053	1301	3	3	53	45	0		生活课程	2219	39	39	
13013054	1301	3	3	54	45	0		生活课程	2219	39	39	
13013055	1301	3	3	55	45	0		生活课程	2219	39	39	
13013056	1301	3	3	56	45	0		生活课程	2219	39	39	
13013057	1301	3	3	57	45	0		生活课程	2219	39	39	
13013058	1301	3	3	58	45	0		生活课程	2219	39	39	
13013059	1301	3	3	59	45	0		生活课程	2219	39	39	
13013060	1301	3	3	60	45	0		生活课程	2219	39	39	
13013061	1301	3	3	61	45	0		生活课程	2219	39	39	
13013062	1301	3	3	62	45	0		生活课程	2219	39	39	
13013063	1301	3	3	63	45	0		生活课程	2219	39	39	
13013064	1301	3	3	64	60	0		生活课程	2219	52	52	
13013065	1301	3	3	65	60	0		生活课程	2219	52	52	
13013066	1301	3	3	66	60	0		生活课程	2219	52	52	
13013067	1301	3	3	67	60	0		生活课程	2219	52	52	
13013068	1301	3	3	68	60	0		生活课程	2219	52	52	
13013069	1301	3	3	69	60	0		生活课程	2219	52	52	
13013070	1301	3	3	70	60	0		生活课程	2219	52	52	
13013071	1301	3	3	71	60	0		生活课程	2219	52	52	
13013072	1301	3	3	72	60	0		生活课程	2219	52	52	
13013073	1301	3	3	73	60	0		生活课程	2219	52	52	
13013074	1301	3	3	74	60	0		生活课程	2219	52	52	
13013075	1301	3	3	75	60	0		生活课程	2219	52	52	
13013076	1301	3	3	76	60	0		生活课程	2219	52	52	
13013077	1301	3	3	77	60	0		生活课程	2219	52	52	
13013078	1301	3	3	78	60	0		生活课程	2219	52	52	
13013079	1301	3	3	79	60	0		生活课程	2219	52	52	
13013080	1301	3	3	80	60	0		生活课程	2219	52	52	
13013081	1301	3	3	81	60	0		生活课程	2219	52	52	
13013082	1301	3	3	82	60	0		生活课程	2219	52	52	
13013083	1301	3	3	83	60	0		生活课程	2219	52	52	
13013084	1301	3	3	84	60	0		生活课程	2219	52	52	
13013085	1301	3	3	85	60	0		生活课程	2219	52	52	
13013086	1301	3	3	86	60	0		生活课程	2219	52	52	
13013087	1301	3	3	87	60	0		生活课程	2219	52	52	
13013088	1301	3	3	88	60	0		生活课程	2219	52	52	
13013089	1301	3	3	89	60	0		生活课程	2219	52	52	
13013090	1301	3	3	90	60	0		生活课程	2219	52	52	
13013091	1301	3	3	91	60	0		生活课程	2219	52	52	
13013092	1301	3	3	92	60	0		生活课程	2219	52	52	
13013093	1301	3	3	93	60	0		生活课程	2219	52	52	
13013094	1301	3	3	94	60	0		生活课程	2219	52	52	
13013095	1301	3	3	95	60	0		生活课程	2219	52	52	
13013096	1301	3	3	96	60	0		生活课程	2219	52	52	
13013097	1301	3	3	97	60	0		生活课程	2219	52	52	
13013098	1301	3	3	98	60	0		生活课程	2219	52	52	
13013099	1301	3	3	99	60	0		生活课程	2219	52	52	
13013100	1301	3	3	100	60	0		生活课程	2219	52	52	
13014000	1301	4	4	0	0	5012:50		舞蹈课程	2220	0	0	
13014001	1301	4	4	1	15	0		舞蹈课程	2220	13	13	
13014002	1301	4	4	2	15	0		舞蹈课程	2220	13	13	
13014003	1301	4	4	3	15	0		舞蹈课程	2220	13	13	
13014004	1301	4	4	4	15	0		舞蹈课程	2220	13	13	
13014005	1301	4	4	5	15	0		舞蹈课程	2220	13	13	
13014006	1301	4	4	6	15	0		舞蹈课程	2220	13	13	
13014007	1301	4	4	7	15	0		舞蹈课程	2220	13	13	
13014008	1301	4	4	8	30	0		舞蹈课程	2220	26	26	
13014009	1301	4	4	9	30	5012:50		舞蹈课程	2220	26	26	
13014010	1301	4	4	10	30	0		舞蹈课程	2220	26	26	
13014011	1301	4	4	11	30	0		舞蹈课程	2220	26	26	
13014012	1301	4	4	12	30	0		舞蹈课程	2220	26	26	
13014013	1301	4	4	13	30	0		舞蹈课程	2220	26	26	
13014014	1301	4	4	14	30	0		舞蹈课程	2220	26	26	
13014015	1301	4	4	15	30	0		舞蹈课程	2220	26	26	
13014016	1301	4	4	16	30	0		舞蹈课程	2220	26	26	
13014017	1301	4	4	17	30	0		舞蹈课程	2220	26	26	
13014018	1301	4	4	18	30	0		舞蹈课程	2220	26	26	
13014019	1301	4	4	19	30	0		舞蹈课程	2220	26	26	
13014020	1301	4	4	20	30	0		舞蹈课程	2220	26	26	
13014021	1301	4	4	21	30	0		舞蹈课程	2220	26	26	
13014022	1301	4	4	22	30	0		舞蹈课程	2220	26	26	
13014023	1301	4	4	23	30	0		舞蹈课程	2220	26	26	
13014024	1301	4	4	24	30	0		舞蹈课程	2220	26	26	
13014025	1301	4	4	25	30	0		舞蹈课程	2220	26	26	
13014026	1301	4	4	26	30	0		舞蹈课程	2220	26	26	
13014027	1301	4	4	27	45	0		舞蹈课程	2220	39	39	
13014028	1301	4	4	28	45	0		舞蹈课程	2220	39	39	
13014029	1301	4	4	29	45	0		舞蹈课程	2220	39	39	
13014030	1301	4	4	30	45	0		舞蹈课程	2220	39	39	
13014031	1301	4	4	31	45	0		舞蹈课程	2220	39	39	
13014032	1301	4	4	32	45	0		舞蹈课程	2220	39	39	
13014033	1301	4	4	33	45	0		舞蹈课程	2220	39	39	
13014034	1301	4	4	34	45	0		舞蹈课程	2220	39	39	
13014035	1301	4	4	35	45	0		舞蹈课程	2220	39	39	
13014036	1301	4	4	36	45	0		舞蹈课程	2220	39	39	
13014037	1301	4	4	37	45	0		舞蹈课程	2220	39	39	
13014038	1301	4	4	38	45	0		舞蹈课程	2220	39	39	
13014039	1301	4	4	39	45	5012:100		舞蹈课程	2220	39	39	
13014040	1301	4	4	40	45	0		舞蹈课程	2220	39	39	
13014041	1301	4	4	41	45	0		舞蹈课程	2220	39	39	
13014042	1301	4	4	42	45	0		舞蹈课程	2220	39	39	
13014043	1301	4	4	43	45	0		舞蹈课程	2220	39	39	
13014044	1301	4	4	44	45	0		舞蹈课程	2220	39	39	
13014045	1301	4	4	45	45	0		舞蹈课程	2220	39	39	
13014046	1301	4	4	46	45	0		舞蹈课程	2220	39	39	
13014047	1301	4	4	47	45	0		舞蹈课程	2220	39	39	
13014048	1301	4	4	48	45	0		舞蹈课程	2220	39	39	
13014049	1301	4	4	49	45	0		舞蹈课程	2220	39	39	
13014050	1301	4	4	50	45	0		舞蹈课程	2220	39	39	
13014051	1301	4	4	51	45	0		舞蹈课程	2220	39	39	
13014052	1301	4	4	52	45	0		舞蹈课程	2220	39	39	
13014053	1301	4	4	53	45	0		舞蹈课程	2220	39	39	
13014054	1301	4	4	54	45	0		舞蹈课程	2220	39	39	
13014055	1301	4	4	55	45	0		舞蹈课程	2220	39	39	
13014056	1301	4	4	56	45	0		舞蹈课程	2220	39	39	
13014057	1301	4	4	57	45	0		舞蹈课程	2220	39	39	
13014058	1301	4	4	58	45	0		舞蹈课程	2220	39	39	
13014059	1301	4	4	59	45	0		舞蹈课程	2220	39	39	
13014060	1301	4	4	60	45	0		舞蹈课程	2220	39	39	
13014061	1301	4	4	61	45	0		舞蹈课程	2220	39	39	
13014062	1301	4	4	62	45	0		舞蹈课程	2220	39	39	
13014063	1301	4	4	63	45	0		舞蹈课程	2220	39	39	
13014064	1301	4	4	64	60	0		舞蹈课程	2220	52	52	
13014065	1301	4	4	65	60	0		舞蹈课程	2220	52	52	
13014066	1301	4	4	66	60	0		舞蹈课程	2220	52	52	
13014067	1301	4	4	67	60	0		舞蹈课程	2220	52	52	
13014068	1301	4	4	68	60	0		舞蹈课程	2220	52	52	
13014069	1301	4	4	69	60	0		舞蹈课程	2220	52	52	
13014070	1301	4	4	70	60	0		舞蹈课程	2220	52	52	
13014071	1301	4	4	71	60	0		舞蹈课程	2220	52	52	
13014072	1301	4	4	72	60	0		舞蹈课程	2220	52	52	
13014073	1301	4	4	73	60	0		舞蹈课程	2220	52	52	
13014074	1301	4	4	74	60	0		舞蹈课程	2220	52	52	
13014075	1301	4	4	75	60	0		舞蹈课程	2220	52	52	
13014076	1301	4	4	76	60	0		舞蹈课程	2220	52	52	
13014077	1301	4	4	77	60	0		舞蹈课程	2220	52	52	
13014078	1301	4	4	78	60	0		舞蹈课程	2220	52	52	
13014079	1301	4	4	79	60	0		舞蹈课程	2220	52	52	
13014080	1301	4	4	80	60	0		舞蹈课程	2220	52	52	
13014081	1301	4	4	81	60	0		舞蹈课程	2220	52	52	
13014082	1301	4	4	82	60	0		舞蹈课程	2220	52	52	
13014083	1301	4	4	83	60	0		舞蹈课程	2220	52	52	
13014084	1301	4	4	84	60	0		舞蹈课程	2220	52	52	
13014085	1301	4	4	85	60	0		舞蹈课程	2220	52	52	
13014086	1301	4	4	86	60	0		舞蹈课程	2220	52	52	
13014087	1301	4	4	87	60	0		舞蹈课程	2220	52	52	
13014088	1301	4	4	88	60	0		舞蹈课程	2220	52	52	
13014089	1301	4	4	89	60	0		舞蹈课程	2220	52	52	
13014090	1301	4	4	90	60	0		舞蹈课程	2220	52	52	
13014091	1301	4	4	91	60	0		舞蹈课程	2220	52	52	
13014092	1301	4	4	92	60	0		舞蹈课程	2220	52	52	
13014093	1301	4	4	93	60	0		舞蹈课程	2220	52	52	
13014094	1301	4	4	94	60	0		舞蹈课程	2220	52	52	
13014095	1301	4	4	95	60	0		舞蹈课程	2220	52	52	
13014096	1301	4	4	96	60	0		舞蹈课程	2220	52	52	
13014097	1301	4	4	97	60	0		舞蹈课程	2220	52	52	
13014098	1301	4	4	98	60	0		舞蹈课程	2220	52	52	
13014099	1301	4	4	99	60	0		舞蹈课程	2220	52	52	
13014100	1301	4	4	100	60	0		舞蹈课程	2220	52	52	
13021000	1302	1	1	0	0	5012:50		宣传课程	2217	0	0	
13021001	1302	1	1	1	10	0		宣传课程	2217	12	12	
13021002	1302	1	1	2	10	0		宣传课程	2217	12	12	
13021003	1302	1	1	3	10	0		宣传课程	2217	12	12	
13021004	1302	1	1	4	20	0		宣传课程	2217	25	25	
13021005	1302	1	1	5	20	0		宣传课程	2217	25	25	
13021006	1302	1	1	6	20	0		宣传课程	2217	25	25	
13021007	1302	1	1	7	20	0		宣传课程	2217	25	25	
13021008	1302	1	1	8	20	0		宣传课程	2217	25	25	
13021009	1302	1	1	9	20	5012:50		宣传课程	2217	25	25	
13021010	1302	1	1	10	20	0		宣传课程	2217	25	25	
13021011	1302	1	1	11	20	0		宣传课程	2217	25	25	
13021012	1302	1	1	12	20	0		宣传课程	2217	25	25	
13021013	1302	1	1	13	20	0		宣传课程	2217	25	25	
13021014	1302	1	1	14	30	0		宣传课程	2217	38	38	
13021015	1302	1	1	15	30	0		宣传课程	2217	38	38	
13021016	1302	1	1	16	30	0		宣传课程	2217	38	38	
13021017	1302	1	1	17	30	0		宣传课程	2217	38	38	
13021018	1302	1	1	18	30	0		宣传课程	2217	38	38	
13021019	1302	1	1	19	30	0		宣传课程	2217	38	38	
13021020	1302	1	1	20	30	0		宣传课程	2217	38	38	
13021021	1302	1	1	21	30	0		宣传课程	2217	38	38	
13021022	1302	1	1	22	30	0		宣传课程	2217	38	38	
13021023	1302	1	1	23	30	0		宣传课程	2217	38	38	
13021024	1302	1	1	24	30	0		宣传课程	2217	38	38	
13021025	1302	1	1	25	30	0		宣传课程	2217	38	38	
13021026	1302	1	1	26	30	0		宣传课程	2217	38	38	
13021027	1302	1	1	27	30	0		宣传课程	2217	38	38	
13021028	1302	1	1	28	30	0		宣传课程	2217	38	38	
13021029	1302	1	1	29	30	0		宣传课程	2217	38	38	
13021030	1302	1	1	30	30	0		宣传课程	2217	38	38	
13021031	1302	1	1	31	30	0		宣传课程	2217	38	38	
13021032	1302	1	1	32	40	0		宣传课程	2217	50	50	
13021033	1302	1	1	33	40	0		宣传课程	2217	50	50	
13021034	1302	1	1	34	40	0		宣传课程	2217	50	50	
13021035	1302	1	1	35	40	0		宣传课程	2217	50	50	
13021036	1302	1	1	36	40	0		宣传课程	2217	50	50	
13021037	1302	1	1	37	40	0		宣传课程	2217	50	50	
13021038	1302	1	1	38	40	0		宣传课程	2217	50	50	
