int	int	int	int	int	int	int	DTItemNum[]	string
10022004	1002	2004	1601	11995	1605	9498	6205:2	血战钢锯岭
10022005	1002	2005	1601	12778	1605	10120	6209:3	血战钢锯岭
10022006	1002	2006	1601	13595	1605	10775	6208:3	血战钢锯岭
10022007	1002	2007	1601	14434	1605	11443	6201:4	血战钢锯岭
10022008	1002	2008	1601	15302	1605	12133	6205:4	血战钢锯岭
10022009	1002	2009	1601	16193	1605	12834	6204:5	血战钢锯岭
10022010	1002	2010	1601	17105	1605	13569	6209:5	血战钢锯岭
10023001	1002	3001	1601	21694	1605	17210	6305:1	血战钢锯岭
10023002	1002	3002	1601	22857	1605	18126	6309:1	血战钢锯岭
10023003	1002	3003	1601	24048	1605	19076	6306:2	血战钢锯岭
10023004	1002	3004	1601	25267	1605	20048	6308:2	血战钢锯岭
10023005	1002	3005	1601	26515	1605	21044	6303:3	血战钢锯岭
10023006	1002	3006	1601	27797	1605	22061	6309:3	血战钢锯岭
10023007	1002	3007	1601	29113	1605	23102	6308:4	血战钢锯岭
10023008	1002	3008	1601	30457	1605	24175	6309:4	血战钢锯岭
10023009	1002	3009	1601	31830	1605	25261	6306:5	血战钢锯岭
10023010	1002	3010	1601	33225	1605	26380	6309:5	血战钢锯岭
10024001	1002	4001	1601	34659	1605	27522	6307:1	血战钢锯岭
10024002	1002	4002	1601	36129	1605	28688	6303:1	血战钢锯岭
10024003	1002	4003	1601	37620	1605	29874	6303:2	血战钢锯岭
10024004	1002	4004	1601	39140	1605	31084	6302:2	血战钢锯岭
10024005	1002	4005	1601	40695	1605	32328	6304:3	血战钢锯岭
10024006	1002	4006	1601	42283	1605	33583	6306:3	血战钢锯岭
10024007	1002	4007	1601	43899	1605	34872	6302:4	血战钢锯岭
10024008	1002	4008	1601	45544	1605	36184	6309:4	血战钢锯岭
10024009	1002	4009	1601	47217	1605	37508	6301:5	血战钢锯岭
10024010	1002	4010	1601	48919	1605	38875	6307:5	血战钢锯岭
10025001	1002	5001	1601	50654	1605	40255	6303:1	血战钢锯岭
10025002	1002	5002	1601	52424	1605	41657	6301:1	血战钢锯岭
10025003	1002	5003	1601	54210	1605	43093	6302:2	血战钢锯岭
10025004	1002	5004	1601	56042	1605	44541	6302:2	血战钢锯岭
10025005	1002	5005	1601	57897	1605	46022	6307:3	血战钢锯岭
10025006	1002	5006	1601	59786	1605	47525	6306:3	血战钢锯岭
10025007	1002	5007	1601	61697	1605	49052	6306:4	血战钢锯岭
10025008	1002	5008	1601	63648	1605	50601	6302:4	血战钢锯岭
10025009	1002	5009	1601	65627	1605	52173	6305:5	血战钢锯岭
10025010	1002	5010	1601	67636	1605	53768	6308:5	血战钢锯岭
10041001	1004	1001	1601	172	1602	74	6105:1	战争之王
10041002	1004	1002	1601	550	1602	254	6101:1	战争之王
10041003	1004	1003	1601	915	1602	434	6105:2	战争之王
10041004	1004	1004	1601	1379	1602	662	6109:2	战争之王
10041005	1004	1005	1601	1936	1602	933	6108:3	战争之王
10041006	1004	1006	1601	2587	1602	1253	6105:3	战争之王
10041007	1004	1007	1601	3330	1602	1621	6106:4	战争之王
10041008	1004	1008	1601	4165	1602	2030	6105:4	战争之王
10041009	1004	1009	1601	5107	1602	2489	6102:5	战争之王
10041010	1004	1010	1601	6136	1602	2995	6101:5	战争之王
10042001	1004	2001	1601	9101	1602	4452	6205:1	战争之王
10042002	1004	2002	1601	10620	1602	5197	6208:1	战争之王
10042003	1004	2003	1601	12259	1602	6007	6205:2	战争之王
10042004	1004	2004	1601	14030	1602	6875	6202:2	战争之王
10042005	1004	2005	1601	14945	1602	7325	6207:3	战争之王
10042006	1004	2006	1601	15901	1602	7799	6204:3	战争之王
10042007	1004	2007	1601	16883	1602	8283	6201:4	战争之王
10042008	1004	2008	1601	17898	1602	8781	6203:4	战争之王
10042009	1004	2009	1601	18939	1602	9289	6205:5	战争之王
10042010	1004	2010	1601	20007	1602	9821	6206:5	战争之王
10043001	1004	3001	1601	25374	1602	12457	6309:1	战争之王
10043002	1004	3002	1601	26734	1602	13120	6304:1	战争之王
10043003	1004	3003	1601	28127	1602	13808	6302:2	战争之王
10043004	1004	3004	1601	29554	1602	14511	6305:2	战争之王
10043005	1004	3005	1601	31013	1602	15232	6301:3	战争之王
10043006	1004	3006	1601	32512	1602	15968	6303:3	战争之王
10043007	1004	3007	1601	34051	1602	16721	6302:4	战争之王
10043008	1004	3008	1601	35623	1602	17498	6306:4	战争之王
10043009	1004	3009	1601	37229	1602	18285	6305:5	战争之王
10043010	1004	3010	1601	38861	1602	19095	6306:5	战争之王
10044001	1004	4001	1601	40539	1602	19921	6309:1	战争之王
10044002	1004	4002	1601	42257	1602	20764	6308:1	战争之王
10044003	1004	4003	1601	44002	1602	21623	6302:2	战争之王
10044004	1004	4004	1601	45780	1602	22500	6307:2	战争之王
10044005	1004	4005	1601	47597	1602	23399	6304:3	战争之王
10044006	1004	4006	1601	49455	1602	24308	6302:3	战争之王
10044007	1004	4007	1601	51345	1602	25241	6307:4	战争之王
10044008	1004	4008	1601	53270	1602	26190	6302:4	战争之王
10044009	1004	4009	1601	55226	1602	27148	6308:5	战争之王
10044010	1004	4010	1601	57216	1602	28138	6303:5	战争之王
10045001	1004	5001	1601	59246	1602	29137	6307:1	战争之王
10045002	1004	5002	1601	61316	1602	30151	6303:1	战争之王
10045003	1004	5003	1601	63406	1602	31191	6302:2	战争之王
10045004	1004	5004	1601	65548	1602	32239	6302:2	战争之王
10045005	1004	5005	1601	67718	1602	33311	6307:3	战争之王
10045006	1004	5006	1601	69927	1602	34399	6308:3	战争之王
10045007	1004	5007	1601	72163	1602	35504	6308:4	战争之王
10045008	1004	5008	1601	74445	1602	36625	6304:4	战争之王
10045009	1004	5009	1601	76759	1602	37763	6301:5	战争之王
10045010	1004	5010	1601	79108	1602	38918	6302:5	战争之王
10051001	1005	1001	1603	170	1604	137	6109:1	辛德勒名单
10051002	1005	1002	1603	536	1604	452	6105:1	辛德勒名单
10051003	1005	1003	1603	886	1604	765	6108:2	辛德勒名单
10051004	1005	1004	1603	1330	1604	1167	6104:2	辛德勒名单
10051005	1005	1005	1603	1866	1604	1649	6107:3	辛德勒名单
10051006	1005	1006	1603	2489	1604	2209	6106:3	辛德勒名单
10051007	1005	1007	1603	3214	1604	2854	6105:4	辛德勒名单
10051008	1005	1008	1603	4023	1604	3574	6107:4	辛德勒名单
10051009	1005	1009	1603	4927	1604	4382	6102:5	辛德勒名单
10051010	1005	1010	1603	5916	1604	5265	6109:5	辛德勒名单
10052001	1005	2001	1603	8772	1604	7826	6208:1	辛德勒名单
10052002	1005	2002	1603	10239	1604	9144	6206:1	辛德勒名单
10052003	1005	2003	1603	11825	1604	10563	6202:2	辛德勒名单
10052004	1005	2004	1603	13521	1604	12083	6208:2	辛德勒名单
10052005	1005	2005	1603	14408	1604	12882	6207:3	辛德勒名单
10052006	1005	2006	1603	15328	1604	13710	6201:3	辛德勒名单
10052007	1005	2007	1603	16275	1604	14556	6208:4	辛德勒名单
10052008	1005	2008	1603	17255	1604	15435	6206:4	辛德勒名单
10052009	1005	2009	1603	18253	1604	16335	6208:5	辛德勒名单
10052010	1005	2010	1603	19293	1604	17264	6209:5	辛德勒名单
10053001	1005	3001	1603	24460	1604	21897	6308:1	辛德勒名单
10053002	1005	3002	1603	25764	1604	23065	6307:1	辛德勒名单
10053003	1005	3003	1603	27111	1604	24270	6306:2	辛德勒名单
10053004	1005	3004	1603	28484	1604	25509	6305:2	辛德勒名单
10053005	1005	3005	1603	29899	1604	26777	6309:3	辛德勒名单
10053006	1005	3006	1603	31340	1604	28074	6309:3	辛德勒名单
10053007	1005	3007	1603	32823	1604	29402	6307:4	辛德勒名单
10053008	1005	3008	1603	34332	1604	30762	6307:4	辛德勒名单
10053009	1005	3009	1603	35884	1604	32151	6308:5	辛德勒名单
10053010	1005	3010	1603	37461	1604	33570	6304:5	辛德勒名单
10054001	1005	4001	1603	39081	1604	35018	6302:1	辛德勒名单
10054002	1005	4002	1603	40727	1604	36500	6305:1	辛德勒名单
10054003	1005	4003	1603	42414	1604	38014	6301:2	辛德勒名单
10054004	1005	4004	1603	44128	1604	39555	6307:2	辛德勒名单
10054005	1005	4005	1603	45885	1604	41129	6308:3	辛德勒名单
10054006	1005	4006	1603	47666	1604	42732	6306:3	辛德勒名单
10054007	1005	4007	1603	49491	1604	44373	6301:4	辛德勒名单
10054008	1005	4008	1603	51341	1604	46038	6309:4	辛德勒名单
10054009	1005	4009	1603	53233	1604	47733	6302:5	辛德勒名单
10054010	1005	4010	1603	55152	1604	49457	6305:5	辛德勒名单
10055001	1005	5001	1603	57113	1604	51215	6309:1	辛德勒名单
10055002	1005	5002	1603	59099	1604	53006	6307:1	辛德勒名单
10055003	1005	5003	1603	61120	1604	54823	6306:2	辛德勒名单
10055004	1005	5004	1603	63183	1604	56673	6307:2	辛德勒名单
10055005	1005	5005	1603	65272	1604	58552	6301:3	辛德勒名单
10055006	1005	5006	1603	67403	1604	60465	6307:3	辛德勒名单
10055007	1005	5007	1603	69560	1604	62407	6305:4	辛德勒名单
10055008	1005	5008	1603	71760	1604	64382	6308:4	辛德勒名单
10055009	1005	5009	1603	73985	1604	66387	6303:5	辛德勒名单
10055010	1005	5010	1603	76253	1604	68417	6304:5	辛德勒名单
10061001	1006	1001	1602	152	1603	144	6101:1	拯救大兵瑞恩
10061002	1006	1002	1602	517	1603	457	6101:1	拯救大兵瑞恩
10061003	1006	1003	1602	882	1603	761	6103:2	拯救大兵瑞恩
10061004	1006	1004	1602	1339	1603	1147	6102:2	拯救大兵瑞恩
10061005	1006	1005	1602	1897	1603	1609	6105:3	拯救大兵瑞恩
10061006	1006	1006	1602	2541	1603	2150	6105:3	拯救大兵瑞恩
10061007	1006	1007	1602	3290	1603	2767	6102:4	拯救大兵瑞恩
10061008	1006	1008	1602	4119	1603	3462	6105:4	拯救大兵瑞恩
10061009	1006	1009	1602	5048	1603	4245	6101:5	拯救大兵瑞恩
10061010	1006	1010	1602	6069	1603	5100	6102:5	拯救大兵瑞恩
10062001	1006	2001	1602	9022	1603	7564	6202:1	拯救大兵瑞恩
10062002	1006	2002	1602	10534	1603	8828	6208:1	拯救大兵瑞恩
10062003	1006	2003	1602	12173	1603	10189	6204:2	拯救大兵瑞恩
10062004	1006	2004	1602	13931	1603	11662	6201:2	拯救大兵瑞恩
10062005	1006	2005	1602	14846	1603	12422	6202:3	拯救大兵瑞恩
10062006	1006	2006	1602	15801	1603	13216	6209:3	拯救大兵瑞恩
10062007	1006	2007	1602	16783	1603	14032	6208:4	拯救大兵瑞恩
10062008	1006	2008	1602	17791	1603	14877	6206:4	拯救大兵瑞恩
10062009	1006	2009	1602	18826	1603	15742	6207:5	拯救大兵瑞恩
10062010	1006	2010	1602	19901	1603	16630	6206:5	拯救大兵瑞恩
10063001	1006	3001	1602	25242	1603	21090	6304:1	拯救大兵瑞恩
10063002	1006	3002	1602	26588	1603	22220	6306:1	拯救大兵瑞恩
10063003	1006	3003	1602	27981	1603	23378	6305:2	拯救大兵瑞恩
10063004	1006	3004	1602	29407	1603	24564	6308:2	拯救大兵瑞恩
10063005	1006	3005	1602	30867	1603	25777	6307:3	拯救大兵瑞恩
10063006	1006	3006	1602	32359	1603	27024	6307:3	拯救大兵瑞恩
10063007	1006	3007	1602	33885	1603	28303	6304:4	拯救大兵瑞恩
10063008	1006	3008	1602	35457	1603	29609	6302:4	拯救大兵瑞恩
10063009	1006	3009	1602	37056	1603	30943	6309:5	拯救大兵瑞恩
10063010	1006	3010	1602	38695	1603	32300	6305:5	拯救大兵瑞恩
10064001	1006	4001	1602	40366	1603	33695	6301:1	拯救大兵瑞恩
10064002	1006	4002	1602	42078	1603	35123	6303:1	拯救大兵瑞恩
10064003	1006	4003	1602	43816	1603	36573	6306:2	拯救大兵瑞恩
10064004	1006	4004	1602	45594	1603	38052	6304:2	拯救大兵瑞恩
10064005	1006	4005	1602	47412	1603	39561	6306:3	拯救大兵瑞恩
10064006	1006	4006	1602	49256	1603	41105	6304:3	拯救大兵瑞恩
10064007	1006	4007	1602	51146	1603	42676	6302:4	拯救大兵瑞恩
10064008	1006	4008	1602	53070	1603	44276	6309:4	拯救大兵瑞恩
10064009	1006	4009	1602	55014	1603	45902	6308:5	拯救大兵瑞恩
10064010	1006	4010	1602	57017	1603	47556	6305:5	拯救大兵瑞恩
10065001	1006	5001	1602	59041	1603	49245	6308:1	拯救大兵瑞恩
10065002	1006	5002	1602	61097	1603	50964	6301:1	拯救大兵瑞恩
10065003	1006	5003	1602	63200	1603	52701	6308:2	拯救大兵瑞恩
10065004	1006	5004	1602	65330	1603	54483	6307:2	拯救大兵瑞恩
10065005	1006	5005	1602	67499	1603	56285	6307:3	拯救大兵瑞恩
10065006	1006	5006	1602	69701	1603	58122	6303:3	拯救大兵瑞恩
10065007	1006	5007	1602	71943	1603	59980	6308:4	拯救大兵瑞恩
10065008	1006	5008	1602	74212	1603	61875	6304:4	拯救大兵瑞恩
10065009	1006	5009	1602	76521	1603	63801	6301:5	拯救大兵瑞恩
10065010	1006	5010	1602	78863	1603	65752	6302:5	拯救大兵瑞恩
10071001	1007	1001	1601	185	1602	85	6105:1	敦刻尔克
10071002	1007	1002	1601	593	1602	280	6107:1	敦刻尔克
10071003	1007	1003	1601	977	1602	476	6101:2	敦刻尔克
10071004	1007	1004	1601	1470	1602	722	6106:2	敦刻尔克
10071005	1007	1005	1601	2063	1602	1022	6104:3	敦刻尔克
10071006	1007	1006	1601	2754	1602	1369	6109:3	敦刻尔克
10071007	1007	1007	1601	3549	1602	1769	6108:4	敦刻尔克
10071008	1007	1008	1601	4442	1602	2216	6106:4	敦刻尔克
10071009	1007	1009	1601	5443	1602	2715	6105:5	敦刻尔克
10071010	1007	1010	1601	6542	1602	3262	6107:5	敦刻尔克
10072001	1007	2001	1601	9696	1602	4851	6205:1	敦刻尔克
10072002	1007	2002	1601	11319	1602	5668	6204:1	敦刻尔克
10072003	1007	2003	1601	13064	1602	6549	6208:2	敦刻尔克
10072004	1007	2004	1601	14942	1602	7491	6202:2	敦刻尔克
10072005	1007	2005	1601	15927	1602	7985	6208:3	敦刻尔克
10072006	1007	2006	1601	16937	1602	8499	6201:3	敦刻尔克
10072007	1007	2007	1601	17991	1602	9023	6209:4	敦刻尔克
10072008	1007	2008	1601	19069	1602	9569	6202:4	敦刻尔克
10072009	1007	2009	1601	20171	1602	10126	6206:5	敦刻尔克
10072010	1007	2010	1601	21319	1602	10701	6202:5	敦刻尔克
10073001	1007	3001	1601	27029	1602	13574	6301:1	敦刻尔克
10073002	1007	3002	1601	28479	1602	14297	6302:1	敦刻尔克
10073003	1007	3003	1601	29965	1602	15045	6302:2	敦刻尔克
10073004	1007	3004	1601	31479	1602	15814	6305:2	敦刻尔克
10073005	1007	3005	1601	33047	1602	16599	6302:3	敦刻尔克
10073006	1007	3006	1601	34641	1602	17403	6309:3	敦刻尔克
10073007	1007	3007	1601	36273	1602	18225	6303:4	敦刻尔克
10073008	1007	3008	1601	37949	1602	19068	6309:4	敦刻尔克
10073009	1007	3009	1601	39662	1602	19929	6307:5	敦刻尔克
10073010	1007	3010	1601	41402	1602	20809	6303:5	敦刻尔克
10074001	1007	4001	1601	43195	1602	21708	6301:1	敦刻尔克
10074002	1007	4002	1601	45017	1602	22626	6307:1	敦刻尔克
10074003	1007	4003	1601	46874	1602	23563	6305:2	敦刻尔克
10074004	1007	4004	1601	48776	1602	24519	6303:2	敦刻尔克
10074005	1007	4005	1601	50715	1602	25494	6303:3	敦刻尔克
10074006	1007	4006	1601	52682	1602	26488	6304:3	敦刻尔克
10074007	1007	4007	1601	54700	1602	27505	6303:4	敦刻尔克
10074008	1007	4008	1601	56748	1602	28538	6304:4	敦刻尔克
10074009	1007	4009	1601	58832	1602	29589	6302:5	敦刻尔克
10074010	1007	4010	1601	60960	1602	30659	6301:5	敦刻尔克
10075001	1007	5001	1601	63125	1602	31749	6307:1	敦刻尔克
10075002	1007	5002	1601	65318	1602	32856	6305:1	敦刻尔克
10075003	1007	5003	1601	67551	1602	33984	6306:2	敦刻尔克
10075004	1007	5004	1601	69829	1602	35130	6304:2	敦刻尔克
10075005	1007	5005	1601	72143	1602	36295	6301:3	敦刻尔克
10075006	1007	5006	1601	74493	1602	37480	6302:3	敦刻尔克
10075007	1007	5007	1601	76880	1602	38684	6303:4	敦刻尔克
10075008	1007	5008	1601	79311	1602	39911	6309:4	敦刻尔克
10075009	1007	5009	1601	81770	1602	41152	6307:5	敦刻尔克
10075010	1007	5010	1601	84274	1602	42412	6307:5	敦刻尔克
10101001	1010	1001	1602	173	1601	106	6109:1	兵临城下
10101002	1010	1002	1602	567	1601	339	6101:1	兵临城下
10101003	1010	1003	1602	964	1601	557	6103:2	兵临城下
10101004	1010	1004	1602	1461	1601	838	6105:2	兵临城下
10101005	1010	1005	1602	2070	1601	1177	6104:3	兵临城下
10101006	1010	1006	1602	2782	1601	1575	6109:3	兵临城下
10101007	1010	1007	1602	3594	1601	2025	6105:4	兵临城下
10101008	1010	1008	1602	4505	1601	2534	6108:4	兵临城下
10101009	1010	1009	1602	5507	1601	3106	6109:5	兵临城下
10101010	1010	1010	1602	6625	1601	3735	6105:5	兵临城下
10102001	1010	2001	1602	9855	1601	5539	6209:1	兵临城下
10102002	1010	2002	1602	11508	1601	6469	6206:1	兵临城下
10102003	1010	2003	1602	13304	1601	7463	6203:2	兵临城下
10102004	1010	2004	1602	15218	1601	8538	6205:2	兵临城下
10102005	1010	2005	1602	16220	1601	9101	6206:3	兵临城下
10102006	1010	2006	1602	17259	1601	9678	6209:3	兵临城下
10102007	1010	2007	1602	18332	1601	10278	6202:4	兵临城下
10102008	1010	2008	1602	19434	1601	10894	6208:4	兵临城下
10102009	1010	2009	1602	20568	1601	11524	6203:5	兵临城下
10102010	1010	2010	1602	21740	1601	12178	6208:5	兵临城下
10103001	1010	3001	1602	27566	1601	15444	6308:1	兵临城下
10103002	1010	3002	1602	29045	1601	16273	6305:1	兵临城下
10103003	1010	3003	1602	30564	1601	17121	6308:2	兵临城下
10103004	1010	3004	1602	32117	1601	17988	6304:2	兵临城下
10103005	1010	3005	1602	33712	1601	18880	6304:3	兵临城下
10103006	1010	3006	1602	35347	1601	19796	6301:3	兵临城下
10103007	1010	3007	1602	37020	1601	20727	6301:4	兵临城下
10103008	1010	3008	1602	38726	1601	21686	6305:4	兵临城下
10103009	1010	3009	1602	40482	1601	22660	6301:5	兵临城下
10103010	1010	3010	1602	42271	1601	23658	6304:5	兵临城下
10104001	1010	4001	1602	44097	1601	24681	6302:1	兵临城下
10104002	1010	4002	1602	45961	1601	25723	6301:1	兵临城下
10104003	1010	4003	1602	47870	1601	26784	6307:2	兵临城下
10104004	1010	4004	1602	49812	1601	27869	6305:2	兵临城下
10104005	1010	4005	1602	51787	1601	28980	6306:3	兵临城下
10104006	1010	4006	1602	53812	1601	30104	6302:3	兵临城下
10104007	1010	4007	1602	55870	1601	31257	6309:4	兵临城下
10104008	1010	4008	1602	57969	1601	32425	6309:4	兵临城下
10104009	1010	4009	1602	60102	1601	33617	6306:5	兵临城下
10104010	1010	4010	1602	62281	1601	34834	6308:5	兵临城下
10105001	1010	5001	1602	64492	1601	36069	6306:1	兵临城下
10105002	1010	5002	1602	66745	1601	37325	6301:1	兵临城下
10105003	1010	5003	1602	69030	1601	38600	6307:2	兵临城下
10105004	1010	5004	1602	71366	1601	39898	6305:2	兵临城下
10105005	1010	5005	1602	73726	1601	41225	6301:3	兵临城下
10105006	1010	5006	1602	76136	1601	42564	6305:3	兵临城下
10105007	1010	5007	1602	78584	1601	43930	6301:4	兵临城下
10105008	1010	5008	1602	81072	1601	45321	6306:4	兵临城下
10105009	1010	5009	1602	83594	1601	46726	6304:5	兵临城下
10105010	1010	5010	1602	86150	1601	48156	6301:5	兵临城下
10111001	1011	1001	1601	172	1602	127	6108:1	比利林恩的中场战事
10111002	1011	1002	1601	550	1602	430	6104:1	比利林恩的中场战事
10111003	1011	1003	1601	915	1602	733	6101:2	比利林恩的中场战事
10111004	1011	1004	1601	1379	1602	1113	6105:2	比利林恩的中场战事
10111005	1011	1005	1601	1936	1602	1577	6103:3	比利林恩的中场战事
10111006	1011	1006	1601	2587	1602	2112	6102:3	比利林恩的中场战事
10111007	1011	1007	1601	3330	1602	2735	6107:4	比利林恩的中场战事
10111008	1011	1008	1601	4165	1602	3425	6105:4	比利林恩的中场战事
10111009	1011	1009	1601	5107	1602	4197	6103:5	比利林恩的中场战事
10111010	1011	1010	1601	6136	1602	5044	6105:5	比利林恩的中场战事
10112001	1011	2001	1601	9101	1602	7499	6206:1	比利林恩的中场战事
10112002	1011	2002	1601	10620	1602	8756	6201:1	比利林恩的中场战事
10112003	1011	2003	1601	12259	1602	10117	6205:2	比利林恩的中场战事
10112004	1011	2004	1601	14030	1602	11579	6201:2	比利林恩的中场战事
10112005	1011	2005	1601	14945	1602	12340	6209:3	比利林恩的中场战事
10112006	1011	2006	1601	15901	1602	13133	6207:3	比利林恩的中场战事
10112007	1011	2007	1601	16883	1602	13950	6203:4	比利林恩的中场战事
10112008	1011	2008	1601	17898	1602	14787	6202:4	比利林恩的中场战事
10112009	1011	2009	1601	18939	1602	15648	6205:5	比利林恩的中场战事
10112010	1011	2010	1601	20007	1602	16541	6209:5	比利林恩的中场战事
10113001	1011	3001	1601	25374	1602	20980	6303:1	比利林恩的中场战事
10113002	1011	3002	1601	26734	1602	22099	6305:1	比利林恩的中场战事
10113003	1011	3003	1601	28127	1602	23258	6307:2	比利林恩的中场战事
10113004	1011	3004	1601	29554	1602	24443	6307:2	比利林恩的中场战事
10113005	1011	3005	1601	31013	1602	25656	6303:3	比利林恩的中场战事
10113006	1011	3006	1601	32512	1602	26896	6302:3	比利林恩的中场战事
10113007	1011	3007	1601	34051	1602	28165	6301:4	比利林恩的中场战事
10113008	1011	3008	1601	35623	1602	29471	6309:4	比利林恩的中场战事
10113009	1011	3009	1601	37229	1602	30801	6302:5	比利林恩的中场战事
10113010	1011	3010	1601	38861	1602	32162	6304:5	比利林恩的中场战事
10114001	1011	4001	1601	40539	1602	33551	6307:1	比利林恩的中场战事
10114002	1011	4002	1601	42257	1602	34974	6307:1	比利林恩的中场战事
10114003	1011	4003	1601	44002	1602	36418	6302:2	比利林恩的中场战事
10114004	1011	4004	1601	45780	1602	37897	6301:2	比利林恩的中场战事
10114005	1011	4005	1601	47597	1602	39407	6308:3	比利林恩的中场战事
10114006	1011	4006	1601	49455	1602	40940	6307:3	比利林恩的中场战事
10114007	1011	4007	1601	51345	1602	42511	6301:4	比利林恩的中场战事
10114008	1011	4008	1601	53270	1602	44110	6309:4	比利林恩的中场战事
10114009	1011	4009	1601	55226	1602	45726	6302:5	比利林恩的中场战事
10114010	1011	4010	1601	57216	1602	47391	6302:5	比利林恩的中场战事
