int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1126	哥伦比亚	7	1	600	9002	1	600	6106	1	600	4002	1	600	1	5	600
1127	杰克逊	7	1	600	9001	1	600	6107	1	600	4003	1	600	1	5	600
1128	盐湖城	7	1	600	9002	1	600	6101	1	600	4004	1	600	1	5	600
1129	迈阿密	7	1	600	9001	1	600	6108	1	600	4005	1	600	1	5	600
1130	蒙哥马利	7	1	600	9002	1	600	6106	1	600	4006	1	600	1	5	600
1131	奥斯汀	7	1	600	9001	1	600	6107	1	600	4007	1	600	1	5	600
1132	堪萨斯城	7	1	600	9002	1	600	6101	1	600	4008	1	600	1	5	600
1133	新奥尔良	7	1	600	9001	1	600	6108	1	600	4009	1	600	1	5	600
1134	海伦娜	7	1	600	9002	1	600	6106	1	600	4010	1	600	1	5	600
1135	拉斯维加斯	7	1	600	9001	1	600	6107	1	600	4011	1	600	1	5	600
1136	巴尔的摩	7	1	600	9002	1	600	6101	1	600	4012	1	600	1	5	600
1137	丹佛	7	1	600	9001	1	600	6108	1	600	4001	1	600	1	5	600
1138	奥兰多	7	1	600	9002	1	600	6106	1	600	4002	1	600	1	5	600
1139	塞班岛	7	1	600	9001	1	600	6107	1	600	4003	1	600	1	5	600
1140	曼哈顿	7	1	600	9002	1	600	6101	1	600	4004	1	600	1	5	600
1141	温哥华	7	1	600	9001	1	600	6108	1	600	4005	1	600	1	5	600
1142	多伦多	7	1	600	9002	1	600	6106	1	600	4006	1	600	1	5	600
1143	蒙特利尔	7	1	600	9001	1	600	6107	1	600	4007	1	600	1	5	600
1144	魁北克	7	1	600	9002	1	600	6101	1	600	4008	1	600	1	5	600
1145	维多利亚	7	1	600	9001	1	600	6108	1	600	4009	1	600	1	5	600
1146	渥太华	7	1	600	9002	1	600	6106	1	600	4010	1	600	1	5	600
1147	卡尔加里	7	1	600	9001	1	600	6107	1	600	4011	1	600	1	5	600
1148	尼亚加拉	7	1	600	9002	1	600	6101	1	600	4012	1	600	1	5	600
1149	黄刀镇	7	1	600	9001	1	600	6108	1	600	4013	1	600	1	5	600
1150	惠斯勒	7	1	600	9002	1	600	6106	1	600	4014	1	600	1	5	600
1151	埃德蒙顿	7	1	600	9001	1	600	6107	1	600	4015	1	600	1	5	600
1152	金斯顿	7	1	600	9002	1	600	6101	1	600	4016	1	600	1	5	600
1153	哈利法克斯	7	1	600	9001	1	600	6108	1	600	4017	1	600	1	5	600
1154	基洛纳	7	1	600	9002	1	600	6106	1	600	4018	1	600	1	5	600
1155	哈密尔顿	7	1	600	9001	1	600	6107	1	600	4001	1	600	1	5	600
1156	温尼伯	7	1	600	9002	1	600	6101	1	600	4002	1	600	1	5	600
1157	滑铁卢	7	1	600	9001	1	600	6108	1	600	4003	1	600	1	5	600
1158	史密斯堡	7	1	600	9002	1	600	6106	1	600	4004	1	600	1	5	600
1159	怀特霍斯	7	1	600	9001	1	600	6107	1	600	4005	1	600	1	5	600
1160	约克区	7	1	600	9002	1	600	6101	1	600	4006	1	600	1	5	600
1161	尼皮辛	7	1	600	9001	1	600	6108	1	600	4007	1	600	1	5	600
1162	帕里桑德	7	1	600	9002	1	600	6106	1	600	4008	1	600	1	5	600
1163	夏洛特顿	7	1	600	9001	1	600	6107	1	600	4009	1	600	1	5	600
1164	中奥肯拿根	7	1	600	9002	1	600	6101	1	600	4010	1	600	1	5	600
1165	皮尔区	7	1	600	9001	1	600	6108	1	600	4011	1	600	1	5	600
1166	诺森伯兰	7	1	600	9002	1	600	6106	1	600	4012	1	600	1	5	600
1167	蒂米斯卡明	7	1	600	9001	1	600	6107	1	600	4013	1	600	1	5	600
1168	穆斯科卡	7	1	600	9002	1	600	6101	1	600	4014	1	600	1	5	600
1169	锡姆科	7	1	600	9001	1	600	6108	1	600	4015	1	600	1	5	600
1170	拉纳克	7	1	600	9002	1	600	6106	1	600	4016	1	600	1	5	600
1171	格雷	7	1	600	9001	1	600	6107	1	600	4017	1	600	1	5	600
1172	落基山	7	1	600	9002	1	600	6101	1	600	4018	1	600	1	5	600
1173	贾斯珀	7	1	600	9001	1	600	6108	1	600	4001	1	600	1	5	600
1174	莱姆顿	7	1	600	9002	1	600	6106	1	600	4002	1	600	1	5	600
1175	达拉谟	7	1	600	9001	1	600	6107	1	600	4003	1	600	1	5	600
1176	查塔姆-肯特	7	1	600	9002	1	600	6101	1	600	4004	1	600	1	5	600
1177	萨斯卡通	7	1	600	9001	1	600	6108	1	600	4005	1	600	1	5	600
1178	里贾纳	7	1	600	9002	1	600	6106	1	600	4006	1	600	1	5	600
1179	穆斯乔	7	1	600	9001	1	600	6107	1	600	4007	1	600	1	5	600
1180	艾伯特王子城	7	1	600	9002	1	600	6101	1	600	4008	1	600	1	5	600
1181	悉尼	7	1	600	9001	1	600	6108	1	600	4009	1	600	1	5	600
1182	墨尔本	7	1	600	9002	1	600	6106	1	600	4010	1	600	1	5	600
1183	黄金海岸	7	1	600	9001	1	600	6107	1	600	4011	1	600	1	5	600
1184	凯恩斯	7	1	600	9002	1	600	6101	1	600	4012	1	600	1	5	600
1185	布里斯班	7	1	600	9001	1	600	6108	1	600	4013	1	600	1	5	600
1186	珀斯	7	1	600	9002	1	600	6106	1	600	4014	1	600	1	5	600
1187	堪培拉	7	1	600	9001	1	600	6107	1	600	4015	1	600	1	5	600
1188	阿德莱德	7	1	600	9002	1	600	6101	1	600	4016	1	600	1	5	600
1189	大堡礁	7	1	600	9001	1	600	6108	1	600	4017	1	600	1	5	600
1190	大洋路	7	1	600	9002	1	600	6106	1	600	4018	1	600	1	5	600
1191	霍巴特	7	1	600	9001	1	600	6107	1	600	4001	1	600	1	5	600
1192	蓝山	7	1	600	9002	1	600	6101	1	600	4002	1	600	1	5	600
1193	乌鲁鲁	7	1	600	9001	1	600	6108	1	600	4003	1	600	1	5	600
1194	艾利海滩	7	1	600	9002	1	600	6106	1	600	4004	1	600	1	5	600
1195	圣灵群岛	7	1	600	9001	1	600	6107	1	600	4005	1	600	1	5	600
1196	拜伦湾	7	1	600	9002	1	600	6101	1	600	4006	1	600	1	5	600
1197	达尔文	7	1	600	9001	1	600	6108	1	600	4007	1	600	1	5	600
1198	汉密尔顿岛	7	1	600	9002	1	600	6106	1	600	4008	1	600	1	5	600
1199	卧龙岗	7	1	600	9001	1	600	6107	1	600	4009	1	600	1	5	600
1200	袋鼠岛	7	1	600	9002	1	600	6101	1	600	4010	1	600	1	5	600
1201	道格拉斯港	7	1	600	9001	1	600	6108	1	600	4011	1	600	1	5	600
1202	努萨	7	1	600	9002	1	600	6106	1	600	4012	1	600	1	5	600
1203	昆士兰	7	1	600	9001	1	600	6107	1	600	4013	1	600	1	5	600
1204	玛格丽特	7	1	600	9002	1	600	6101	1	600	4014	1	600	1	5	600
1205	汤斯维尔	7	1	600	9001	1	600	6108	1	600	4015	1	600	1	5	600
1206	布鲁姆	7	1	600	9002	1	600	6106	1	600	4016	1	600	1	5	600
1207	库兰达	7	1	600	9001	1	600	6107	1	600	4017	1	600	1	5	600
1208	麦带区	7	1	600	9002	1	600	6101	1	600	4018	1	600	1	5	600
1209	库伦加塔	7	1	600	9001	1	600	6108	1	600	4001	1	600	1	5	600
1210	芭萝莎	7	1	600	9002	1	600	6106	1	600	4002	1	600	1	5	600
1211	阳光海岸	7	1	600	9001	1	600	6107	1	600	4003	1	600	1	5	600
1212	坎贝尔港	7	1	600	9002	1	600	6101	1	600	4004	1	600	1	5	600
1213	洛恩	7	1	600	9001	1	600	6108	1	600	4005	1	600	1	5	600
1214	卡尔巴里	7	1	600	9002	1	600	6106	1	600	4006	1	600	1	5	600
1215	棕榈湾	7	1	600	9001	1	600	6107	1	600	4007	1	600	1	5	600
1216	摇篮山	7	1	600	9002	1	600	6101	1	600	4008	1	600	1	5	600
1217	比吉诺	7	1	600	9001	1	600	6108	1	600	4009	1	600	1	5	600
1218	吉朗	7	1	600	9002	1	600	6106	1	600	4010	1	600	1	5	600
1219	阿波罗湾	7	1	600	9001	1	600	6107	1	600	4011	1	600	1	5	600
1220	朗塞斯顿	7	1	600	9002	1	600	6101	1	600	4012	1	600	1	5	600
1221	伦敦	7	1	600	9001	1	600	6108	1	600	4013	1	600	1	5	600
1222	爱丁堡	7	1	600	9002	1	600	6106	1	600	4014	1	600	1	5	600
1223	剑桥	7	1	600	9001	1	600	6107	1	600	4015	1	600	1	5	600
1224	曼彻斯特	7	1	600	9002	1	600	6101	1	600	4016	1	600	1	5	600
1225	牛津	7	1	600	9001	1	600	6108	1	600	4017	1	600	1	5	600
1226	约克	7	1	600	9002	1	600	6106	1	600	4018	1	600	1	5	600
1227	巴斯	7	1	600	9001	1	600	6107	1	600	4001	1	600	1	5	600
1228	英国湖区	7	1	600	9002	1	600	6101	1	600	4002	1	600	1	5	600
1229	伯明翰	7	1	600	9001	1	600	6108	1	600	4003	1	600	1	5	600
1230	利物浦	7	1	600	9002	1	600	6106	1	600	4004	1	600	1	5	600
1231	谢菲尔德	7	1	600	9001	1	600	6107	1	600	4005	1	600	1	5	600
1232	怀特岛	7	1	600	9002	1	600	6101	1	600	4006	1	600	1	5	600
1233	诺丁汉	7	1	600	9001	1	600	6108	1	600	4007	1	600	1	5	600
1234	纽卡斯尔	7	1	600	9002	1	600	6106	1	600	4008	1	600	1	5	600
1235	贝尔法斯特	7	1	600	9001	1	600	6107	1	600	4009	1	600	1	5	600
1236	加的夫	7	1	600	9002	1	600	6101	1	600	4010	1	600	1	5	600
1237	温莎	7	1	600	9001	1	600	6108	1	600	4011	1	600	1	5	600
1238	布莱顿	7	1	600	9002	1	600	6106	1	600	4012	1	600	1	5	600
1239	苏格兰高地	7	1	600	9001	1	600	6107	1	600	4013	1	600	1	5	600
1240	格拉斯哥	7	1	600	9002	1	600	6101	1	600	4014	1	600	1	5	600
1241	考文垂	7	1	600	9001	1	600	6108	1	600	4015	1	600	1	5	600
1242	斯特拉特福	7	1	600	9002	1	600	6106	1	600	4016	1	600	1	5	600
1243	康沃尔	7	1	600	9001	1	600	6107	1	600	4017	1	600	1	5	600
1244	坎特伯雷	7	1	600	9002	1	600	6101	1	600	4018	1	600	1	5	600
1245	南安普敦	7	1	600	9001	1	600	6108	1	600	4001	1	600	1	5	600
1246	利兹	7	1	600	9002	1	600	6106	1	600	4002	1	600	1	5	600
1247	威廉堡	7	1	600	9001	1	600	6107	1	600	4003	1	600	1	5	600
1248	布里斯托	7	1	600	9002	1	600	6101	1	600	4004	1	600	1	5	600
1249	格林尼治	7	1	600	9001	1	600	6108	1	600	4005	1	600	1	5	600
1250	南莱克兰	7	1	600	9002	1	600	6106	1	600	4006	1	600	1	5	600
1251	圣安德鲁斯	7	1	600	9001	1	600	6107	1	600	4007	1	600	1	5	600
1252	北约克	7	1	600	9002	1	600	6101	1	600	4008	1	600	1	5	600
1253	斯旺西	7	1	600	9001	1	600	6108	1	600	4009	1	600	1	5	600
1254	莱斯特	7	1	600	9002	1	600	6106	1	600	4010	1	600	1	5	600
1255	普利茅斯	7	1	600	9001	1	600	6107	1	600	4011	1	600	1	5	600
1256	惠特比	7	1	600	9002	1	600	6101	1	600	4012	1	600	1	5	600
1257	诺里奇	7	1	600	9001	1	600	6108	1	600	4013	1	600	1	5	600
1258	朴次茅斯	7	1	600	9002	1	600	6106	1	600	4014	1	600	1	5	600
1259	阿伯丁	7	1	600	9001	1	600	6107	1	600	4015	1	600	1	5	600
1260	斯特灵	7	1	600	9002	1	600	6101	1	600	4016	1	600	1	5	600
1261	巴黎	7	1	600	9001	1	600	6108	1	600	4017	1	600	1	5	600
1262	马赛	7	1	600	9002	1	600	6106	1	600	4018	1	600	1	5	600
1263	戛纳	7	1	600	9001	1	600	6107	1	600	4001	1	600	1	5	600
1264	里昂	7	1	600	9002	1	600	6101	1	600	4002	1	600	1	5	600
1265	图卢兹	7	1	600	9001	1	600	6108	1	600	4003	1	600	1	5	600
1266	尼斯	7	1	600	9002	1	600	6106	1	600	4004	1	600	1	5	600
1267	奥尔良	7	1	600	9001	1	600	6107	1	600	4005	1	600	1	5	600
1268	波尔多	7	1	600	9002	1	600	6101	1	600	4006	1	600	1	5	600
1269	雷恩	7	1	600	9001	1	600	6108	1	600	4007	1	600	1	5	600
1270	勒芒	7	1	600	9002	1	600	6106	1	600	4008	1	600	1	5	600
1271	亚眠	7	1	600	9001	1	600	6107	1	600	4009	1	600	1	5	600
1272	凡尔赛	7	1	600	9002	1	600	6101	1	600	4010	1	600	1	5	600
1273	鲁昂	7	1	600	9001	1	600	6108	1	600	4011	1	600	1	5	600
1274	南特	7	1	600	9002	1	600	6106	1	600	4012	1	600	1	5	600
1275	普罗旺斯地区艾克斯	7	1	600	9001	1	600	6107	1	600	4013	1	600	1	5	600
1276	蒙彼利埃	7	1	600	9002	1	600	6101	1	600	4014	1	600	1	5	600
1277	里尔	7	1	600	9001	1	600	6108	1	600	4015	1	600	1	5	600
1278	圣艾蒂安	7	1	600	9002	1	600	6106	1	600	4016	1	600	1	5	600
1279	土伦	7	1	600	9001	1	600	6107	1	600	4017	1	600	1	5	600
1280	布雷斯特	7	1	600	9002	1	600	6101	1	600	4018	1	600	1	5	600
1281	格勒诺布尔	7	1	600	9001	1	600	6108	1	600	4001	1	600	1	5	600
1282	敦刻尔克	7	1	600	9002	1	600	6106	1	600	4002	1	600	1	5	600
1283	昂热	7	1	600	9001	1	600	6107	1	600	4003	1	600	1	5	600
1284	第戎	7	1	600	9002	1	600	6101	1	600	4004	1	600	1	5	600
1285	利摩日	7	1	600	9001	1	600	6108	1	600	4005	1	600	1	5	600
1286	尼姆	7	1	600	9002	1	600	6106	1	600	4006	1	600	1	5	600
1287	图尔	7	1	600	9001	1	600	6107	1	600	4007	1	600	1	5	600
1288	圣但尼	7	1	600	9002	1	600	6101	1	600	4008	1	600	1	5	600
1289	贝桑松	7	1	600	9001	1	600	6108	1	600	4009	1	600	1	5	600
1290	阿维尼翁	7	1	600	9002	1	600	6106	1	600	4010	1	600	1	5	600
1291	枫丹白露	7	1	600	9001	1	600	6107	1	600	4011	1	600	1	5	600
1292	加来	7	1	600	9002	1	600	6101	1	600	4012	1	600	1	5	600
1293	勒阿弗尔	7	1	600	9001	1	600	6108	1	600	4013	1	600	1	5	600
1294	布尔日	7	1	600	9002	1	600	6106	1	600	4014	1	600	1	5	600
1295	南锡	7	1	600	9001	1	600	6107	1	600	4015	1	600	1	5	600
1296	圣皮埃尔	7	1	600	9002	1	600	6101	1	600	4016	1	600	1	5	600
1297	阿尔勒	7	1	600	9001	1	600	6108	1	600	4017	1	600	1	5	600
1298	梅斯	7	1	600	9002	1	600	6106	1	600	4018	1	600	1	5	600
1299	米卢斯	7	1	600	9001	1	600	6107	1	600	4001	1	600	1	5	600
1300	斯特拉斯堡	7	1	600	9002	1	600	6101	1	600	4002	1	600	1	5	600
1301	罗马	7	1	600	9001	1	600	6108	1	600	4003	1	600	1	5	600
1302	米兰	7	1	600	9002	1	600	6106	1	600	4004	1	600	1	5	600
1303	那不勒斯	7	1	600	9001	1	600	6107	1	600	4005	1	600	1	5	600
1304	都灵	7	1	600	9002	1	600	6101	1	600	4006	1	600	1	5	600
1305	热那亚	7	1	600	9001	1	600	6108	1	600	4007	1	600	1	5	600
1306	佛罗伦萨	7	1	600	9002	1	600	6106	1	600	4008	1	600	1	5	600
1307	威尼斯	7	1	600	9001	1	600	6107	1	600	4009	1	600	1	5	600
1308	普拉托	7	1	600	9002	1	600	6101	1	600	4010	1	600	1	5	600
1309	巴勒莫	7	1	600	9001	1	600	6108	1	600	4011	1	600	1	5	600
1310	博洛尼亚	7	1	600	9002	1	600	6106	1	600	4012	1	600	1	5	600
1311	巴里	7	1	600	9001	1	600	6107	1	600	4013	1	600	1	5	600
1312	卡塔尼亚	7	1	600	9002	1	600	6101	1	600	4014	1	600	1	5	600
1313	维罗纳	7	1	600	9001	1	600	6108	1	600	4015	1	600	1	5	600
1314	帕多瓦	7	1	600	9002	1	600	6106	1	600	4016	1	600	1	5	600
1315	的里雅斯特	7	1	600	9001	1	600	6107	1	600	4017	1	600	1	5	600
1316	塔兰托	7	1	600	9002	1	600	6101	1	600	4018	1	600	1	5	600
1317	布雷西亚	7	1	600	9001	1	600	6108	1	600	4001	1	600	1	5	600
1318	帕尔马	7	1	600	9002	1	600	6106	1	600	4002	1	600	1	5	600
1319	佩鲁贾	7	1	600	9001	1	600	6107	1	600	4003	1	600	1	5	600
1320	里窝那	7	1	600	9002	1	600	6101	1	600	4004	1	600	1	5	600
1321	卡利亚里	7	1	600	9001	1	600	6108	1	600	4005	1	600	1	5	600
1322	拉韦纳	7	1	600	9002	1	600	6106	1	600	4006	1	600	1	5	600
1323	萨莱诺	7	1	600	9001	1	600	6107	1	600	4007	1	600	1	5	600
1324	锡拉库萨	7	1	600	9002	1	600	6101	1	600	4008	1	600	1	5	600
1325	蒙扎	7	1	600	9001	1	600	6108	1	600	4009	1	600	1	5	600
1326	贝加莫	7	1	600	9002	1	600	6106	1	600	4010	1	600	1	5	600
1327	拉蒂纳	7	1	600	9001	1	600	6107	1	600	4011	1	600	1	5	600
1328	弗利	7	1	600	9002	1	600	6101	1	600	4012	1	600	1	5	600
1329	诺瓦拉	7	1	600	9001	1	600	6108	1	600	4013	1	600	1	5	600
1330	博尔扎诺	7	1	600	9002	1	600	6106	1	600	4014	1	600	1	5	600
1331	皮亚琴察	7	1	600	9001	1	600	6107	1	600	4015	1	600	1	5	600
1332	乌迪内	7	1	600	9002	1	600	6101	1	600	4016	1	600	1	5	600
1333	切塞纳	7	1	600	9001	1	600	6108	1	600	4017	1	600	1	5	600
1334	佩萨罗	7	1	600	9002	1	600	6106	1	600	4018	1	600	1	5	600
1335	比萨	7	1	600	9001	1	600	6107	1	600	4001	1	600	1	5	600
1336	科莫	7	1	600	9002	1	600	6101	1	600	4002	1	600	1	5	600
1337	马萨	7	1	600	9001	1	600	6108	1	600	4003	1	600	1	5	600
1338	阿格里真托	7	1	600	9002	1	600	6106	1	600	4004	1	600	1	5	600
1339	圣雷莫	7	1	600	9001	1	600	6107	1	600	4005	1	600	1	5	600
1340	维琴察	7	1	600	9002	1	600	6101	1	600	4006	1	600	1	5	600
1341	柏林	7	1	600	9001	1	600	6108	1	600	4007	1	600	1	5	600
1342	汉堡	7	1	600	9002	1	600	6106	1	600	4008	1	600	1	5	600
1343	慕尼黑	7	1	600	9001	1	600	6107	1	600	4009	1	600	1	5	600
1344	科隆	7	1	600	9002	1	600	6101	1	600	4010	1	600	1	5	600
1345	美因河畔法兰克福	7	1	600	9001	1	600	6108	1	600	4011	1	600	1	5	600
1346	斯图加特	7	1	600	9002	1	600	6106	1	600	4012	1	600	1	5	600
1347	杜塞尔多夫	7	1	600	9001	1	600	6107	1	600	4013	1	600	1	5	600
1348	多特蒙德	7	1	600	9002	1	600	6101	1	600	4014	1	600	1	5	600
1349	埃森	7	1	600	9001	1	600	6108	1	600	4015	1	600	1	5	600
1350	不来梅	7	1	600	9002	1	600	6106	1	600	4016	1	600	1	5	600
1351	德累斯顿	7	1	600	9001	1	600	6107	1	600	4017	1	600	1	5	600
1352	莱比锡	7	1	600	9002	1	600	6101	1	600	4018	1	600	1	5	600
1353	汉诺威	7	1	600	9001	1	600	6108	1	600	4001	1	600	1	5	600
1354	纽伦堡	7	1	600	9002	1	600	6106	1	600	4002	1	600	1	5	600
1355	波恩	7	1	600	9001	1	600	6107	1	600	4003	1	600	1	5	600
1356	杜伊斯堡	7	1	600	9002	1	600	6101	1	600	4004	1	600	1	5	600
1357	伍珀塔尔	7	1	600	9001	1	600	6108	1	600	4005	1	600	1	5	600
1358	奥格斯堡	7	1	600	9002	1	600	6106	1	600	4006	1	600	1	5	600
1359	开姆尼茨	7	1	600	9001	1	600	6107	1	600	4007	1	600	1	5	600
1360	基尔	7	1	600	9002	1	600	6101	1	600	4008	1	600	1	5	600
1361	哈雷	7	1	600	9001	1	600	6108	1	600	4009	1	600	1	5	600
1362	弗莱堡	7	1	600	9002	1	600	6106	1	600	4010	1	600	1	5	600
1363	吕贝克	7	1	600	9001	1	600	6107	1	600	4011	1	600	1	5	600
1364	奥伯豪森	7	1	600	9002	1	600	6101	1	600	4012	1	600	1	5	600
1365	罗斯托克	7	1	600	9001	1	600	6108	1	600	4013	1	600	1	5	600
1366	美因茨	7	1	600	9002	1	600	6106	1	600	4014	1	600	1	5	600
1367	哈根	7	1	600	9001	1	600	6107	1	600	4015	1	600	1	5	600
1368	路德维希港	7	1	600	9002	1	600	6101	1	600	4016	1	600	1	5	600
1369	海德堡	7	1	600	9001	1	600	6108	1	600	4017	1	600	1	5	600
1370	索林根	7	1	600	9002	1	600	6106	1	600	4018	1	600	1	5	600
1371	诺伊斯	7	1	600	9001	1	600	6107	1	600	4001	1	600	1	5	600
1372	帕德博恩	7	1	600	9002	1	600	6101	1	600	4002	1	600	1	5	600
1373	达姆施塔特	7	1	600	9001	1	600	6108	1	600	4003	1	600	1	5	600
1374	乌尔姆	7	1	600	9002	1	600	6106	1	600	4004	1	600	1	5	600
1375	沃尔夫斯堡	7	1	600	9001	1	600	6107	1	600	4005	1	600	1	5	600
1376	贝希特斯加登	7	1	600	9002	1	600	6101	1	600	4006	1	600	1	5	600
1377	魏玛	7	1	600	9001	1	600	6108	1	600	4007	1	600	1	5	600
1378	波茨坦	7	1	600	9002	1	600	6106	1	600	4008	1	600	1	5	600
1379	希尔德斯海姆	7	1	600	9001	1	600	6107	1	600	4009	1	600	1	5	600
1380	卡塞尔	7	1	600	9002	1	600	6101	1	600	4010	1	600	1	5	600
1381	东京	7	1	600	9001	1	600	6108	1	600	4011	1	600	1	5	600
1382	京都	7	1	600	9002	1	600	6106	1	600	4012	1	600	1	5	600
1383	大阪	7	1	600	9001	1	600	6107	1	600	4013	1	600	1	5	600
1384	奈良	7	1	600	9002	1	600	6101	1	600	4014	1	600	1	5	600
1385	箱根	7	1	600	9001	1	600	6108	1	600	4015	1	600	1	5	600
1386	名古屋	7	1	600	9002	1	600	6106	1	600	4016	1	600	1	5	600
1387	札幌	7	1	600	9001	1	600	6107	1	600	4017	1	600	1	5	600
1388	小樽	7	1	600	9002	1	600	6101	1	600	4018	1	600	1	5	600
1389	横滨	7	1	600	9001	1	600	6108	1	600	4001	1	600	1	5	600
1390	福冈	7	1	600	9002	1	600	6106	1	600	4002	1	600	1	5	600
1391	镰仓	7	1	600	9001	1	600	6107	1	600	4003	1	600	1	5	600
1392	那霸	7	1	600	9002	1	600	6101	1	600	4004	1	600	1	5	600
1393	函馆	7	1	600	9001	1	600	6108	1	600	4005	1	600	1	5	600
1394	宇治	7	1	600	9002	1	600	6106	1	600	4006	1	600	1	5	600
1395	熊本	7	1	600	9001	1	600	6107	1	600	4007	1	600	1	5	600
1396	长崎	7	1	600	9002	1	600	6101	1	600	4008	1	600	1	5	600
1397	广岛	7	1	600	9001	1	600	6108	1	600	4009	1	600	1	5	600
1398	鹿儿岛	7	1	600	9002	1	600	6106	1	600	4010	1	600	1	5	600
1399	仙台	7	1	600	9001	1	600	6107	1	600	4011	1	600	1	5	600
1400	和歌山	7	1	600	9002	1	600	6101	1	600	4012	1	600	1	5	600
1401	千叶	7	1	600	9001	1	600	6108	1	600	4013	1	600	1	5	600
1402	富良野	7	1	600	9002	1	600	6106	1	600	4014	1	600	1	5	600
1403	姬路	7	1	600	9001	1	600	6107	1	600	4015	1	600	1	5	600
1404	伊势	7	1	600	9002	1	600	6101	1	600	4016	1	600	1	5	600
1405	日光	7	1	600	9001	1	600	6108	1	600	4017	1	600	1	5	600
1406	轻井泽	7	1	600	9002	1	600	6106	1	600	4018	1	600	1	5	600
1407	高松	7	1	600	9001	1	600	6107	1	600	4001	1	600	1	5	600
1408	佐贺	7	1	600	9002	1	600	6101	1	600	4002	1	600	1	5	600
1409	太宰府	7	1	600	9001	1	600	6108	1	600	4003	1	600	1	5	600
1410	埼玉	7	1	600	9002	1	600	6106	1	600	4004	1	600	1	5	600
1411	宫崎	7	1	600	9001	1	600	6107	1	600	4005	1	600	1	5	600
1412	鸟取	7	1	600	9002	1	600	6101	1	600	4006	1	600	1	5	600
1413	长野	7	1	600	9001	1	600	6108	1	600	4007	1	600	1	5	600
1414	敦贺	7	1	600	9002	1	600	6106	1	600	4008	1	600	1	5	600
1415	山形	7	1	600	9001	1	600	6107	1	600	4009	1	600	1	5	600
1416	伊豆	7	1	600	9002	1	600	6101	1	600	4010	1	600	1	5	600
1417	铃鹿	7	1	600	9001	1	600	6108	1	600	4011	1	600	1	5	600
1418	甲贺	7	1	600	9002	1	600	6106	1	600	4012	1	600	1	5	600
1419	宝冢	7	1	600	9001	1	600	6107	1	600	4013	1	600	1	5	600
1420	弘前	7	1	600	9002	1	600	6101	1	600	4014	1	600	1	5	600
