int	int	int	int	int	int	int	int	int	int	int	int	bool	DTVector2	string	string	int	bool	int	bool	int	bool	bool	string	string
101202	1012	2	11	2						300106		1	0;180	通过派发宣传单，可以让我们的电影在选定地区的关注度更上一阶哦！		1	1	60			0	1	提高一次电影关注度	点击提升关注度
101301	1013	1	20							500101		1	0;180	先来看看我们的市场版图吧！		1	1	60			0	0	加入代言人宣传第二个街道	点击市场ICON
101302	1013	2	22	101						500102	101					1	1	60			0	0		点击国家
101303	1013	3	23	1101						500103	1101					1	1	60			0	0		点击城市
101304	1013	4	20							500104		1	0;180	让我们从这里进入街道开始宣传吧！		1	1	60	1	101101	0	0	加入代言人宣传第二个街道	点击街道
101305	1013	5	29	6						500112		1	0;180	雇佣秘书之后，就可以把城市宣传的工作交由秘书来完成啦！		1	1	60			0	0	点击小秘书	点击小秘书
101306	1013	6	30	11002						500106		1	0;180	让签约艺人参与宣传能够更好的调动观众热情，提高宣传效率喔！		1	1	60			0	0	加入代言人宣传第二个街道	点击代言人
101307	1013	7	5	11002						500105		1	0;180	代言人已经准备就绪，让我们开始这次宣传活动吧！		1	1	60			0	1	加入代言人宣传第二个街道	点击宣传按钮
101401	1014	1	20							500101		1	0;180	先来看看我们的市场版图吧！		1	1	60			0	0	进行第一个城市的路演	点击市场ICON
101402	1014	2	22	101						500102	101					1	1	60			0	0		点击国家
101403	1014	3	23	1101						500103	1101					1	1	60			0	0		点击城市
101404	1014	4	6	1101						500107		1	0;180	就在这里进行我们的路演吧！		1	1	60			0	0	进行第一个城市的路演	点击路演按钮
101501	1015	1	20							500101		1	0;180	先来看看我们的市场版图吧！		1	1	60			0	0	占领第一个城市	点击市场ICON
101502	1015	2	22	101						500102	101					1	1	60			0	0		点击国家
101503	1015	3	23	1101						500103	1101					1	1	60			0	0		点击城市
101504	1015	4	7	1101						500108		1	0;180	在这座城市的宣传活动已经完成啦，可以直接占领它了哦！		1	1	60			0	0	占领第一个城市	点击占领按钮
101601	1016	1	20							500101		1	0;180	先来看看我们的市场版图吧！		1	1	60			0	0	给第一个城市派遣形象大使	点击市场ICON
101602	1016	2	22	101						500102	101					1	1	60			0	0		点击国家
101603	1016	3	23	1101						500103	1101	1	0;400	让我们选择已经占领的这座城市吧！		1	1	60			0	0	给第一个城市派遣形象大使	点击城市
101604	1016	4	12	1101	1					500109		1	0;180	让我们看看这里对形象大使的要求！		1	1	60			0	0	给第一个城市派遣形象大使	点击形象大使按钮
101701	1017	1	20			2		999999		300104		1	0;180	这里就能看到当前上映中电影的持续收益啦！		1	1	60			0	0	切换电影的宣传城市	点击后续电影
101702	1017	2	20			5				300109	1101	1	0;180	目前我们就选这个城市就好啦！		1	1	60			0	0	切换电影的宣传城市	点击城市
101703	1017	3	13	1101		5				300110		1	0;180	选中之后就可以把这座城市作为重点区域进行宣传了喔！		1	1	60			0	0	切换电影的宣传城市	点击切换按钮
101801	1018	1	20							300101		1	0;180	再接再厉拍出更好的电影吧！		1	1	60			0	0	拍摄第一部电影	点击拍摄
101901	1019	1	21							100101		1	0;400	建宣传部需要更大的空间，让我们先把顶层扩建吧！		1	1	60			0	0	建造宣传部	点击扩建
101902	1019	2	20							100102		0	0			1	1	60			0	0	建造宣传部	点击建造
101903	1019	3	1	5						100103	5	0	0			1	1	60			0	0	建造宣传部	点击宣传部
102001	1020	1	20			2		999999		300104		1	0;180	这里就能看到当前上映中电影的关注度哦！		1	1	60			0	0	增加电影关注度	点击后续电影
102002	1020	2	11	6						300106		1	0;180	如果我们电影上映期间的关注度够高，还能获得额外的奖励物品哦！这些对我们影院的发展都是很有用的呢！		1	1	60			0	1	增加电影关注度	点击提升关注度
102101	1021	1	20			2		999999		300111		1	0;180	这里就能看到当前上映中电影的持续收益啦！		1	1	60			0	0	领取电影持续收益	点击后续电影
102102	1021	2	19	500						300105		1	0;180	可以收取持续受益了哦！		1	1	60			0	0	领取电影持续收益	点击领取收益
102201	1022	1	20							500101		1	0;180	先来看看我们的市场版图吧！		1	1	60			0	0	领取城市收益	点击市场ICON
102202	1022	2	22	101						500102	101					1	1	60			0	0		点击国家
102203	1022	3	20							500111		1	0;400	让我们选择已经完成宣传的这座城市吧！		1	1	60			0	0	领取城市收益	点击城市
102204	1022	4	14	500						500110		1	0;180	果然已经有收益了呢，赶紧收取吧！		1	1	60			0	0	领取城市收益	点击领取城市收益
102301	1023	1	21							100101		1	0;400	建仓库需要更大的空间，让我们先把顶层扩建吧！		1	1	60			0	0	建立仓库	点击扩建
102302	1023	2	20							100102		0	0			1	1	60			0	0	建立仓库	点击建造
102303	1023	3	1	6						100103	6	0	0			1	1	60			0	0	建立仓库	点击仓库
102401	1024	1	20							510101		1	0;180	首先，让我们看一下经营情况！		1	1	60			0	0	生产周边	点击经营
102402	1024	2	20							510102		1	0;180	目前的生产线支持的周边就是这些哦！		1	1	60			0	0	生产周边	点击生产
102403	1024	3	15	1						510103		1	0;180	选择要生产的周边让生产线开始运作吧！接下来只要等待生产线完成就可以啦！		1	1	60			0	0	生产周边	生产钞票
102501	1025	1	21							100101		1	0;400	建销售部需要更大的空间，让我们先把顶层扩建吧！		1	1	60			0	0	建立销售部	点击扩建
102502	1025	2	20							100102		0	0			1	1	60			0	0	建立销售部	点击建造
102503	1025	3	1	7						100103	7	0	0			1	1	60			0	0	建立销售部	点击销售部
102601	1026	1	20							100104	2	1	0;180	让我们对摄影棚进行升级吧！		1	1	60			0	0	升级摄影棚	点击摄影棚标题
102602	1026	2	2	2	2	4	2			100105		0	0			1	1	60			0	0	升级市场部	点击市场部标题
102701	1027	1	21							100101		1	0;400	建商务部需要更大的空间，让我们先把顶层扩建吧！		1	1	60			0	0	建造商务部	点击扩建
102702	1027	2	20							100102		0	0			1	1	60			0	0	建造商务部	点击建造
102703	1027	3	1	8						100103	8	0	0			1	1	60			0	0	建造商务部	点击商务部
102801	1028	1	20							400101		1	0;180	让我们先进入艺人部门吧！		1	1	60			0	0	一个艺人升到20级	点击艺人icon
102802	1028	2	20							400106	20	0	0			1	1	60			0	0	第二个艺人到5级	点击列表的全局
102803	1028	3	3	20	1	6	20			400104		1	0;180	把选中艺人提升到20级吧！		1	1	60			0	1	一个艺人升到20级	点击升级
102901	1029	1	20							300101		1	0;180	准备开始拍摄吧！		1	1	60			0	0	拍摄第三部电影	点击拍摄
103001	1030	1	20							100106		1	0;180	这里就可以看到我们当前所属分组的排行榜啦！		1	1	60	1	200401	0	0	引导任务祝贺总排行榜1	引导任务祝贺总排行榜1
103002	1030	2	20							1060105	1	0	0			1	1	60			0	0	点击电影排行榜	点击电影排行榜
103101	1031	1	20			3		999998		520101		1	0;180	首先，让我们看一下经营情况！		1	1	60			0	0	拍摄第一部电影	无
103102	1031	2	20							520102		1	0;180	我们所收到的订单会展示在这里哦！		1	1	60			0	0	完成第一个订单	点击订单
103103	1031	3	20							520103		1	0;180	订单都有时限要求，过了时限客户就会放弃这笔订单了，这对我们可是损失，所以一定要及时处理！		1	1	60			0	0	完成第一个订单	点击订单icon
103104	1031	4	25	1						520104	1	1	0;180	在箱子里装入符合订单要求的物品，就可以完成这笔订单了哦！		1	1	60			0	0	完成第一个订单	点击装箱
103105	1031	5	25	2						520104	2	0	0			1	1	60			0	0	完成第一个订单	点击装箱
103106	1031	6	16	1						520105		1	0;180	确认无误就赶紧完成订单吧！		1	1	60			0	0	完成第一个订单	点击确认
103201	1032	1	20							500101		1	0;180	先来看看我们的市场版图吧！		1	1	60			0	0	占领第3个城市	点击市场ICON
103202	1032	2	22	101						500102	101					1	1	60			0	0	占领第3个城市	点击国家
103203	1032	3	23	1102						500103	1102					1	1	60			0	0	占领第3个城市	点击城市
103204	1032	4	5	11004						500104		1	0;180	让我们先完成所有的街区宣传吧！		1	1	60			0	0	完成第二个城市路演	点击街道
103205	1032	5	5	11005						500104		0	0			1	1	60			0	0	完成第二个城市路演	点击街道
103206	1032	6	6	1102						500107		1	0;180	在两个街区的宣传都完成之后，就可以开始路演啦！		1	1	60			0	0	进行第一个城市的路演	点击路演按钮
103207	1032	7	7	1102						500108		1	0;180	在这座城市的宣传活动已经完成啦，可以直接占领它了哦！		1	1	60			0	0	占领第3个城市	点击占领按钮
103301	1033	1	20							500101		1	0;180	先来看看我们的市场版图吧！		1	1	60			0	0	给第五个城市派遣形象大使	点击市场ICON
103302	1033	2	22	101						500102	101					1	1	60			0	0		点击国家
103303	1033	3	23	1102						500103	1102	1	0;400	让我们选择已经占领的这座城市吧！		1	1	60			0	0	给第五个城市派遣形象大使	点击城市
103304	1033	4	12	1102	3					500109		1	0;180	选择3位符合要求的艺人作为这座城市的形象大使吧！		1	1	60			0	0	给第五个城市派遣形象大使	点击形象大使按钮
103401	1034	1	21							100101		1	0;400	建办公室需要更大的空间，让我们先把顶层扩建吧！		1	1	60			0	0	建造办公室	点击扩建
103402	1034	2	20							100102		0	0			1	1	60			0	0	建造办公室	点击建造
103403	1034	3	1	9						100103	9	0	0			1	1	60			0	0	建造办公室	点击办公室
103501	1035	1	20							530101		1	0;180	首先，让我们看一下经营情况！		1	1	60			0	0	处理公务	点击经营
103502	1035	2	20							530102		1	0;180	这里就能看到目前需要处理的公务了哦。		1	1	60			0	0	处理公务	点击公务
103503	1035	3	17	3						530103	3	1	0;180	别让公务积压哦，快点处理它们吧！		1	1	60			0	1	处理公务	点击处理公务
103601	1036	1	20							500101		1	0;180	先来看看我们的市场版图吧！		1	1	60			0	0	收取城市收益	点击市场ICON
103602	1036	2	22	101						500102	101					1	1	60			0	0		点击国家
103603	1036	3	20							500111		1	0;400	让我们选择已经占领的这座城市吧！		1	1	60			0	0	收取城市收益	点击城市
103604	1036	4	14	500						500110		1	0;180	你应该没忘怎么领取收益吧？		1	1	60			0	0	收取城市收益	点击领取城市收益
103701	1037	1	20							510101		1	0;180	首先，让我们看一下经营情况！		1	1	60			0	0	生产一次周边	点击经营
103702	1037	2	20							510102		1	0;180	目前的生产线支持的周边就是这些哦！		1	1	60			0	0	生产一次周边	点击生产
103703	1037	3	15	2						510103		1	0;180	选择要生产的周边让生产线开始运作吧！接下来只要等待生产线完成就可以啦！		1	1	60			0	0	生产一次周边	生产钞票
103801	1038	1	21							100101		1	0;400	建接待室需要更大的空间，让我们先把顶层扩建吧！		1	1	60			0	0	建造接待室	点击扩建
103802	1038	2	20							100102		0	0			1	1	60			0	0	建造接待室	点击建造
103803	1038	3	1	10						100103	10	0	0			1	1	60			0	0	建造接待室	点击接待室
103901	1039	1	20			7		103903		540101		1	0;180	首先，让我们看一下经营情况！		1	1	60			0	0	完成粉丝探班	点击经营
103902	1039	2	20							540102		1	0;180	我们可以在这里接待粉丝哦！		1	1	60			0	0	完成粉丝探班	点击粉丝接待
103903	1039	3	18	1		7				540103		1	0;180	帮粉丝找到他们想见的艺人吧！		1	1	60			0	0	完成粉丝探班	点击艺人模型
105401	1054	1	20							100106		1	0;180	点击打开档位界面选择新的院线进行签约吧!		1	1	60			0	0	点击打开排行榜	点击打开排行榜
105402	1054	2	20							1060102		1	0;320	点击比赛档次查看公司详情		1	1	60			0	0	点击街区	点击街区
105403	1054	3	20							1060104		1	0;180	点击签约上映院线		1	1	60			0	0		
105501	1055	1	20							2030001		1	0;180	点击财务员按钮		1	1	60			0	0	点击财务员	
105502	1055	2	20							2030002		1	0;180	点击兑换按钮		1	1	60			0	0	点击兑换一次按钮	
999998	1052	1	20							300101		1	0;180	没有收到任何订单，先拍摄一部电影吧		1	1	60			0	0	先拍摄一部电影吧	先拍摄一部电影吧
999999	1051	1	20							300101		1	0;180	没有正在持续收益的电影，先拍摄一部电影吧		1	1	60			0	0	先拍摄一部电影吧	先拍摄一部电影吧
105601	1056	1	28	4						300103		1	0;180	选择这部五星剧本进行拍摄吧		1	1	60			0	0	拍摄第一部电影	点击剧本
105701	1057	1	20							100108		1	0;180	点击主线任务奖励		1	1	60			0	0	点击主线任务ICON	点击主线任务ICON
105801	1058	1	20							6100101		1	0;180	点击搜索新的剧本		1	1	60			0	0	点击搜索剧本按钮	点击搜索剧本按钮
105901	1059	1	20							410101		1	0;180	点击训练助理		1	1	60			0	0	点击训练NPC	点击训练NPC
106001	1060	1	20							510101		1	0;180	首先，让我们看一下经营情况！		1	1	60			0	0	点击经营按钮	点击经营按钮
106002	1060	2	20							550101		1	0;180	点击会议按钮		1	1	60			0	0	点击会议按钮	点击会议按钮
200101	2001	1	20							300101		0	0			1	1	60			0	0	引导任务拍摄电影	引导任务拍摄电影
200201	2002	1	20							400101		0	0			1	1	60			0	0	引导任务升级艺人1	引导任务升级艺人1
200202	2002	2	20							400106		0	0			1	1	60			0	0	引导任务升级艺人2	引导任务升级艺人2
200203	2002	3	20			6	20			400104		0	0			1	1	60			0	0	引导任务升级艺人3	引导任务升级艺人3
200301	2003	1	20							400101		1	0;180	打开艺人界面		1	1	60			0	0	引导任务培养艺人1	引导任务培养艺人1
200302	2003	2	20							400106		1	0;180	选择需要培养的艺人		1	1	60			0	0	引导任务培养艺人2	引导任务培养艺人2
200303	2003	3	20							400108		1	0;180	点击培养按钮		1	1	60			0	0	引导任务培养艺人3	引导任务培养艺人3
200401	2004	1	20							400101		1	0;180	打开艺人界面		1	1	60			0	0	引导任务赠送礼物1	引导任务赠送礼物1
200402	2004	2	20							400106		1	0;180	选择赠送礼物的艺人		1	1	60			0	0	引导任务赠送礼物2	引导任务赠送礼物2
200403	2004	3	20							400107	2	1	0;180	打开礼物界面		1	1	60			0	0	引导任务赠送礼物3	引导任务赠送礼物3
200404	2004	4	24							400109		1	0;180	赠送艺人礼物		1	1	60			0	0	引导任务赠送礼物4	引导任务赠送礼物4
200501	2005	1	20							410101		1	0;180	打开训练室		1	1	60			0	0	引导任务训练艺人	引导任务训练艺人
200601	2006	1	20							400101		1	0;180	打开艺人界面		1	1	60			0	0	引导任务升级技能1	引导任务升级技能1
200602	2006	2	20							400106		1	0;180	选择需要升级技能的艺人		1	1	60			0	0	引导任务升级技能2	引导任务升级技能2
200603	2006	3	20							400107	1	1	0;180	打开技能界面		1	1	60			0	0	引导任务升级技能3	引导任务升级技能3
200604	2006	4	24							400109		1	0;180	升级艺人技能		1	1	60			0	0	引导任务升级技能4	引导任务升级技能4
200701	2007	1	20							540101		1	0;180	打开经营界面		1	1	60			0	0	引导任务完成公务1	引导任务完成公务1
200702	2007	2	20							530102		0	0			1	1	60			0	0	引导任务完成公务2	引导任务完成公务2
200801	2008	1	20							540101		0	0			1	1	60			0	0	引导任务完成会议1	引导任务完成会议1
200802	2008	2	20							550101		0	0			1	1	60			0	0	引导任务完成会议2	引导任务完成会议2
200901	2009	1	20							540101		1	0;180	打开经营界面		1	1	60			0	0	引导任务接见粉丝2	引导任务接见粉丝2
200902	2009	2	20							540102		0	0			1	1	60			0	0	引导任务接见粉丝2	引导任务接见粉丝2
201001	2010	1	20							500101		0	0			1	1	60			0	0	引导任务街道宣传	引导任务街道宣传
201101	2011	1	20							500101		0	0			1	1	60			0	0	引导任务领取城市	引导任务领取城市
201201	2012	1	20							100106		1	0;180	打开排行榜		1	1	60			0	0	引导任务祝贺总排行榜1	引导任务祝贺总排行榜1
201202	2012	2	24							1060103		1	0;180	点击前三名的祝贺按钮		1	1	60			0	0	引导任务祝贺总排行榜2	引导任务祝贺总排行榜2
201301	2013	1	20							100106		0	0			1	1	60			0	0	引导任务祝贺影片排行榜1	引导任务祝贺影片排行榜1
201302	2013	2	20							1060101		1	0;180	打开影片排行榜		1	1	60			0	0	引导任务祝贺影片排行榜2	引导任务祝贺影片排行榜2
201303	2013	3	24							1060103		1	0;180	点击前三名的祝贺按钮		1	1	60			0	0	引导任务祝贺影片排行榜3	引导任务祝贺影片排行榜3
201401	2014	1	20							100106		0	0			1	1	60			0	0	引导任务祝贺领取奖励1	引导任务祝贺领取奖励1
201402	2014	2	20							1060102		1	0;320	打开街区		1	1	60			0	0	引导任务祝贺领取奖励2	引导任务祝贺领取奖励2
201403	2014	3	24							1060103		1	0;180	领取奖励		1	1	60			0	0	引导任务祝贺领取奖励3	引导任务祝贺领取奖励3
201601	2016	1	20							520101		1	0;180	打开经营界面		1	1	60			0	0	引导任务领取生产1	引导任务领取生产1
201602	2016	2	20							510102		0	0			1	1	60			0	0	引导任务领取生产2	引导任务领取生产2
201603	2016	3	24							400107		0	0			1	1	60			0	0	引导任务领取生产3	引导任务领取生产3
201701	2017	1	20							520101		1	0;180	打开经营界面		1	1	60			0	0	引导任务完成订单1	引导任务完成订单1
201702	2017	2	20							520102		0	0			1	1	60			0	0	完成第一个订单	点击订单
201703	2017	3	20							520103		0	0			1	1	60			0	0	引导任务完成订单2	引导任务完成订单2
201704	2017	4	24							400107		1	0;180	完成指定数量的订单		1	1	60			0	0	引导任务完成订单3	引导任务完成订单3
202001	2020	1	20							100107	2	1	0;180	向合作者赠送美元		1	1	60			0	0	引导任务赠送美元	引导任务赠送美元
202101	2021	1	20							100107	0	1	0;180	完成合作任务		1	1	60			0	0	引导任务合作任务	引导任务合作任务
202201	2022	1	20							100107	1	1	0;180	装填合作订单		1	1	60			0	0	引导任务合作订单	引导任务合作订单
202301	2023	1	20			2		999999		300111		0	0			1	1	60			0	0	领取一次电影收益	点击后续电影
202302	2023	2	10	1						300105		0	0			1	1	60			0	0	领取一次电影收益	点击领取收益
202401	2024	1	20			2		999999		300104		0	0			1	1	60			0	0	提高一次电影关注度	点击后续电影
202402	2024	2	11	1						300106		0	0			1	1	60			0	0	提高一次电影关注度	点击提升关注度
