int	string	int	string	int	float	float	float	float	float
102801	电影院	28	增加电影上映天数[color=#d6621d]14[/color]天	1	14	0	0	0	0
102901	电影院	29	增加电影上映天数[color=#d6621d]14[/color]天	1	14	0	0	0	0
103001	电影院	30	增加电影上映天数[color=#d6621d]15[/color]天	1	15	0	0	0	0
103101	电影院	31	增加电影上映天数[color=#d6621d]15[/color]天	1	15	0	0	0	0
103201	电影院	32	增加电影上映天数[color=#d6621d]16[/color]天	1	16	0	0	0	0
103301	电影院	33	增加电影上映天数[color=#d6621d]16[/color]天	1	16	0	0	0	0
103401	电影院	34	增加电影上映天数[color=#d6621d]17[/color]天	1	17	0	0	0	0
103501	电影院	35	增加电影上映天数[color=#d6621d]17[/color]天	1	17	0	0	0	0
103601	电影院	36	增加电影上映天数[color=#d6621d]18[/color]天	1	18	0	0	0	0
103701	电影院	37	增加电影上映天数[color=#d6621d]18[/color]天	1	18	0	0	0	0
103801	电影院	38	增加电影上映天数[color=#d6621d]19[/color]天	1	19	0	0	0	0
103901	电影院	39	增加电影上映天数[color=#d6621d]19[/color]天	1	19	0	0	0	0
104001	电影院	40	增加电影上映天数[color=#d6621d]20[/color]天	1	20	0	0	0	0
104101	电影院	41	增加电影上映天数[color=#d6621d]20[/color]天	1	20	0	0	0	0
104201	电影院	42	增加电影上映天数[color=#d6621d]21[/color]天	1	21	0	0	0	0
104301	电影院	43	增加电影上映天数[color=#d6621d]21[/color]天	1	21	0	0	0	0
104401	电影院	44	增加电影上映天数[color=#d6621d]22[/color]天	1	22	0	0	0	0
104501	电影院	45	增加电影上映天数[color=#d6621d]22[/color]天	1	22	0	0	0	0
104601	电影院	46	增加电影上映天数[color=#d6621d]23[/color]天	1	23	0	0	0	0
104701	电影院	47	增加电影上映天数[color=#d6621d]23[/color]天	1	23	0	0	0	0
104801	电影院	48	增加电影上映天数[color=#d6621d]24[/color]天	1	24	0	0	0	0
104901	电影院	49	增加电影上映天数[color=#d6621d]24[/color]天	1	24	0	0	0	0
105001	电影院	50	增加电影上映天数[color=#d6621d]25[/color]天	1	25	0	0	0	0
100102	电影院	1	下映后的持续收益增幅[color=#d6621d]1%[/color]	2	1	0	0	0	0
100202	电影院	2	下映后的持续收益增幅[color=#d6621d]2%[/color]	2	2	0	0	0	0
100302	电影院	3	下映后的持续收益增幅[color=#d6621d]3%[/color]	2	3	0	0	0	0
100402	电影院	4	下映后的持续收益增幅[color=#d6621d]4%[/color]	2	4	0	0	0	0
100502	电影院	5	下映后的持续收益增幅[color=#d6621d]5%[/color]	2	5	0	0	0	0
100602	电影院	6	下映后的持续收益增幅[color=#d6621d]6%[/color]	2	6	0	0	0	0
100702	电影院	7	下映后的持续收益增幅[color=#d6621d]7%[/color]	2	7	0	0	0	0
100802	电影院	8	下映后的持续收益增幅[color=#d6621d]8%[/color]	2	8	0	0	0	0
100902	电影院	9	下映后的持续收益增幅[color=#d6621d]9%[/color]	2	9	0	0	0	0
101002	电影院	10	下映后的持续收益增幅[color=#d6621d]10%[/color]	2	10	0	0	0	0
101102	电影院	11	下映后的持续收益增幅[color=#d6621d]11%[/color]	2	11	0	0	0	0
101202	电影院	12	下映后的持续收益增幅[color=#d6621d]12%[/color]	2	12	0	0	0	0
101302	电影院	13	下映后的持续收益增幅[color=#d6621d]13%[/color]	2	13	0	0	0	0
101402	电影院	14	下映后的持续收益增幅[color=#d6621d]14%[/color]	2	14	0	0	0	0
101502	电影院	15	下映后的持续收益增幅[color=#d6621d]15%[/color]	2	15	0	0	0	0
101602	电影院	16	下映后的持续收益增幅[color=#d6621d]16%[/color]	2	16	0	0	0	0
101702	电影院	17	下映后的持续收益增幅[color=#d6621d]17%[/color]	2	17	0	0	0	0
101802	电影院	18	下映后的持续收益增幅[color=#d6621d]18%[/color]	2	18	0	0	0	0
101902	电影院	19	下映后的持续收益增幅[color=#d6621d]19%[/color]	2	19	0	0	0	0
102002	电影院	20	下映后的持续收益增幅[color=#d6621d]20%[/color]	2	20	0	0	0	0
102102	电影院	21	下映后的持续收益增幅[color=#d6621d]21%[/color]	2	21	0	0	0	0
102202	电影院	22	下映后的持续收益增幅[color=#d6621d]22%[/color]	2	22	0	0	0	0
102302	电影院	23	下映后的持续收益增幅[color=#d6621d]23%[/color]	2	23	0	0	0	0
102402	电影院	24	下映后的持续收益增幅[color=#d6621d]24%[/color]	2	24	0	0	0	0
102502	电影院	25	下映后的持续收益增幅[color=#d6621d]25%[/color]	2	25	0	0	0	0
102602	电影院	26	下映后的持续收益增幅[color=#d6621d]26%[/color]	2	26	0	0	0	0
102702	电影院	27	下映后的持续收益增幅[color=#d6621d]27%[/color]	2	27	0	0	0	0
102802	电影院	28	下映后的持续收益增幅[color=#d6621d]28%[/color]	2	28	0	0	0	0
102902	电影院	29	下映后的持续收益增幅[color=#d6621d]29%[/color]	2	29	0	0	0	0
103002	电影院	30	下映后的持续收益增幅[color=#d6621d]30%[/color]	2	30	0	0	0	0
103102	电影院	31	下映后的持续收益增幅[color=#d6621d]31%[/color]	2	31	0	0	0	0
103202	电影院	32	下映后的持续收益增幅[color=#d6621d]32%[/color]	2	32	0	0	0	0
103302	电影院	33	下映后的持续收益增幅[color=#d6621d]33%[/color]	2	33	0	0	0	0
103402	电影院	34	下映后的持续收益增幅[color=#d6621d]34%[/color]	2	34	0	0	0	0
103502	电影院	35	下映后的持续收益增幅[color=#d6621d]35%[/color]	2	35	0	0	0	0
103602	电影院	36	下映后的持续收益增幅[color=#d6621d]36%[/color]	2	36	0	0	0	0
103702	电影院	37	下映后的持续收益增幅[color=#d6621d]37%[/color]	2	37	0	0	0	0
103802	电影院	38	下映后的持续收益增幅[color=#d6621d]38%[/color]	2	38	0	0	0	0
103902	电影院	39	下映后的持续收益增幅[color=#d6621d]39%[/color]	2	39	0	0	0	0
104002	电影院	40	下映后的持续收益增幅[color=#d6621d]40%[/color]	2	40	0	0	0	0
104102	电影院	41	下映后的持续收益增幅[color=#d6621d]41%[/color]	2	41	0	0	0	0
104202	电影院	42	下映后的持续收益增幅[color=#d6621d]42%[/color]	2	42	0	0	0	0
104302	电影院	43	下映后的持续收益增幅[color=#d6621d]43%[/color]	2	43	0	0	0	0
104402	电影院	44	下映后的持续收益增幅[color=#d6621d]44%[/color]	2	44	0	0	0	0
104502	电影院	45	下映后的持续收益增幅[color=#d6621d]45%[/color]	2	45	0	0	0	0
104602	电影院	46	下映后的持续收益增幅[color=#d6621d]46%[/color]	2	46	0	0	0	0
104702	电影院	47	下映后的持续收益增幅[color=#d6621d]47%[/color]	2	47	0	0	0	0
104802	电影院	48	下映后的持续收益增幅[color=#d6621d]48%[/color]	2	48	0	0	0	0
104902	电影院	49	下映后的持续收益增幅[color=#d6621d]49%[/color]	2	49	0	0	0	0
105002	电影院	50	下映后的持续收益增幅[color=#d6621d]50%[/color]	2	50	0	0	0	0
200101	摄影棚	1	增加电影场面属性[color=#d6621d]1%[/color]	3	1601	1	0	0	0
200201	摄影棚	2	增加电影场面属性[color=#d6621d]1%[/color]	3	1601	1	0	0	0
200301	摄影棚	3	增加电影场面属性[color=#d6621d]1%[/color]	3	1601	1	0	0	0
200401	摄影棚	4	增加电影场面属性[color=#d6621d]1%[/color]	3	1601	1	0	0	0
200501	摄影棚	5	增加电影场面属性[color=#d6621d]1%[/color]	3	1601	1	0	0	0
200601	摄影棚	6	增加电影场面属性[color=#d6621d]2%[/color]	3	1601	2	0	0	0
200701	摄影棚	7	增加电影场面属性[color=#d6621d]2%[/color]	3	1601	2	0	0	0
200801	摄影棚	8	增加电影场面属性[color=#d6621d]2%[/color]	3	1601	2	0	0	0
200901	摄影棚	9	增加电影场面属性[color=#d6621d]2%[/color]	3	1601	2	0	0	0
201001	摄影棚	10	增加电影场面属性[color=#d6621d]2%[/color]	3	1601	2	0	0	0
201101	摄影棚	11	增加电影场面属性[color=#d6621d]3%[/color]	3	1601	3	0	0	0
201201	摄影棚	12	增加电影场面属性[color=#d6621d]3%[/color]	3	1601	3	0	0	0
201301	摄影棚	13	增加电影场面属性[color=#d6621d]3%[/color]	3	1601	3	0	0	0
201401	摄影棚	14	增加电影场面属性[color=#d6621d]3%[/color]	3	1601	3	0	0	0
201501	摄影棚	15	增加电影场面属性[color=#d6621d]3%[/color]	3	1601	3	0	0	0
201601	摄影棚	16	增加电影场面属性[color=#d6621d]4%[/color]	3	1601	4	0	0	0
201701	摄影棚	17	增加电影场面属性[color=#d6621d]4%[/color]	3	1601	4	0	0	0
201801	摄影棚	18	增加电影场面属性[color=#d6621d]4%[/color]	3	1601	4	0	0	0
201901	摄影棚	19	增加电影场面属性[color=#d6621d]4%[/color]	3	1601	4	0	0	0
202001	摄影棚	20	增加电影场面属性[color=#d6621d]4%[/color]	3	1601	4	0	0	0
202101	摄影棚	21	增加电影场面属性[color=#d6621d]5%[/color]	3	1601	5	0	0	0
202201	摄影棚	22	增加电影场面属性[color=#d6621d]5%[/color]	3	1601	5	0	0	0
202301	摄影棚	23	增加电影场面属性[color=#d6621d]5%[/color]	3	1601	5	0	0	0
202401	摄影棚	24	增加电影场面属性[color=#d6621d]5%[/color]	3	1601	5	0	0	0
202501	摄影棚	25	增加电影场面属性[color=#d6621d]5%[/color]	3	1601	5	0	0	0
202601	摄影棚	26	增加电影场面属性[color=#d6621d]6%[/color]	3	1601	6	0	0	0
202701	摄影棚	27	增加电影场面属性[color=#d6621d]6%[/color]	3	1601	6	0	0	0
202801	摄影棚	28	增加电影场面属性[color=#d6621d]6%[/color]	3	1601	6	0	0	0
202901	摄影棚	29	增加电影场面属性[color=#d6621d]6%[/color]	3	1601	6	0	0	0
203001	摄影棚	30	增加电影场面属性[color=#d6621d]6%[/color]	3	1601	6	0	0	0
203101	摄影棚	31	增加电影场面属性[color=#d6621d]7%[/color]	3	1601	7	0	0	0
203201	摄影棚	32	增加电影场面属性[color=#d6621d]7%[/color]	3	1601	7	0	0	0
203301	摄影棚	33	增加电影场面属性[color=#d6621d]7%[/color]	3	1601	7	0	0	0
203401	摄影棚	34	增加电影场面属性[color=#d6621d]7%[/color]	3	1601	7	0	0	0
203501	摄影棚	35	增加电影场面属性[color=#d6621d]7%[/color]	3	1601	7	0	0	0
203601	摄影棚	36	增加电影场面属性[color=#d6621d]8%[/color]	3	1601	8	0	0	0
203701	摄影棚	37	增加电影场面属性[color=#d6621d]8%[/color]	3	1601	8	0	0	0
203801	摄影棚	38	增加电影场面属性[color=#d6621d]8%[/color]	3	1601	8	0	0	0
203901	摄影棚	39	增加电影场面属性[color=#d6621d]8%[/color]	3	1601	8	0	0	0
204001	摄影棚	40	增加电影场面属性[color=#d6621d]8%[/color]	3	1601	8	0	0	0
204101	摄影棚	41	增加电影场面属性[color=#d6621d]9%[/color]	3	1601	9	0	0	0
204201	摄影棚	42	增加电影场面属性[color=#d6621d]9%[/color]	3	1601	9	0	0	0
204301	摄影棚	43	增加电影场面属性[color=#d6621d]9%[/color]	3	1601	9	0	0	0
204401	摄影棚	44	增加电影场面属性[color=#d6621d]9%[/color]	3	1601	9	0	0	0
204501	摄影棚	45	增加电影场面属性[color=#d6621d]9%[/color]	3	1601	9	0	0	0
204601	摄影棚	46	增加电影场面属性[color=#d6621d]10%[/color]	3	1601	10	0	0	0
204701	摄影棚	47	增加电影场面属性[color=#d6621d]10%[/color]	3	1601	10	0	0	0
204801	摄影棚	48	增加电影场面属性[color=#d6621d]10%[/color]	3	1601	10	0	0	0
204901	摄影棚	49	增加电影场面属性[color=#d6621d]10%[/color]	3	1601	10	0	0	0
205001	摄影棚	50	增加电影场面属性[color=#d6621d]10%[/color]	3	1601	10	0	0	0
200102	摄影棚	1	增加电影剧情属性[color=#d6621d]0%[/color]	3	1603	0	0	0	0
200202	摄影棚	2	增加电影剧情属性[color=#d6621d]1%[/color]	3	1603	1	0	0	0
200302	摄影棚	3	增加电影剧情属性[color=#d6621d]1%[/color]	3	1603	1	0	0	0
200402	摄影棚	4	增加电影剧情属性[color=#d6621d]1%[/color]	3	1603	1	0	0	0
200502	摄影棚	5	增加电影剧情属性[color=#d6621d]1%[/color]	3	1603	1	0	0	0
200602	摄影棚	6	增加电影剧情属性[color=#d6621d]1%[/color]	3	1603	1	0	0	0
200702	摄影棚	7	增加电影剧情属性[color=#d6621d]2%[/color]	3	1603	2	0	0	0
200802	摄影棚	8	增加电影剧情属性[color=#d6621d]2%[/color]	3	1603	2	0	0	0
200902	摄影棚	9	增加电影剧情属性[color=#d6621d]2%[/color]	3	1603	2	0	0	0
201002	摄影棚	10	增加电影剧情属性[color=#d6621d]2%[/color]	3	1603	2	0	0	0
201102	摄影棚	11	增加电影剧情属性[color=#d6621d]2%[/color]	3	1603	2	0	0	0
201202	摄影棚	12	增加电影剧情属性[color=#d6621d]3%[/color]	3	1603	3	0	0	0
201302	摄影棚	13	增加电影剧情属性[color=#d6621d]3%[/color]	3	1603	3	0	0	0
201402	摄影棚	14	增加电影剧情属性[color=#d6621d]3%[/color]	3	1603	3	0	0	0
201502	摄影棚	15	增加电影剧情属性[color=#d6621d]3%[/color]	3	1603	3	0	0	0
201602	摄影棚	16	增加电影剧情属性[color=#d6621d]3%[/color]	3	1603	3	0	0	0
201702	摄影棚	17	增加电影剧情属性[color=#d6621d]4%[/color]	3	1603	4	0	0	0
201802	摄影棚	18	增加电影剧情属性[color=#d6621d]4%[/color]	3	1603	4	0	0	0
201902	摄影棚	19	增加电影剧情属性[color=#d6621d]4%[/color]	3	1603	4	0	0	0
202002	摄影棚	20	增加电影剧情属性[color=#d6621d]4%[/color]	3	1603	4	0	0	0
202102	摄影棚	21	增加电影剧情属性[color=#d6621d]4%[/color]	3	1603	4	0	0	0
202202	摄影棚	22	增加电影剧情属性[color=#d6621d]5%[/color]	3	1603	5	0	0	0
202302	摄影棚	23	增加电影剧情属性[color=#d6621d]5%[/color]	3	1603	5	0	0	0
202402	摄影棚	24	增加电影剧情属性[color=#d6621d]5%[/color]	3	1603	5	0	0	0
202502	摄影棚	25	增加电影剧情属性[color=#d6621d]5%[/color]	3	1603	5	0	0	0
202602	摄影棚	26	增加电影剧情属性[color=#d6621d]5%[/color]	3	1603	5	0	0	0
202702	摄影棚	27	增加电影剧情属性[color=#d6621d]6%[/color]	3	1603	6	0	0	0
202802	摄影棚	28	增加电影剧情属性[color=#d6621d]6%[/color]	3	1603	6	0	0	0
202902	摄影棚	29	增加电影剧情属性[color=#d6621d]6%[/color]	3	1603	6	0	0	0
203002	摄影棚	30	增加电影剧情属性[color=#d6621d]6%[/color]	3	1603	6	0	0	0
203102	摄影棚	31	增加电影剧情属性[color=#d6621d]6%[/color]	3	1603	6	0	0	0
203202	摄影棚	32	增加电影剧情属性[color=#d6621d]7%[/color]	3	1603	7	0	0	0
203302	摄影棚	33	增加电影剧情属性[color=#d6621d]7%[/color]	3	1603	7	0	0	0
203402	摄影棚	34	增加电影剧情属性[color=#d6621d]7%[/color]	3	1603	7	0	0	0
203502	摄影棚	35	增加电影剧情属性[color=#d6621d]7%[/color]	3	1603	7	0	0	0
203602	摄影棚	36	增加电影剧情属性[color=#d6621d]7%[/color]	3	1603	7	0	0	0
203702	摄影棚	37	增加电影剧情属性[color=#d6621d]8%[/color]	3	1603	8	0	0	0
203802	摄影棚	38	增加电影剧情属性[color=#d6621d]8%[/color]	3	1603	8	0	0	0
203902	摄影棚	39	增加电影剧情属性[color=#d6621d]8%[/color]	3	1603	8	0	0	0
204002	摄影棚	40	增加电影剧情属性[color=#d6621d]8%[/color]	3	1603	8	0	0	0
204102	摄影棚	41	增加电影剧情属性[color=#d6621d]8%[/color]	3	1603	8	0	0	0
204202	摄影棚	42	增加电影剧情属性[color=#d6621d]9%[/color]	3	1603	9	0	0	0
204302	摄影棚	43	增加电影剧情属性[color=#d6621d]9%[/color]	3	1603	9	0	0	0
204402	摄影棚	44	增加电影剧情属性[color=#d6621d]9%[/color]	3	1603	9	0	0	0
204502	摄影棚	45	增加电影剧情属性[color=#d6621d]9%[/color]	3	1603	9	0	0	0
204602	摄影棚	46	增加电影剧情属性[color=#d6621d]9%[/color]	3	1603	9	0	0	0
204702	摄影棚	47	增加电影剧情属性[color=#d6621d]10%[/color]	3	1603	10	0	0	0
204802	摄影棚	48	增加电影剧情属性[color=#d6621d]10%[/color]	3	1603	10	0	0	0
204902	摄影棚	49	增加电影剧情属性[color=#d6621d]10%[/color]	3	1603	10	0	0	0
205002	摄影棚	50	增加电影剧情属性[color=#d6621d]10%[/color]	3	1603	10	0	0	0
200103	摄影棚	1	增加电影表演属性[color=#d6621d]0%[/color]	3	1602	0	0	0	0
200203	摄影棚	2	增加电影表演属性[color=#d6621d]0%[/color]	3	1602	0	0	0	0
200303	摄影棚	3	增加电影表演属性[color=#d6621d]1%[/color]	3	1602	1	0	0	0
200403	摄影棚	4	增加电影表演属性[color=#d6621d]1%[/color]	3	1602	1	0	0	0
200503	摄影棚	5	增加电影表演属性[color=#d6621d]1%[/color]	3	1602	1	0	0	0
200603	摄影棚	6	增加电影表演属性[color=#d6621d]1%[/color]	3	1602	1	0	0	0
200703	摄影棚	7	增加电影表演属性[color=#d6621d]1%[/color]	3	1602	1	0	0	0
200803	摄影棚	8	增加电影表演属性[color=#d6621d]2%[/color]	3	1602	2	0	0	0
200903	摄影棚	9	增加电影表演属性[color=#d6621d]2%[/color]	3	1602	2	0	0	0
201003	摄影棚	10	增加电影表演属性[color=#d6621d]2%[/color]	3	1602	2	0	0	0
201103	摄影棚	11	增加电影表演属性[color=#d6621d]2%[/color]	3	1602	2	0	0	0
201203	摄影棚	12	增加电影表演属性[color=#d6621d]2%[/color]	3	1602	2	0	0	0
201303	摄影棚	13	增加电影表演属性[color=#d6621d]3%[/color]	3	1602	3	0	0	0
201403	摄影棚	14	增加电影表演属性[color=#d6621d]3%[/color]	3	1602	3	0	0	0
201503	摄影棚	15	增加电影表演属性[color=#d6621d]3%[/color]	3	1602	3	0	0	0
201603	摄影棚	16	增加电影表演属性[color=#d6621d]3%[/color]	3	1602	3	0	0	0
201703	摄影棚	17	增加电影表演属性[color=#d6621d]3%[/color]	3	1602	3	0	0	0
201803	摄影棚	18	增加电影表演属性[color=#d6621d]4%[/color]	3	1602	4	0	0	0
201903	摄影棚	19	增加电影表演属性[color=#d6621d]4%[/color]	3	1602	4	0	0	0
202003	摄影棚	20	增加电影表演属性[color=#d6621d]4%[/color]	3	1602	4	0	0	0
202103	摄影棚	21	增加电影表演属性[color=#d6621d]4%[/color]	3	1602	4	0	0	0
202203	摄影棚	22	增加电影表演属性[color=#d6621d]4%[/color]	3	1602	4	0	0	0
202303	摄影棚	23	增加电影表演属性[color=#d6621d]5%[/color]	3	1602	5	0	0	0
202403	摄影棚	24	增加电影表演属性[color=#d6621d]5%[/color]	3	1602	5	0	0	0
202503	摄影棚	25	增加电影表演属性[color=#d6621d]5%[/color]	3	1602	5	0	0	0
202603	摄影棚	26	增加电影表演属性[color=#d6621d]5%[/color]	3	1602	5	0	0	0
202703	摄影棚	27	增加电影表演属性[color=#d6621d]5%[/color]	3	1602	5	0	0	0
202803	摄影棚	28	增加电影表演属性[color=#d6621d]6%[/color]	3	1602	6	0	0	0
202903	摄影棚	29	增加电影表演属性[color=#d6621d]6%[/color]	3	1602	6	0	0	0
203003	摄影棚	30	增加电影表演属性[color=#d6621d]6%[/color]	3	1602	6	0	0	0
203103	摄影棚	31	增加电影表演属性[color=#d6621d]6%[/color]	3	1602	6	0	0	0
203203	摄影棚	32	增加电影表演属性[color=#d6621d]6%[/color]	3	1602	6	0	0	0
203303	摄影棚	33	增加电影表演属性[color=#d6621d]7%[/color]	3	1602	7	0	0	0
203403	摄影棚	34	增加电影表演属性[color=#d6621d]7%[/color]	3	1602	7	0	0	0
203503	摄影棚	35	增加电影表演属性[color=#d6621d]7%[/color]	3	1602	7	0	0	0
203603	摄影棚	36	增加电影表演属性[color=#d6621d]7%[/color]	3	1602	7	0	0	0
203703	摄影棚	37	增加电影表演属性[color=#d6621d]7%[/color]	3	1602	7	0	0	0
203803	摄影棚	38	增加电影表演属性[color=#d6621d]8%[/color]	3	1602	8	0	0	0
203903	摄影棚	39	增加电影表演属性[color=#d6621d]8%[/color]	3	1602	8	0	0	0
204003	摄影棚	40	增加电影表演属性[color=#d6621d]8%[/color]	3	1602	8	0	0	0
204103	摄影棚	41	增加电影表演属性[color=#d6621d]8%[/color]	3	1602	8	0	0	0
204203	摄影棚	42	增加电影表演属性[color=#d6621d]8%[/color]	3	1602	8	0	0	0
204303	摄影棚	43	增加电影表演属性[color=#d6621d]9%[/color]	3	1602	9	0	0	0
204403	摄影棚	44	增加电影表演属性[color=#d6621d]9%[/color]	3	1602	9	0	0	0
204503	摄影棚	45	增加电影表演属性[color=#d6621d]9%[/color]	3	1602	9	0	0	0
204603	摄影棚	46	增加电影表演属性[color=#d6621d]9%[/color]	3	1602	9	0	0	0
204703	摄影棚	47	增加电影表演属性[color=#d6621d]9%[/color]	3	1602	9	0	0	0
204803	摄影棚	48	增加电影表演属性[color=#d6621d]10%[/color]	3	1602	10	0	0	0
204903	摄影棚	49	增加电影表演属性[color=#d6621d]10%[/color]	3	1602	10	0	0	0
205003	摄影棚	50	增加电影表演属性[color=#d6621d]10%[/color]	3	1602	10	0	0	0
200104	摄影棚	1	增加电影艺术属性[color=#d6621d]0%[/color]	3	1604	0	0	0	0
200204	摄影棚	2	增加电影艺术属性[color=#d6621d]0%[/color]	3	1604	0	0	0	0
200304	摄影棚	3	增加电影艺术属性[color=#d6621d]0%[/color]	3	1604	0	0	0	0
200404	摄影棚	4	增加电影艺术属性[color=#d6621d]1%[/color]	3	1604	1	0	0	0
200504	摄影棚	5	增加电影艺术属性[color=#d6621d]1%[/color]	3	1604	1	0	0	0
200604	摄影棚	6	增加电影艺术属性[color=#d6621d]1%[/color]	3	1604	1	0	0	0
200704	摄影棚	7	增加电影艺术属性[color=#d6621d]1%[/color]	3	1604	1	0	0	0
200804	摄影棚	8	增加电影艺术属性[color=#d6621d]1%[/color]	3	1604	1	0	0	0
200904	摄影棚	9	增加电影艺术属性[color=#d6621d]2%[/color]	3	1604	2	0	0	0
201004	摄影棚	10	增加电影艺术属性[color=#d6621d]2%[/color]	3	1604	2	0	0	0
201104	摄影棚	11	增加电影艺术属性[color=#d6621d]2%[/color]	3	1604	2	0	0	0
201204	摄影棚	12	增加电影艺术属性[color=#d6621d]2%[/color]	3	1604	2	0	0	0
201304	摄影棚	13	增加电影艺术属性[color=#d6621d]2%[/color]	3	1604	2	0	0	0
201404	摄影棚	14	增加电影艺术属性[color=#d6621d]3%[/color]	3	1604	3	0	0	0
201504	摄影棚	15	增加电影艺术属性[color=#d6621d]3%[/color]	3	1604	3	0	0	0
201604	摄影棚	16	增加电影艺术属性[color=#d6621d]3%[/color]	3	1604	3	0	0	0
201704	摄影棚	17	增加电影艺术属性[color=#d6621d]3%[/color]	3	1604	3	0	0	0
201804	摄影棚	18	增加电影艺术属性[color=#d6621d]3%[/color]	3	1604	3	0	0	0
201904	摄影棚	19	增加电影艺术属性[color=#d6621d]4%[/color]	3	1604	4	0	0	0
202004	摄影棚	20	增加电影艺术属性[color=#d6621d]4%[/color]	3	1604	4	0	0	0
202104	摄影棚	21	增加电影艺术属性[color=#d6621d]4%[/color]	3	1604	4	0	0	0
202204	摄影棚	22	增加电影艺术属性[color=#d6621d]4%[/color]	3	1604	4	0	0	0
202304	摄影棚	23	增加电影艺术属性[color=#d6621d]4%[/color]	3	1604	4	0	0	0
202404	摄影棚	24	增加电影艺术属性[color=#d6621d]5%[/color]	3	1604	5	0	0	0
202504	摄影棚	25	增加电影艺术属性[color=#d6621d]5%[/color]	3	1604	5	0	0	0
202604	摄影棚	26	增加电影艺术属性[color=#d6621d]5%[/color]	3	1604	5	0	0	0
202704	摄影棚	27	增加电影艺术属性[color=#d6621d]5%[/color]	3	1604	5	0	0	0
202804	摄影棚	28	增加电影艺术属性[color=#d6621d]5%[/color]	3	1604	5	0	0	0
202904	摄影棚	29	增加电影艺术属性[color=#d6621d]6%[/color]	3	1604	6	0	0	0
203004	摄影棚	30	增加电影艺术属性[color=#d6621d]6%[/color]	3	1604	6	0	0	0
203104	摄影棚	31	增加电影艺术属性[color=#d6621d]6%[/color]	3	1604	6	0	0	0
203204	摄影棚	32	增加电影艺术属性[color=#d6621d]6%[/color]	3	1604	6	0	0	0
203304	摄影棚	33	增加电影艺术属性[color=#d6621d]6%[/color]	3	1604	6	0	0	0
203404	摄影棚	34	增加电影艺术属性[color=#d6621d]7%[/color]	3	1604	7	0	0	0
203504	摄影棚	35	增加电影艺术属性[color=#d6621d]7%[/color]	3	1604	7	0	0	0
203604	摄影棚	36	增加电影艺术属性[color=#d6621d]7%[/color]	3	1604	7	0	0	0
203704	摄影棚	37	增加电影艺术属性[color=#d6621d]7%[/color]	3	1604	7	0	0	0
203804	摄影棚	38	增加电影艺术属性[color=#d6621d]7%[/color]	3	1604	7	0	0	0
203904	摄影棚	39	增加电影艺术属性[color=#d6621d]8%[/color]	3	1604	8	0	0	0
204004	摄影棚	40	增加电影艺术属性[color=#d6621d]8%[/color]	3	1604	8	0	0	0
