int	int	string	int	string	int	int[]	int	DTItemNum[]	int	int[]	int[]	int
10031	1	一般	6023	街区3档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	6;8	2000
10032	2	良好	6024	街区3档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	9;12	4000
10033	3	大卖	6025	街区3档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	18;24	30000
10034	4	超级大卖	6026	街区3档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	21;28	36000
10035	5	传奇	6027	街区3档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	24;32	42000
10036	6	神话	6028	街区3档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	27;36	48000
10041	1	一般	6023	街区4档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	8;10	4000
10042	2	良好	6024	街区4档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	12;15	8000
10043	3	大卖	6025	街区4档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	24;30	72000
10044	4	超级大卖	6026	街区4档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	28;35	84000
10045	5	传奇	6027	街区4档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	32;40	96000
10046	6	神话	6028	街区4档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	36;45	108000
10051	1	一般	6023	街区5档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	10;12	8000
10052	2	良好	6024	街区5档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	15;18	16000
10053	3	大卖	6025	街区5档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	30;36	144000
10054	4	超级大卖	6026	街区5档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	35;42	168000
10055	5	传奇	6027	街区5档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	40;48	192000
10056	6	神话	6028	街区5档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	45;54	216000
10061	1	一般	6023	街区6档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	12;14	12000
10062	2	良好	6024	街区6档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	18;21	24000
10063	3	大卖	6025	街区6档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	36;42	216000
10064	4	超级大卖	6026	街区6档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	42;49	252000
10065	5	传奇	6027	街区6档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	48;56	288000
10066	6	神话	6028	街区6档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	54;63	324000
10071	1	一般	6023	街区7档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	14;16	16000
10072	2	良好	6024	街区7档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	21;24	32000
10073	3	大卖	6025	街区7档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	42;48	336000
10074	4	超级大卖	6026	街区7档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	49;56	384000
10075	5	传奇	6027	街区7档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	56;64	432000
10076	6	神话	6028	街区7档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	63;72	480000
10081	1	一般	6023	街区8档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	16;18	20000
10082	2	良好	6024	街区8档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	24;27	40000
10083	3	大卖	6025	街区8档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	48;54	420000
10084	4	超级大卖	6026	街区8档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	56;63	480000
10085	5	传奇	6027	街区8档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	64;72	540000
10086	6	神话	6028	街区8档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	72;81	600000
10091	1	一般	6023	街区9档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	18;20	24000
10092	2	良好	6024	街区9档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	27;30	48000
10093	3	大卖	6025	街区9档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	54;60	504000
10094	4	超级大卖	6026	街区9档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	63;70	576000
10095	5	传奇	6027	街区9档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	72;80	648000
10096	6	神话	6028	街区9档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	81;90	720000
10101	1	一般	6023	街区10档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	20;22	28000
10102	2	良好	6024	街区10档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	30;33	56000
10103	3	大卖	6025	街区10档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	60;66	672000
10104	4	超级大卖	6026	街区10档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	70;77	756000
10105	5	传奇	6027	街区10档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	80;88	840000
10106	6	神话	6028	街区10档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	90;99	924000
20011	1	一般	6023	城镇1档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	22;24	32000
20012	2	良好	6024	城镇1档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	33;36	96000
20013	3	大卖	6025	城镇1档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	66;72	768000
20014	4	超级大卖	6026	城镇1档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	77;84	864000
20015	5	传奇	6027	城镇1档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	88;96	960000
20016	6	神话	6028	城镇1档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	99;108	1056000
20021	1	一般	6023	城镇2档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	24;26	36000
20022	2	良好	6024	城镇2档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	36;39	108000
20023	3	大卖	6025	城镇2档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	72;78	864000
20024	4	超级大卖	6026	城镇2档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	84;91	972000
20025	5	传奇	6027	城镇2档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	96;104	1080000
20026	6	神话	6028	城镇2档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	108;117	1188000
20031	1	一般	6023	城镇3档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	26;28	40000
20032	2	良好	6024	城镇3档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	39;42	120000
20033	3	大卖	6025	城镇3档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	78;84	1080000
20034	4	超级大卖	6026	城镇3档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	91;98	1200000
20035	5	传奇	6027	城镇3档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	104;112	1320000
20036	6	神话	6028	城镇3档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	117;126	1440000
20041	1	一般	6023	城镇4档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	28;30	44000
20042	2	良好	6024	城镇4档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	42;45	132000
20043	3	大卖	6025	城镇4档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	84;90	1188000
20044	4	超级大卖	6026	城镇4档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	98;105	1320000
20045	5	传奇	6027	城镇4档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	112;120	1452000
20046	6	神话	6028	城镇4档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	126;135	1584000
20051	1	一般	6023	城镇5档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	30;32	48000
20052	2	良好	6024	城镇5档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	45;48	144000
20053	3	大卖	6025	城镇5档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	90;96	1296000
20054	4	超级大卖	6026	城镇5档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	105;112	1440000
20055	5	传奇	6027	城镇5档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	120;128	1584000
20056	6	神话	6028	城镇5档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	135;144	1728000
20061	1	一般	6023	城镇6档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	32;34	52000
20062	2	良好	6024	城镇6档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	48;51	156000
20063	3	大卖	6025	城镇6档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	96;102	1560000
20064	4	超级大卖	6026	城镇6档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	112;119	1716000
20065	5	传奇	6027	城镇6档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	128;136	1872000
20066	6	神话	6028	城镇6档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	144;153	2028000
20071	1	一般	6023	城镇7档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	34;36	56000
20072	2	良好	6024	城镇7档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	51;54	168000
20073	3	大卖	6025	城镇7档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	102;108	1680000
20074	4	超级大卖	6026	城镇7档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	119;126	1848000
20075	5	传奇	6027	城镇7档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	136;144	2016000
20076	6	神话	6028	城镇7档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	153;162	2184000
20081	1	一般	6023	城镇8档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	36;38	60000
20082	2	良好	6024	城镇8档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	54;57	180000
20083	3	大卖	6025	城镇8档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	108;114	1800000
20084	4	超级大卖	6026	城镇8档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	126;133	1980000
20085	5	传奇	6027	城镇8档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	144;152	2160000
20086	6	神话	6028	城镇8档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	162;171	2340000
20091	1	一般	6023	城镇9档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	38;40	64000
20092	2	良好	6024	城镇9档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	57;60	192000
20093	3	大卖	6025	城镇9档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	114;120	1920000
20094	4	超级大卖	6026	城镇9档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	133;140	2112000
20095	5	传奇	6027	城镇9档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	152;160	2304000
20096	6	神话	6028	城镇9档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	171;180	2496000
20101	1	一般	6023	城镇10档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	40;42	68000
20102	2	良好	6024	城镇10档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	60;63	204000
20103	3	大卖	6025	城镇10档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	120;126	2040000
20104	4	超级大卖	6026	城镇10档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	140;147	2244000
20105	5	传奇	6027	城镇10档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	160;168	2448000
20106	6	神话	6028	城镇10档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	180;189	2652000
30011	1	一般	6023	州省1档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	42;44	72000
30012	2	良好	6024	州省1档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	63;66	288000
30013	3	大卖	6025	州省1档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	126;132	2376000
30014	4	超级大卖	6026	州省1档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	147;154	2592000
30015	5	传奇	6027	州省1档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	168;176	2808000
30016	6	神话	6028	州省1档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	189;198	3024000
30021	1	一般	6023	州省2档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	44;46	76000
30022	2	良好	6024	州省2档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	66;69	304000
30023	3	大卖	6025	州省2档	8	100;50;25;12	30	7:18;8001:3;9003:10	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	132;138	2508000
30024	4	超级大卖	6026	州省2档	10	100;50;25;12	50	7:24;8001:5;9003:12	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	154;161	2736000
30025	5	传奇	6027	州省2档	12	100;50;25;12	80	7:30;8001:8;9003:14	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	176;184	2964000
30026	6	神话	6028	州省2档	14	100;50;25;12	100	7:36;8001:10;9003:16	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	198;207	3192000
30031	1	一般	6023	州省3档	4	100;50;25;12	12	7:6;9003:6	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	46;48	80000
30032	2	良好	6024	州省3档	6	100;50;25;12	15	7:12;9003:8	2	4001;4002;4003;4004;4005;4006;4007;4008;4009;4010;4011;4012;4013;4014;4015;4016;4017;4018	69;72	320000
