int	int	int	int	int	int	int	string	int	string	string	string	string	string	string	int	DTItemNum[]
101201	6	1101			1012	1	9991				路演成功！而且在我们的鼓励下粉丝后援会也建立起来了，有他们的自发宣传，我们在这里的粉丝一定会越来越多的！		特蕾西		1	
101301	11	1116			1013	1	9991				有的电影制作精良，观众好评如潮，可就是票房惨淡。有时候大家都不看好的片，却偏偏能够大卖……真是让人有点看不透呀。		特蕾西		1	
101302					1013	2	{name}				捉摸不透也是一种魅力呀，就把市场的青睐当做蒙娜丽莎那抹神秘的微笑吧！我们也许影响不了市场，但我们可以控制我们出品的影片质量，不是吗？		{name}		2	
101303					1013	3	9991				确实呢，尽力把我们能做的做到最好吧！我相信，一定会有回报的！		特蕾西		1	
101401	6	1102			1014	1	6046				你真的以为一切都会这么顺利下去吗？天真……		神秘人		1	
101501	15	1137			1015	1	{name}				公司越来越大，需要照料的事情越来越多，让我都觉得有点手忙脚乱了…		{name}		1	
101502					1015	2	9991				这样可不行哦，毕竟你可是要带领我们成为票房传奇的呢！		特蕾西		2	
101503					1015	3	{name}				肯定会的，不过，这可少不了你的帮助啊。愿不愿意对未来的明星制片人伸出援手，帮我安排一下每天的工作日程呢？		{name}		1	
101504					1015	4	9991				老板大人的要求当然要答应啦！不过先提醒你，我的日程安排可是很紧密的哦，你要做好心理准备喔！		特蕾西		2	
101505			1	105701	1015	5	{name}				当然。对了，差点儿忘了，巨石强森的合约应该已经到期了，我们赶紧去找他过来签约吧！		{name}		1	
101601	6	1103			1016	1	{name}				这已经是我们巡回宣传的第3座城市了，发展的比我想象中要顺利得多呢，希望能一直这么保持下去就好啦。		{name}		1	
101602					1016	2	9991				是啊，虽然对于我们的全球第一的目标，第3座城市只能算是万里长征第一步。但我们目前为止确实做得不错。就让我们继续加油吧！		特蕾西		2	
101603					1016	3	1102				精神不错嘛！这样才对，就让我们一起干出一番大事业吧！		巨石强森		1	
101701	6	1104			1017	1	{name}				奇怪，这次的路演…虽然算是成功了，但是从数据来看，吸引到的观众简直连以往的一半都没有。		{name}		1	
101702					1017	2	9991				确实，人群很稀疏，而且看上去也不够热情…是我们的宣传策略出了问题吗？		特蕾西		2	
101703					1017	3	{name}				这种情况，即使完成了路演，也没法让人放心啊。我们需要调查一下原因了。		{name}		1	
101801	6	1105			1018	1	1004				交代你的事情，怎么样了？		凯文		1	
101802					1018	2	1004	1	巨星影业CEO，{name}的前老板。为人冷酷精明，为达目的可以不择手段。似乎是对于主角擅自做出息影决定并自立门户而不满，但也许还有更深层的原因…				凯文		1	
101803					1018	3	1005				很成功喔，凯文先生。在我们行动的影响下，{name}他们的路演效果很不理想，现在大概正在焦虑的寻找原因吧！		简妮		2	
101804					1018	4	1005	1	凯文的秘书，美丽性感，能力很强，对于凯文与主角之间的矛盾争斗乐在其中，时不时还会从旁推波助澜。				简妮		2	
101901	6	1106			1019	1	{name}				这次的路演仍然没有太大起色…找到原因了吗？		{name}		1	
101902					1019	2	9991				嗯…没有明确证据，但是，从种种迹象来推断，我认为巨星影业是幕后主使的可能性很高。		特蕾西		2	
101903					1019	3	{name}				巨星影业？这样啊…		{name}		1	
102001	6	1107			1020	1	1005				已经连续三次路演都惨淡收场了呢，他们好像还没有采取什么措施。该不会被打击的一蹶不振了吧？		简妮		1	
102002					1020	2	1004				如果{name}会这么简单就认输，那我可能真是看错了人。		凯文		2	
102003					1020	3	1005				您好像很期待他们的反击呢！		简妮		1	
102101	6	1108			1021	1	{name}				我们下一次路演就以我们正在筹备的那部新电影为主题吧。		{name}		1	
102102					1021	2	9991				没问题，但是有巨星影业在背后捣乱，我不确定宣传能起到多大效果……		特蕾西		2	
102103					1021	3	{name}				如果凯文还是我所认识的那个人的话，我们就有希望。		{name}		1	
102104					1021	4	9991				既然你都这么说了，我当然没意见啦。那么，具体执行就交给我吧！		特蕾西		2	
102201	6	1109			1022	1	9991				成功了！我们的路演终于恢复以往的盛况了！你太厉害啦！		特蕾西		1	
102202					1022	2	{name}				是啊…		{name}		2	
102203					1022	3	9991				怎么了？你好像对此并不太开心啊。 出什么问题了吗？		特蕾西		1	
102204					1022	4	{name}				没有，只是想到这个计划赖以成功的根本...让我感到有点愧疚。		{name}		2	
102301	6	1110			1023	1	{name}				这已经是我们巡回宣传的第10座城市了，回想我们创立公司，拍摄第一部电影…一切都还恍若昨日呢。真是不可思议。		{name}		1	
102302					1023	2	9991				是呀！不知不觉，我们公司已经走上了正轨。虽然中间也有不少曲折，但是我们都克服过来啦！ 尤其现在巨星影业没有再阻扰我们的路演了，一切都更加顺利了呢！		特蕾西		2	
102303					1023	3	{actor}				是啊，最初只有我一个演员的时候，说实话，真没想到能有今天。		{actor}		1	
102304					1023	4	{name}				确实，一路走来不容易，大家都辛苦啦。等今天的工作结束，我们开个小派对庆祝一下吧！		{name}		2	
102401	6	1111			1024	1	1005				可以冒昧请问您一件事吗？		简妮		1	
102402					1024	2	1004				你想知道为什么我要求不再干扰他们的路演了是吗？告诉你也无妨。你还记得他们那一次的路演宣传的电影主题吗？		凯文		2	
102403					1024	3	1005				是关于一部他们正在筹拍的以某次大规模缉毒行动为蓝本的枪战片吧？		简妮		1	
102404					1024	4	1004				没错。那场行动最终大获成功，但是不少警员最终没能亲眼见证那场胜利。...我儿子，就是其中之一。而{name}也知道这件事。		凯文		2	
102501	6	1112			1025	1	{name}				在上次的事情之后，到现在，一切都风平浪静啊…		{name}		1	
102502					1025	2	9991				一切顺利不是很好嘛？怎么，你还希望出点事情呀？		特蕾西		2	
102503					1025	3	{name}				只希望这不是暴风雨前的宁静吧。		{name}		1	
102601	6	1113			1026	1	1004				这份名单上就是所有可能的投资人了吗？		凯文		1	
102602					1026	2	1005				没错哦！除非他们找些完全的圈外人来进行投资，那样就比较难预测了呢。		简妮		2	
102603					1026	3	1004				{name}的人脉我心里有数，至于那个Tracy Jones小丫头，更不可能玩出什么花样。就按这个名单来。		凯文		1	
102604					1026	4	1005				没问题。		简妮		2	
102701	6	1114			1027	1	{actor}				只要是我能做到的，为了公司我都愿意。但是老板，你确定要这么做吗？		{actor}		1	
102702					1027	2	{name}				嗯。与其提心吊胆等对方下一步动作，不如我们主动出击。		{name}		2	
102703					1027	3	{actor}				我明白了，那特蕾西小姐那边呢？需要跟她说清楚吗？		{actor}		1	
102704					1027	4	{name}				不用担心，等到合适的时机，我会告诉她的。现在知道的人越少越保险。		{name}		2	
102801	6	1115			1028	1	{actor}				你竟然只因为这种无聊的理由怀疑我？这么做对我自己根本没有任何好处！我可是从公司成立起跟你一起奋斗到今天！		{actor}		1	
102802					1028	2	{name}				有没有好处只有你自己知道。不过你说的没错，你努力的够久了，我看你倒是时候“休息”了。		{name}		2	
102803					1028	3	{actor}				你怎么能这样？！		{actor}		1	
102804					1028	4	9991				等等，你们两个怎么了！冷静一下啊！		特蕾西		2	
102901	6	1116			1029	1	1005				“昔日影帝，新晋电影制作人{name}与旗下艺人公开呛声，疑似关系破裂？！”哎呀，头条新闻标题还是一如既往的耸动呢！		简妮		1	
102902					1029	2	1004				呵...这就沉不住气了啊。		凯文		2	
102903					1029	3	1005				您认为这是假动作吗？		简妮		1	
102904					1029	4	1004				这一招真是浅薄的让我失望。不过，既然他们想玩，就权当消遣吧。		凯文		2	
103001	6	1117			1030	1	1005				如何？我可是很真诚的代表巨星影业对你发出邀请哦？		简妮		1	
103002					1030	2	{actor}				如果我同意了，那不就让{name}更加确信自己对我的猜疑是对的？		{actor}		2	
103003					1030	3	1005				呵呵，即使你不同意，难道就能改变{name}的想法？清醒一点吧，你也明白我们确实能给你更多。任何一个理智的人都该为自己的未来负责。		简妮		1	
103004					1030	4	{actor}				……我需要再考虑一下。		{actor}		2	
103101	6	1118			1031	1	1005				如您所料，他们还在假装犹豫呢。		简妮		1	
103102					1031	2	1004				你就继续陪他们演下去吧。另外那件事情进展如何？		凯文		2	
103103					1031	3	1005				目前为止很顺利呢，我已经在安排跟名单上的那些投资人的会面细节了。		简妮		1	
103104					1031	4	1004				很好。定好所有细节之后再给我汇报。		凯文		2	
103201	6	1119			1032	1	9991				圈内传闻巨星影业正在与{actor}洽谈合作了……你真的不在乎吗？		特蕾西		1	
103202					1032	2	{name}				其实，那次争吵是故意的。我希望{actor}加入他们，成为我们的间谍。		{name}		2	
103203					1032	3	9991				原来是这样……但是，你可以事先跟我说一声嘛。		特蕾西		1	
103204					1032	4	{name}				哈哈，抱歉。但是，想骗过敌人就要先骗过自己人呀。		{name}		2	
103301	6	1120			1033	1	9991				你看今天的新闻，巨星影业已经正式宣布与{actor}合作啦！		特蕾西		1	
103302					1033	2	{name}				嗯。我们这边的合同还没结束，所以他们短期内不会达成正式签约，{actor}也要慢慢赢取他们的信任才行。		{name}		2	
103303					1033	3	9991				放心吧，都成功打入内部了，凭我们头号演员的演技，只是时间问题啦！		特蕾西		1	
103401	6	1121			1034	1	1005				现在{actor}已经正式与我们达成“合作”了，下一步您打算怎么办呢？		简妮		1	
103402					1034	2	1004				既然是棋子，当然要发挥棋子应有的作用。		凯文		2	
103403					1034	3	1005				明白，我会继续配合他们的演出的，呵呵！		简妮		1	
103501	6	1122			1035	1	{actor}				抱歉，目前我暂时还接触不到太多信息。		{actor}		1	
103502					1035	2	{name}				没事，他们现在对你有所防备是正常的，辛苦你了。		{name}		2	
103601	6	1123			1036	1	1005				{name}看来还在等着他们的“信使”给他们提供情报呢。		简妮		1	
103602					1036	2	1004				愚蠢……只顾着注意眼前的事永远不可能获得成功。		凯文		2	
103603					1036	3	1005				但是这对我们很有好处呢！他们根本没察觉我们的真实目的。		简妮		1	
103701	6	1124			1037	1	1005				您辛苦了。这次会面很顺利呢。		简妮		1	
103702					1037	2	1004				当然，他们没有理由拒绝。		凯文		2	
103703					1037	3	1005				很期待{name}知道消息时会是什么表情呢！		简妮		1	
103801	6	1125			1038	1	{name}				不知不觉我们都已经完成了超过半数的城市宣传了啊。		{name}		1	
103802					1038	2	9991				是呀，能走到今天，离不开大家的共同努力呢。		特蕾西		2	
103803					1038	3	1102				抱歉打扰你们的好氛围了，我有个不那么让人愉快的消息。		巨石强森		1	
103901	6	1126			1039	1	{name}				你是说，巨星影业说服了我们的合作伙伴中止合约？		{name}		1	
103902					1039	2	1102				没错…有个朋友告诉我，凯文约了业内的知名影业公司高管和投资人见面，希望他们能够停止与我们的合作。		巨石强森		2	
103903					1039	3	9991				他们难道就这么答应了吗？		特蕾西		1	
103904					1039	4	{name}				他们的决定很合理，毕竟在这一行，没有人想得罪巨星影业。况且，还能顺水推舟卖凯文一个人情…		{name}		2	
104001	6	1127			1040	1	{name}				事到如今也没必要继续我们那套间谍的计划了，让{actor}回来吧。		{name}		1	
104002					1040	2	9991				你觉得巨星影业早就察觉了吗？		特蕾西		2	
104003					1040	3	{name}				（苦笑）不光察觉，他们还很好的利用了呢。我们的注意力都在{actor}身上，反而放松了警惕。		{name}		1	
104101	6	1128			1041	1	1005				{name}跟{actor}“和好”了。呵呵，看来应该是已经知道我们的行动了呢。		简妮		1	
104102					1041	2	1004				无妨。就看看这种情况下，{name}会怎么办吧。		凯文		2	
104201	6	1129			1042	1	9991				不行，我计算了一下，虽然以我们公司目前的资金储备，确实可以支持一段时间的运营，但是如果想要长久发展下去，完全不寻求外界合作是不现实的。		特蕾西		1	
104202					1042	2	{name}				我明白。凯文也明白，所以他才会采取这种行动。		{name}		2	
104301	6	1130			1043	1	9991				你要举办一个宴会邀请我们所有的投资人，以及，凯文？		特蕾西		1	
104302					1043	2	{name}				嗯。目前他们还没发出正式的撤资通告，我们还有机会。		{name}		2	
104303					1043	3	9991				但是，这样真的能有用吗？		特蕾西		1	
104304					1043	4	{name}				其实关键在于我们能不能成功让凯文出席宴会，这是一切的前提。		{name}		2	
104401	6	1131			1044	1	1005				是来自{name}的宴会邀请函呢，您打算去吗？		简妮		1	
104402					1044	2	1004				如果我去了，反倒给了他们与投资人谈判的资本。		凯文		2	
104403					1044	3	1005				明白了，我会把您的回复传达到的。		简妮		1	
104501	6	1132			1045	1	1005				就是这样，凯文可不打算来参加宴会哦。你要怎么办呢！		简妮		1	
104502					1045	2	{name}				你特意过来，就是为了告诉我这个消息？你还真是煞费苦心啊。		{name}		2	
104503					1045	3	1005				别这么说嘛，坏消息就应该当面告知，不是吗？		简妮		1	
104601	6	1133			1046	1	9991				凯文拒绝出席，你打算怎么办呢？你说过，这次宴会能否成功达到我们的目标，就取决于他吧？		特蕾西		1	
104602					1046	2	{name}				没错。事到如今，只剩最后一个办法了……		{name}		2	
104701	6	1134			1047	1	{name}				既然你亲自把坏消息带到了，那么，不介意再帮我给凯文带个回信吧？		{name}		1	
104702					1047	2	1005				当然，前提是，你的回信让我足够感兴趣的话。		简妮		2	
104703					1047	3	{name}				（耳语）…如何？		{name}		1	
104704					1047	4	1005				呵呵，还不错呢。放心吧，我会转告凯文的！		简妮		2	
104801	6	1135			1048	1	1004				想单独跟我会面？{name}凭什么认为我会答应？		凯文		1	
104802					1048	2	1005				会面地点比较特殊喔。是在…（小声）		简妮		2	
104803					1048	3	1004				……我知道了。		凯文		1	
104901	6	1136			1049	1	9991				其实，你们关系很不错吧？或者说，曾经很不错？		特蕾西		1	
104902					1049	2	{name}				嗯？你是说我和凯文吗？		{name}		2	
104903					1049	3	9991				是呀。虽说他是我们的对手，可是我觉得你们对彼此的熟悉与了解都远远超过一般商业竞争的程度。		特蕾西		1	
104904					1049	4	{name}				哈哈，你很敏锐呢。是啊，或许，没有人能比我们对彼此更了解了吧……		{name}		2	
105001	6	1137			1050	1	1004				你知道选在这个地点会面，我不会拒绝。那么，你想说什么？		凯文		1	
105002					1050	2	{name}				十年了，凯文。距离我最好的朋友——你的儿子——在那场缉毒行动中牺牲，已经十年了。		{name}		2	
105003					1050	3	1004				……你约我过来，就是想给他扫墓吗？		凯文		1	
105004					1050	4	{name}				他至死都没有等到你的理解。过了这么多年了，你仍然不明白吗？		{name}		2	
105101	6	1138			1051	1	1004				我应该明白什么？他拒绝了我可以给他的一切，明明可以过着光鲜的人生，却非要忤逆我的所有安排，最后死于非命，而你想让我理解他的所作所为？		凯文		1	
105102					1051	2	{name}				难道只有按照你的安排去活着，才是“正确”的人生吗？凯文，他不是你剧本里的角色，只能按照你编好的剧情前进。他有自己的思考，有自己的感情。他的牺牲是悲剧，但不是无谓的！		{name}		2	
105103					1051	3	{name}				他没有跟任何人提起过你是他的父亲。但是他其实拼了命在努力向你证明他可以演绎好属于自己的人生，而你呢？凯文，你试过体谅他的心情吗？如果你能够明白，那么他也许不用抱着遗憾死去！		{name}		2	
105104					1051	4	{name}				你对我来说，是长辈，更是恩师。没有你的教诲和指导，我不会有今天。我知道你为什么对我擅自宣布息影耿耿于怀，可是，我也不是你剧本中被安排好命运的角色。		{name}		2	
105201	6	1139			1052	1	1004				……随便你吧。撤资这件事，我不会再干涉。		凯文		1	
105202					1052	2	{name}				谢谢你，凯文！来参加派对吧，作为对手，也作为恩师，我希望你能见证我的成长！		{name}		2	
105203					1052	3	1004				哼。别让我失望。		凯文		1	
105301	6	1140			1053	1	9991				你跟凯文的会面怎么样？还顺利吗？他会来吗？		特蕾西		1	
105302					1053	2	{name}				放心吧！我已经搞定了。		{name}		2	
105303					1053	3	{name}				接下来，就是我们反击的时候了！		{name}		2	
200101	14				2001	1	9991				你现在可是公司老板啦，不能不关注公司的资金状况喔！这次资金链断裂，还好我们的投资人对我们很有信心，愿意给我们一笔资金补上缺口，下次可不一定了哦！		特蕾西		1	3:10000
200102					2001	2	{name}				嗯，这次是我的疏忽，抱歉。之后我会注意的。		{name}		2	
200201	13	1			2002	1	9991				在你宣布息影之后再次来到奥斯卡颁奖礼的现场，感觉如何呀？		特蕾西		1	
200202					2002	2	{name}				真是让人感慨啊，下次站上这个舞台的时候，我就不会再是个演员，而是制片人了。		{name}		2	
200203					2002	3	9991				是呀，不过，想拿到奖杯，也不是容易的事呢。我们还要好好提升自己的实力喔！		特蕾西		1	
200204					2002	4	{name}				那当然，我们的目标就是永不停步，拿到更多的奖杯，向更高的街区档次进军！		{name}		2	
200301	13	2			2003	1	9991				快看，这是我们今天拍摄电影的成果，快点领取吧！		特蕾西		1	
200302					2003	2	{name}				不容易啊！辛苦了一天终于看到成绩了，虽然不多，但也是一笔宝贵的财富！		{name}		2	
200303					2003	3	9991				是呀，拍摄越多大卖的电影，我们的比赛名次就会越靠前，每天的比赛奖励就会越丰厚喔！		特蕾西		1	
200401	8	103001			2004	1	9991				不错不错，我们离成为世界第一，就差这！么点啦！		特蕾西		1	
200402					2004	2	{actor}				好啦你别打趣我啦……现在的成绩，离实现我们的目标，还有很长一段路要走呢。		{name}		2	
200403					2004	3	9991				可不完全是打趣哦！作为一家刚起步的新公司，我们目前的排名已经相当不错啦！嗯哼，不愧是我看好的制片人！继续加油吧！		特蕾西		1	
200501	7	12			2005	1	9991				我们现在拥有自己的财务室，在紧急情况下，可以通过财务室用金币兑换成绿钞哦！		特蕾西		1	
200502					2005	2	{name}				太棒了，这样就不用担心拍电影时资金不够导致无法完成拍摄了！		{name}		2	
200503					2005	3	9991				是的，不过每天能兑换的数额也是有限制的，所以你可别太乱来哦！		特蕾西		1	
200504					2005	4	{name}				当然，放心吧！健康的现金流也是公司实力的一个重要方面，我已经了解啦！		{name}		2	
200601	16	5			2006	1	9991				我们这次收到了一部五星剧本喔！好剧本加上好演员，我们这次有很大几率可以拍出票房佳片呢！		{name}		1	
200602					2006	2	{name}				剧本的星级对影片的影响这么大啊……我一直觉得好的演员也可以化一般的剧本为神奇呢！		特蕾西		2	
200603					2006	3	9991				哈哈哈，你说的也不是没道理，但是好演员加好剧本可是强强联手，这样带来的市场爆发力可不容小视喔！		{name}		1	
200701	17	4			2007	1	{repeatactor}				如果我们重复签约的话，我会送你同等数量的合同以及大量资产喔！		{repeatactor}		2	
200801	7	11			2008	1	{name}				在会议室中，可以和我们的合作伙伴商谈合作，如果对方要价过高，我们可以进行砍价！		{name}		1	
200802			1	106001	2008	2	9991				嗯，砍价我最擅长了，不会让我们吃亏的！		特蕾西		2	
200901	9	61			2009	1	9991				剧本库中有我们所有能拍摄的剧本，但还有些好的剧本我们没有发现！		特蕾西		1	
200902			1	105801	2009	2	{name}				放心，我每天都会来寻找新的剧本的，毕竟好的剧本是拍摄成功的基础！		{name}		2	
201001	9	73			2010	1	9991				现在我们可以和其他玩家一起合作了，共同完成任务后，可以获得丰富的奖励！		特蕾西		1	
201002					2010	2	{name}				那还等什么，快找个玩家成为我们的合作伙伴吧！		{name}		2	
201101	9	403			2011	1	9991				在这里可以看到所有被雪藏的艺人，如果有艺人被不小心雪藏了，还可以花费一些点赞把他再次招募回来！		特蕾西		1	
201102					2011	2	{name}				太好了，我可不喜欢雪藏任何人，我们的每个艺人都是最棒的！		{name}		2	
201201	9	406			2012	1	9991				培训可以增加艺人的所有属性，但会消耗大量的进修券和金币。		特蕾西		1	
201202					2012	2	{name}				哎！公司还是太穷，我想把所有艺人都培训到最好的状态。		{name}		2	
201301	7	13			2013	1	9991				训练室建造好了，我们可以使用训练室来增加艺人的技能经验了。		特蕾西		1	
201302			1	105901	2013	2	{name}				太棒了！这下我们的艺人会变得更加强大，拍摄大卖电影更加容易了！		{name}		2	
201401	9	42			2014	1	9991				公司等级每提升10级，电影协会都会给我们奖励，公司等级提升后，记得来这里领取奖励哦！		特蕾西		1	
201402					2014	2	{name}				电影协会真的太棒了，很照顾我们这些小公司啊！		{name}		2	
201501	9	43			2015	1	9991				电影协会看到我们努力的拍摄电影，将在我们达到街区二档后，奖励我们5个奖杯！		特蕾西		1	
201502					2015	2	{name}				什么？能领取奖杯！太好了，这下公司的档次将会更高。		{name}		2	
201601	9	23			2016	1	9991				这里是你每天的日程安排哦！身为大老板的你，可不要忘记哦！		特蕾西		1	
201602					2016	2	{name}				为了公司更加强大，我会争取完成这些任务的！		{name}		2	
