int	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	int[]	DTItemNum[]	DTItemNum
71	3:12	9:25	4:15	11:31	5:18	13:37	9:25	13:49	8:31	21:61	10:37	25:74	2:519970;5004:108	1:40
72	3:12	9:25	4:15	11:31	5:18	13:37	9:25	13:49	8:31	21:61	10:37	25:74	2:527220;5004:108	1:40
73	3:12	9:25	4:15	11:31	5:18	13:37	9:25	13:49	8:31	21:61	10:37	25:74	2:534470;5004:108	1:40
74	3:12	9:25	4:15	11:31	5:18	13:37	9:25	13:49	8:31	21:61	10:37	25:74	2:541720;5004:108	1:40
75	3:12	9:25	4:15	11:31	5:18	13:37	9:25	13:49	8:31	21:61	10:37	25:74	2:548970;5004:108	1:40
76	4:13	9:26	4:16	11:33	5:20	13:39	9:26	13:52	9:33	22:66	10:39	27:79	2:556510;5004:108	1:40
77	4:13	9:26	4:16	11:33	5:20	13:39	9:26	13:52	9:33	22:66	10:39	27:79	2:563760;5004:108	1:40
78	4:13	9:26	4:16	11:33	5:20	13:39	9:26	13:52	9:33	22:66	10:39	27:79	2:571010;5004:108	1:40
79	4:13	9:26	4:16	11:33	5:20	13:39	9:26	13:52	9:33	22:66	10:39	27:79	2:578260;5004:108	1:40
80	4:13	9:26	4:16	11:33	5:20	13:39	9:26	13:52	9:33	22:66	10:39	27:79	2:585800;5004:108	1:40
81	4:14	10:28	5:17	12:35	6:21	14:42	10:28	14:56	9:35	24:70	11:42	28:84	2:889575;5004:126	1:50
82	4:14	10:28	5:17	12:35	6:21	14:42	10:28	14:56	9:35	24:70	11:42	28:84	2:900450;5004:126	1:50
83	4:14	10:28	5:17	12:35	6:21	14:42	10:28	14:56	9:35	24:70	11:42	28:84	2:911325;5004:126	1:50
84	4:14	10:28	5:17	12:35	6:21	14:42	10:28	14:56	9:35	24:70	11:42	28:84	2:922635;5004:126	1:50
85	4:14	10:28	5:17	12:35	6:21	14:42	10:28	14:56	9:35	24:70	11:42	28:84	2:933510;5004:126	1:50
86	4:15	10:30	5:18	13:37	6:22	15:44	10:30	15:59	10:37	25:74	11:44	30:89	2:944385;5004:126	1:50
87	4:15	10:30	5:18	13:37	6:22	15:44	10:30	15:59	10:37	25:74	11:44	30:89	2:955260;5004:126	1:50
88	4:15	10:30	5:18	13:37	6:22	15:44	10:30	15:59	10:37	25:74	11:44	30:89	2:966570;5004:126	1:50
89	4:15	10:30	5:18	13:37	6:22	15:44	10:30	15:59	10:37	25:74	11:44	30:89	2:977445;5004:126	1:50
90	4:15	10:30	5:18	13:37	6:22	15:44	10:30	15:59	10:37	25:74	11:44	30:89	2:988320;5004:126	1:50
91	4:16	11:31	5:19	13:39	6:23	16:47	11:31	16:62	10:39	26:78	12:47	32:94	2:999195;5004:145	1:50
92	4:16	11:31	5:19	13:39	6:23	16:47	11:31	16:62	10:39	26:78	12:47	32:94	2:1010505;5004:145	1:50
93	4:16	11:31	5:19	13:39	6:23	16:47	11:31	16:62	10:39	26:78	12:47	32:94	2:1021380;5004:145	1:50
94	4:16	11:31	5:19	13:39	6:23	16:47	11:31	16:62	10:39	26:78	12:47	32:94	2:1032255;5004:145	1:50
95	4:16	11:31	5:19	13:39	6:23	16:47	11:31	16:62	10:39	26:78	12:47	32:94	2:1043130;5004:145	1:50
96	4:16	11:33	6:21	14:41	7:25	17:49	11:33	17:65	11:41	28:82	13:49	33:99	2:1054440;5004:145	1:50
97	4:16	11:33	6:21	14:41	7:25	17:49	11:33	17:65	11:41	28:82	13:49	33:99	2:1065315;5004:145	1:50
98	4:16	11:33	6:21	14:41	7:25	17:49	11:33	17:65	11:41	28:82	13:49	33:99	2:1076190;5004:145	1:50
99	4:16	11:33	6:21	14:41	7:25	17:49	11:33	17:65	11:41	28:82	13:49	33:99	2:1087065;5004:145	1:50
100	4:16	11:33	6:21	14:41	7:25	17:49	11:33	17:65	11:41	28:82	13:49	33:99	2:1097940;5004:145	1:50
101	5:17	12:34	6:21	14:42	7:25	17:50	12:34	17:67	11:42	28:84	13:50	34:100	2:1479000;5004:165	1:60
102	5:17	12:34	6:21	14:42	7:25	17:50	12:34	17:67	11:42	28:84	13:50	34:100	2:1493500;5004:165	1:60
103	5:17	12:34	6:21	14:42	7:25	17:50	12:34	17:67	11:42	28:84	13:50	34:100	2:1508000;5004:165	1:60
104	5:17	12:34	6:21	14:42	7:25	17:50	12:34	17:67	11:42	28:84	13:50	34:100	2:1522500;5004:165	1:60
105	5:17	12:34	6:21	14:42	7:25	17:50	12:34	17:67	11:42	28:84	13:50	34:100	2:1537580;5004:165	1:60
106	5:18	12:35	6:22	15:44	7:26	18:53	12:35	18:70	11:44	30:88	14:53	35:105	2:1552080;5004:165	1:60
107	5:18	12:35	6:22	15:44	7:26	18:53	12:35	18:70	11:44	30:88	14:53	35:105	2:1566580;5004:165	1:60
108	5:18	12:35	6:22	15:44	7:26	18:53	12:35	18:70	11:44	30:88	14:53	35:105	2:1581080;5004:165	1:60
109	5:18	12:35	6:22	15:44	7:26	18:53	12:35	18:70	11:44	30:88	14:53	35:105	2:1596160;5004:165	1:60
110	5:18	12:35	6:22	15:44	7:26	18:53	12:35	18:70	11:44	30:88	14:53	35:105	2:1610660;5004:165	1:60
111	5:19	13:37	6:23	16:46	7:28	19:55	13:37	19:73	12:46	31:92	14:55	37:110	2:1625160;5004:186	1:60
112	5:19	13:37	6:23	16:46	7:28	19:55	13:37	19:73	12:46	31:92	14:55	37:110	2:1639660;5004:186	1:60
113	5:19	13:37	6:23	16:46	7:28	19:55	13:37	19:73	12:46	31:92	14:55	37:110	2:1654740;5004:186	1:60
114	5:19	13:37	6:23	16:46	7:28	19:55	13:37	19:73	12:46	31:92	14:55	37:110	2:1669240;5004:186	1:60
115	5:19	13:37	6:23	16:46	7:28	19:55	13:37	19:73	12:46	31:92	14:55	37:110	2:1683740;5004:186	1:60
116	5:19	13:39	6:24	16:48	8:29	20:58	13:39	19:76	12:48	32:96	15:57	39:115	2:1698240;5004:186	1:60
117	5:19	13:39	6:24	16:48	8:29	20:58	13:39	19:76	12:48	32:96	15:57	39:115	2:1713320;5004:186	1:60
118	5:19	13:39	6:24	16:48	8:29	20:58	13:39	19:76	12:48	32:96	15:57	39:115	2:1727820;5004:186	1:60
119	5:19	13:39	6:24	16:48	8:29	20:58	13:39	19:76	12:48	32:96	15:57	39:115	2:1742320;5004:186	1:60
120	5:19	13:39	6:24	16:48	8:29	20:58	13:39	19:76	12:48	32:96	15:57	39:115	2:1756820;5004:186	1:60
121	5:20	14:40	7:25	17:50	8:30	20:60	14:40	20:80	13:50	34:100	15:60	40:120	2:2214875;5004:208	1:70
122	5:20	14:40	7:25	17:50	8:30	20:60	14:40	20:80	13:50	34:100	15:60	40:120	2:2233000;5004:208	1:70
123	5:20	14:40	7:25	17:50	8:30	20:60	14:40	20:80	13:50	34:100	15:60	40:120	2:2251125;5004:208	1:70
124	5:20	14:40	7:25	17:50	8:30	20:60	14:40	20:80	13:50	34:100	15:60	40:120	2:2269250;5004:208	1:70
125	5:20	14:40	7:25	17:50	8:30	20:60	14:40	20:80	13:50	34:100	15:60	40:120	2:2287375;5004:208	1:70
126	6:21	14:42	7:26	18:52	8:31	21:62	14:42	21:83	13:52	35:104	16:62	42:125	2:2306225;5004:208	1:70
127	6:21	14:42	7:26	18:52	8:31	21:62	14:42	21:83	13:52	35:104	16:62	42:125	2:2324350;5004:208	1:70
128	6:21	14:42	7:26	18:52	8:31	21:62	14:42	21:83	13:52	35:104	16:62	42:125	2:2342475;5004:208	1:70
129	6:21	14:42	7:26	18:52	8:31	21:62	14:42	21:83	13:52	35:104	16:62	42:125	2:2360600;5004:208	1:70
130	6:21	14:42	7:26	18:52	8:31	21:62	14:42	21:83	13:52	35:104	16:62	42:125	2:2379450;5004:208	1:70
131	6:22	15:43	7:27	18:54	9:33	22:65	15:43	22:86	14:54	36:108	17:65	43:129	2:2397575;5004:231	1:70
132	6:22	15:43	7:27	18:54	9:33	22:65	15:43	22:86	14:54	36:108	17:65	43:129	2:2415700;5004:231	1:70
133	6:22	15:43	7:27	18:54	9:33	22:65	15:43	22:86	14:54	36:108	17:65	43:129	2:2433825;5004:231	1:70
134	6:22	15:43	7:27	18:54	9:33	22:65	15:43	22:86	14:54	36:108	17:65	43:129	2:2452675;5004:231	1:70
135	6:22	15:43	7:27	18:54	9:33	22:65	15:43	22:86	14:54	36:108	17:65	43:129	2:2470800;5004:231	1:70
136	6:23	15:45	7:28	19:56	9:34	23:67	15:45	23:89	14:56	38:112	17:67	45:134	2:2488925;5004:231	1:70
137	6:23	15:45	7:28	19:56	9:34	23:67	15:45	23:89	14:56	38:112	17:67	45:134	2:2507050;5004:231	1:70
138	6:23	15:45	7:28	19:56	9:34	23:67	15:45	23:89	14:56	38:112	17:67	45:134	2:2525900;5004:231	1:70
139	6:23	15:45	7:28	19:56	9:34	23:67	15:45	23:89	14:56	38:112	17:67	45:134	2:2544025;5004:231	1:70
140	6:23	15:45	7:28	19:56	9:34	23:67	15:45	23:89	14:56	38:112	17:67	45:134	2:2562150;5004:231	1:70
141	6:23	16:47	8:29	20:58	9:35	24:70	16:47	24:93	15:58	39:116	18:70	47:139	2:3096330;5004:255	1:80
142	6:23	16:47	8:29	20:58	9:35	24:70	16:47	24:93	15:58	39:116	18:70	47:139	2:3118950;5004:255	1:80
143	6:23	16:47	8:29	20:58	9:35	24:70	16:47	24:93	15:58	39:116	18:70	47:139	2:3140700;5004:255	1:80
144	6:23	16:47	8:29	20:58	9:35	24:70	16:47	24:93	15:58	39:116	18:70	47:139	2:3162450;5004:255	1:80
145	6:23	16:47	8:29	20:58	9:35	24:70	16:47	24:93	15:58	39:116	18:70	47:139	2:3184200;5004:255	1:80
146	6:24	16:48	8:30	20:60	9:36	24:72	16:48	24:96	15:60	40:120	18:72	48:144	2:3206820;5004:255	1:80
147	6:24	16:48	8:30	20:60	9:36	24:72	16:48	24:96	15:60	40:120	18:72	48:144	2:3228570;5004:255	1:80
148	6:24	16:48	8:30	20:60	9:36	24:72	16:48	24:96	15:60	40:120	18:72	48:144	2:3250320;5004:255	1:80
149	6:24	16:48	8:30	20:60	9:36	24:72	16:48	24:96	15:60	40:120	18:72	48:144	2:3272070;5004:255	1:80
150	6:24	16:48	8:30	20:60	9:36	24:72	16:48	24:96	15:60	40:120	18:72	48:144	2:3293820;5004:255	1:80
151	7:25	17:50	8:31	21:62	10:37	25:75	17:50	25:99	16:62	42:124	19:74	50:149	2:3316440;5004:280	1:80
152	7:25	17:50	8:31	21:62	10:37	25:75	17:50	25:99	16:62	42:124	19:74	50:149	2:3338190;5004:280	1:80
153	7:25	17:50	8:31	21:62	10:37	25:75	17:50	25:99	16:62	42:124	19:74	50:149	2:3359940;5004:280	1:80
154	7:25	17:50	8:31	21:62	10:37	25:75	17:50	25:99	16:62	42:124	19:74	50:149	2:3381690;5004:280	1:80
155	7:25	17:50	8:31	21:62	10:37	25:75	17:50	25:99	16:62	42:124	19:74	50:149	2:3404310;5004:280	1:80
156	7:26	17:51	8:32	22:64	10:39	26:77	17:51	26:102	16:64	43:128	20:77	52:154	2:3426060;5004:280	1:80
157	7:26	17:51	8:32	22:64	10:39	26:77	17:51	26:102	16:64	43:128	20:77	52:154	2:3447810;5004:280	1:80
158	7:26	17:51	8:32	22:64	10:39	26:77	17:51	26:102	16:64	43:128	20:77	52:154	2:3469560;5004:280	1:80
159	7:26	17:51	8:32	22:64	10:39	26:77	17:51	26:102	16:64	43:128	20:77	52:154	2:3492180;5004:280	1:80
160	7:26	17:51	8:32	22:64	10:39	26:77	17:51	26:102	16:64	43:128	20:77	52:154	2:3513930;5004:280	1:80
161	7:27	18:53	9:33	22:66	10:40	27:79	18:53	27:105	17:66	44:132	20:79	53:158	2:4124960;5004:306	1:90
162	7:27	18:53	9:33	22:66	10:40	27:79	18:53	27:105	17:66	44:132	20:79	53:158	2:4150335;5004:306	1:90
163	7:27	18:53	9:33	22:66	10:40	27:79	18:53	27:105	17:66	44:132	20:79	53:158	2:4176725;5004:306	1:90
164	7:27	18:53	9:33	22:66	10:40	27:79	18:53	27:105	17:66	44:132	20:79	53:158	2:4202100;5004:306	1:90
165	7:27	18:53	9:33	22:66	10:40	27:79	18:53	27:105	17:66	44:132	20:79	53:158	2:4227475;5004:306	1:90
166	7:27	19:55	9:34	23:68	11:41	28:82	19:55	28:109	17:68	46:136	21:82	55:163	2:4252850;5004:306	1:90
167	7:27	19:55	9:34	23:68	11:41	28:82	19:55	28:109	17:68	46:136	21:82	55:163	2:4279240;5004:306	1:90
168	7:27	19:55	9:34	23:68	11:41	28:82	19:55	28:109	17:68	46:136	21:82	55:163	2:4304615;5004:306	1:90
169	7:27	19:55	9:34	23:68	11:41	28:82	19:55	28:109	17:68	46:136	21:82	55:163	2:4329990;5004:306	1:90
170	7:27	19:55	9:34	23:68	11:41	28:82	19:55	28:109	17:68	46:136	21:82	55:163	2:4355365;5004:306	1:90
171	7:28	19:56	9:35	24:70	11:42	28:84	19:56	28:112	18:70	47:140	21:84	56:168	2:4381755;5004:333	1:90
172	7:28	19:56	9:35	24:70	11:42	28:84	19:56	28:112	18:70	47:140	21:84	56:168	2:4407130;5004:333	1:90
173	7:28	19:56	9:35	24:70	11:42	28:84	19:56	28:112	18:70	47:140	21:84	56:168	2:4432505;5004:333	1:90
174	7:28	19:56	9:35	24:70	11:42	28:84	19:56	28:112	18:70	47:140	21:84	56:168	2:4457880;5004:333	1:90
175	7:28	19:56	9:35	24:70	11:42	28:84	19:56	28:112	18:70	47:140	21:84	56:168	2:4483255;5004:333	1:90
176	8:29	20:58	9:36	24:72	11:43	29:87	20:58	29:115	18:72	48:144	22:86	58:173	2:4509645;5004:333	1:90
177	8:29	20:58	9:36	24:72	11:43	29:87	20:58	29:115	18:72	48:144	22:86	58:173	2:4535020;5004:333	1:90
178	8:29	20:58	9:36	24:72	11:43	29:87	20:58	29:115	18:72	48:144	22:86	58:173	2:4560395;5004:333	1:90
179	8:29	20:58	9:36	24:72	11:43	29:87	20:58	29:115	18:72	48:144	22:86	58:173	2:4585770;5004:333	1:90
180	8:29	20:58	9:36	24:72	11:43	29:87	20:58	29:115	18:72	48:144	22:86	58:173	2:4612160;5004:333	1:90
181	8:30	20:59	10:37	25:74	12:45	30:89	20:59	30:118	19:74	50:148	23:89	60:178	2:5300040;5004:361	1:100
182	8:30	20:59	10:37	25:74	12:45	30:89	20:59	30:118	19:74	50:148	23:89	60:178	2:5329040;5004:361	1:100
183	8:30	20:59	10:37	25:74	12:45	30:89	20:59	30:118	19:74	50:148	23:89	60:178	2:5358040;5004:361	1:100
184	8:30	20:59	10:37	25:74	12:45	30:89	20:59	30:118	19:74	50:148	23:89	60:178	2:5388200;5004:361	1:100
185	8:30	20:59	10:37	25:74	12:45	30:89	20:59	30:118	19:74	50:148	23:89	60:178	2:5417200;5004:361	1:100
186	8:31	21:61	10:38	26:76	12:46	31:91	21:61	31:122	19:76	51:152	23:91	61:183	2:5446200;5004:361	1:100
187	8:31	21:61	10:38	26:76	12:46	31:91	21:61	31:122	19:76	51:152	23:91	61:183	2:5475200;5004:361	1:100
188	8:31	21:61	10:38	26:76	12:46	31:91	21:61	31:122	19:76	51:152	23:91	61:183	2:5505360;5004:361	1:100
189	8:31	21:61	10:38	26:76	12:46	31:91	21:61	31:122	19:76	51:152	23:91	61:183	2:5534360;5004:361	1:100
190	8:31	21:61	10:38	26:76	12:46	31:91	21:61	31:122	19:76	51:152	23:91	61:183	2:5563360;5004:361	1:100
191	8:31	21:63	10:39	26:78	12:47	32:94	21:63	32:125	20:78	52:156	24:94	63:188	2:5592360;5004:390	1:100
192	8:31	21:63	10:39	26:78	12:47	32:94	21:63	32:125	20:78	52:156	24:94	63:188	2:5622520;5004:390	1:100
193	8:31	21:63	10:39	26:78	12:47	32:94	21:63	32:125	20:78	52:156	24:94	63:188	2:5651520;5004:390	1:100
194	8:31	21:63	10:39	26:78	12:47	32:94	21:63	32:125	20:78	52:156	24:94	63:188	2:5680520;5004:390	1:100
195	8:31	21:63	10:39	26:78	12:47	32:94	21:63	32:125	20:78	52:156	24:94	63:188	2:5709520;5004:390	1:100
196	8:32	22:64	10:40	27:80	12:48	32:96	22:64	32:128	20:80	54:160	24:96	64:192	2:5739680;5004:390	1:100
197	8:32	22:64	10:40	27:80	12:48	32:96	22:64	32:128	20:80	54:160	24:96	64:192	2:5768680;5004:390	1:100
198	8:32	22:64	10:40	27:80	12:48	32:96	22:64	32:128	20:80	54:160	24:96	64:192	2:5797680;5004:390	1:100
199	8:32	22:64	10:40	27:80	12:48	32:96	22:64	32:128	20:80	54:160	24:96	64:192	2:5826680;5004:390	1:100
200	8:32	22:64	10:40	27:80	12:48	32:96	22:64	32:128	20:80	54:160	24:96	64:192	2:5855680;5004:390	1:100
