int	string	int	int	int[]	DTItemNum[]	DTItemNum	int[]	DTItemNum	int	int	int	int	int64	int64	int64	int64	int64	string[]	string[]	DTItemNum[]	int	int	int	int	int	int	int	int	int	int	int	int	int	DTItemNum	int	DTItemNum	int	DTItemNum	int	DTItemNum	bool	string
1009	街区9档	4001	117	0	7071:2;5001:20;2:9370000	3:183000	2004;3004	6:240	972800	200	16540	84	3557640	7693509	18049701	31078356	39802982	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:117000;5005:26	5400	30	15	2	4	1	20	2	1	3	0	2	1000	6:108	1000	6:108	1000	6:108	3000	1:1008	1	街区9档
1010	街区10档	4001	142	0	7071:2;5003:15;2:11590000	3:191000	2005;3005	6:245	1216000	200	24760	82	5123489	11093932	26054448	44883137	57493946	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:121000;5005:28	7200	40	15	2	4	1	20	2	1	3	0	2	1000	6:109	1000	6:109	1000	6:109	3000	1:1009	1	街区10档
2001	城镇1档	4002	171	0	7071:3;5007:30;2:14050000	3:238000	4001;5001	6:250	1459200	200	36860	80	7352150	15939596	37472465	64583379	82744428	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:149000;5005:32	7200	40	20	2	5	1	20	2	1	6	1	2	1000	6:110	1000	6:110	1000	6:110	3000	1:1010	1	城镇1档
2002	城镇2档	4002	204	0	7071:3;5001:25;2:16750000	3:291000	4002;5002	6:255	1702400	200	60220	78	11604843	25190224	59278037	102212429	130978044	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:181000;5005:36	7200	50	20	2	5	1	20	3	1	6	1	2	1000	6:111	1000	6:111	1000	6:111	3000	1:1011	1	城镇2档
2003	城镇3档	4002	241	0	7071:3;5003:20;2:19680000	3:350000	4003;5003	6:260	1945600	200	98130	76	18302873	39776733	93692853	161626350	207148368	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:216000;5005:40	7200	50	25	2	5	1	20	3	1	6	1	2	1000	6:112	1000	6:112	1000	6:112	3000	1:1012	1	城镇3档
2004	城镇4档	4002	283	0	7071:3;5007:35;2:22840000	3:416000	4004;5004	6:265	2188800	200	119620	74	21632251	47066974	110968179	191511370	245491486	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:255000;5005:44	7200	50	25	2	5	1	20	3	1	6	1	2	1000	6:113	1000	6:113	1000	6:113	3000	1:1013	0	城镇4档
2005	城镇5档	4002	330	0	7071:3;5001:30;2:25420000	3:474000	4005;5005	6:270	2432000	200	145520	72	25556350	55668063	131365897	226810975	290787965	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:289000;5005:48	7200	50	25	2	5	1	20	3	1	6	1	3	1000	6:114	1000	6:114	1000	6:114	3000	1:1014	0	城镇5档
2006	城镇6档	4002	382	0	7071:4;5003:25;2:26230000	3:502000	6001;7001	6:275	2675200	200	175500	70	29977642	65371122	154399847	266691177	341971247	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:304000;5005:52	7200	50	25	2	5	1	20	3	1	6	1	3	1000	6:115	1000	6:115	1000	6:115	3000	1:1015	0	城镇6档
2007	城镇7档	4002	440	0	7071:4;5007:40;2:28990000	3:568000	6002;7002	6:280	2918400	200	231400	68	38493897	84033100	198648860	343260214	440221385	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:342000;5005:56	7200	50	25	2	5	1	20	3	1	6	1	3	1000	6:116	1000	6:116	1000	6:116	3000	1:1016	0	城镇7档
2008	城镇8档	4002	504	0	7071:4;5001:35;2:29870000	3:600000	6003;7003	6:285	3161600	200	325020	66	52720537	115211989	272583043	471202165	604393688	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:359000;5005:60	7200	50	25	2	6	1	20	3	1	6	1	3	1000	6:117	1000	6:117	1000	6:117	3000	1:1017	0	城镇8档
2009	城镇9档	4002	574	0	7071:4;5003:30;2:32790000	3:675000	6004;7004	6:290	3404800	200	387200	64	61311317	134124289	317588766	549212282	704557019	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:402000;5005:64	7200	50	25	2	6	1	20	3	1	6	1	3	1000	6:118	1000	6:118	1000	6:118	3000	1:1018	0	城镇9档
2010	城镇10档	4002	651	0	7071:4;5007:45;2:33730000	3:713000	6005;7005	6:295	3648000	200	440120	62	68105115	149136999	353419921	611404446	784451562	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:422000;5005:68	7200	50	25	2	6	1	20	3	1	6	1	3	1000	6:119	1000	6:119	1000	6:119	3000	1:1019	0	城镇10档
3001	州省1档	4003	735	0	7071:5;5001:40;2:36830000	3:799000	8001;9001	6:300	3891200	200	555080	60	84023250	184176553	436796961	755919537	970003218	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:470000;5005:73	7200	50	25	2	6	1	20	3	1	6	1	4	1000	6:120	1000	6:120	1000	6:120	3000	1:1020	0	州省1档
3002	州省2档	4003	826	0	7071:5;5003:35;2:37830000	3:843000	8002;9002	6:305	4134400	200	771800	58	114387603	250976834	595676598	1031242928	1323479255	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:493000;5005:78	7200	50	25	2	6	1	20	3	1	6	1	4	1000	6:121	1000	6:121	1000	6:121	3000	1:1021	0	州省2档
3003	州省3档	4003	925	0	7071:5;5007:50;2:41110000	3:941000	8003;9003	6:310	4377600	200	1133950	56	164693744	361695002	859099190	1487799710	1909667350	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:547000;5005:83	7200	50	25	2	6	1	20	3	1	6	1	4	1000	6:122	1000	6:122	1000	6:122	3000	1:1022	0	州省3档
3004	州省4档	4003	1032	0	7071:5;5001:45;2:42160000	3:991000	8004;9004	6:315	4620800	200	1364870	54	194414481	427362057	1015811683	1759792473	2259073710	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:573000;5005:88	7200	50	25	2	6	1	20	3	1	6	1	4	1000	6:123	1000	6:123	1000	6:123	3000	1:1023	0	州省4档
3005	州省5档	4003	1147	0	7071:5;5003:40;2:45620000	3:1103000	8005;9005	6:320	4864000	200	1555350	52	217445027	478421033	1137985545	1972098395	2531931030	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:634000;5005:93	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:124	1000	6:124	1000	6:124	3000	1:1024	0	州省5档
3006	州省6档	4003	1271	0	7071:5;5007:55;2:46730000	3:1162000	10001;11001	6:325	5107200	200	1759010	50	239112762	526094229	1251382324	2168611989	2784230224	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:664000;5005:98	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:125	1000	6:125	1000	6:125	3000	1:1025	0	州省6档
3007	州省7档	4003	1404	0	7071:5;5001:50;2:50360000	3:1288000	10002;11002	6:330	5350400	200	2194310	49	290252434	638611381	1519018737	2632418698	3379700830	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:732000;5005:103	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:126	1000	6:126	1000	6:126	3000	1:1026	0	州省7档
3008	州省8档	4003	1546	0	7071:5;5003:45;2:51530000	3:1358000	10003;11003	6:335	5593600	200	2923750	48	376596498	828584981	1970895219	3415508512	4385091530	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:767000;5005:108	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:127	1000	6:127	1000	6:127	3000	1:1027	0	州省8档
3009	州省9档	4003	1698	0	7071:5;5007:60;2:55340000	3:1502000	10004;11004	6:340	5836800	200	3410350	47	428048049	941788321	2240163821	3882143770	4984193630	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:844000;5005:113	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:128	1000	6:128	1000	6:128	3000	1:1028	0	州省9档
3010	州省10档	4003	1860	0	7071:5;5001:55;2:56570000	3:1582000	10005;11005	6:345	6080000	200	3829490	46	468679868	1031186166	2452808013	4250650455	5457310734	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:884000;5005:118	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:129	1000	6:129	1000	6:129	3000	1:1029	0	州省10档
4001	全国1档	4004	2032	0	7071:6;5003:50;2:60550000	3:1746000	12001;13001	6:350	6323200	200	4493270	45	536548223	1180509651	2807992987	4866176470	6247570208	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:970000;5005:124	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:130	1000	6:130	1000	6:130	3000	1:1030	0	全国1档
4002	全国2档	4004	2215	0	7071:6;5007:65;2:61840000	3:1841000	12002;13002	6:355	6566400	200	5874940	44	684885102	1506879417	3584305155	6211504635	7974805572	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:1017000;5005:130	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:131	1000	6:131	1000	6:131	3000	1:1031	0	全国2档
4003	全国3档	4004	2409	0	7071:6;5001:60;2:66000000	3:2029000	12003;13003	6:360	6809600	200	7711500	43	878143395	1932084957	4595710856	7964243550	10225106100	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:1115000;5005:136	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:132	1000	6:132	1000	6:132	3000	1:1032	0	全国3档
4004	全国4档	4004	2614	0	7071:6;5003:55;2:67340000	3:2139000	12004;13004	6:365	7052800	200	9212250	42	1025271327	2255794799	5365696057	9298607233	11938264437	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:1169000;5005:142	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:133	1000	6:133	1000	6:133	3000	1:1033	0	全国4档
4005	全国5档	4004	2831	0	7071:6;5007:70;2:71680000	3:2355000	12005;13005	6:370	7296000	200	10372780	41	1128852583	2483693560	5907782365	10238028266	13144365146	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:1280000;5005:148	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:134	1000	6:134	1000	6:134	3000	1:1034	0	全国5档
4006	全国6档	4004	3060	0	7071:6;5001:65;2:73080000	3:2486000	14001;15001	6:375	7539200	200	12658120	40	1347702349	2965205277	7053119488	12222866755	15692652875	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:1344000;5005:154	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:135	1000	6:135	1000	6:135	3000	1:1035	0	全国6档
4007	全国7档	4004	3301	0	7071:6;5003:60;2:77590000	3:2734000	14002;15002	6:380	7782400	200	16989160	39	1770447206	3895325559	9265529373	16056913707	20615096103	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:1470000;5005:160	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:136	1000	6:136	1000	6:136	3000	1:1036	0	全国7档
4008	全国8档	4004	3555	0	7071:6;5007:75;2:79050000	3:2887000	14003;15003	6:385	8025600	200	24244880	38	2474077485	5443447971	12947936276	22438426018	28808170573	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:1544000;5005:166	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:137	1000	6:137	1000	6:137	3000	1:1037	0	全国8档
4009	全国9档	4004	3822	0	7071:6;5001:70;2:83740000	3:3173000	14004;15004	6:390	8268800	200	28884990	37	2887587704	6353250259	15112017216	26188720205	33623085606	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:1688000;5005:172	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:138	1000	6:138	1000	6:138	3000	1:1038	0	全国9档
4010	全国10档	4004	4102	0	7071:6;5003:65;2:85260000	3:3357000	14005;15005	6:395	8512000	200	32750340	36	3208694107	7059746322	16792508333	29100966205	37362050155	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:1776000;5005:178	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:139	1000	6:139	1000	6:139	3000	1:1039	0	全国10档
5001	世界1档	4005	4396	0	7071:7;5007:80;2:90120000	3:3690000	16001;17001	6:400	8755200	200	41054320	35	3943608464	8676699754	20638638596	35766206716	45919396624	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:1942000;5005:185	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:140	1000	6:140	1000	6:140	3000	1:1040	0	世界1档
5002	世界2档	4005	4704	0	7071:7;5001:75;2:91700000	3:3910000	16002;17002	6:405	8998400	200	56804550	34	5351882196	11775173754	28008754776	48538420219	62317342934	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:2047000;5005:192	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:141	1000	6:141	1000	6:141	3000	1:1041	0	世界2档
5003	世界3档	4005	5026	0	7071:7;5003:70;2:96740000	3:4299000	16003;17003	6:410	9241600	200	79724640	33	7369946383	16215304464	38570172789	66841074133	85815692392	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:2239000;5005:199	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:142	1000	6:142	1000	6:142	3000	1:1042	0	世界3档
5004	世界4档	4005	5363	0	7071:7;5007:85;2:98380000	3:4564000	16004;17004	6:415	9484800	200	97861630	32	8879457583	19536520440	46470109194	80531451890	103392448318	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:2365000;5005:206	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:143	1000	6:143	1000	6:143	3000	1:1043	0	世界4档
5005	世界5档	4005	5715	0	7071:7;5001:80;2:103590000	3:5025000	16005;17005	6:420	9728000	200	112939750	31	10061697669	22137676813	52657291844	91253673344	117158457783	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:2590000;5005:213	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:144	1000	6:144	1000	6:144	3000	1:1044	0	世界5档
5006	世界6档	4005	6082	0	7071:7;5003:75;2:105290000	3:5347000	18001;19001	6:425	9971200	200	144739260	30	12664969735	27865377794	66281360218	114863818124	147470970685	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:2742000;5005:220	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:145	1000	6:145	1000	6:145	3000	1:1045	0	世界6档
5007	世界7档	4005	6465	0	7071:7;5007:90;2:110680000	3:5894000	18002;19002	6:430	10214400	200	204957300	29	17620264465	38767982582	92214598247	159805423541	205170447164	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:3007000;5005:227	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:146	1000	6:146	1000	6:146	3000	1:1046	0	世界7档
5008	世界8档	4005	6864	0	7071:7;5001:85;2:112430000	3:6292000	18003;19003	6:435	10457600	200	304848750	28	25757145717	56670691769	134798478695	233602145309	299916332949	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:3194000;5005:234	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:147	1000	6:147	1000	6:147	3000	1:1047	0	世界8档
5009	世界9档	4005	7279	0	7071:7;5003:80;2:117990000	3:6952000	18004;19004	6:440	10700800	200	365637670	27	30370858127	66821749529	158944066117	275445800197	353638423194	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:3511000;5005:241	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:148	1000	6:148	1000	6:148	3000	1:1048	0	世界9档
5010	世界10档	4005	7711	0	7071:7;5007:95;2:119810000	3:7451000	18005;19005	6:445	10944000	200	413967420	26	33813437635	74396088872	176960599679	306667969277	393723836122	每日可领取启动资金{0}绿钞;每拍摄一部奖励{1}金币和{2}张宣传单（奥斯卡颁奖后领取）	每天可领取启动资金+{0}绿钞;每拍摄一部电影奖励+{1}金币、+{2}张宣传单	2:3744000;5005:248	7200	50	25	2	7	1	20	3	1	6	1	4	1000	6:149	1000	6:149	1000	6:149	3000	1:1049	0	世界10档
