int	int	int	int	string
100316	16	75	120	
100317	17	75	120	
100318	18	95	140	
100319	19	95	140	
100320	20	95	160	
100321	21	115	160	
100322	22	115	180	
100323	23	115	180	
100324	24	135	200	
100325	25	135	200	
100326	26	135	220	
100327	27	160	220	
100328	28	160	240	
100329	29	160	240	
100330	30	185	260	
100331	31	185	260	
100332	32	195	280	
100333	33	215	280	
100334	34	215	300	
100335	35	245	300	
100336	36	245	320	
100337	37	285	320	
100338	38	285	340	
100339	39	325	340	
100340	40	325	360	
100341	41	370	360	
100342	42	370	380	
100343	43	415	380	
100344	44	415	400	
100400	0	10	30	
100401	1	10	30	
100402	2	10	30	
100403	3	20	30	
100404	4	20	30	
100405	5	20	30	
100406	6	30	60	
100407	7	30	60	
100408	8	30	60	
100409	9	45	80	
100410	10	45	80	
100411	11	45	80	
100412	12	60	100	
100413	13	60	100	
100414	14	60	100	
100415	15	75	120	
100416	16	75	120	
100417	17	75	120	
100418	18	95	140	
100419	19	95	140	
100420	20	95	160	
100421	21	115	160	
100422	22	115	180	
100423	23	115	180	
100424	24	135	200	
100425	25	135	200	
100426	26	135	220	
100427	27	160	220	
100428	28	160	240	
100429	29	160	240	
100430	30	185	260	
100431	31	185	260	
100432	32	195	280	
100433	33	215	280	
100434	34	215	300	
100435	35	245	300	
100436	36	245	320	
100437	37	285	320	
100438	38	285	340	
100439	39	325	340	
100440	40	325	360	
100441	41	370	360	
100442	42	370	380	
100443	43	415	380	
100444	44	415	400	
100500	0	10	30	
100501	1	10	30	
100502	2	10	30	
100503	3	20	30	
100504	4	20	30	
100505	5	20	30	
100506	6	30	60	
100507	7	30	60	
100508	8	30	60	
100509	9	45	80	
100510	10	45	80	
100511	11	45	80	
100512	12	60	100	
100513	13	60	100	
100514	14	60	100	
100515	15	75	120	
100516	16	75	120	
100517	17	75	120	
100518	18	95	140	
100519	19	95	140	
100520	20	95	160	
100521	21	115	160	
100522	22	115	180	
100523	23	115	180	
100524	24	135	200	
100525	25	135	200	
100526	26	135	220	
100527	27	160	220	
100528	28	160	240	
100529	29	160	240	
100530	30	185	260	
100531	31	185	260	
100532	32	195	280	
100533	33	215	280	
100534	34	215	300	
100535	35	245	300	
100536	36	245	320	
100537	37	285	320	
100538	38	285	340	
100539	39	325	340	
100540	40	325	360	
100541	41	370	360	
100542	42	370	380	
100543	43	415	380	
100544	44	415	400	
100600	0	10	30	
100601	1	10	30	
100602	2	10	30	
100603	3	20	30	
100604	4	20	30	
100605	5	20	30	
100606	6	30	60	
100607	7	30	60	
100608	8	30	60	
100609	9	45	80	
100610	10	45	80	
100611	11	45	80	
100612	12	60	100	
100613	13	60	100	
100614	14	60	100	
100615	15	75	120	
100616	16	75	120	
100617	17	75	120	
100618	18	95	140	
100619	19	95	140	
100620	20	95	160	
100621	21	115	160	
100622	22	115	180	
100623	23	115	180	
100624	24	135	200	
100625	25	135	200	
100626	26	135	220	
100627	27	160	220	
100628	28	160	240	
100629	29	160	240	
100630	30	185	260	
100631	31	185	260	
100632	32	195	280	
100633	33	215	280	
100634	34	215	300	
100635	35	245	300	
100636	36	245	320	
100637	37	285	320	
100638	38	285	340	
100639	39	325	340	
100640	40	325	360	
100641	41	370	360	
100642	42	370	380	
100643	43	415	380	
100644	44	415	400	
200100	0	10	30	
200101	1	10	30	
200102	2	10	30	
200103	3	20	30	
200104	4	20	30	
200105	5	20	30	
200106	6	30	60	
200107	7	30	60	
200108	8	30	60	
200109	9	45	80	
200110	10	45	80	
200111	11	45	80	
200112	12	60	100	
200113	13	60	100	
200114	14	60	100	
200115	15	75	120	
200116	16	75	120	
200117	17	75	120	
200118	18	95	140	
200119	19	95	140	
200120	20	95	160	
200121	21	115	160	
200122	22	115	180	
200123	23	115	180	
200124	24	135	200	
200125	25	135	200	
200126	26	135	220	
200127	27	160	220	
200128	28	160	240	
200129	29	160	240	
200130	30	185	260	
200131	31	185	260	
200132	32	195	280	
200133	33	215	280	
200134	34	215	300	
200135	35	245	300	
200136	36	245	320	
200137	37	285	320	
200138	38	285	340	
200139	39	325	340	
200140	40	325	360	
200141	41	370	360	
200142	42	370	380	
200143	43	415	380	
200144	44	415	400	
200200	0	10	30	
200201	1	10	30	
200202	2	10	30	
200203	3	20	30	
200204	4	20	30	
200205	5	20	30	
200206	6	30	60	
200207	7	30	60	
200208	8	30	60	
200209	9	45	80	
200210	10	45	80	
200211	11	45	80	
200212	12	60	100	
200213	13	60	100	
200214	14	60	100	
200215	15	75	120	
200216	16	75	120	
200217	17	75	120	
200218	18	95	140	
200219	19	95	140	
200220	20	95	160	
200221	21	115	160	
200222	22	115	180	
200223	23	115	180	
200224	24	135	200	
200225	25	135	200	
200226	26	135	220	
200227	27	160	220	
200228	28	160	240	
200229	29	160	240	
200230	30	185	260	
200231	31	185	260	
200232	32	195	280	
200233	33	215	280	
200234	34	215	300	
200235	35	245	300	
200236	36	245	320	
200237	37	285	320	
200238	38	285	340	
200239	39	325	340	
200240	40	325	360	
200241	41	370	360	
200242	42	370	380	
200243	43	415	380	
200244	44	415	400	
200300	0	10	30	
200301	1	10	30	
200302	2	10	30	
200303	3	20	30	
200304	4	20	30	
200305	5	20	30	
200306	6	30	60	
200307	7	30	60	
200308	8	30	60	
200309	9	45	80	
200310	10	45	80	
200311	11	45	80	
200312	12	60	100	
200313	13	60	100	
200314	14	60	100	
200315	15	75	120	
200316	16	75	120	
200317	17	75	120	
200318	18	95	140	
200319	19	95	140	
200320	20	95	160	
200321	21	115	160	
200322	22	115	180	
200323	23	115	180	
200324	24	135	200	
200325	25	135	200	
200326	26	135	220	
200327	27	160	220	
200328	28	160	240	
200329	29	160	240	
200330	30	185	260	
200331	31	185	260	
200332	32	195	280	
200333	33	215	280	
200334	34	215	300	
200335	35	245	300	
200336	36	245	320	
200337	37	285	320	
200338	38	285	340	
200339	39	325	340	
200340	40	325	360	
200341	41	370	360	
200342	42	370	380	
200343	43	415	380	
200344	44	415	400	
200400	0	10	30	
200401	1	10	30	
200402	2	10	30	
200403	3	20	30	
200404	4	20	30	
200405	5	20	30	
200406	6	30	60	
200407	7	30	60	
200408	8	30	60	
200409	9	45	80	
200410	10	45	80	
200411	11	45	80	
200412	12	60	100	
200413	13	60	100	
200414	14	60	100	
200415	15	75	120	
200416	16	75	120	
200417	17	75	120	
200418	18	95	140	
200419	19	95	140	
200420	20	95	160	
200421	21	115	160	
200422	22	115	180	
200423	23	115	180	
200424	24	135	200	
200425	25	135	200	
200426	26	135	220	
200427	27	160	220	
200428	28	160	240	
200429	29	160	240	
200430	30	185	260	
200431	31	185	260	
200432	32	195	280	
200433	33	215	280	
200434	34	215	300	
200435	35	245	300	
200436	36	245	320	
200437	37	285	320	
200438	38	285	340	
200439	39	325	340	
200440	40	325	360	
200441	41	370	360	
200442	42	370	380	
200443	43	415	380	
200444	44	415	400	
200500	0	10	30	
200501	1	10	30	
200502	2	10	30	
200503	3	20	30	
200504	4	20	30	
200505	5	20	30	
200506	6	30	60	
200507	7	30	60	
200508	8	30	60	
200509	9	45	80	
200510	10	45	80	
200511	11	45	80	
200512	12	60	100	
200513	13	60	100	
200514	14	60	100	
200515	15	75	120	
200516	16	75	120	
200517	17	75	120	
200518	18	95	140	
200519	19	95	140	
200520	20	95	160	
200521	21	115	160	
200522	22	115	180	
200523	23	115	180	
200524	24	135	200	
200525	25	135	200	
200526	26	135	220	
200527	27	160	220	
200528	28	160	240	
200529	29	160	240	
200530	30	185	260	
200531	31	185	260	
200532	32	195	280	
200533	33	215	280	
200534	34	215	300	
200535	35	245	300	
200536	36	245	320	
200537	37	285	320	
200538	38	285	340	
200539	39	325	340	
200540	40	325	360	
200541	41	370	360	
200542	42	370	380	
200543	43	415	380	
200544	44	415	400	
200600	0	10	30	
200601	1	10	30	
200602	2	10	30	
200603	3	20	30	
200604	4	20	30	
200605	5	20	30	
200606	6	30	60	
200607	7	30	60	
200608	8	30	60	
200609	9	45	80	
200610	10	45	80	
200611	11	45	80	
200612	12	60	100	
200613	13	60	100	
200614	14	60	100	
200615	15	75	120	
200616	16	75	120	
200617	17	75	120	
200618	18	95	140	
200619	19	95	140	
200620	20	95	160	
200621	21	115	160	
200622	22	115	180	
200623	23	115	180	
200624	24	135	200	
200625	25	135	200	
200626	26	135	220	
200627	27	160	220	
200628	28	160	240	
200629	29	160	240	
200630	30	185	260	
200631	31	185	260	
200632	32	195	280	
200633	33	215	280	
200634	34	215	300	
200635	35	245	300	
200636	36	245	320	
200637	37	285	320	
200638	38	285	340	
200639	39	325	340	
200640	40	325	360	
200641	41	370	360	
200642	42	370	380	
200643	43	415	380	
200644	44	415	400	
200700	0	10	30	
200701	1	10	30	
200702	2	10	30	
200703	3	20	30	
200704	4	20	30	
200705	5	20	30	
200706	6	30	60	
200707	7	30	60	
200708	8	30	60	
200709	9	45	80	
200710	10	45	80	
200711	11	45	80	
200712	12	60	100	
200713	13	60	100	
200714	14	60	100	
200715	15	75	120	
200716	16	75	120	
200717	17	75	120	
200718	18	95	140	
200719	19	95	140	
200720	20	95	160	
200721	21	115	160	
200722	22	115	180	
200723	23	115	180	
200724	24	135	200	
200725	25	135	200	
200726	26	135	220	
200727	27	160	220	
200728	28	160	240	
200729	29	160	240	
200730	30	185	260	
200731	31	185	260	
200732	32	195	280	
200733	33	215	280	
200734	34	215	300	
200735	35	245	300	
200736	36	245	320	
200737	37	285	320	
200738	38	285	340	
200739	39	325	340	
200740	40	325	360	
200741	41	370	360	
200742	42	370	380	
200743	43	415	380	
200744	44	415	400	
200800	0	10	30	
200801	1	10	30	
200802	2	10	30	
200803	3	20	30	
200804	4	20	30	
200805	5	20	30	
200806	6	30	60	
200807	7	30	60	
200808	8	30	60	
200809	9	45	80	
200810	10	45	80	
200811	11	45	80	
200812	12	60	100	
200813	13	60	100	
200814	14	60	100	
200815	15	75	120	
200816	16	75	120	
200817	17	75	120	
200818	18	95	140	
200819	19	95	140	
200820	20	95	160	
200821	21	115	160	
200822	22	115	180	
200823	23	115	180	
200824	24	135	200	
200825	25	135	200	
200826	26	135	220	
200827	27	160	220	
200828	28	160	240	
200829	29	160	240	
200830	30	185	260	
200831	31	185	260	
200832	32	195	280	
200833	33	215	280	
200834	34	215	300	
200835	35	245	300	
200836	36	245	320	
200837	37	285	320	
200838	38	285	340	
200839	39	325	340	
200840	40	325	360	
200841	41	370	360	
200842	42	370	380	
200843	43	415	380	
200844	44	415	400	
200900	0	10	30	
200901	1	10	30	
200902	2	10	30	
200903	3	20	30	
200904	4	20	30	
200905	5	20	30	
200906	6	30	60	
200907	7	30	60	
200908	8	30	60	
200909	9	45	80	
200910	10	45	80	
200911	11	45	80	
200912	12	60	100	
200913	13	60	100	
200914	14	60	100	
200915	15	75	120	
200916	16	75	120	
200917	17	75	120	
200918	18	95	140	
200919	19	95	140	
200920	20	95	160	
200921	21	115	160	
200922	22	115	180	
200923	23	115	180	
200924	24	135	200	
200925	25	135	200	
200926	26	135	220	
200927	27	160	220	
200928	28	160	240	
200929	29	160	240	
200930	30	185	260	
200931	31	185	260	
200932	32	195	280	
200933	33	215	280	
200934	34	215	300	
200935	35	245	300	
200936	36	245	320	
200937	37	285	320	
200938	38	285	340	
200939	39	325	340	
200940	40	325	360	
200941	41	370	360	
200942	42	370	380	
200943	43	415	380	
200944	44	415	400	
201000	0	10	30	
201001	1	10	30	
201002	2	10	30	
201003	3	20	30	
201004	4	20	30	
201005	5	20	30	
201006	6	30	60	
201007	7	30	60	
201008	8	30	60	
201009	9	45	80	
201010	10	45	80	
201011	11	45	80	
201012	12	60	100	
201013	13	60	100	
201014	14	60	100	
201015	15	75	120	
201016	16	75	120	
201017	17	75	120	
201018	18	95	140	
201019	19	95	140	
201020	20	95	160	
201021	21	115	160	
201022	22	115	180	
201023	23	115	180	
201024	24	135	200	
201025	25	135	200	
201026	26	135	220	
201027	27	160	220	
201028	28	160	240	
201029	29	160	240	
201030	30	185	260	
201031	31	185	260	
201032	32	195	280	
201033	33	215	280	
201034	34	215	300	
201035	35	245	300	
201036	36	245	320	
201037	37	285	320	
201038	38	285	340	
201039	39	325	340	
201040	40	325	360	
201041	41	370	360	
201042	42	370	380	
201043	43	415	380	
201044	44	415	400	
201100	0	10	30	
201101	1	10	30	
201102	2	10	30	
201103	3	20	30	
201104	4	20	30	
201105	5	20	30	
201106	6	30	60	
201107	7	30	60	
201108	8	30	60	
201109	9	45	80	
201110	10	45	80	
201111	11	45	80	
201112	12	60	100	
201113	13	60	100	
201114	14	60	100	
201115	15	75	120	
201116	16	75	120	
201117	17	75	120	
201118	18	95	140	
201119	19	95	140	
201120	20	95	160	
201121	21	115	160	
201122	22	115	180	
201123	23	115	180	
201124	24	135	200	
201125	25	135	200	
201126	26	135	220	
201127	27	160	220	
201128	28	160	240	
201129	29	160	240	
201130	30	185	260	
201131	31	185	260	
201132	32	195	280	
201133	33	215	280	
201134	34	215	300	
201135	35	245	300	
201136	36	245	320	
201137	37	285	320	
201138	38	285	340	
201139	39	325	340	
201140	40	325	360	
201141	41	370	360	
201142	42	370	380	
201143	43	415	380	
201144	44	415	400	
201200	0	10	30	
201201	1	10	30	
201202	2	10	30	
201203	3	20	30	
201204	4	20	30	
201205	5	20	30	
201206	6	30	60	
201207	7	30	60	
201208	8	30	60	
201209	9	45	80	
201210	10	45	80	
201211	11	45	80	
201212	12	60	100	
201213	13	60	100	
201214	14	60	100	
201215	15	75	120	
201216	16	75	120	
201217	17	75	120	
201218	18	95	140	
201219	19	95	140	
201220	20	95	160	
201221	21	115	160	
201222	22	115	180	
201223	23	115	180	
201224	24	135	200	
201225	25	135	200	
201226	26	135	220	
201227	27	160	220	
201228	28	160	240	
201229	29	160	240	
201230	30	185	260	
201231	31	185	260	
201232	32	195	280	
201233	33	215	280	
201234	34	215	300	
201235	35	245	300	
201236	36	245	320	
201237	37	285	320	
201238	38	285	340	
201239	39	325	340	
201240	40	325	360	
201241	41	370	360	
201242	42	370	380	
201243	43	415	380	
201244	44	415	400	
201300	0	10	30	
201301	1	10	30	
201302	2	10	30	
201303	3	20	30	
201304	4	20	30	
201305	5	20	30	
201306	6	30	60	
201307	7	30	60	
201308	8	30	60	
201309	9	45	80	
201310	10	45	80	
201311	11	45	80	
201312	12	60	100	
201313	13	60	100	
201314	14	60	100	
201315	15	75	120	
201316	16	75	120	
201317	17	75	120	
201318	18	95	140	
201319	19	95	140	
201320	20	95	160	
201321	21	115	160	
201322	22	115	180	
201323	23	115	180	
201324	24	135	200	
201325	25	135	200	
201326	26	135	220	
201327	27	160	220	
201328	28	160	240	
201329	29	160	240	
201330	30	185	260	
201331	31	185	260	
201332	32	195	280	
201333	33	215	280	
201334	34	215	300	
201335	35	245	300	
201336	36	245	320	
201337	37	285	320	
201338	38	285	340	
201339	39	325	340	
201340	40	325	360	
201341	41	370	360	
201342	42	370	380	
201343	43	415	380	
201344	44	415	400	
201400	0	10	30	
201401	1	10	30	
201402	2	10	30	
201403	3	20	30	
201404	4	20	30	
201405	5	20	30	
201406	6	30	60	
201407	7	30	60	
201408	8	30	60	
201409	9	45	80	
201410	10	45	80	
201411	11	45	80	
201412	12	60	100	
201413	13	60	100	
201414	14	60	100	
201415	15	75	120	
201416	16	75	120	
201417	17	75	120	
201418	18	95	140	
201419	19	95	140	
201420	20	95	160	
201421	21	115	160	
201422	22	115	180	
201423	23	115	180	
201424	24	135	200	
201425	25	135	200	
201426	26	135	220	
201427	27	160	220	
201428	28	160	240	
201429	29	160	240	
201430	30	185	260	
201431	31	185	260	
201432	32	195	280	
201433	33	215	280	
201434	34	215	300	
201435	35	245	300	
201436	36	245	320	
201437	37	285	320	
201438	38	285	340	
201439	39	325	340	
201440	40	325	360	
201441	41	370	360	
201442	42	370	380	
201443	43	415	380	
201444	44	415	400	
201500	0	10	30	
201501	1	10	30	
201502	2	10	30	
201503	3	20	30	
201504	4	20	30	
201505	5	20	30	
201506	6	30	60	
201507	7	30	60	
201508	8	30	60	
201509	9	45	80	
201510	10	45	80	
201511	11	45	80	
201512	12	60	100	
201513	13	60	100	
201514	14	60	100	
201515	15	75	120	
201516	16	75	120	
201517	17	75	120	
201518	18	95	140	
201519	19	95	140	
201520	20	95	160	
201521	21	115	160	
201522	22	115	180	
201523	23	115	180	
201524	24	135	200	
201525	25	135	200	
201526	26	135	220	
201527	27	160	220	
201528	28	160	240	
201529	29	160	240	
201530	30	185	260	
201531	31	185	260	
201532	32	195	280	
201533	33	215	280	
201534	34	215	300	
201535	35	245	300	
201536	36	245	320	
201537	37	285	320	
201538	38	285	340	
201539	39	325	340	
201540	40	325	360	
201541	41	370	360	
201542	42	370	380	
201543	43	415	380	
201544	44	415	400	
300100	0	10	30	
300101	1	10	30	
300102	2	10	30	
300103	3	25	30	
300104	4	25	30	
300105	5	25	30	
300106	6	40	60	
300107	7	40	60	
300108	8	40	60	
300109	9	60	80	
300110	10	60	80	
300111	11	60	80	
300112	12	80	100	
300113	13	80	100	
300114	14	80	100	
300115	15	105	120	
300116	16	105	120	
300117	17	105	120	
300118	18	130	140	
300119	19	130	140	
300120	20	130	160	
300121	21	160	160	
300122	22	160	180	
300123	23	160	180	
300124	24	195	200	
300125	25	195	200	
300126	26	195	220	
300127	27	235	220	
300128	28	235	240	
300129	29	235	240	
300130	30	280	260	
300131	31	280	260	
300132	32	280	280	
300133	33	310	280	
300134	34	310	300	
300135	35	345	300	
300136	36	345	320	
300137	37	385	320	
300138	38	385	340	
300139	39	430	340	
300140	40	430	360	
300141	41	480	360	
300142	42	480	380	
300143	43	535	380	
300144	44	535	400	
300200	0	10	30	
300201	1	10	30	
300202	2	10	30	
300203	3	25	30	
300204	4	25	30	
300205	5	25	30	
300206	6	40	60	
300207	7	40	60	
300208	8	40	60	
300209	9	60	80	
300210	10	60	80	
300211	11	60	80	
300212	12	80	100	
300213	13	80	100	
300214	14	80	100	
300215	15	105	120	
300216	16	105	120	
300217	17	105	120	
300218	18	130	140	
300219	19	130	140	
300220	20	130	160	
300221	21	160	160	
300222	22	160	180	
300223	23	160	180	
300224	24	195	200	
300225	25	195	200	
300226	26	195	220	
300227	27	235	220	
300228	28	235	240	
300229	29	235	240	
300230	30	280	260	
300231	31	280	260	
300232	32	280	280	
300233	33	310	280	
300234	34	310	300	
300235	35	345	300	
300236	36	345	320	
300237	37	385	320	
300238	38	385	340	
300239	39	430	340	
300240	40	430	360	
300241	41	480	360	
300242	42	480	380	
300243	43	535	380	
300244	44	535	400	
300300	0	10	30	
300301	1	10	30	
300302	2	10	30	
300303	3	25	30	
300304	4	25	30	
300305	5	25	30	
300306	6	40	60	
300307	7	40	60	
300308	8	40	60	
300309	9	60	80	
300310	10	60	80	
300311	11	60	80	
300312	12	80	100	
300313	13	80	100	
300314	14	80	100	
300315	15	105	120	
300316	16	105	120	
300317	17	105	120	
300318	18	130	140	
300319	19	130	140	
300320	20	130	160	
300321	21	160	160	
300322	22	160	180	
300323	23	160	180	
300324	24	195	200	
300325	25	195	200	
300326	26	195	220	
300327	27	235	220	
300328	28	235	240	
300329	29	235	240	
300330	30	280	260	
300331	31	280	260	
300332	32	280	280	
300333	33	310	280	
300334	34	310	300	
300335	35	345	300	
300336	36	345	320	
300337	37	385	320	
300338	38	385	340	
300339	39	430	340	
300340	40	430	360	
300341	41	480	360	
300342	42	480	380	
300343	43	535	380	
300344	44	535	400	
300400	0	10	30	
300401	1	10	30	
300402	2	10	30	
300403	3	25	30	
300404	4	25	30	
300405	5	25	30	
300406	6	40	60	
300407	7	40	60	
300408	8	40	60	
300409	9	60	80	
300410	10	60	80	
300411	11	60	80	
300412	12	80	100	
300413	13	80	100	
300414	14	80	100	
300415	15	105	120	
300416	16	105	120	
300417	17	105	120	
300418	18	130	140	
300419	19	130	140	
300420	20	130	160	
300421	21	160	160	
300422	22	160	180	
300423	23	160	180	
300424	24	195	200	
300425	25	195	200	
300426	26	195	220	
300427	27	235	220	
300428	28	235	240	
300429	29	235	240	
300430	30	280	260	
300431	31	280	260	
300432	32	280	280	
300433	33	310	280	
300434	34	310	300	
300435	35	345	300	
300436	36	345	320	
300437	37	385	320	
300438	38	385	340	
300439	39	430	340	
300440	40	430	360	
300441	41	480	360	
300442	42	480	380	
300443	43	535	380	
300444	44	535	400	
300500	0	10	30	
300501	1	10	30	
300502	2	10	30	
300503	3	25	30	
300504	4	25	30	
300505	5	25	30	
300506	6	40	60	
300507	7	40	60	
300508	8	40	60	
300509	9	60	80	
300510	10	60	80	
300511	11	60	80	
300512	12	80	100	
300513	13	80	100	
300514	14	80	100	
300515	15	105	120	
300516	16	105	120	
300517	17	105	120	
300518	18	130	140	
300519	19	130	140	
300520	20	130	160	
300521	21	160	160	
300522	22	160	180	
300523	23	160	180	
300524	24	195	200	
300525	25	195	200	
300526	26	195	220	
300527	27	235	220	
300528	28	235	240	
300529	29	235	240	
300530	30	280	260	
300531	31	280	260	
300532	32	280	280	
300533	33	310	280	
300534	34	310	300	
300535	35	345	300	
300536	36	345	320	
300537	37	385	320	
300538	38	385	340	
300539	39	430	340	
300540	40	430	360	
300541	41	480	360	
300542	42	480	380	
300543	43	535	380	
300544	44	535	400	
300600	0	10	30	
300601	1	10	30	
300602	2	10	30	
300603	3	25	30	
300604	4	25	30	
300605	5	25	30	
300606	6	40	60	
300607	7	40	60	
300608	8	40	60	
300609	9	60	80	
300610	10	60	80	
300611	11	60	80	
300612	12	80	100	
300613	13	80	100	
300614	14	80	100	
300615	15	105	120	
300616	16	105	120	
300617	17	105	120	
300618	18	130	140	
300619	19	130	140	
300620	20	130	160	
300621	21	160	160	
300622	22	160	180	
300623	23	160	180	
300624	24	195	200	
300625	25	195	200	
300626	26	195	220	
300627	27	235	220	
300628	28	235	240	
300629	29	235	240	
300630	30	280	260	
300631	31	280	260	
300632	32	280	280	
300633	33	310	280	
300634	34	310	300	
300635	35	345	300	
300636	36	345	320	
300637	37	385	320	
300638	38	385	340	
300639	39	430	340	
300640	40	430	360	
300641	41	480	360	
300642	42	480	380	
300643	43	535	380	
300644	44	535	400	
300700	0	10	30	
300701	1	10	30	
300702	2	10	30	
300703	3	25	30	
300704	4	25	30	
300705	5	25	30	
300706	6	40	60	
300707	7	40	60	
300708	8	40	60	
300709	9	60	80	
300710	10	60	80	
300711	11	60	80	
300712	12	80	100	
300713	13	80	100	
300714	14	80	100	
300715	15	105	120	
300716	16	105	120	
300717	17	105	120	
300718	18	130	140	
300719	19	130	140	
300720	20	130	160	
300721	21	160	160	
300722	22	160	180	
300723	23	160	180	
300724	24	195	200	
300725	25	195	200	
300726	26	195	220	
300727	27	235	220	
300728	28	235	240	
300729	29	235	240	
300730	30	280	260	
300731	31	280	260	
300732	32	280	280	
300733	33	310	280	
300734	34	310	300	
300735	35	345	300	
300736	36	345	320	
300737	37	385	320	
300738	38	385	340	
300739	39	430	340	
300740	40	430	360	
300741	41	480	360	
300742	42	480	380	
300743	43	535	380	
300744	44	535	400	
300800	0	10	30	
300801	1	10	30	
300802	2	10	30	
300803	3	25	30	
300804	4	25	30	
300805	5	25	30	
300806	6	40	60	
300807	7	40	60	
300808	8	40	60	
300809	9	60	80	
300810	10	60	80	
300811	11	60	80	
300812	12	80	100	
300813	13	80	100	
300814	14	80	100	
300815	15	105	120	
300816	16	105	120	
300817	17	105	120	
300818	18	130	140	
300819	19	130	140	
300820	20	130	160	
300821	21	160	160	
300822	22	160	180	
300823	23	160	180	
300824	24	195	200	
300825	25	195	200	
300826	26	195	220	
300827	27	235	220	
300828	28	235	240	
300829	29	235	240	
300830	30	280	260	
300831	31	280	260	
300832	32	280	280	
300833	33	310	280	
300834	34	310	300	
300835	35	345	300	
300836	36	345	320	
300837	37	385	320	
300838	38	385	340	
300839	39	430	340	
300840	40	430	360	
300841	41	480	360	
300842	42	480	380	
300843	43	535	380	
300844	44	535	400	
300900	0	10	30	
300901	1	10	30	
300902	2	10	30	
300903	3	25	30	
300904	4	25	30	
300905	5	25	30	
300906	6	40	60	
300907	7	40	60	
300908	8	40	60	
300909	9	60	80	
300910	10	60	80	
300911	11	60	80	
300912	12	80	100	
300913	13	80	100	
300914	14	80	100	
300915	15	105	120	
300916	16	105	120	
300917	17	105	120	
300918	18	130	140	
300919	19	130	140	
300920	20	130	160	
300921	21	160	160	
300922	22	160	180	
300923	23	160	180	
300924	24	195	200	
300925	25	195	200	
300926	26	195	220	
300927	27	235	220	
300928	28	235	240	
300929	29	235	240	
300930	30	280	260	
300931	31	280	260	
300932	32	280	280	
300933	33	310	280	
300934	34	310	300	
300935	35	345	300	
300936	36	345	320	
300937	37	385	320	
300938	38	385	340	
300939	39	430	340	
300940	40	430	360	
300941	41	480	360	
300942	42	480	380	
300943	43	535	380	
300944	44	535	400	
301000	0	10	30	
301001	1	10	30	
301002	2	10	30	
301003	3	25	30	
301004	4	25	30	
301005	5	25	30	
301006	6	40	60	
301007	7	40	60	
301008	8	40	60	
301009	9	60	80	
301010	10	60	80	
301011	11	60	80	
301012	12	80	100	
301013	13	80	100	
301014	14	80	100	
301015	15	105	120	
301016	16	105	120	
301017	17	105	120	
301018	18	130	140	
301019	19	130	140	
301020	20	130	160	
301021	21	160	160	
301022	22	160	180	
301023	23	160	180	
301024	24	195	200	
301025	25	195	200	
301026	26	195	220	
301027	27	235	220	
301028	28	235	240	
301029	29	235	240	
301030	30	280	260	
301031	31	280	260	
301032	32	280	280	
301033	33	310	280	
301034	34	310	300	
301035	35	345	300	
301036	36	345	320	
301037	37	385	320	
301038	38	385	340	
301039	39	430	340	
301040	40	430	360	
301041	41	480	360	
