int	int	int	DTItemNum	string
4029	4	29	8905:15	第4轮第29日签到奖励
4030	4	30	1:100	第4轮第30日签到奖励
5001	5	1	1:50	第5轮第1日签到奖励
5002	5	2	7:10	第5轮第2日签到奖励
5003	5	3	6:500	第5轮第3日签到奖励
5004	5	4	8002:20	第5轮第4日签到奖励
5005	5	5	1:100	第5轮第5日签到奖励
5006	5	6	1:50	第5轮第6日签到奖励
5007	5	7	7:15	第5轮第7日签到奖励
5008	5	8	5004:30	第5轮第8日签到奖励
5009	5	9	8905:10	第5轮第9日签到奖励
5010	5	10	1:100	第5轮第10日签到奖励
5011	5	11	1:50	第5轮第11日签到奖励
5012	5	12	7:20	第5轮第12日签到奖励
5013	5	13	6:500	第5轮第13日签到奖励
5014	5	14	8905:10	第5轮第14日签到奖励
5015	5	15	1:100	第5轮第15日签到奖励
5016	5	16	1:50	第5轮第16日签到奖励
5017	5	17	7:25	第5轮第17日签到奖励
5018	5	18	5004:30	第5轮第18日签到奖励
5019	5	19	8002:20	第5轮第19日签到奖励
5020	5	20	1:100	第5轮第20日签到奖励
5021	5	21	1:50	第5轮第21日签到奖励
5022	5	22	7:30	第5轮第22日签到奖励
5023	5	23	6:500	第5轮第23日签到奖励
5024	5	24	8905:15	第5轮第24日签到奖励
5025	5	25	1:100	第5轮第25日签到奖励
5026	5	26	1:50	第5轮第26日签到奖励
5027	5	27	7:35	第5轮第27日签到奖励
5028	5	28	6:500	第5轮第28日签到奖励
5029	5	29	8905:15	第5轮第29日签到奖励
5030	5	30	1:100	第5轮第30日签到奖励
6001	6	1	1:50	第6轮第1日签到奖励
6002	6	2	7:10	第6轮第2日签到奖励
6003	6	3	6:500	第6轮第3日签到奖励
6004	6	4	8002:20	第6轮第4日签到奖励
6005	6	5	1:100	第6轮第5日签到奖励
6006	6	6	1:50	第6轮第6日签到奖励
6007	6	7	7:15	第6轮第7日签到奖励
6008	6	8	5004:30	第6轮第8日签到奖励
6009	6	9	8905:10	第6轮第9日签到奖励
6010	6	10	1:100	第6轮第10日签到奖励
6011	6	11	1:50	第6轮第11日签到奖励
6012	6	12	7:20	第6轮第12日签到奖励
6013	6	13	6:500	第6轮第13日签到奖励
6014	6	14	8905:10	第6轮第14日签到奖励
6015	6	15	1:100	第6轮第15日签到奖励
6016	6	16	1:50	第6轮第16日签到奖励
6017	6	17	7:25	第6轮第17日签到奖励
6018	6	18	5004:30	第6轮第18日签到奖励
6019	6	19	8002:20	第6轮第19日签到奖励
6020	6	20	1:100	第6轮第20日签到奖励
6021	6	21	1:50	第6轮第21日签到奖励
6022	6	22	7:30	第6轮第22日签到奖励
6023	6	23	6:500	第6轮第23日签到奖励
6024	6	24	8905:15	第6轮第24日签到奖励
6025	6	25	1:100	第6轮第25日签到奖励
6026	6	26	1:50	第6轮第26日签到奖励
6027	6	27	7:35	第6轮第27日签到奖励
6028	6	28	6:500	第6轮第28日签到奖励
6029	6	29	8905:15	第6轮第29日签到奖励
6030	6	30	1:100	第6轮第30日签到奖励
7001	7	1	1:50	第7轮第1日签到奖励
7002	7	2	7:10	第7轮第2日签到奖励
7003	7	3	6:500	第7轮第3日签到奖励
7004	7	4	8002:20	第7轮第4日签到奖励
7005	7	5	1:100	第7轮第5日签到奖励
7006	7	6	1:50	第7轮第6日签到奖励
7007	7	7	7:15	第7轮第7日签到奖励
7008	7	8	5004:30	第7轮第8日签到奖励
7009	7	9	8905:10	第7轮第9日签到奖励
7010	7	10	1:100	第7轮第10日签到奖励
7011	7	11	1:50	第7轮第11日签到奖励
7012	7	12	7:20	第7轮第12日签到奖励
7013	7	13	6:500	第7轮第13日签到奖励
7014	7	14	8905:10	第7轮第14日签到奖励
7015	7	15	1:100	第7轮第15日签到奖励
7016	7	16	1:50	第7轮第16日签到奖励
7017	7	17	7:25	第7轮第17日签到奖励
7018	7	18	5004:30	第7轮第18日签到奖励
7019	7	19	8002:20	第7轮第19日签到奖励
7020	7	20	1:100	第7轮第20日签到奖励
7021	7	21	1:50	第7轮第21日签到奖励
7022	7	22	7:30	第7轮第22日签到奖励
7023	7	23	6:500	第7轮第23日签到奖励
7024	7	24	8905:15	第7轮第24日签到奖励
7025	7	25	1:100	第7轮第25日签到奖励
7026	7	26	1:50	第7轮第26日签到奖励
7027	7	27	7:35	第7轮第27日签到奖励
7028	7	28	6:500	第7轮第28日签到奖励
7029	7	29	8905:15	第7轮第29日签到奖励
7030	7	30	1:100	第7轮第30日签到奖励
8001	8	1	1:50	第8轮第1日签到奖励
8002	8	2	7:10	第8轮第2日签到奖励
8003	8	3	6:500	第8轮第3日签到奖励
8004	8	4	8002:20	第8轮第4日签到奖励
8005	8	5	1:100	第8轮第5日签到奖励
8006	8	6	1:50	第8轮第6日签到奖励
8007	8	7	7:15	第8轮第7日签到奖励
8008	8	8	5004:30	第8轮第8日签到奖励
8009	8	9	8905:10	第8轮第9日签到奖励
8010	8	10	1:100	第8轮第10日签到奖励
8011	8	11	1:50	第8轮第11日签到奖励
8012	8	12	7:20	第8轮第12日签到奖励
8013	8	13	6:500	第8轮第13日签到奖励
8014	8	14	8905:10	第8轮第14日签到奖励
8015	8	15	1:100	第8轮第15日签到奖励
8016	8	16	1:50	第8轮第16日签到奖励
8017	8	17	7:25	第8轮第17日签到奖励
8018	8	18	5004:30	第8轮第18日签到奖励
8019	8	19	8002:20	第8轮第19日签到奖励
8020	8	20	1:100	第8轮第20日签到奖励
8021	8	21	1:50	第8轮第21日签到奖励
8022	8	22	7:30	第8轮第22日签到奖励
8023	8	23	6:500	第8轮第23日签到奖励
8024	8	24	8905:15	第8轮第24日签到奖励
8025	8	25	1:100	第8轮第25日签到奖励
8026	8	26	1:50	第8轮第26日签到奖励
8027	8	27	7:35	第8轮第27日签到奖励
8028	8	28	6:500	第8轮第28日签到奖励
8029	8	29	8905:15	第8轮第29日签到奖励
8030	8	30	1:100	第8轮第30日签到奖励
9001	9	1	1:50	第9轮第1日签到奖励
9002	9	2	7:10	第9轮第2日签到奖励
9003	9	3	6:500	第9轮第3日签到奖励
9004	9	4	8002:20	第9轮第4日签到奖励
9005	9	5	1:100	第9轮第5日签到奖励
9006	9	6	1:50	第9轮第6日签到奖励
9007	9	7	7:15	第9轮第7日签到奖励
9008	9	8	5004:30	第9轮第8日签到奖励
9009	9	9	8905:10	第9轮第9日签到奖励
9010	9	10	1:100	第9轮第10日签到奖励
9011	9	11	1:50	第9轮第11日签到奖励
9012	9	12	7:20	第9轮第12日签到奖励
9013	9	13	6:500	第9轮第13日签到奖励
9014	9	14	8905:10	第9轮第14日签到奖励
9015	9	15	1:100	第9轮第15日签到奖励
9016	9	16	1:50	第9轮第16日签到奖励
9017	9	17	7:25	第9轮第17日签到奖励
9018	9	18	5004:30	第9轮第18日签到奖励
9019	9	19	8002:20	第9轮第19日签到奖励
9020	9	20	1:100	第9轮第20日签到奖励
9021	9	21	1:50	第9轮第21日签到奖励
9022	9	22	7:30	第9轮第22日签到奖励
9023	9	23	6:500	第9轮第23日签到奖励
9024	9	24	8905:15	第9轮第24日签到奖励
9025	9	25	1:100	第9轮第25日签到奖励
9026	9	26	1:50	第9轮第26日签到奖励
9027	9	27	7:35	第9轮第27日签到奖励
9028	9	28	6:500	第9轮第28日签到奖励
9029	9	29	8905:15	第9轮第29日签到奖励
9030	9	30	1:100	第9轮第30日签到奖励
10001	10	1	1:50	第10轮第1日签到奖励
10002	10	2	7:10	第10轮第2日签到奖励
10003	10	3	6:500	第10轮第3日签到奖励
10004	10	4	8002:20	第10轮第4日签到奖励
10005	10	5	1:100	第10轮第5日签到奖励
10006	10	6	1:50	第10轮第6日签到奖励
10007	10	7	7:15	第10轮第7日签到奖励
10008	10	8	5004:30	第10轮第8日签到奖励
10009	10	9	8905:10	第10轮第9日签到奖励
10010	10	10	1:100	第10轮第10日签到奖励
10011	10	11	1:50	第10轮第11日签到奖励
10012	10	12	7:20	第10轮第12日签到奖励
10013	10	13	6:500	第10轮第13日签到奖励
10014	10	14	8905:10	第10轮第14日签到奖励
10015	10	15	1:100	第10轮第15日签到奖励
10016	10	16	1:50	第10轮第16日签到奖励
10017	10	17	7:25	第10轮第17日签到奖励
10018	10	18	5004:30	第10轮第18日签到奖励
10019	10	19	8002:20	第10轮第19日签到奖励
10020	10	20	1:100	第10轮第20日签到奖励
10021	10	21	1:50	第10轮第21日签到奖励
10022	10	22	7:30	第10轮第22日签到奖励
10023	10	23	6:500	第10轮第23日签到奖励
10024	10	24	8905:15	第10轮第24日签到奖励
10025	10	25	1:100	第10轮第25日签到奖励
10026	10	26	1:50	第10轮第26日签到奖励
10027	10	27	7:35	第10轮第27日签到奖励
10028	10	28	6:500	第10轮第28日签到奖励
10029	10	29	8905:15	第10轮第29日签到奖励
10030	10	30	1:100	第10轮第30日签到奖励
11001	11	1	1:50	第11轮第1日签到奖励
11002	11	2	7:10	第11轮第2日签到奖励
11003	11	3	6:500	第11轮第3日签到奖励
11004	11	4	8002:20	第11轮第4日签到奖励
11005	11	5	1:100	第11轮第5日签到奖励
11006	11	6	1:50	第11轮第6日签到奖励
11007	11	7	7:15	第11轮第7日签到奖励
11008	11	8	5004:30	第11轮第8日签到奖励
11009	11	9	8905:10	第11轮第9日签到奖励
11010	11	10	1:100	第11轮第10日签到奖励
11011	11	11	1:50	第11轮第11日签到奖励
11012	11	12	7:20	第11轮第12日签到奖励
11013	11	13	6:500	第11轮第13日签到奖励
11014	11	14	8905:10	第11轮第14日签到奖励
11015	11	15	1:100	第11轮第15日签到奖励
11016	11	16	1:50	第11轮第16日签到奖励
11017	11	17	7:25	第11轮第17日签到奖励
11018	11	18	5004:30	第11轮第18日签到奖励
11019	11	19	8002:20	第11轮第19日签到奖励
11020	11	20	1:100	第11轮第20日签到奖励
11021	11	21	1:50	第11轮第21日签到奖励
11022	11	22	7:30	第11轮第22日签到奖励
11023	11	23	6:500	第11轮第23日签到奖励
11024	11	24	8905:15	第11轮第24日签到奖励
11025	11	25	1:100	第11轮第25日签到奖励
11026	11	26	1:50	第11轮第26日签到奖励
11027	11	27	7:35	第11轮第27日签到奖励
11028	11	28	6:500	第11轮第28日签到奖励
11029	11	29	8905:15	第11轮第29日签到奖励
11030	11	30	1:100	第11轮第30日签到奖励
12001	12	1	1:50	第12轮第1日签到奖励
12002	12	2	7:10	第12轮第2日签到奖励
12003	12	3	6:500	第12轮第3日签到奖励
12004	12	4	8002:20	第12轮第4日签到奖励
12005	12	5	1:100	第12轮第5日签到奖励
12006	12	6	1:50	第12轮第6日签到奖励
12007	12	7	7:15	第12轮第7日签到奖励
12008	12	8	5004:30	第12轮第8日签到奖励
12009	12	9	8905:10	第12轮第9日签到奖励
12010	12	10	1:100	第12轮第10日签到奖励
12011	12	11	1:50	第12轮第11日签到奖励
12012	12	12	7:20	第12轮第12日签到奖励
12013	12	13	6:500	第12轮第13日签到奖励
12014	12	14	8905:10	第12轮第14日签到奖励
12015	12	15	1:100	第12轮第15日签到奖励
12016	12	16	1:50	第12轮第16日签到奖励
12017	12	17	7:25	第12轮第17日签到奖励
12018	12	18	5004:30	第12轮第18日签到奖励
12019	12	19	8002:20	第12轮第19日签到奖励
12020	12	20	1:100	第12轮第20日签到奖励
12021	12	21	1:50	第12轮第21日签到奖励
12022	12	22	7:30	第12轮第22日签到奖励
12023	12	23	6:500	第12轮第23日签到奖励
12024	12	24	8905:15	第12轮第24日签到奖励
12025	12	25	1:100	第12轮第25日签到奖励
12026	12	26	1:50	第12轮第26日签到奖励
12027	12	27	7:35	第12轮第27日签到奖励
12028	12	28	6:500	第12轮第28日签到奖励
12029	12	29	8905:15	第12轮第29日签到奖励
12030	12	30	1:100	第12轮第30日签到奖励
