int	int	DTItemNum	DTItemNum[]	int[]	int	int	int	int	int	int	int	int	int	int	DTItemNum	DTItemNum	DTItemNum	int	int	int	int
25	2500	0:0	2:1250;1:10	100;50;25;12	2	0	3	0	5	1	11	1	16	900	3:3770	3:1000	3:1001	8000	12000	16000	64000
26	2700	0:0	2:1300;1:10	100;50;25;12	2	0	3	0	5	0	11	0	16	900	3:3828	3:1000	3:1001	8400	12600	16800	67200
27	2900	0:0	2:1350;1:10	100;50;25;12	2	0	3	0	5	0	11	0	16	900	3:3886	3:1000	3:1001	8800	13200	17600	70400
28	3100	1301:1	2:1400;1:10	100;50;25;12	2	0	3	0	5	0	11	0	16	900	3:3944	3:1000	3:1001	9200	13800	18400	73600
29	3300	0:0	2:1450;1:10	100;50;25;12	2	0	3	0	5	0	11	0	16	900	3:4002	3:1000	3:1001	9600	14400	19200	76800
30	3500	0:0	2:1500;1:10	75;60;40;25	5	0	3	1	6	1	12	1	17	900	3:4060	3:1000	3:1001	10000	15000	20000	80000
31	3900	0:0	2:1550;1:10	100;50;25;12	2	0	3	0	6	0	12	0	17	900	3:4118	3:1000	3:1001	10600	15900	21200	84800
32	4300	1302:1	2:1600;1:10	100;50;25;12	2	1	4	0	6	0	12	0	17	900	3:4176	3:1000	3:1001	11000	16500	22000	88000
33	4700	0:0	2:1650;1:10	100;50;25;12	2	0	4	0	6	0	12	0	17	900	3:4234	3:1000	3:1001	11600	17400	23200	92800
34	5100	0:0	2:1700;1:10	100;50;25;12	2	0	4	0	6	0	12	0	17	900	3:4292	3:1000	3:1001	12000	18000	24000	96000
35	5500	0:0	2:1750;1:10	100;50;25;12	2	0	4	0	6	1	13	1	18	900	3:4350	3:1000	3:1001	12600	18900	25200	100800
36	5900	1301:1	2:1800;1:10	100;50;25;12	2	0	4	0	6	0	13	0	18	900	3:4408	3:1000	3:1001	13000	19500	26000	104000
37	6300	0:0	2:1850;1:10	100;50;25;12	2	0	4	0	6	0	13	0	18	900	3:4466	3:1000	3:1001	13600	20400	27200	108800
38	6700	0:0	2:1900;1:10	100;50;25;12	2	0	4	0	6	0	13	0	18	900	3:4524	3:1000	3:1001	14200	21300	28400	113600
39	7100	0:0	2:1950;1:10	100;50;25;12	2	0	4	0	6	0	13	0	18	900	3:4582	3:1000	3:1001	14800	22200	29600	118400
40	7500	1303:1	2:2000;1:10	75;60;40;25	6	1	5	1	7	1	14	1	19	900	3:4640	3:1000	3:1001	15400	23100	30800	123200
41	8300	0:0	2:2100;1:10	100;50;25;12	2	0	5	0	7	0	14	0	19	900	3:5510	3:1000	3:1001	16200	24300	32400	129600
42	9100	0:0	2:2200;1:10	100;50;25;12	2	0	5	0	7	0	14	0	19	900	3:6380	3:1000	3:1001	16800	25200	33600	134400
43	9900	0:0	2:2300;1:10	100;50;25;12	2	0	5	0	7	0	14	0	19	900	3:7250	3:1000	3:1001	17400	26100	34800	139200
44	10700	1301:1	2:2400;1:10	100;50;25;12	2	0	5	0	7	0	14	0	19	900	3:8120	3:1000	3:1001	18200	27300	36400	145600
45	11500	0:0	2:2500;1:10	100;50;25;12	2	0	5	0	7	1	15	1	20	900	3:8990	3:1000	3:1001	18800	28200	37600	150400
46	12300	0:0	2:2600;1:10	100;50;25;12	2	0	5	0	7	0	15	0	20	900	3:9860	3:1000	3:1001	19600	29400	39200	156800
47	13100	0:0	2:2700;1:10	100;50;25;12	2	0	5	0	7	0	15	0	20	900	3:10730	3:1000	3:1001	20400	30600	40800	163200
48	13900	1301:1	2:2800;1:10	100;50;25;12	2	1	6	0	7	0	15	0	20	900	3:11600	3:1000	3:1001	21200	31800	42400	169600
49	14700	0:0	2:2900;1:10	100;50;25;12	2	0	6	0	7	0	15	0	20	900	3:12470	3:1000	3:1001	22000	33000	44000	176000
50	15500	0:0	2:3000;1:10	75;60;40;25	6	0	6	1	8	1	16	1	21	900	3:13340	3:1000	3:1001	22800	34200	45600	182400
51	17100	0:0	2:3100;1:10	100;50;25;12	2	0	6	0	8	0	16	0	21	900	3:14210	3:1000	3:1001	23800	35700	47600	190400
52	18700	1302:1	2:3200;1:10	100;50;25;12	2	0	6	0	8	0	16	0	21	900	3:15080	3:1000	3:1001	24600	36900	49200	196800
53	20300	0:0	2:3300;1:10	100;50;25;12	2	0	6	0	8	0	16	0	21	900	3:15950	3:1000	3:1001	25600	38400	51200	204800
54	21900	0:0	2:3400;1:10	100;50;25;12	2	0	6	0	8	0	16	0	21	900	3:16820	3:1000	3:1001	26600	39900	53200	212800
55	23500	0:0	2:3500;1:10	100;50;25;12	2	0	6	0	8	1	17	1	22	900	3:17690	3:1000	3:1001	27600	41400	55200	220800
56	25100	1301:1	2:3600;1:10	100;50;25;12	2	1	7	0	8	0	17	0	22	900	3:18560	3:1000	3:1001	28600	42900	57200	228800
57	26700	0:0	2:3700;1:10	100;50;25;12	2	0	7	0	8	0	17	0	22	900	3:19430	3:1000	3:1001	29600	44400	59200	236800
58	28300	0:0	2:3800;1:10	100;50;25;12	2	0	7	0	8	0	17	0	22	900	3:20300	3:1000	3:1001	30600	45900	61200	244800
59	29900	0:0	2:3900;1:10	100;50;25;12	2	0	7	0	8	0	17	0	22	900	3:21170	3:1000	3:1001	31800	47700	63600	254400
60	31500	1303:1	2:4000;1:10	75;60;40;25	6	0	7	1	9	1	18	1	23	900	3:22040	3:1000	3:1001	32800	49200	65600	262400
61	34700	0:0	2:4200;1:10	100;50;25;12	2	0	7	0	9	0	18	0	23	900	3:22910	3:1000	3:1001	34000	51000	68000	272000
62	37900	0:0	2:4400;1:10	100;50;25;12	2	0	7	0	9	0	18	0	23	900	3:23780	3:1000	3:1001	35200	52800	70400	281600
63	41100	0:0	2:4600;1:10	100;50;25;12	2	0	7	0	9	0	18	0	23	900	3:24650	3:1000	3:1001	36400	54600	72800	291200
64	44300	1301:1	2:4800;1:10	100;50;25;12	2	1	8	0	9	0	18	0	23	900	3:25520	3:1000	3:1001	37800	56700	75600	302400
65	47500	0:0	2:5000;1:10	100;50;25;12	2	0	8	0	9	1	19	1	24	900	3:26390	3:1000	3:1001	39000	58500	78000	312000
66	50700	0:0	2:5200;1:10	100;50;25;12	2	0	8	0	9	0	19	0	24	900	3:27260	3:1000	3:1001	40400	60600	80800	323200
67	53900	0:0	2:5400;1:10	100;50;25;12	2	0	8	0	9	0	19	0	24	900	3:28130	3:1000	3:1001	41800	62700	83600	334400
68	57100	1301:1	2:5600;1:10	100;50;25;12	2	0	8	0	9	0	19	0	24	900	3:29000	3:1000	3:1001	43200	64800	86400	345600
69	60300	0:0	2:5800;1:10	100;50;25;12	2	0	8	0	9	0	19	0	24	900	3:29870	3:1000	3:1001	44600	66900	89200	356800
70	63500	0:0	2:6000;1:10	75;60;40;25	6	0	8	1	10	1	20	1	25	900	3:30740	3:1000	3:1001	46000	69000	92000	368000
71	69900	0:0	2:6200;1:10	100;50;25;12	2	0	8	0	10	0	20	0	25	900	3:31610	3:1000	3:1001	47600	71400	95200	380800
72	76300	1302:1	2:6400;1:10	100;50;25;12	2	1	9	0	10	0	20	0	25	900	3:32480	3:1000	3:1001	49200	73800	98400	393600
73	82700	0:0	2:6600;1:10	100;50;25;12	2	0	9	0	10	0	20	0	25	900	3:33350	3:1000	3:1001	50800	76200	101600	406400
74	89100	0:0	2:6800;1:10	100;50;25;12	2	0	9	0	10	0	20	0	25	900	3:34220	3:1000	3:1001	52400	78600	104800	419200
75	95500	0:0	2:7000;1:10	100;50;25;12	2	0	9	0	10	1	21	1	26	900	3:35090	3:1000	3:1001	54000	81000	108000	432000
76	101900	1301:1	2:7200;1:10	100;50;25;12	2	0	9	0	10	0	21	0	26	900	3:35960	3:1000	3:1001	55800	83700	111600	446400
77	108300	0:0	2:7400;1:10	100;50;25;12	2	0	9	0	10	0	21	0	26	900	3:36830	3:1000	3:1001	57600	86400	115200	460800
78	114700	0:0	2:7600;1:10	100;50;25;12	2	0	9	0	10	0	21	0	26	900	3:37700	3:1000	3:1001	59400	89100	118800	475200
79	121100	0:0	2:7800;1:10	100;50;25;12	2	0	9	0	10	0	21	0	26	900	3:38570	3:1000	3:1001	61200	91800	122400	489600
80	127500	1303:1	2:8000;1:10	75;60;40;25	6	1	10	1	11	1	22	1	27	900	3:39440	3:1000	3:1001	63000	94500	126000	504000
81	140300	0:0	2:8400;1:10	100;50;25;12	2	0	10	0	11	0	22	0	27	900	3:40310	3:1000	3:1001	65000	97500	130000	520000
82	153100	0:0	2:8800;1:10	100;50;25;12	2	0	10	0	11	0	22	0	27	900	3:41180	3:1000	3:1001	67000	100500	134000	536000
83	165900	0:0	2:9200;1:10	100;50;25;12	2	0	10	0	11	0	22	0	27	900	3:42050	3:1000	3:1001	69000	103500	138000	552000
84	178700	1301:1	2:9600;1:10	100;50;25;12	2	0	10	0	11	0	22	0	27	900	3:42920	3:1000	3:1001	71200	106800	142400	569600
85	191500	0:0	2:10000;1:10	100;50;25;12	2	0	10	0	11	1	23	1	28	900	3:43790	3:1000	3:1001	73400	110100	146800	587200
86	204300	0:0	2:10400;1:10	100;50;25;12	2	0	10	0	11	0	23	0	28	900	3:44660	3:1000	3:1001	75600	113400	151200	604800
87	217100	0:0	2:10800;1:10	100;50;25;12	2	0	10	0	11	0	23	0	28	900	3:45530	3:1000	3:1001	77800	116700	155600	622400
88	229900	1301:1	2:11200;1:10	100;50;25;12	2	1	11	0	11	0	23	0	28	900	3:46400	3:1000	3:1001	80000	120000	160000	640000
89	242700	0:0	2:11600;1:10	100;50;25;12	2	0	11	0	11	0	23	0	28	900	3:47270	3:1000	3:1001	82400	123600	164800	659200
90	255500	0:0	2:12000;1:10	75;60;40;25	6	0	11	1	12	1	24	1	29	900	3:48140	3:1000	3:1001	84800	127200	169600	678400
91	281100	0:0	2:12400;1:10	100;50;25;12	2	0	11	0	12	0	24	0	29	900	3:49010	3:1000	3:1001	87200	130800	174400	697600
92	306700	1302:1	2:12800;1:10	100;50;25;12	2	0	11	0	12	0	24	0	29	900	3:49880	3:1000	3:1001	89800	134700	179600	718400
93	332300	0:0	2:13200;1:10	100;50;25;12	2	0	11	0	12	0	24	0	29	900	3:50750	3:1000	3:1001	92400	138600	184800	739200
94	357900	0:0	2:13600;1:10	100;50;25;12	2	0	11	0	12	0	24	0	29	900	3:51620	3:1000	3:1001	95000	142500	190000	760000
95	383500	0:0	2:14000;1:10	100;50;25;12	2	0	11	0	12	1	25	1	30	900	3:52490	3:1000	3:1001	97600	146400	195200	780800
96	409100	1301:1	2:14400;1:10	100;50;25;12	2	1	12	0	12	0	25	0	30	900	3:53360	3:1000	3:1001	100400	150600	200800	803200
97	434700	0:0	2:14800;1:10	100;50;25;12	2	0	12	0	12	0	25	0	30	900	3:54230	3:1000	3:1001	103200	154800	206400	825600
98	460300	0:0	2:15200;1:10	100;50;25;12	2	0	12	0	12	0	25	0	30	900	3:55100	3:1000	3:1001	106200	159300	212400	849600
99	485900	0:0	2:15600;1:10	100;50;25;12	2	0	12	0	12	0	25	0	30	900	3:55970	3:1000	3:1001	109000	163500	218000	872000
100	511500	1303:1	2:16000;1:10	75;60;40;25	6	0	12	1	13	1	26	1	31	900	3:56840	3:1000	3:1001	112000	168000	224000	896000
101	549900	0:0	2:16600;1:10	100;50;25;12	2	0	12	0	13	0	26	0	31	900	3:58580	3:1000	3:1001	115200	172800	230400	921600
102	588300	0:0	2:17200;1:10	100;50;25;12	2	0	12	0	13	0	26	0	31	900	3:60320	3:1000	3:1001	118400	177600	236800	947200
103	626700	0:0	2:17800;1:10	100;50;25;12	2	0	12	0	13	0	26	0	31	900	3:62060	3:1000	3:1001	121600	182400	243200	972800
104	665100	1301:1	2:18400;1:10	100;50;25;12	2	1	13	0	13	0	26	0	31	900	3:63800	3:1000	3:1001	124800	187200	249600	998400
105	703500	0:0	2:19000;1:10	100;50;25;12	2	0	13	0	13	1	27	1	32	900	3:65540	3:1000	3:1001	128200	192300	256400	1025600
106	741900	0:0	2:19600;1:10	100;50;25;12	2	0	13	0	13	0	27	0	32	900	3:67280	3:1000	3:1001	131600	197400	263200	1052800
107	780300	0:0	2:20200;1:10	100;50;25;12	2	0	13	0	13	0	27	0	32	900	3:69020	3:1000	3:1001	135000	202500	270000	1080000
108	818700	1301:1	2:20800;1:10	100;50;25;12	2	0	13	0	13	0	27	0	32	900	3:70760	3:1000	3:1001	138600	207900	277200	1108800
109	857100	0:0	2:21400;1:10	100;50;25;12	2	0	13	0	13	0	27	0	32	900	3:72500	3:1000	3:1001	142200	213300	284400	1137600
110	895500	0:0	2:22000;1:10	75;60;40;25	6	0	13	1	14	1	28	1	33	900	3:74240	3:1000	3:1001	146000	219000	292000	1168000
111	946700	0:0	2:22600;1:10	100;50;25;12	2	0	13	0	14	0	28	0	33	900	3:75980	3:1000	3:1001	149800	224700	299600	1198400
112	997900	1302:1	2:23200;1:10	100;50;25;12	2	1	14	0	14	0	28	0	33	900	3:77720	3:1000	3:1001	153600	230400	307200	1228800
113	1049100	0:0	2:23800;1:10	100;50;25;12	2	0	14	0	14	0	28	0	33	900	3:79460	3:1000	3:1001	157600	236400	315200	1260800
114	1100300	0:0	2:24400;1:10	100;50;25;12	2	0	14	0	14	0	28	0	33	900	3:81200	3:1000	3:1001	161600	242400	323200	1292800
115	1151500	0:0	2:25000;1:10	100;50;25;12	2	0	14	0	14	1	29	1	34	900	3:82940	3:1000	3:1001	165600	248400	331200	1324800
116	1202700	1301:1	2:25600;1:10	100;50;25;12	2	0	14	0	14	0	29	0	34	900	3:84680	3:1000	3:1001	169800	254700	339600	1358400
117	1253900	0:0	2:26200;1:10	100;50;25;12	2	0	14	0	14	0	29	0	34	900	3:86420	3:1000	3:1001	174200	261300	348400	1393600
118	1305100	0:0	2:26800;1:10	100;50;25;12	2	0	14	0	14	0	29	0	34	900	3:88160	3:1000	3:1001	178600	267900	357200	1428800
119	1356300	0:0	2:27400;1:10	100;50;25;12	2	0	14	0	14	0	29	0	34	900	3:89900	3:1000	3:1001	183000	274500	366000	1464000
120	1407500	1303:1	2:28000;1:10	75;60;40;25	6	1	15	1	15	1	30	1	35	900	3:91640	3:1000	3:1001	187600	281400	375200	1500800
121	1471500	0:0	2:28800;1:10	100;50;25;12	2	0	15	0	15	0	30	0	35	900	3:93960	3:1000	3:1001	192200	288300	384400	1537600
122	1535500	0:0	2:29600;1:10	100;50;25;12	2	0	15	0	15	0	30	0	35	900	3:96280	3:1000	3:1001	196800	295200	393600	1574400
123	1599500	0:0	2:30400;1:10	100;50;25;12	2	0	15	0	15	0	30	0	35	900	3:98600	3:1000	3:1001	201600	302400	403200	1612800
124	1663500	1301:1	2:31200;1:10	100;50;25;12	2	0	15	0	15	0	30	0	35	900	3:100920	3:1000	3:1001	206600	309900	413200	1652800
125	1727500	0:0	2:32000;1:10	100;50;25;12	2	0	15	0	15	1	31	1	36	900	3:103240	3:1000	3:1001	211600	317400	423200	1692800
126	1791500	0:0	2:32800;1:10	100;50;25;12	2	0	15	0	15	0	31	0	36	900	3:105560	3:1000	3:1001	216600	324900	433200	1732800
127	1855500	0:0	2:33600;1:10	100;50;25;12	2	0	15	0	15	0	31	0	36	900	3:107880	3:1000	3:1001	221800	332700	443600	1774400
128	1919500	1301:1	2:34400;1:10	100;50;25;12	2	1	16	0	15	0	31	0	36	900	3:110200	3:1000	3:1001	227000	340500	454000	1816000
129	1983500	0:0	2:35200;1:10	100;50;25;12	2	0	16	0	15	0	31	0	36	900	3:112520	3:1000	3:1001	232400	348600	464800	1859200
130	2047500	0:0	2:36000;1:10	75;60;40;25	6	0	16	1	16	1	32	1	37	900	3:114840	3:1000	3:1001	238000	357000	476000	1904000
131	2124300	0:0	2:36800;1:10	100;50;25;12	2	0	16	0	16	0	32	0	37	900	3:117160	3:1000	3:1001	243600	365400	487200	1948800
132	2201100	1302:1	2:37600;1:10	100;50;25;12	2	0	16	0	16	0	32	0	37	900	3:119480	3:1000	3:1001	249200	373800	498400	1993600
133	2277900	0:0	2:38400;1:10	100;50;25;12	2	0	16	0	16	0	32	0	37	900	3:121800	3:1000	3:1001	255000	382500	510000	2040000
134	2354700	0:0	2:39200;1:10	100;50;25;12	2	0	16	0	16	0	32	0	37	900	3:124120	3:1000	3:1001	261000	391500	522000	2088000
135	2431500	0:0	2:40000;1:10	100;50;25;12	2	0	16	0	16	1	33	1	38	900	3:126440	3:1000	3:1001	267000	400500	534000	2136000
136	2508300	1301:1	2:40800;1:10	100;50;25;12	2	1	17	0	16	0	33	0	38	900	3:128760	3:1000	3:1001	273000	409500	546000	2184000
137	2585100	0:0	2:41600;1:10	100;50;25;12	2	0	17	0	16	0	33	0	38	900	3:131080	3:1000	3:1001	279400	419100	558800	2235200
138	2661900	0:0	2:42400;1:10	100;50;25;12	2	0	17	0	16	0	33	0	38	900	3:133400	3:1000	3:1001	285600	428400	571200	2284800
139	2738700	0:0	2:43200;1:10	100;50;25;12	2	0	17	0	16	0	33	0	38	900	3:135720	3:1000	3:1001	292200	438300	584400	2337600
140	2815500	1303:1	2:44000;1:10	75;60;40;25	6	0	17	1	17	1	34	1	39	900	3:138040	3:1000	3:1001	298600	447900	597200	2388800
141	2905100	0:0	2:45000;1:10	100;50;25;12	2	0	17	0	17	0	34	0	39	900	3:140940	3:1000	3:1001	305400	458100	610800	2443200
142	2994700	0:0	2:46000;1:10	100;50;25;12	2	0	17	0	17	0	34	0	39	900	3:143840	3:1000	3:1001	312200	468300	624400	2497600
143	3084300	0:0	2:47000;1:10	100;50;25;12	2	0	17	0	17	0	34	0	39	900	3:146740	3:1000	3:1001	319200	478800	638400	2553600
144	3173900	1301:1	2:48000;1:10	100;50;25;12	2	1	18	0	17	0	34	0	39	900	3:149640	3:1000	3:1001	326200	489300	652400	2609600
145	3263500	0:0	2:49000;1:10	100;50;25;12	2	0	18	0	17	1	35	1	40	900	3:152540	3:1000	3:1001	333400	500100	666800	2667200
146	3353100	0:0	2:50000;1:10	100;50;25;12	2	0	18	0	17	0	35	0	40	900	3:155440	3:1000	3:1001	340600	510900	681200	2724800
147	3442700	0:0	2:51000;1:10	100;50;25;12	2	0	18	0	17	0	35	0	40	900	3:158340	3:1000	3:1001	348200	522300	696400	2785600
148	3532300	1301:1	2:52000;1:10	100;50;25;12	2	0	18	0	17	0	35	0	40	900	3:161240	3:1000	3:1001	355600	533400	711200	2844800
149	3621900	0:0	2:53000;1:10	100;50;25;12	2	0	18	0	17	0	35	0	40	900	3:164140	3:1000	3:1001	363400	545100	726800	2907200
150	3711500	0:0	2:54000;1:10	75;60;40;25	6	0	18	1	18	1	36	1	41	900	3:167040	3:1000	3:1001	371200	556800	742400	2969600
151	3813900	0:0	2:55000;1:10	100;50;25;12	2	0	18	0	18	0	36	0	41	900	3:169940	3:1000	3:1001	379200	568800	758400	3033600
152	3916300	1302:1	2:56000;1:10	100;50;25;12	2	1	19	0	18	0	36	0	41	900	3:172840	3:1000	3:1001	387200	580800	774400	3097600
153	4018700	0:0	2:57000;1:10	100;50;25;12	2	0	19	0	18	0	36	0	41	900	3:175740	3:1000	3:1001	395400	593100	790800	3163200
154	4121100	0:0	2:58000;1:10	100;50;25;12	2	0	19	0	18	0	36	0	41	900	3:178640	3:1000	3:1001	403800	605700	807600	3230400
155	4223500	0:0	2:59000;1:10	100;50;25;12	2	0	19	0	18	1	37	1	42	900	3:181540	3:1000	3:1001	412400	618600	824800	3299200
156	4325900	1301:1	2:60000;1:10	100;50;25;12	2	0	19	0	18	0	37	0	42	900	3:184440	3:1000	3:1001	421000	631500	842000	3368000
157	4428300	0:0	2:61000;1:10	100;50;25;12	2	0	19	0	18	0	37	0	42	900	3:187340	3:1000	3:1001	429800	644700	859600	3438400
158	4530700	0:0	2:62000;1:10	100;50;25;12	2	0	19	0	18	0	37	0	42	900	3:190240	3:1000	3:1001	438800	658200	877600	3510400
159	4633100	0:0	2:63000;1:10	100;50;25;12	2	0	19	0	18	0	37	0	42	900	3:193140	3:1000	3:1001	447800	671700	895600	3582400
160	4735500	1303:1	2:64000;1:10	75;60;40;25	6	1	20	1	19	1	38	1	43	900	3:196040	3:1000	3:1001	457000	685500	914000	3656000
161	4850700	0:0	2:65200;1:10	100;50;25;12	2	0	20	0	19	0	38	0	43	900	3:199520	3:1000	3:1001	466400	699600	932800	3731200
162	4965900	0:0	2:66400;1:10	100;50;25;12	2	0	20	0	19	0	38	0	43	900	3:203000	3:1000	3:1001	476000	714000	952000	3808000
163	5081100	0:0	2:67600;1:10	100;50;25;12	2	0	20	0	19	0	38	0	43	900	3:206480	3:1000	3:1001	485800	728700	971600	3886400
164	5196300	1301:1	2:68800;1:10	100;50;25;12	2	0	20	0	19	0	38	0	43	900	3:209960	3:1000	3:1001	495600	743400	991200	3964800
165	5311500	0:0	2:70000;1:10	100;50;25;12	2	0	20	0	19	1	39	1	44	900	3:213440	3:1000	3:1001	505600	758400	1011200	4044800
166	5426700	0:0	2:71200;1:10	100;50;25;12	2	0	20	0	19	0	39	0	44	900	3:216920	3:1000	3:1001	515800	773700	1031600	4126400
167	5541900	0:0	2:72400;1:10	100;50;25;12	2	0	20	0	19	0	39	0	44	900	3:220400	3:1000	3:1001	526000	789000	1052000	4208000
168	5657100	1301:1	2:73600;1:10	100;50;25;12	2	1	21	0	19	0	39	0	44	900	3:223880	3:1000	3:1001	536600	804900	1073200	4292800
169	5772300	0:0	2:74800;1:10	100;50;25;12	2	0	21	0	19	0	39	0	44	900	3:227360	3:1000	3:1001	547200	820800	1094400	4377600
170	5887500	0:0	2:76000;1:10	75;60;40;25	6	0	21	1	20	1	40	1	45	900	3:230840	3:1000	3:1001	558200	837300	1116400	4465600
171	6015500	0:0	2:77200;1:10	100;50;25;12	2	0	21	0	20	0	40	0	45	900	3:234320	3:1000	3:1001	569200	853800	1138400	4553600
172	6143500	1302:1	2:78400;1:10	100;50;25;12	2	0	21	0	20	0	40	0	45	900	3:237800	3:1000	3:1001	580400	870600	1160800	4643200
173	6271500	0:0	2:79600;1:10	100;50;25;12	2	0	21	0	20	0	40	0	45	900	3:241280	3:1000	3:1001	591600	887400	1183200	4732800
174	6399500	0:0	2:80800;1:10	100;50;25;12	2	0	21	0	20	0	40	0	45	900	3:244760	3:1000	3:1001	603200	904800	1206400	4825600
175	6527500	0:0	2:82000;1:10	100;50;25;12	2	0	21	0	20	1	41	1	46	900	3:248240	3:1000	3:1001	615000	922500	1230000	4920000
176	6655500	1301:1	2:83200;1:10	100;50;25;12	2	1	22	0	20	0	41	0	46	900	3:251720	3:1000	3:1001	626800	940200	1253600	5014400
177	6783500	0:0	2:84400;1:10	100;50;25;12	2	0	22	0	20	0	41	0	46	900	3:255200	3:1000	3:1001	638800	958200	1277600	5110400
178	6911500	0:0	2:85600;1:10	100;50;25;12	2	0	22	0	20	0	41	0	46	900	3:258680	3:1000	3:1001	651200	976800	1302400	5209600
179	7039500	0:0	2:86800;1:10	100;50;25;12	2	0	22	0	20	0	41	0	46	900	3:262160	3:1000	3:1001	663600	995400	1327200	5308800
180	7167500	1303:1	2:88000;1:10	75;60;40;25	6	0	22	1	21	1	42	1	47	900	3:265640	3:1000	3:1001	676200	1014300	1352400	5409600
181	7308300	0:0	2:89400;1:10	100;50;25;12	2	0	22	0	21	0	42	0	47	900	3:269700	3:1000	3:1001	689000	1033500	1378000	5512000
182	7449100	0:0	2:90800;1:10	100;50;25;12	2	0	22	0	21	0	42	0	47	900	3:273760	3:1000	3:1001	702000	1053000	1404000	5616000
183	7589900	0:0	2:92200;1:10	100;50;25;12	2	0	22	0	21	0	42	0	47	900	3:277820	3:1000	3:1001	715200	1072800	1430400	5721600
