int	int	int	int	int	int	string
402022	4020	2	2	20	40	
402031	4020	3	1	1	10	
402032	4020	3	2	20	40	
402041	4020	4	1	1	10	
402042	4020	4	2	20	40	
402111	4021	1	1	1	10	
402112	4021	1	2	20	40	
402121	4021	2	1	1	10	
402122	4021	2	2	20	40	
402131	4021	3	1	1	10	
402132	4021	3	2	20	40	
402141	4021	4	1	1	10	
402142	4021	4	2	20	40	
402211	4022	1	1	1	10	
402212	4022	1	2	20	40	
402221	4022	2	1	1	10	
402222	4022	2	2	20	40	
402231	4022	3	1	1	10	
402232	4022	3	2	20	40	
402241	4022	4	1	1	10	
402242	4022	4	2	20	40	
402311	4023	1	1	1	10	
402312	4023	1	2	20	40	
402321	4023	2	1	1	10	
402322	4023	2	2	20	40	
402331	4023	3	1	1	10	
402332	4023	3	2	20	40	
402341	4023	4	1	1	10	
402342	4023	4	2	20	40	
402411	4024	1	1	1	10	
402412	4024	1	2	20	40	
402421	4024	2	1	1	10	
402422	4024	2	2	20	40	
402431	4024	3	1	1	10	
402432	4024	3	2	20	40	
402441	4024	4	1	1	10	
402442	4024	4	2	20	40	
402511	4025	1	1	1	10	
402512	4025	1	2	20	40	
402521	4025	2	1	1	10	
402522	4025	2	2	20	40	
402531	4025	3	1	1	10	
402532	4025	3	2	20	40	
402541	4025	4	1	1	10	
402542	4025	4	2	20	40	
402611	4026	1	1	1	10	
402612	4026	1	2	20	40	
402621	4026	2	1	1	10	
402622	4026	2	2	20	40	
402631	4026	3	1	1	10	
402632	4026	3	2	20	40	
402641	4026	4	1	1	10	
402642	4026	4	2	20	40	
402711	4027	1	1	1	10	
402712	4027	1	2	20	40	
402721	4027	2	1	1	10	
402722	4027	2	2	20	40	
402731	4027	3	1	1	10	
402732	4027	3	2	20	40	
402741	4027	4	1	1	10	
402742	4027	4	2	20	40	
402811	4028	1	1	1	10	
402812	4028	1	2	20	40	
402821	4028	2	1	1	10	
402822	4028	2	2	20	40	
402831	4028	3	1	1	10	
402832	4028	3	2	20	40	
402841	4028	4	1	1	10	
402842	4028	4	2	20	40	
402911	4029	1	1	1	10	
402912	4029	1	2	20	40	
402921	4029	2	1	1	10	
402922	4029	2	2	20	40	
402931	4029	3	1	1	10	
402932	4029	3	2	20	40	
402941	4029	4	1	1	10	
402942	4029	4	2	20	40	
403011	4030	1	1	1	10	
403012	4030	1	2	20	40	
403021	4030	2	1	1	10	
403022	4030	2	2	20	40	
403031	4030	3	1	1	10	
403032	4030	3	2	20	40	
403041	4030	4	1	1	10	
403042	4030	4	2	20	40	
500111	5001	1	1	1	10	
500112	5001	1	2	20	40	
500121	5001	2	1	1	10	
500122	5001	2	2	20	40	
500131	5001	3	1	1	10	
500132	5001	3	2	20	40	
500141	5001	4	1	1	10	
500142	5001	4	2	20	40	
500211	5002	1	1	1	10	
500212	5002	1	2	20	40	
500221	5002	2	1	1	10	
500222	5002	2	2	20	40	
500231	5002	3	1	1	10	
500232	5002	3	2	20	40	
500241	5002	4	1	1	10	
500242	5002	4	2	20	40	
500311	5003	1	1	1	10	
500312	5003	1	2	20	40	
500321	5003	2	1	1	10	
500322	5003	2	2	20	40	
500331	5003	3	1	1	10	
500332	5003	3	2	20	40	
500341	5003	4	1	1	10	
500342	5003	4	2	20	40	
500411	5004	1	1	1	10	
500412	5004	1	2	20	40	
500421	5004	2	1	1	10	
500422	5004	2	2	20	40	
500431	5004	3	1	1	10	
500432	5004	3	2	20	40	
500441	5004	4	1	1	10	
500442	5004	4	2	20	40	
500511	5005	1	1	1	10	
500512	5005	1	2	20	40	
500521	5005	2	1	1	10	
500522	5005	2	2	20	40	
500531	5005	3	1	1	10	
500532	5005	3	2	20	40	
500541	5005	4	1	1	10	
500542	5005	4	2	20	40	
500611	5006	1	1	1	10	
500612	5006	1	2	20	40	
500621	5006	2	1	1	10	
500622	5006	2	2	20	40	
500631	5006	3	1	1	10	
500632	5006	3	2	20	40	
500641	5006	4	1	1	10	
500642	5006	4	2	20	40	
500711	5007	1	1	1	10	
500712	5007	1	2	20	40	
500721	5007	2	1	1	10	
500722	5007	2	2	20	40	
500731	5007	3	1	1	10	
500732	5007	3	2	20	40	
500741	5007	4	1	1	10	
500742	5007	4	2	20	40	
500811	5008	1	1	1	10	
500812	5008	1	2	20	40	
500821	5008	2	1	1	10	
500822	5008	2	2	20	40	
500831	5008	3	1	1	10	
500832	5008	3	2	20	40	
500841	5008	4	1	1	10	
500842	5008	4	2	20	40	
500911	5009	1	1	1	10	
500912	5009	1	2	20	40	
500921	5009	2	1	1	10	
500922	5009	2	2	20	40	
500931	5009	3	1	1	10	
500932	5009	3	2	20	40	
500941	5009	4	1	1	10	
500942	5009	4	2	20	40	
501011	5010	1	1	1	10	
501012	5010	1	2	20	40	
501021	5010	2	1	1	10	
501022	5010	2	2	20	40	
501031	5010	3	1	1	10	
501032	5010	3	2	20	40	
501041	5010	4	1	1	10	
501042	5010	4	2	20	40	
501111	5011	1	1	1	10	
501112	5011	1	2	20	40	
501121	5011	2	1	1	10	
501122	5011	2	2	20	40	
501131	5011	3	1	1	10	
501132	5011	3	2	20	40	
501141	5011	4	1	1	10	
501142	5011	4	2	20	40	
501211	5012	1	1	1	10	
501212	5012	1	2	20	40	
501221	5012	2	1	1	10	
501222	5012	2	2	20	40	
501231	5012	3	1	1	10	
501232	5012	3	2	20	40	
501241	5012	4	1	1	10	
501242	5012	4	2	20	40	
501311	5013	1	1	1	10	
501312	5013	1	2	20	40	
501321	5013	2	1	1	10	
501322	5013	2	2	20	40	
501331	5013	3	1	1	10	
501332	5013	3	2	20	40	
501341	5013	4	1	1	10	
501342	5013	4	2	20	40	
501411	5014	1	1	1	10	
501412	5014	1	2	20	40	
501421	5014	2	1	1	10	
501422	5014	2	2	20	40	
501431	5014	3	1	1	10	
501432	5014	3	2	20	40	
501441	5014	4	1	1	10	
501442	5014	4	2	20	40	
501511	5015	1	1	1	10	
501512	5015	1	2	20	40	
501521	5015	2	1	1	10	
501522	5015	2	2	20	40	
501531	5015	3	1	1	10	
501532	5015	3	2	20	40	
501541	5015	4	1	1	10	
501542	5015	4	2	20	40	
501611	5016	1	1	1	10	
501612	5016	1	2	20	40	
501621	5016	2	1	1	10	
501622	5016	2	2	20	40	
501631	5016	3	1	1	10	
501632	5016	3	2	20	40	
501641	5016	4	1	1	10	
501642	5016	4	2	20	40	
501711	5017	1	1	1	10	
501712	5017	1	2	20	40	
501721	5017	2	1	1	10	
501722	5017	2	2	20	40	
501731	5017	3	1	1	10	
501732	5017	3	2	20	40	
501741	5017	4	1	1	10	
501742	5017	4	2	20	40	
501811	5018	1	1	1	10	
501812	5018	1	2	20	40	
501821	5018	2	1	1	10	
501822	5018	2	2	20	40	
501831	5018	3	1	1	10	
501832	5018	3	2	20	40	
501841	5018	4	1	1	10	
501842	5018	4	2	20	40	
501911	5019	1	1	1	10	
501912	5019	1	2	20	40	
501921	5019	2	1	1	10	
501922	5019	2	2	20	40	
501931	5019	3	1	1	10	
501932	5019	3	2	20	40	
501941	5019	4	1	1	10	
501942	5019	4	2	20	40	
502011	5020	1	1	1	10	
502012	5020	1	2	20	40	
502021	5020	2	1	1	10	
502022	5020	2	2	20	40	
502031	5020	3	1	1	10	
502032	5020	3	2	20	40	
502041	5020	4	1	1	10	
502042	5020	4	2	20	40	
502111	5021	1	1	1	10	
502112	5021	1	2	20	40	
502121	5021	2	1	1	10	
502122	5021	2	2	20	40	
502131	5021	3	1	1	10	
502132	5021	3	2	20	40	
502141	5021	4	1	1	10	
502142	5021	4	2	20	40	
502211	5022	1	1	1	10	
502212	5022	1	2	20	40	
502221	5022	2	1	1	10	
502222	5022	2	2	20	40	
502231	5022	3	1	1	10	
502232	5022	3	2	20	40	
502241	5022	4	1	1	10	
502242	5022	4	2	20	40	
502311	5023	1	1	1	10	
502312	5023	1	2	20	40	
502321	5023	2	1	1	10	
502322	5023	2	2	20	40	
502331	5023	3	1	1	10	
502332	5023	3	2	20	40	
502341	5023	4	1	1	10	
502342	5023	4	2	20	40	
502411	5024	1	1	1	10	
502412	5024	1	2	20	40	
502421	5024	2	1	1	10	
502422	5024	2	2	20	40	
502431	5024	3	1	1	10	
502432	5024	3	2	20	40	
502441	5024	4	1	1	10	
502442	5024	4	2	20	40	
502511	5025	1	1	1	10	
502512	5025	1	2	20	40	
502521	5025	2	1	1	10	
502522	5025	2	2	20	40	
502531	5025	3	1	1	10	
502532	5025	3	2	20	40	
502541	5025	4	1	1	10	
502542	5025	4	2	20	40	
502611	5026	1	1	1	10	
502612	5026	1	2	20	40	
502621	5026	2	1	1	10	
502622	5026	2	2	20	40	
502631	5026	3	1	1	10	
502632	5026	3	2	20	40	
502641	5026	4	1	1	10	
502642	5026	4	2	20	40	
502711	5027	1	1	1	10	
502712	5027	1	2	20	40	
502721	5027	2	1	1	10	
502722	5027	2	2	20	40	
502731	5027	3	1	1	10	
502732	5027	3	2	20	40	
502741	5027	4	1	1	10	
502742	5027	4	2	20	40	
502811	5028	1	1	1	10	
502812	5028	1	2	20	40	
502821	5028	2	1	1	10	
502822	5028	2	2	20	40	
502831	5028	3	1	1	10	
502832	5028	3	2	20	40	
502841	5028	4	1	1	10	
502842	5028	4	2	20	40	
502911	5029	1	1	1	10	
502912	5029	1	2	20	40	
502921	5029	2	1	1	10	
502922	5029	2	2	20	40	
502931	5029	3	1	1	10	
502932	5029	3	2	20	40	
502941	5029	4	1	1	10	
502942	5029	4	2	20	40	
503011	5030	1	1	1	10	
503012	5030	1	2	20	40	
503021	5030	2	1	1	10	
503022	5030	2	2	20	40	
503031	5030	3	1	1	10	
503032	5030	3	2	20	40	
503041	5030	4	1	1	10	
503042	5030	4	2	20	40	
503111	5031	1	1	1	10	
503112	5031	1	2	20	40	
503121	5031	2	1	1	10	
503122	5031	2	2	20	40	
503131	5031	3	1	1	10	
503132	5031	3	2	20	40	
503141	5031	4	1	1	10	
503142	5031	4	2	20	40	
503211	5032	1	1	1	10	
503212	5032	1	2	20	40	
503221	5032	2	1	1	10	
503222	5032	2	2	20	40	
503231	5032	3	1	1	10	
503232	5032	3	2	20	40	
503241	5032	4	1	1	10	
503242	5032	4	2	20	40	
503311	5033	1	1	1	10	
503312	5033	1	2	20	40	
503321	5033	2	1	1	10	
503322	5033	2	2	20	40	
503331	5033	3	1	1	10	
503332	5033	3	2	20	40	
503341	5033	4	1	1	10	
503342	5033	4	2	20	40	
