int	string	int	int	int	int	int	DTItemNum[]	int	int	int
1017	完成10个订单	7001		10		1	3:20000	5	0	201701
1018	领取影片持续收益3次	1002		3		1	3:20000	5	0	202301
1019	用宣传册提升电影关注度5次	1002		5		1	3:20000	5	0	202401
1020	向合作者赠送1次美元	1002		1		1	3:20000	10	0	202001
1021	完成1个合作任务	1002		1		1	3:20000	10	0	202101
1022	装填1次合作订单	1002		1		1	3:20000	10	0	202201
3101	解锁{0}个剧本	0		10		3	1:10	0	0	
3102	解锁{0}个剧本	0		20		3	1:20	0	3101	
3103	解锁{0}个剧本	0		30		3	1:30	0	3102	
3104	解锁{0}个剧本	0		40		3	1:40	0	3103	
3105	解锁{0}个剧本	0		50		3	1:50	0	3104	
3106	解锁{0}个剧本	0		60		3	1:60	0	3105	
3107	解锁{0}个剧本	0		70		3	1:70	0	3106	
3108	解锁{0}个剧本	0		80		3	1:80	0	3107	
3109	解锁{0}个剧本	0		90		3	1:90	0	3108	
3110	解锁{0}个剧本	0		100		3	1:100	0	3109	
3201	解锁剧本的星级总计达到{0}个	0		10		3	1:10	0	0	
3202	解锁剧本的星级总计达到{0}个	0		20		3	1:20	0	3201	
3203	解锁剧本的星级总计达到{0}个	0		30		3	1:30	0	3202	
3204	解锁剧本的星级总计达到{0}个	0		40		3	1:40	0	3203	
3205	解锁剧本的星级总计达到{0}个	0		50		3	1:50	0	3204	
3206	解锁剧本的星级总计达到{0}个	0		60		3	1:60	0	3205	
3207	解锁剧本的星级总计达到{0}个	0		70		3	1:70	0	3206	
3208	解锁剧本的星级总计达到{0}个	0		80		3	1:80	0	3207	
3209	解锁剧本的星级总计达到{0}个	0		90		3	1:90	0	3208	
3210	解锁剧本的星级总计达到{0}个	0		100		3	1:100	0	3209	
3301	完成{0}个剧本的挑战	0		10		3	1:10	0	0	
3302	完成{0}个剧本的挑战	0		20		3	1:20	0	3301	
3303	完成{0}个剧本的挑战	0		30		3	1:30	0	3302	
3304	完成{0}个剧本的挑战	0		40		3	1:40	0	3303	
3305	完成{0}个剧本的挑战	0		50		3	1:50	0	3304	
3306	完成{0}个剧本的挑战	0		60		3	1:60	0	3305	
3307	完成{0}个剧本的挑战	0		70		3	1:70	0	3306	
3308	完成{0}个剧本的挑战	0		80		3	1:80	0	3307	
3309	完成{0}个剧本的挑战	0		90		3	1:90	0	3308	
3310	完成{0}个剧本的挑战	0		100		3	1:100	0	3309	
1100	建造电影院		1	1		4	3:2000;9001:20;5:100		1101	
1101	建造摄影棚		1	2		4	3:2000;5:100		1102	
1102	拍摄第1部电影		8	1		4	2:2000;9001:15;5:300		1103	
1103	领取1次电影持续收益		10	1		4	3:5000;9004:10;5:300		1104	
1104	建造艺人教室		1	3		4	3:5000;6:2000;5:500		1105	
1105	招募1个新艺人		4	2		4	2:5000;9001:20;5:500		1106	
1106	将1位艺人升到10级		3	10	1	4	3:5000;9002:10;5:500		1107	
1107	建造市场部		1	4		4	2:5000;5:500		1108	
1108	在星光大道完成宣传		5	11001		4	2:5000;9002:26;5:500		1109	
1109	将市场部升至2级		2	4	2	4	3:5000;5005:100;5:500		1110	
1110	累计提升2次电影关注度		11	2		4	2:5000;5:500		1111	
1111	在环球影城完成宣传		5	11002		4	2:5000;5:1000		1112	
1112	顺利进行1次路演		6	1101		4	3:5000;5:500		1113	
1113	占领洛杉矶的市场		7	1101		4	2:5000;5:500		1114	
1114	在洛杉矶任命1位形象大使		12	1101	1	4	2:5000;5:1000		1115	
1115	为1部电影选择重点宣传城市		13	1101		4	3:5000;9001:25;5:1000		1116	
1116	拍摄第2部电影		8	2		4	2:5000;9002:20;5:1000		1117	
1117	建造宣传部		1	5		4	2:5000;5005:300;5:1000		1118	
1118	累计提升6次电影关注度		11	6		4	3:5000;9001:50;5:1000		1119	
1119	累计领取电影持续收益超过8000美元		19	8000		4	2:5000;9001:50;5:1000		1120	
1120	领取1次城市经营收益		14	1		4	2:5000;9003:10;5:1000		1121	
1121	建造仓库		1	6		4	2:5000;9001:50;5:500		1123	
1122	进行生产		15	1		4	2:5000;5:500		1126	
1123	建造销售部		1	7		4	3:5000;9004:10;5:500		1124	
1124	升级摄影棚		2	2	2	4	2:5000;5:500		1125	
1125	建造商务部		1	8		4	3:5000;7:10;5:500		1122	
1126	将1位艺人升到20级		3	20	1	4	2:5000;5:500		1127	
1127	拍摄第3部电影		8	3		4	3:5000;5:500		1128	
1128	查看1次电影排行榜		20	1		4	2:5000;4001:10;4002:10;4003:10;4004:10;4005:10;4006:10;5:500		1129	
1129	完成订单		16	1		4	2:5000;5:500		1130	
1130	占领纽约的市场		7	1102		4	3:5000;9001:60;5:1000		1131	
1131	在纽约同时任命3位形象大使		12	1102	3	4	2:5000;9002:10;5:1000		1132	
1132	建造办公室		1	9		4	2:5000;5:500		1133	
1133	处理3次公务		17	3		4	3:5000;5:1000		1134	
1134	领取2次城市经营收益		14	2		4	2:5000;9001:70;5:500		1135	
1135	累计完成2次生产		15	2		4	2:5000;9002:10;5:500		1136	
1136	建造接待室		1	10		4	2:5000;5:500		1137	
1137	接待1位粉丝		18	1		4	2:5000;3:20000		1138	
