int	int	string	string	int[]	string	string	int	string
201301	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
201302	2		主角的基本素养	1602;1603;1605		训练室	1017	
201303	3		演员补完计划	1601;1603;1605		训练室	1018	
201304	4		巨星之路	1601;1602;1605		训练室	1019	
201401	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
201402	2		主角的基本素养	1602;1603;1604		训练室	1017	
201403	3		演员补完计划	1601;1603;1604		训练室	1018	
201404	4		巨星之路	1601;1602;1604		训练室	1019	
201501	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
201502	2		主角的基本素养	1602;1603;1604		训练室	1017	
201503	3		演员补完计划	1601;1603;1604		训练室	1018	
201504	4		巨星之路	1601;1602;1604		训练室	1019	
300101	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
300102	2		主角的基本素养	1602;1603;1604		训练室	1017	
300103	3		演员补完计划	1601;1603;1604		训练室	1018	
300104	4		巨星之路	1601;1602;1604		训练室	1019	
300201	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
300202	2		主角的基本素养	1602;1603;1605		训练室	1017	
300203	3		演员补完计划	1601;1603;1605		训练室	1018	
300204	4		巨星之路	1601;1602;1605		训练室	1019	
300301	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
300302	2		主角的基本素养	1602;1603;1605		训练室	1017	
300303	3		演员补完计划	1601;1603;1605		训练室	1018	
300304	4		巨星之路	1601;1602;1605		训练室	1019	
300401	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
300402	2		主角的基本素养	1602;1603;1605		训练室	1017	
300403	3		演员补完计划	1601;1603;1605		训练室	1018	
300404	4		巨星之路	1601;1602;1605		训练室	1019	
300501	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
300502	2		主角的基本素养	1602;1603;1605		训练室	1017	
300503	3		演员补完计划	1601;1603;1605		训练室	1018	
300504	4		巨星之路	1601;1602;1605		训练室	1019	
300601	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
300602	2		主角的基本素养	1602;1603;1604		训练室	1017	
300603	3		演员补完计划	1601;1603;1604		训练室	1018	
300604	4		巨星之路	1601;1602;1604		训练室	1019	
300701	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
300702	2		主角的基本素养	1602;1603;1604		训练室	1017	
300703	3		演员补完计划	1601;1603;1604		训练室	1018	
300704	4		巨星之路	1601;1602;1604		训练室	1019	
300801	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
300802	2		主角的基本素养	1602;1603;1604		训练室	1017	
300803	3		演员补完计划	1601;1603;1604		训练室	1018	
300804	4		巨星之路	1601;1602;1604		训练室	1019	
300901	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
300902	2		主角的基本素养	1602;1603;1604		训练室	1017	
300903	3		演员补完计划	1601;1603;1604		训练室	1018	
300904	4		巨星之路	1601;1602;1604		训练室	1019	
301001	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
301002	2		主角的基本素养	1602;1603;1605		训练室	1017	
301003	3		演员补完计划	1601;1603;1605		训练室	1018	
301004	4		巨星之路	1601;1602;1605		训练室	1019	
301101	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
301102	2		主角的基本素养	1602;1603;1605		训练室	1017	
301103	3		演员补完计划	1601;1603;1605		训练室	1018	
301104	4		巨星之路	1601;1602;1605		训练室	1019	
301201	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
301202	2		主角的基本素养	1602;1603;1605		训练室	1017	
301203	3		演员补完计划	1601;1603;1605		训练室	1018	
301204	4		巨星之路	1601;1602;1605		训练室	1019	
301301	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
301302	2		主角的基本素养	1602;1603;1605		训练室	1017	
301303	3		演员补完计划	1601;1603;1605		训练室	1018	
301304	4		巨星之路	1601;1602;1605		训练室	1019	
301401	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
301402	2		主角的基本素养	1602;1603;1604		训练室	1017	
301403	3		演员补完计划	1601;1603;1604		训练室	1018	
301404	4		巨星之路	1601;1602;1604		训练室	1019	
301501	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
301502	2		主角的基本素养	1602;1603;1604		训练室	1017	
301503	3		演员补完计划	1601;1603;1604		训练室	1018	
301504	4		巨星之路	1601;1602;1604		训练室	1019	
301601	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
301602	2		主角的基本素养	1602;1603;1604		训练室	1017	
301603	3		演员补完计划	1601;1603;1604		训练室	1018	
301604	4		巨星之路	1601;1602;1604		训练室	1019	
301701	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
301702	2		主角的基本素养	1602;1603;1604		训练室	1017	
301703	3		演员补完计划	1601;1603;1604		训练室	1018	
301704	4		巨星之路	1601;1602;1604		训练室	1019	
301801	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
301802	2		主角的基本素养	1602;1603;1605		训练室	1017	
301803	3		演员补完计划	1601;1603;1605		训练室	1018	
301804	4		巨星之路	1601;1602;1605		训练室	1019	
400101	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
400102	2		主角的基本素养	1602;1603;1605		训练室	1017	
400103	3		演员补完计划	1601;1603;1605		训练室	1018	
400104	4		巨星之路	1601;1602;1605		训练室	1019	
400201	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
400202	2		主角的基本素养	1602;1603;1605		训练室	1017	
400203	3		演员补完计划	1601;1603;1605		训练室	1018	
400204	4		巨星之路	1601;1602;1605		训练室	1019	
400301	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
400302	2		主角的基本素养	1602;1603;1605		训练室	1017	
400303	3		演员补完计划	1601;1603;1605		训练室	1018	
400304	4		巨星之路	1601;1602;1605		训练室	1019	
400401	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
400402	2		主角的基本素养	1602;1603;1605		训练室	1017	
400403	3		演员补完计划	1601;1603;1605		训练室	1018	
400404	4		巨星之路	1601;1602;1605		训练室	1019	
400501	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
400502	2		主角的基本素养	1602;1603;1605		训练室	1017	
400503	3		演员补完计划	1601;1603;1605		训练室	1018	
400504	4		巨星之路	1601;1602;1605		训练室	1019	
400601	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
400602	2		主角的基本素养	1602;1603;1604		训练室	1017	
400603	3		演员补完计划	1601;1603;1604		训练室	1018	
400604	4		巨星之路	1601;1602;1604		训练室	1019	
400701	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
400702	2		主角的基本素养	1602;1603;1604		训练室	1017	
400703	3		演员补完计划	1601;1603;1604		训练室	1018	
400704	4		巨星之路	1601;1602;1604		训练室	1019	
400801	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
400802	2		主角的基本素养	1602;1603;1604		训练室	1017	
400803	3		演员补完计划	1601;1603;1604		训练室	1018	
400804	4		巨星之路	1601;1602;1604		训练室	1019	
400901	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
400902	2		主角的基本素养	1602;1603;1604		训练室	1017	
400903	3		演员补完计划	1601;1603;1604		训练室	1018	
400904	4		巨星之路	1601;1602;1604		训练室	1019	
401001	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
401002	2		主角的基本素养	1602;1603;1605		训练室	1017	
401003	3		演员补完计划	1601;1603;1605		训练室	1018	
401004	4		巨星之路	1601;1602;1605		训练室	1019	
401101	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
401102	2		主角的基本素养	1602;1603;1605		训练室	1017	
401103	3		演员补完计划	1601;1603;1605		训练室	1018	
401104	4		巨星之路	1601;1602;1605		训练室	1019	
401201	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
401202	2		主角的基本素养	1602;1603;1605		训练室	1017	
401203	3		演员补完计划	1601;1603;1605		训练室	1018	
401204	4		巨星之路	1601;1602;1605		训练室	1019	
401301	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
401302	2		主角的基本素养	1602;1603;1605		训练室	1017	
401303	3		演员补完计划	1601;1603;1605		训练室	1018	
401304	4		巨星之路	1601;1602;1605		训练室	1019	
401401	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
401402	2		主角的基本素养	1602;1603;1604		训练室	1017	
401403	3		演员补完计划	1601;1603;1604		训练室	1018	
401404	4		巨星之路	1601;1602;1604		训练室	1019	
401501	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
401502	2		主角的基本素养	1602;1603;1604		训练室	1017	
401503	3		演员补完计划	1601;1603;1604		训练室	1018	
401504	4		巨星之路	1601;1602;1604		训练室	1019	
401601	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
401602	2		主角的基本素养	1602;1603;1604		训练室	1017	
401603	3		演员补完计划	1601;1603;1604		训练室	1018	
401604	4		巨星之路	1601;1602;1604		训练室	1019	
401701	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
401702	2		主角的基本素养	1602;1603;1604		训练室	1017	
401703	3		演员补完计划	1601;1603;1604		训练室	1018	
401704	4		巨星之路	1601;1602;1604		训练室	1019	
401801	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
401802	2		主角的基本素养	1602;1603;1605		训练室	1017	
401803	3		演员补完计划	1601;1603;1605		训练室	1018	
401804	4		巨星之路	1601;1602;1605		训练室	1019	
401901	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
401902	2		主角的基本素养	1602;1603;1605		训练室	1017	
401903	3		演员补完计划	1601;1603;1605		训练室	1018	
401904	4		巨星之路	1601;1602;1605		训练室	1019	
402001	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
402002	2		主角的基本素养	1602;1603;1605		训练室	1017	
402003	3		演员补完计划	1601;1603;1605		训练室	1018	
402004	4		巨星之路	1601;1602;1605		训练室	1019	
402101	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
402102	2		主角的基本素养	1602;1603;1605		训练室	1017	
402103	3		演员补完计划	1601;1603;1605		训练室	1018	
402104	4		巨星之路	1601;1602;1605		训练室	1019	
402201	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
402202	2		主角的基本素养	1602;1603;1604		训练室	1017	
402203	3		演员补完计划	1601;1603;1604		训练室	1018	
402204	4		巨星之路	1601;1602;1604		训练室	1019	
402301	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
402302	2		主角的基本素养	1602;1603;1604		训练室	1017	
402303	3		演员补完计划	1601;1603;1604		训练室	1018	
402304	4		巨星之路	1601;1602;1604		训练室	1019	
402401	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
402402	2		主角的基本素养	1602;1603;1604		训练室	1017	
402403	3		演员补完计划	1601;1603;1604		训练室	1018	
402404	4		巨星之路	1601;1602;1604		训练室	1019	
402501	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
402502	2		主角的基本素养	1602;1603;1604		训练室	1017	
402503	3		演员补完计划	1601;1603;1604		训练室	1018	
402504	4		巨星之路	1601;1602;1604		训练室	1019	
402601	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
402602	2		主角的基本素养	1602;1603;1605		训练室	1017	
402603	3		演员补完计划	1601;1603;1605		训练室	1018	
402604	4		巨星之路	1601;1602;1605		训练室	1019	
402701	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
402702	2		主角的基本素养	1602;1603;1605		训练室	1017	
402703	3		演员补完计划	1601;1603;1605		训练室	1018	
402704	4		巨星之路	1601;1602;1605		训练室	1019	
402801	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
402802	2		主角的基本素养	1602;1603;1605		训练室	1017	
402803	3		演员补完计划	1601;1603;1605		训练室	1018	
402804	4		巨星之路	1601;1602;1605		训练室	1019	
402901	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
402902	2		主角的基本素养	1602;1603;1605		训练室	1017	
402903	3		演员补完计划	1601;1603;1605		训练室	1018	
402904	4		巨星之路	1601;1602;1605		训练室	1019	
403001	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
403002	2		主角的基本素养	1602;1603;1604		训练室	1017	
403003	3		演员补完计划	1601;1603;1604		训练室	1018	
403004	4		巨星之路	1601;1602;1604		训练室	1019	
500101	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
500102	2		主角的基本素养	1602;1603;1605		训练室	1017	
500103	3		演员补完计划	1601;1603;1605		训练室	1018	
500104	4		巨星之路	1601;1602;1605		训练室	1019	
500201	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
500202	2		主角的基本素养	1602;1603;1605		训练室	1017	
500203	3		演员补完计划	1601;1603;1605		训练室	1018	
500204	4		巨星之路	1601;1602;1605		训练室	1019	
500301	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
500302	2		主角的基本素养	1602;1603;1605		训练室	1017	
500303	3		演员补完计划	1601;1603;1605		训练室	1018	
500304	4		巨星之路	1601;1602;1605		训练室	1019	
500401	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
500402	2		主角的基本素养	1602;1603;1605		训练室	1017	
500403	3		演员补完计划	1601;1603;1605		训练室	1018	
500404	4		巨星之路	1601;1602;1605		训练室	1019	
500501	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
500502	2		主角的基本素养	1602;1603;1605		训练室	1017	
500503	3		演员补完计划	1601;1603;1605		训练室	1018	
500504	4		巨星之路	1601;1602;1605		训练室	1019	
500601	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
500602	2		主角的基本素养	1602;1603;1604		训练室	1017	
500603	3		演员补完计划	1601;1603;1604		训练室	1018	
500604	4		巨星之路	1601;1602;1604		训练室	1019	
500701	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
500702	2		主角的基本素养	1602;1603;1604		训练室	1017	
500703	3		演员补完计划	1601;1603;1604		训练室	1018	
500704	4		巨星之路	1601;1602;1604		训练室	1019	
500801	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
500802	2		主角的基本素养	1602;1603;1604		训练室	1017	
500803	3		演员补完计划	1601;1603;1604		训练室	1018	
500804	4		巨星之路	1601;1602;1604		训练室	1019	
500901	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
500902	2		主角的基本素养	1602;1603;1604		训练室	1017	
500903	3		演员补完计划	1601;1603;1604		训练室	1018	
500904	4		巨星之路	1601;1602;1604		训练室	1019	
501001	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
501002	2		主角的基本素养	1602;1603;1605		训练室	1017	
501003	3		演员补完计划	1601;1603;1605		训练室	1018	
501004	4		巨星之路	1601;1602;1605		训练室	1019	
501101	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
501102	2		主角的基本素养	1602;1603;1605		训练室	1017	
501103	3		演员补完计划	1601;1603;1605		训练室	1018	
501104	4		巨星之路	1601;1602;1605		训练室	1019	
501201	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
501202	2		主角的基本素养	1602;1603;1605		训练室	1017	
501203	3		演员补完计划	1601;1603;1605		训练室	1018	
501204	4		巨星之路	1601;1602;1605		训练室	1019	
501301	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
501302	2		主角的基本素养	1602;1603;1605		训练室	1017	
501303	3		演员补完计划	1601;1603;1605		训练室	1018	
501304	4		巨星之路	1601;1602;1605		训练室	1019	
501401	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
501402	2		主角的基本素养	1602;1603;1604		训练室	1017	
501403	3		演员补完计划	1601;1603;1604		训练室	1018	
501404	4		巨星之路	1601;1602;1604		训练室	1019	
501501	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
501502	2		主角的基本素养	1602;1603;1604		训练室	1017	
501503	3		演员补完计划	1601;1603;1604		训练室	1018	
501504	4		巨星之路	1601;1602;1604		训练室	1019	
501601	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
501602	2		主角的基本素养	1602;1603;1604		训练室	1017	
501603	3		演员补完计划	1601;1603;1604		训练室	1018	
501604	4		巨星之路	1601;1602;1604		训练室	1019	
501701	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
501702	2		主角的基本素养	1602;1603;1604		训练室	1017	
501703	3		演员补完计划	1601;1603;1604		训练室	1018	
501704	4		巨星之路	1601;1602;1604		训练室	1019	
501801	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
501802	2		主角的基本素养	1602;1603;1605		训练室	1017	
501803	3		演员补完计划	1601;1603;1605		训练室	1018	
501804	4		巨星之路	1601;1602;1605		训练室	1019	
501901	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
501902	2		主角的基本素养	1602;1603;1605		训练室	1017	
501903	3		演员补完计划	1601;1603;1605		训练室	1018	
501904	4		巨星之路	1601;1602;1605		训练室	1019	
502001	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
502002	2		主角的基本素养	1602;1603;1605		训练室	1017	
502003	3		演员补完计划	1601;1603;1605		训练室	1018	
502004	4		巨星之路	1601;1602;1605		训练室	1019	
502101	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
502102	2		主角的基本素养	1602;1603;1605		训练室	1017	
502103	3		演员补完计划	1601;1603;1605		训练室	1018	
502104	4		巨星之路	1601;1602;1605		训练室	1019	
502201	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
502202	2		主角的基本素养	1602;1603;1604		训练室	1017	
502203	3		演员补完计划	1601;1603;1604		训练室	1018	
502204	4		巨星之路	1601;1602;1604		训练室	1019	
502301	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
502302	2		主角的基本素养	1602;1603;1604		训练室	1017	
502303	3		演员补完计划	1601;1603;1604		训练室	1018	
502304	4		巨星之路	1601;1602;1604		训练室	1019	
502401	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
502402	2		主角的基本素养	1602;1603;1604		训练室	1017	
502403	3		演员补完计划	1601;1603;1604		训练室	1018	
502404	4		巨星之路	1601;1602;1604		训练室	1019	
502501	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
502502	2		主角的基本素养	1602;1603;1604		训练室	1017	
502503	3		演员补完计划	1601;1603;1604		训练室	1018	
502504	4		巨星之路	1601;1602;1604		训练室	1019	
502601	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
502602	2		主角的基本素养	1602;1603;1605		训练室	1017	
502603	3		演员补完计划	1601;1603;1605		训练室	1018	
502604	4		巨星之路	1601;1602;1605		训练室	1019	
502701	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
502702	2		主角的基本素养	1602;1603;1605		训练室	1017	
502703	3		演员补完计划	1601;1603;1605		训练室	1018	
502704	4		巨星之路	1601;1602;1605		训练室	1019	
502801	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
502802	2		主角的基本素养	1602;1603;1605		训练室	1017	
502803	3		演员补完计划	1601;1603;1605		训练室	1018	
502804	4		巨星之路	1601;1602;1605		训练室	1019	
502901	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
502902	2		主角的基本素养	1602;1603;1605		训练室	1017	
502903	3		演员补完计划	1601;1603;1605		训练室	1018	
502904	4		巨星之路	1601;1602;1605		训练室	1019	
503001	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
503002	2		主角的基本素养	1602;1603;1604		训练室	1017	
503003	3		演员补完计划	1601;1603;1604		训练室	1018	
503004	4		巨星之路	1601;1602;1604		训练室	1019	
503101	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
503102	2		主角的基本素养	1602;1603;1605		训练室	1017	
503103	3		演员补完计划	1601;1603;1605		训练室	1018	
503104	4		巨星之路	1601;1602;1605		训练室	1019	
503201	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
503202	2		主角的基本素养	1602;1603;1605		训练室	1017	
503203	3		演员补完计划	1601;1603;1605		训练室	1018	
503204	4		巨星之路	1601;1602;1605		训练室	1019	
503301	1		艺人的自我觉悟	1601;1602;1603		训练室	1016	
503302	2		主角的基本素养	1602;1603;1605		训练室	1017	
503303	3		演员补完计划	1601;1603;1605		训练室	1018	
503304	4		巨星之路	1601;1602;1605		训练室	1019	
