int	int	int	string
501901	1	1602	
501902	2	1601	
501903	3	1601	
501904	4	1603	
502001	1	1602	
502002	2	1601	
502003	3	1601	
502004	4	1603	
502101	1	1601	
502102	2	1601	
502103	3	1603	
502104	4	1603	
502201	1	1601	
502202	2	1602	
502203	3	1601	
502204	4	1603	
502301	1	1602	
502302	2	1601	
502303	3	1603	
502304	4	1602	
502401	1	1602	
502402	2	1602	
502403	3	1603	
502404	4	1603	
502501	1	1602	
502502	2	1602	
502503	3	1601	
502504	4	1603	
502601	1	1601	
502602	2	1601	
502603	3	1603	
502604	4	1602	
502701	1	1602	
502702	2	1601	
502703	3	1603	
502704	4	1603	
502801	1	1602	
502802	2	1603	
502803	3	1601	
502804	4	1603	
502901	1	1601	
502902	2	1603	
502903	3	1603	
502904	4	1602	
503001	1	1601	
503002	2	1602	
503003	3	1603	
503004	4	1602	
503101	1	1601	
503102	2	1602	
503103	3	1603	
503104	4	1603	
503201	1	1602	
503202	2	1601	
503203	3	1601	
503204	4	1603	
503301	1	1601	
503302	2	1601	
503303	3	1603	
503304	4	1602	
