int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
33	15	15	24	24	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
34	15	15	24	24	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
35	15	15	24	24	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
36	15	15	24	24	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
37	15	15	24	24	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
38	15	15	24	24	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
39	15	15	24	24	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
40	15	15	24	24	25	30	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
41	15	15	28	28	30	42	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
42	15	15	28	28	30	42	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
43	15	15	28	28	30	42	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
44	15	15	28	28	30	42	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
45	15	15	28	28	30	42	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
46	15	15	28	28	30	42	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
47	15	15	28	28	30	42	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
48	15	15	28	28	30	42	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
49	15	15	28	28	30	42	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
50	15	15	28	28	30	42	1	2	5	10	15	25	6105	6104	6109	6102	6103	6108	6106	6101	6107	700	700	990	990	1175	1460
51	30	30	35	35	40	45	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
52	30	30	35	35	40	45	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
53	30	30	35	35	40	45	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
54	30	30	35	35	40	45	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
55	30	30	35	35	40	45	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
56	30	30	35	35	45	52	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
57	30	30	35	35	45	52	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
58	30	30	35	35	45	52	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
59	30	30	35	35	45	52	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
60	30	30	35	35	45	52	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
61	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
62	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
63	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
64	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
65	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
66	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
67	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
68	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
69	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
70	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
71	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
72	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
73	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
74	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
75	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
76	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
77	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
78	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
79	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
80	35	35	42	42	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
81	35	35	50	50	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
82	35	35	50	50	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
83	35	35	50	50	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
84	35	35	50	50	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
85	35	35	50	50	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
86	35	35	50	50	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
87	35	35	50	50	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
88	35	35	50	50	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
89	35	35	50	50	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
90	35	35	50	50	55	65	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
91	35	35	54	54	60	80	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
92	35	35	54	54	60	80	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
93	35	35	54	54	60	80	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
94	35	35	54	54	60	80	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
95	35	35	54	54	60	80	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
96	35	35	54	54	60	80	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
97	35	35	54	54	60	80	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
98	35	35	54	54	60	80	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
99	35	35	54	54	60	80	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
100	35	35	54	54	60	80	1	2	5	10	15	25	6205	6204	6209	6202	6203	6208	6206	6201	6207	1700	1700	2230	2230	2675	3235
101	50	50	60	60	70	80	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
102	50	50	60	60	70	80	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
103	50	50	60	60	70	80	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
104	50	50	60	60	70	80	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
105	50	50	60	60	70	80	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
106	50	50	60	60	75	87	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
107	50	50	60	60	75	87	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
108	50	50	60	60	75	87	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
109	50	50	60	60	75	87	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
110	50	50	60	60	75	87	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
111	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
112	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
113	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
114	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
115	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
116	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
117	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
118	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
119	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
120	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
121	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
122	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
123	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
124	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
125	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
126	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
127	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
128	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
129	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
130	55	55	67	67	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
131	55	55	75	75	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
132	55	55	75	75	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
133	55	55	75	75	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
134	55	55	75	75	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
135	55	55	75	75	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
136	55	55	75	75	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
137	55	55	75	75	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
138	55	55	75	75	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
139	55	55	75	75	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
140	55	55	75	75	85	100	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
141	55	55	79	79	90	110	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
142	55	55	79	79	90	110	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
143	55	55	79	79	90	110	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
144	55	55	79	79	90	110	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
145	55	55	79	79	90	110	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
146	55	55	79	79	90	115	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
147	55	55	79	79	90	115	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
148	55	55	79	79	90	115	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
149	55	55	79	79	90	115	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
150	55	55	79	79	90	115	1	2	5	10	15	25	6305	6304	6309	6302	6303	6308	6306	6301	6307	2700	2700	3480	3480	4175	4960
